<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HGC,20200311,10.0000,10.0000,10.0000,10.0000,0
HGC,20200312,10.0000,10.0000,10.0000,10.0000,0
HGC,20200313,10.0000,10.0000,10.0000,10.0000,0
HGC,20200316,10.0000,10.0000,10.0000,10.0000,0
HGC,20200317,10.0000,10.0000,10.0000,10.0000,0
HGC,20200318,10.0000,10.0000,10.0000,10.0000,0
HGC,20200319,10.0000,10.0000,10.0000,10.0000,0
HGC,20200320,10.0000,10.0000,10.0000,10.0000,0
HGC,20200323,10.0000,10.0000,10.0000,10.0000,0
HGC,20200324,10.0000,10.0000,10.0000,10.0000,0
HGC,20200325,10.0000,10.0000,10.0000,10.0000,0
HGC,20200326,10.0000,10.0000,10.0000,10.0000,0
HGC,20200327,10.0000,10.0000,10.0000,10.0000,0
HGC,20200330,10.0000,10.0000,10.0000,10.0000,0
HGC,20200331,10.0000,10.0000,10.0000,10.0000,0
HGC,20200401,10.0000,10.0000,10.0000,10.0000,0
HGC,20200403,10.0000,10.0000,10.0000,10.0000,0
HGC,20200406,10.0000,10.0000,10.0000,10.0000,0
HGC,20200407,10.0000,10.0000,10.0000,10.0000,0
HGC,20200408,10.0000,10.0000,10.0000,10.0000,0
HGC,20200409,10.0000,10.0000,10.0000,10.0000,0
HGC,20200410,10.0000,10.0000,10.0000,10.0000,0
HGC,20200413,10.0000,10.0000,10.0000,10.0000,0
HGC,20200414,10.0000,10.0000,10.0000,10.0000,0
HGC,20200415,10.0000,10.0000,10.0000,10.0000,0
HGC,20200416,10.0000,10.0000,10.0000,10.0000,0
HGC,20200417,10.0000,10.0000,10.0000,10.0000,0
HGC,20200420,10.0000,10.0000,10.0000,10.0000,0
HGC,20200421,10.0000,10.0000,10.0000,10.0000,0
HGC,20200422,10.0000,10.0000,10.0000,10.0000,0
HGC,20200423,10.0000,10.0000,10.0000,10.0000,0
HGC,20200424,10.0000,10.0000,10.0000,10.0000,0
HGC,20200427,10.0000,10.0000,10.0000,10.0000,0
HGC,20200428,10.0000,10.0000,10.0000,10.0000,0
HGC,20200429,10.0000,10.0000,10.0000,10.0000,0
HGC,20200504,10.0000,10.0000,10.0000,10.0000,0
HGC,20200505,10.0000,10.0000,10.0000,10.0000,0
HGC,20200506,10.0000,10.0000,10.0000,10.0000,0
HGC,20200507,10.0000,10.0000,10.0000,10.0000,0
HGC,20200508,10.0000,10.0000,10.0000,10.0000,0
HGC,20200511,10.0000,10.0000,10.0000,10.0000,0
HGC,20200512,10.0000,10.0000,10.0000,10.0000,0
HGC,20200513,10.0000,10.0000,10.0000,10.0000,0
HGC,20200514,10.0000,10.0000,10.0000,10.0000,0
HGC,20200515,10.0000,10.0000,10.0000,10.0000,0
HGC,20200518,10.0000,10.0000,10.0000,10.0000,0
HGC,20200519,10.0000,10.0000,10.0000,10.0000,0
HGC,20200520,10.0000,10.0000,10.0000,10.0000,0
HGC,20200521,10.0000,10.0000,10.0000,10.0000,0
HGC,20200522,10.0000,10.0000,10.0000,10.0000,0
HGC,20200525,10.0000,10.0000,10.0000,10.0000,0
HGC,20200526,10.0000,10.0000,10.0000,10.0000,0
HGC,20200527,10.0000,10.0000,10.0000,10.0000,0
HGC,20200528,10.0000,10.0000,10.0000,10.0000,0
HGC,20200529,10.0000,10.0000,10.0000,10.0000,0
HGC,20200601,10.0000,10.0000,10.0000,10.0000,0
HGC,20200602,10.0000,10.0000,10.0000,10.0000,0
HGC,20200603,10.0000,10.0000,10.0000,10.0000,0
HGC,20200604,10.0000,10.0000,10.0000,10.0000,0
HGC,20200605,10.0000,10.0000,10.0000,10.0000,0
HGC,20200608,10.0000,10.0000,10.0000,10.0000,0
HGC,20200609,10.0000,10.0000,10.0000,10.0000,0
HGC,20200610,10.0000,10.0000,10.0000,10.0000,0
HGC,20200611,10.0000,10.0000,10.0000,10.0000,0
HGC,20200612,10.0000,10.0000,10.0000,10.0000,0
