<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HGM,20091221,69.0000,70.0000,66.0000,69.0000,37300
HGM,20091222,68.0000,68.0000,67.0000,67.0000,5800
HGM,20091223,66.5000,66.5000,66.0000,66.0000,26100
HGM,20091224,62.5000,62.5000,61.9000,61.9000,16200
HGM,20091225,58.0000,66.3000,58.0000,62.0000,28700
HGM,20091228,64.5000,64.5000,60.0000,60.0000,17000
HGM,20091229,65.5000,65.5000,64.0000,64.0000,12100
HGM,20091230,63.4000,63.4000,59.6000,59.6000,1200
HGM,20091231,62.0000,63.0000,60.9000,60.9000,19100
HGM,20100104,64.0000,64.0000,62.0000,63.9000,33400
HGM,20100105,67.4000,67.6000,60.1000,60.1000,18800
HGM,20100106,61.5000,62.0000,59.2000,59.2000,10800
HGM,20100107,63.0000,63.0000,60.2000,60.2000,19600
HGM,20100108,61.9000,65.9000,61.9000,65.9000,104900
HGM,20100111,69.7000,69.7000,69.5000,69.7000,133800
HGM,20100112,70.0000,73.3000,69.5000,69.5000,7500
HGM,20100113,67.1000,69.5000,66.2000,69.5000,8700
HGM,20100114,65.9000,65.9000,62.9000,62.9000,10900
HGM,20100115,65.5000,65.5000,59.1000,59.4000,32200
HGM,20100118,57.0000,57.0000,55.6000,55.6000,17000
HGM,20100119,55.6000,59.4000,55.6000,59.4000,6400
HGM,20100120,57.0000,58.0000,55.5000,55.5000,15400
HGM,20100121,59.0000,59.5000,54.5000,55.2000,10700
HGM,20100122,55.1000,58.5000,55.1000,58.4000,18600
HGM,20100125,58.0000,58.4000,58.0000,58.4000,5600
HGM,20100126,61.0000,61.0000,60.0000,60.5000,9200
HGM,20100127,59.3000,59.4000,58.5000,59.4000,16700
HGM,20100128,57.0000,58.5000,55.5000,55.7000,15100
HGM,20100129,53.5000,56.5000,53.1000,55.5000,5400
HGM,20100201,57.0000,58.2000,57.0000,58.2000,14000
HGM,20100202,58.0000,58.0000,57.9000,57.9000,5900
HGM,20100203,57.9000,58.0000,57.9000,58.0000,2300
HGM,20100204,58.0000,59.9000,58.0000,59.9000,9100
HGM,20100205,54.0000,55.0000,54.0000,55.0000,1200
HGM,20100208,55.5000,55.5000,55.0000,55.0000,22000
HGM,20100209,54.0000,55.0000,54.0000,54.0000,8200
HGM,20100210,56.5000,57.0000,55.0000,57.0000,3300
HGM,20100211,54.5000,57.5000,54.5000,57.5000,1300
HGM,20100212,56.7000,58.9000,54.5000,54.5000,1700
HGM,20100222,54.0000,55.5000,54.0000,55.5000,500
HGM,20100223,56.9000,56.9000,54.0000,54.0000,1300
HGM,20100224,57.0000,58.0000,57.0000,57.5000,5100
HGM,20100225,59.5000,59.5000,55.5000,55.5000,2700
HGM,20100226,56.3000,56.3000,56.3000,56.3000,0
HGM,20100301,58.0000,58.0000,58.0000,58.0000,300
HGM,20100302,57.0000,57.0000,57.0000,57.0000,100
HGM,20100303,12.1567,12.3073,12.1567,12.2643,3400
HGM,20100304,12.6946,12.6946,12.6946,12.6946,100
HGM,20100305,12.4794,12.5870,12.4794,12.5225,1200
HGM,20100308,12.6946,12.9098,12.6946,12.9098,5900
HGM,20100309,12.9098,12.9098,12.9098,12.9098,700
HGM,20100310,12.9098,12.9098,12.2643,12.4794,5100
HGM,20100311,12.2643,12.6946,12.2643,12.4794,15400
HGM,20100312,12.1567,12.4794,12.1567,12.4794,2400
HGM,20100315,12.8022,12.9313,12.4794,12.6946,12300
HGM,20100316,12.8022,12.8022,12.0491,12.0491,3200
HGM,20100317,12.2643,12.2643,12.0061,12.0491,1800
HGM,20100318,12.5870,12.8667,12.2643,12.8667,13000
HGM,20100319,12.7376,13.5768,12.7376,13.5768,29700
HGM,20100322,14.2007,14.3083,14.1792,14.2007,384200
HGM,20100323,13.3401,13.3401,13.2110,13.3401,13700
HGM,20100324,13.2755,13.3401,13.1249,13.2755,9400
HGM,20100325,12.5225,12.5870,12.5225,12.5870,1500
HGM,20100326,13.3401,13.4046,13.0173,13.4046,144800
HGM,20100329,14.2007,14.2438,13.4477,13.4477,7400
HGM,20100330,13.9856,13.9856,13.6628,13.6628,3800
HGM,20100331,13.2325,13.6628,13.2325,13.2755,3600
HGM,20100401,12.8022,12.9098,12.7376,12.9098,1100
HGM,20100402,13.4477,13.6843,13.4477,13.6843,14100
HGM,20100405,13.6843,13.7704,13.5552,13.7704,4700
HGM,20100406,13.5552,13.5552,13.5552,13.5552,2000
HGM,20100407,14.3944,14.3944,12.9098,12.9098,3100
HGM,20100408,13.7704,13.7704,13.1249,13.3401,15000
HGM,20100409,13.4477,13.7704,13.3401,13.5552,19600
HGM,20100412,13.3616,13.8565,13.3616,13.8565,200
HGM,20100413,13.1679,13.3401,13.1679,13.3401,18900
HGM,20100414,13.6628,13.6628,13.6628,13.6628,7600
HGM,20100415,13.7704,13.9856,13.7704,13.9856,107600
HGM,20100416,13.6843,14.2007,13.6843,14.0931,12000
HGM,20100419,14.4159,14.4159,14.3083,14.3083,9100
HGM,20100420,13.7704,13.9856,13.6843,13.9856,19900
HGM,20100421,14.4159,14.6956,14.0931,14.6956,16300
HGM,20100422,15.3841,15.3841,15.3841,15.3841,30400
HGM,20100426,16.4534,16.4534,14.4021,16.4534,255600
HGM,20100427,16.0169,16.0169,16.0169,16.0169,15200
HGM,20100428,17.1298,17.1298,17.1298,17.1298,21400
HGM,20100429,18.1991,18.3082,18.1991,18.3082,62400
HGM,20100504,19.5738,19.5738,19.4211,19.4211,29300
HGM,20100505,19.5520,20.0539,19.4211,19.6393,141600
HGM,20100506,20.0539,20.9486,20.0539,20.9486,66400
HGM,20100507,21.7778,21.7778,21.6032,21.7778,60100
HGM,20100510,23.2835,23.2835,22.9125,23.2835,134000
HGM,20100511,24.8764,24.8764,24.8764,24.8764,45500
HGM,20100512,26.6003,26.6003,25.3129,26.6003,260000
HGM,20100513,26.6440,27.2768,24.6582,24.6582,32300
HGM,20100514,23.5017,24.4400,23.5017,23.5017,43500
HGM,20100517,21.9742,25.2474,21.9742,25.2474,64000
HGM,20100518,24.5491,24.5491,21.8214,22.9561,24900
HGM,20100519,22.0615,22.0615,21.9087,21.9087,14700
HGM,20100520,20.5121,23.4580,20.4685,22.0833,49300
HGM,20100521,20.7740,21.1668,20.7085,20.7304,26100
HGM,20100524,20.9486,22.2579,20.9486,21.0795,31200
HGM,20100525,21.8214,21.8214,20.2939,20.6213,15700
HGM,20100526,21.3850,21.3850,20.2939,20.7304,40200
HGM,20100527,21.1668,21.1668,20.3812,20.7304,28300
HGM,20100528,21.0795,22.1924,21.0577,22.1924,134300
HGM,20100531,23.3053,23.3053,22.2579,22.9125,42200
HGM,20100601,22.4761,22.4979,22.0396,22.3670,27500
HGM,20100602,21.7996,21.8214,21.1668,21.8214,46500
HGM,20100603,21.8214,21.8214,20.9486,20.9486,80800
HGM,20100604,20.7304,20.9922,20.7304,20.9486,1300
HGM,20100607,20.9486,20.9486,19.8793,20.0757,21200
HGM,20100608,20.2939,20.2939,19.6393,20.2939,34000
HGM,20100609,20.8176,20.8176,20.1848,20.1848,27200
HGM,20100610,19.9011,20.7304,19.9011,20.1194,8600
HGM,20100611,21.1668,21.1668,20.3376,20.3376,7700
HGM,20100614,20.7304,21.0577,20.5121,20.7304,14800
HGM,20100615,20.7304,21.7996,20.7304,20.9486,101400
HGM,20100616,22.5852,22.5852,21.1668,21.1668,8600
HGM,20100617,21.1668,21.1668,20.8395,20.8395,2400
HGM,20100618,20.9486,21.0359,20.7522,20.7740,11400
HGM,20100621,20.9486,21.0577,20.9486,20.9486,23200
HGM,20100622,21.2759,21.2759,20.8395,20.9486,53900
HGM,20100623,21.1013,21.1450,20.7304,20.8395,88900
HGM,20100624,21.5378,21.5378,20.4249,20.4249,4900
HGM,20100625,20.8176,20.8176,20.5121,20.7740,24700
HGM,20100628,20.8395,20.8395,20.4685,20.7304,21600
