<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HGW,20170111,15.5000,15.5000,15.5000,15.5000,0
HGW,20170112,15.5000,15.5000,15.5000,15.5000,0
HGW,20170113,15.5000,15.5000,15.5000,15.5000,0
HGW,20170116,15.5000,15.5000,15.5000,15.5000,0
HGW,20170117,15.5000,15.5000,15.5000,15.5000,0
HGW,20170118,15.5000,15.5000,15.5000,15.5000,0
HGW,20170119,15.5000,15.5000,15.5000,15.5000,0
HGW,20170120,15.5000,15.5000,15.5000,15.5000,0
HGW,20170123,15.5000,15.5000,15.5000,15.5000,0
HGW,20170124,15.5000,15.5000,15.5000,15.5000,0
HGW,20170125,15.5000,15.5000,15.5000,15.5000,0
HGW,20170202,15.5000,15.5000,15.5000,15.5000,0
HGW,20170203,15.5000,15.5000,15.5000,15.5000,0
HGW,20170206,15.5000,15.5000,15.5000,15.5000,0
HGW,20170207,15.5000,15.5000,15.5000,15.5000,0
HGW,20170208,15.5000,15.5000,15.5000,15.5000,0
HGW,20170209,15.5000,15.5000,15.5000,15.5000,0
HGW,20170210,15.5000,15.5000,15.5000,15.5000,0
HGW,20170213,15.5000,15.5000,15.5000,15.5000,0
HGW,20170214,15.5000,15.5000,15.5000,15.5000,0
HGW,20170215,15.5000,15.5000,15.5000,15.5000,0
HGW,20170216,15.5000,15.5000,15.5000,15.5000,0
HGW,20170217,15.5000,15.5000,15.5000,15.5000,0
HGW,20170220,15.5000,15.5000,15.5000,15.5000,0
HGW,20170221,15.5000,15.5000,15.5000,15.5000,0
HGW,20170222,15.5000,15.5000,15.5000,15.5000,0
HGW,20170223,15.5000,15.5000,15.5000,15.5000,0
HGW,20170224,15.5000,15.5000,15.5000,15.5000,0
HGW,20170227,15.5000,15.5000,15.5000,15.5000,0
HGW,20170228,15.5000,15.5000,15.5000,15.5000,0
HGW,20170301,15.5000,15.5000,15.5000,15.5000,0
HGW,20170302,15.5000,15.5000,15.5000,15.5000,0
HGW,20170303,15.5000,15.5000,15.5000,15.5000,0
HGW,20170306,15.5000,15.5000,15.5000,15.5000,0
HGW,20170307,15.5000,15.5000,15.5000,15.5000,0
HGW,20170308,15.5000,15.5000,15.5000,15.5000,0
HGW,20170309,15.5000,15.5000,15.5000,15.5000,0
HGW,20170310,15.5000,15.5000,15.5000,15.5000,0
HGW,20170313,15.5000,15.5000,15.5000,15.5000,0
HGW,20170314,15.5000,15.5000,15.5000,15.5000,0
HGW,20170315,15.5000,15.5000,15.5000,15.5000,0
HGW,20170316,15.5000,15.5000,15.5000,15.5000,0
HGW,20170317,15.5000,15.5000,15.5000,15.5000,0
HGW,20170320,15.5000,15.5000,15.5000,15.5000,0
HGW,20170321,15.5000,15.5000,15.5000,15.5000,0
HGW,20170322,15.5000,15.5000,15.5000,15.5000,0
HGW,20170323,15.5000,15.5000,15.5000,15.5000,0
HGW,20170324,15.5000,15.5000,15.5000,15.5000,0
HGW,20170327,15.5000,15.5000,15.5000,15.5000,0
HGW,20170328,15.5000,15.5000,15.5000,15.5000,0
HGW,20170329,15.5000,15.5000,15.5000,15.5000,0
HGW,20170330,15.5000,15.5000,15.5000,15.5000,0
HGW,20170331,15.5000,15.5000,15.5000,15.5000,0
HGW,20170403,15.5000,15.5000,15.5000,15.5000,0
HGW,20170404,15.5000,15.5000,15.5000,15.5000,0
HGW,20170405,15.5000,15.5000,15.5000,15.5000,0
HGW,20170407,15.5000,15.5000,15.5000,15.5000,0
HGW,20170410,15.5000,15.5000,15.5000,15.5000,0
HGW,20170411,15.5000,15.5000,15.5000,15.5000,0
HGW,20170412,15.5000,15.5000,15.5000,15.5000,0
HGW,20170413,15.5000,15.5000,15.5000,15.5000,0
HGW,20170414,15.5000,15.5000,15.5000,15.5000,0
HGW,20170417,15.5000,15.5000,15.5000,15.5000,0
HGW,20170418,15.5000,15.5000,15.5000,15.5000,0
HGW,20170419,15.5000,15.5000,15.5000,15.5000,0
HGW,20170420,15.5000,15.5000,15.5000,15.5000,0
HGW,20170421,15.5000,15.5000,15.5000,15.5000,0
HGW,20170424,15.5000,15.5000,15.5000,15.5000,0
HGW,20170425,15.5000,15.5000,15.5000,15.5000,0
HGW,20170426,15.5000,15.5000,15.5000,15.5000,0
HGW,20170427,15.5000,15.5000,15.5000,15.5000,0
HGW,20170428,15.5000,15.5000,15.5000,15.5000,0
HGW,20170503,15.5000,15.5000,15.5000,15.5000,0
HGW,20170504,15.5000,15.5000,15.5000,15.5000,0
HGW,20170505,15.5000,15.5000,15.5000,15.5000,0
HGW,20170508,15.5000,15.5000,15.5000,15.5000,0
HGW,20170509,15.5000,15.5000,15.5000,15.5000,0
HGW,20170510,15.5000,15.5000,15.5000,15.5000,0
HGW,20170511,15.5000,15.5000,15.5000,15.5000,0
HGW,20170512,15.5000,15.5000,15.5000,15.5000,0
HGW,20170515,15.5000,15.5000,15.5000,15.5000,0
HGW,20170516,15.5000,15.5000,15.5000,15.5000,0
HGW,20170517,15.5000,15.5000,15.5000,15.5000,0
HGW,20170518,15.5000,15.5000,15.5000,15.5000,0
HGW,20170519,15.5000,15.5000,15.5000,15.5000,0
HGW,20170522,15.5000,15.5000,15.5000,15.5000,0
HGW,20170523,15.5000,15.5000,15.5000,15.5000,0
HGW,20170524,15.5000,15.5000,15.5000,15.5000,0
HGW,20170525,15.5000,15.5000,15.5000,15.5000,0
HGW,20170526,12.5657,12.5657,12.5657,12.5657,0
HGW,20170529,12.5657,12.5657,12.5657,12.5657,0
HGW,20170530,12.5657,12.5657,12.5657,12.5657,0
HGW,20170531,12.5657,12.5657,12.5657,12.5657,0
HGW,20170601,12.5657,12.5657,12.5657,12.5657,0
HGW,20170602,12.5657,12.5657,12.5657,12.5657,0
HGW,20170605,12.5657,12.5657,12.5657,12.5657,0
HGW,20170606,12.5657,12.5657,12.5657,12.5657,0
HGW,20170607,12.5657,12.5657,12.5657,12.5657,0
HGW,20170608,12.5657,12.5657,12.5657,12.5657,0
HGW,20170609,12.5657,12.5657,12.5657,12.5657,0
HGW,20170612,12.5657,12.5657,12.5657,12.5657,0
HGW,20170613,12.5657,12.5657,12.5657,12.5657,0
HGW,20170614,12.5657,12.5657,12.5657,12.5657,0
HGW,20170615,12.5657,12.5657,12.5657,12.5657,0
HGW,20170616,12.5657,12.5657,12.5657,12.5657,0
HGW,20170619,12.5657,12.5657,12.5657,12.5657,0
HGW,20170620,12.5657,12.5657,12.5657,12.5657,0
HGW,20170621,12.5657,12.5657,12.5657,12.5657,0
HGW,20170622,12.5657,12.5657,12.5657,12.5657,0
HGW,20170623,12.5657,12.5657,12.5657,12.5657,0
HGW,20170626,12.5657,12.5657,12.5657,12.5657,0
HGW,20170627,12.5657,12.5657,12.5657,12.5657,0
HGW,20170628,12.5657,12.5657,12.5657,12.5657,0
HGW,20170629,12.5657,12.5657,12.5657,12.5657,0
HGW,20170630,12.5657,12.5657,12.5657,12.5657,0
HGW,20170703,12.5657,12.5657,12.5657,12.5657,0
HGW,20170704,12.5657,12.5657,12.5657,12.5657,0
HGW,20170705,12.5657,12.5657,12.5657,12.5657,0
HGW,20170706,12.5657,12.5657,12.5657,12.5657,0
HGW,20170707,12.5657,12.5657,12.5657,12.5657,0
HGW,20170710,12.5657,12.5657,12.5657,12.5657,0
HGW,20170711,12.5657,12.5657,12.5657,12.5657,0
HGW,20170712,12.5657,12.5657,12.5657,12.5657,0
HGW,20170713,12.5657,12.5657,12.5657,12.5657,0
HGW,20170714,12.5657,12.5657,12.5657,12.5657,0
HGW,20170717,12.5657,12.5657,12.5657,12.5657,0
HGW,20170718,12.5657,12.5657,12.5657,12.5657,0
HGW,20170719,12.5657,12.5657,12.5657,12.5657,0
HGW,20170720,12.5657,12.5657,12.5657,12.5657,0
HGW,20170721,12.5657,12.5657,12.5657,12.5657,0
HGW,20170724,12.5657,12.5657,12.5657,12.5657,0
HGW,20170725,12.5657,12.5657,12.5657,12.5657,0
HGW,20170726,12.5657,12.5657,12.5657,12.5657,0
HGW,20170727,12.5657,12.5657,12.5657,12.5657,0
HGW,20170728,12.5657,12.5657,12.5657,12.5657,0
HGW,20170731,12.5657,12.5657,12.5657,12.5657,0
HGW,20170801,12.5657,12.5657,12.5657,12.5657,0
HGW,20170802,12.5657,12.5657,12.5657,12.5657,0
HGW,20170803,12.5657,12.5657,12.5657,12.5657,0
HGW,20170804,12.5657,12.5657,12.5657,12.5657,0
HGW,20170807,12.5657,12.5657,12.5657,12.5657,0
HGW,20170808,12.5657,12.5657,12.5657,12.5657,0
HGW,20170809,12.5657,12.5657,12.5657,12.5657,0
HGW,20170810,12.5657,12.5657,12.5657,12.5657,0
HGW,20170811,12.5657,12.5657,12.5657,12.5657,0
