<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HIZ,20180727,19.0000,19.0000,19.0000,19.0000,3000
HIZ,20180730,18.5000,18.5000,18.5000,18.5000,3000
HIZ,20180731,18.5000,19.0000,18.5000,19.0000,2000
HIZ,20180801,16.5000,16.5000,16.5000,16.5000,3000
HIZ,20180802,14.5000,14.5000,14.5000,14.5000,500
HIZ,20180803,13.5000,13.5000,13.5000,13.5000,300
HIZ,20180806,15.5000,15.5000,15.5000,15.5000,300
HIZ,20180807,17.7000,17.7000,17.7000,17.7000,200
HIZ,20180808,20.2000,20.2000,16.0000,16.0000,3200
HIZ,20180809,17.3000,17.3000,17.3000,17.3000,100
HIZ,20180810,14.9000,14.9000,14.9000,14.9000,100
HIZ,20180813,12.8000,12.8000,12.8000,12.8000,2300
HIZ,20180814,13.5000,13.5000,13.5000,13.5000,100
HIZ,20180815,13.5000,13.5000,13.5000,13.5000,0
HIZ,20180816,12.0000,12.0000,12.0000,12.0000,100
HIZ,20180817,12.0000,12.0000,12.0000,12.0000,0
HIZ,20180820,12.0000,12.0000,12.0000,12.0000,100
HIZ,20180821,12.0000,12.0000,12.0000,12.0000,0
HIZ,20180822,12.0000,12.0000,12.0000,12.0000,100
HIZ,20180823,12.0000,12.0000,12.0000,12.0000,100
HIZ,20180824,12.0000,12.0000,12.0000,12.0000,0
HIZ,20180827,10.2000,13.5000,10.2000,12.0000,498900
HIZ,20180828,10.3000,10.3000,10.3000,10.3000,0
HIZ,20180829,10.0000,10.0000,10.0000,10.0000,100
HIZ,20180830,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180831,10.0000,10.0000,10.0000,10.0000,100
HIZ,20180904,10.0000,10.0000,10.0000,10.0000,100
HIZ,20180905,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180906,10.0000,10.0000,10.0000,10.0000,100
HIZ,20180907,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180910,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180911,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180912,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180913,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180914,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180917,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180918,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180919,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180920,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180921,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180924,10.0000,10.0000,10.0000,10.0000,10000
HIZ,20180925,10.0000,10.0000,10.0000,10.0000,0
HIZ,20180926,11.0000,11.0000,11.0000,11.0000,100
HIZ,20180927,11.5000,11.5000,11.5000,11.5000,700
HIZ,20180928,10.0000,10.0000,10.0000,10.0000,100
HIZ,20181001,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181002,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181003,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181004,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181005,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181008,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181009,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181010,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181011,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181012,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181015,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181016,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181017,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181018,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181019,10.0000,10.0000,10.0000,10.0000,0
HIZ,20181022,8.6000,8.6000,8.6000,8.6000,100
HIZ,20181023,7.5000,7.5000,7.5000,7.5000,100
HIZ,20181024,6.6000,7.5000,6.6000,6.6000,136700
HIZ,20181025,6.6000,6.6000,6.6000,6.6000,0
HIZ,20181026,6.8000,6.8000,6.8000,6.8000,20000
HIZ,20181029,6.8000,6.8000,6.8000,6.8000,0
HIZ,20181030,7.8000,7.8000,7.8000,7.8000,100
HIZ,20181031,7.8000,7.8000,7.8000,7.8000,0
HIZ,20181101,7.8000,7.8000,7.8000,7.8000,0
HIZ,20181102,8.9000,8.9000,8.9000,8.9000,100
HIZ,20181105,8.9000,8.9000,8.9000,8.9000,0
