<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HLE,20171114,10.1000,10.1000,10.1000,10.1000,0
HLE,20171115,10.1000,10.1000,10.1000,10.1000,0
HLE,20171116,10.1000,10.1000,10.1000,10.1000,0
HLE,20171117,10.1000,10.1000,10.1000,10.1000,100
HLE,20171120,10.1000,10.1000,10.1000,10.1000,0
HLE,20171121,10.1000,10.1000,10.1000,10.1000,0
HLE,20171122,10.1000,10.1000,10.1000,10.1000,0
HLE,20171123,10.1000,10.1000,10.1000,10.1000,0
HLE,20171124,10.1000,10.1000,10.1000,10.1000,0
HLE,20171127,10.1000,10.1000,10.1000,10.1000,0
HLE,20171128,10.1000,10.1000,10.1000,10.1000,0
HLE,20171129,10.1000,10.1000,10.1000,10.1000,0
HLE,20171130,10.1000,10.1000,10.1000,10.1000,0
HLE,20171201,10.1000,10.1000,10.1000,10.1000,0
HLE,20171204,10.1000,10.1000,10.1000,10.1000,0
HLE,20171205,10.1000,10.1000,10.1000,10.1000,0
HLE,20171206,10.1000,10.1000,10.1000,10.1000,0
HLE,20171207,10.1000,10.1000,10.1000,10.1000,0
HLE,20171208,10.1000,10.1000,10.1000,10.1000,0
HLE,20171211,10.1000,10.1000,10.1000,10.1000,0
HLE,20171212,10.1000,10.1000,10.1000,10.1000,0
HLE,20171213,10.1000,10.1000,10.1000,10.1000,0
HLE,20171214,10.1000,10.1000,10.1000,10.1000,0
HLE,20171215,10.1000,10.1000,10.1000,10.1000,0
HLE,20171218,10.1000,10.1000,10.1000,10.1000,0
HLE,20171219,10.1000,10.1000,10.1000,10.1000,0
HLE,20171220,10.1000,10.1000,10.1000,10.1000,0
HLE,20171221,10.1000,10.1000,10.1000,10.1000,0
HLE,20171222,10.1000,10.1000,10.1000,10.1000,0
HLE,20171225,10.1000,10.1000,10.1000,10.1000,0
HLE,20171226,10.1000,10.1000,10.1000,10.1000,0
HLE,20171227,10.1000,10.1000,10.1000,10.1000,0
HLE,20171228,10.1000,10.1000,10.1000,10.1000,0
HLE,20171229,10.1000,10.1000,10.1000,10.1000,0
HLE,20180102,10.1000,10.1000,10.1000,10.1000,0
HLE,20180103,10.1000,10.1000,10.1000,10.1000,0
HLE,20180104,10.1000,10.1000,10.1000,10.1000,0
HLE,20180105,10.1000,10.1000,10.1000,10.1000,0
HLE,20180108,10.1000,10.1000,10.1000,10.1000,0
HLE,20180109,10.1000,10.1000,10.1000,10.1000,0
HLE,20180110,10.1000,10.1000,10.1000,10.1000,0
HLE,20180111,10.1000,10.1000,10.1000,10.1000,0
HLE,20180112,10.1000,10.1000,10.1000,10.1000,0
HLE,20180115,10.1000,10.1000,10.1000,10.1000,0
HLE,20180116,10.1000,10.1000,10.1000,10.1000,0
HLE,20180117,10.1000,10.1000,10.1000,10.1000,0
HLE,20180118,10.1000,10.1000,10.1000,10.1000,0
HLE,20180119,10.1000,10.1000,10.1000,10.1000,0
HLE,20180122,10.1000,10.1000,10.1000,10.1000,0
HLE,20180123,10.1000,10.1000,10.1000,10.1000,0
HLE,20180124,10.1000,10.1000,10.1000,10.1000,0
HLE,20180125,10.1000,10.1000,10.1000,10.1000,0
HLE,20180126,10.1000,10.1000,10.1000,10.1000,0
HLE,20180129,10.1000,10.1000,10.1000,10.1000,0
HLE,20180130,10.1000,10.1000,10.1000,10.1000,0
HLE,20180131,10.1000,10.1000,10.1000,10.1000,0
HLE,20180201,10.1000,10.1000,10.1000,10.1000,0
HLE,20180202,10.1000,10.1000,10.1000,10.1000,0
HLE,20180205,10.1000,10.1000,10.1000,10.1000,0
HLE,20180206,10.1000,10.1000,10.1000,10.1000,0
HLE,20180207,10.1000,10.1000,10.1000,10.1000,0
HLE,20180208,10.1000,10.1000,10.1000,10.1000,0
HLE,20180209,10.1000,10.1000,10.1000,10.1000,0
HLE,20180212,10.1000,10.1000,10.1000,10.1000,0
HLE,20180213,10.1000,10.1000,10.1000,10.1000,0
HLE,20180221,10.1000,10.1000,10.1000,10.1000,0
HLE,20180222,10.1000,10.1000,10.1000,10.1000,0
HLE,20180223,10.1000,10.1000,10.1000,10.1000,0
HLE,20180226,10.1000,10.1000,10.1000,10.1000,0
HLE,20180227,10.1000,10.1000,10.1000,10.1000,0
HLE,20180228,10.1000,10.1000,10.1000,10.1000,0
HLE,20180301,10.1000,10.1000,10.1000,10.1000,0
HLE,20180302,10.1000,10.1000,10.1000,10.1000,0
HLE,20180305,10.1000,10.1000,10.1000,10.1000,0
HLE,20180306,10.1000,10.1000,10.1000,10.1000,0
HLE,20180307,10.1000,10.1000,10.1000,10.1000,0
HLE,20180308,10.1000,10.1000,10.1000,10.1000,0
HLE,20180309,10.1000,10.1000,10.1000,10.1000,0
HLE,20180312,10.1000,10.1000,10.1000,10.1000,0
HLE,20180313,10.1000,10.1000,10.1000,10.1000,0
HLE,20180314,10.1000,10.1000,10.1000,10.1000,0
HLE,20180315,10.1000,10.1000,10.1000,10.1000,0
HLE,20180316,10.1000,10.1000,10.1000,10.1000,0
HLE,20180319,10.1000,10.1000,10.1000,10.1000,0
HLE,20180320,10.1000,10.1000,10.1000,10.1000,0
HLE,20180321,10.1000,10.1000,10.1000,10.1000,0
HLE,20180322,10.1000,10.1000,10.1000,10.1000,0
HLE,20180323,10.1000,10.1000,10.1000,10.1000,0
HLE,20180326,10.1000,10.1000,10.1000,10.1000,0
HLE,20180327,10.1000,10.1000,10.1000,10.1000,0
HLE,20180328,10.1000,10.1000,10.1000,10.1000,0
HLE,20180329,10.1000,10.1000,10.1000,10.1000,0
HLE,20180330,10.1000,10.1000,10.1000,10.1000,0
HLE,20180402,10.1000,10.1000,10.1000,10.1000,0
HLE,20180403,10.1000,10.1000,10.1000,10.1000,0
HLE,20180404,10.1000,10.1000,10.1000,10.1000,0
HLE,20180405,10.1000,10.1000,10.1000,10.1000,0
HLE,20180406,10.1000,10.1000,10.1000,10.1000,0
HLE,20180409,10.1000,10.1000,10.1000,10.1000,0
HLE,20180410,10.1000,10.1000,10.1000,10.1000,0
HLE,20180411,10.1000,10.1000,10.1000,10.1000,0
HLE,20180412,10.1000,10.1000,10.1000,10.1000,0
HLE,20180413,10.1000,10.1000,10.1000,10.1000,0
HLE,20180416,10.1000,10.1000,10.1000,10.1000,0
HLE,20180417,10.1000,10.1000,10.1000,10.1000,0
HLE,20180418,10.1000,10.1000,10.1000,10.1000,0
HLE,20180419,10.1000,10.1000,10.1000,10.1000,0
HLE,20180420,10.1000,10.1000,10.1000,10.1000,0
HLE,20180423,10.1000,10.1000,10.1000,10.1000,0
HLE,20180424,10.1000,10.1000,10.1000,10.1000,0
HLE,20180426,10.1000,10.1000,10.1000,10.1000,0
HLE,20180427,10.1000,10.1000,10.1000,10.1000,0
HLE,20180502,10.1000,10.1000,10.1000,10.1000,0
HLE,20180503,10.1000,10.1000,10.1000,10.1000,0
HLE,20180504,10.1000,10.1000,10.1000,10.1000,0
HLE,20180507,10.1000,10.1000,10.1000,10.1000,0
HLE,20180508,10.1000,10.1000,10.1000,10.1000,0
HLE,20180509,10.1000,10.1000,10.1000,10.1000,0
HLE,20180510,10.1000,10.1000,10.1000,10.1000,0
HLE,20180511,10.1000,10.1000,10.1000,10.1000,0
HLE,20180514,10.1000,10.1000,10.1000,10.1000,0
HLE,20180515,10.1000,10.1000,10.1000,10.1000,0
HLE,20180516,10.1000,10.1000,10.1000,10.1000,0
HLE,20180517,10.1000,10.1000,10.1000,10.1000,0
HLE,20180518,10.1000,10.1000,10.1000,10.1000,0
HLE,20180521,10.1000,10.1000,10.1000,10.1000,0
HLE,20180522,10.1000,10.1000,10.1000,10.1000,0
HLE,20180523,10.1000,10.1000,10.1000,10.1000,0
HLE,20180524,10.1000,10.1000,10.1000,10.1000,0
HLE,20180525,10.1000,10.1000,10.1000,10.1000,0
HLE,20180528,10.1000,10.1000,10.1000,10.1000,0
HLE,20180529,10.1000,10.1000,10.1000,10.1000,0
HLE,20180530,10.1000,10.1000,10.1000,10.1000,0
HLE,20180531,10.1000,10.1000,10.1000,10.1000,0
HLE,20180601,10.1000,10.1000,10.1000,10.1000,0
HLE,20180604,10.1000,10.1000,10.1000,10.1000,0
HLE,20180605,10.1000,10.1000,10.1000,10.1000,0
HLE,20180606,10.1000,10.1000,10.1000,10.1000,0
HLE,20180607,10.1000,10.1000,10.1000,10.1000,0
HLE,20180608,10.1000,10.1000,10.1000,10.1000,0
HLE,20180611,10.1000,10.1000,10.1000,10.1000,0
HLE,20180612,10.1000,10.1000,10.1000,10.1000,0
HLE,20180613,10.1000,10.1000,10.1000,10.1000,0
HLE,20180614,10.1000,10.1000,10.1000,10.1000,0
HLE,20180615,10.1000,10.1000,10.1000,10.1000,0
HLE,20180618,10.1000,10.1000,10.1000,10.1000,0
HLE,20180619,10.1000,10.1000,10.1000,10.1000,0
HLE,20180620,10.1000,10.1000,10.1000,10.1000,0
HLE,20180621,10.1000,10.1000,10.1000,10.1000,0
HLE,20180622,10.1000,10.1000,10.1000,10.1000,0
HLE,20180625,10.1000,10.1000,10.1000,10.1000,0
HLE,20180626,10.1000,10.1000,10.1000,10.1000,0
HLE,20180627,10.1000,10.1000,10.1000,10.1000,0
HLE,20180628,10.1000,10.1000,10.1000,10.1000,0
HLE,20180629,10.1000,10.1000,10.1000,10.1000,0
HLE,20180702,10.1000,10.1000,10.1000,10.1000,0
HLE,20180703,10.1000,10.1000,10.1000,10.1000,0
HLE,20180704,10.1000,10.1000,10.1000,10.1000,0
HLE,20180705,10.1000,10.1000,10.1000,10.1000,0
HLE,20180706,10.1000,10.1000,10.1000,10.1000,0
HLE,20180709,10.1000,10.1000,10.1000,10.1000,0
HLE,20180710,10.1000,10.1000,10.1000,10.1000,0
HLE,20180711,10.1000,10.1000,10.1000,10.1000,0
HLE,20180712,10.1000,10.1000,10.1000,10.1000,0
HLE,20180713,5.5669,5.5669,5.5669,5.5669,0
HLE,20180716,5.5669,5.5669,5.5669,5.5669,0
HLE,20180717,5.5669,5.5669,5.5669,5.5669,0
HLE,20180718,5.5669,5.5669,5.5669,5.5669,0
HLE,20180719,5.5669,5.5669,5.5669,5.5669,0
HLE,20180720,5.5669,5.5669,5.5669,5.5669,0
HLE,20180723,5.5669,5.5669,5.5669,5.5669,0
HLE,20180724,5.5669,5.5669,5.5669,5.5669,0
HLE,20180725,5.5669,5.5669,5.5669,5.5669,0
HLE,20180726,5.5669,5.5669,5.5669,5.5669,0
HLE,20180727,5.5669,5.5669,5.5669,5.5669,0
HLE,20180730,5.5669,5.5669,5.5669,5.5669,0
HLE,20180731,5.5669,5.5669,5.5669,5.5669,0
HLE,20180801,5.5669,5.5669,5.5669,5.5669,0
HLE,20180802,5.5669,5.5669,5.5669,5.5669,0
HLE,20180803,5.5669,5.5669,5.5669,5.5669,0
HLE,20180806,5.5669,5.5669,5.5669,5.5669,0
HLE,20180807,5.5669,5.5669,5.5669,5.5669,0
HLE,20180808,5.5669,5.5669,5.5669,5.5669,0
HLE,20180809,5.5669,5.5669,5.5669,5.5669,0
HLE,20180810,5.5669,5.5669,5.5669,5.5669,0
HLE,20180813,5.5669,5.5669,5.5669,5.5669,0
HLE,20180814,5.5669,5.5669,5.5669,5.5669,0
HLE,20180815,5.5669,5.5669,5.5669,5.5669,0
HLE,20180816,5.5669,5.5669,5.5669,5.5669,0
HLE,20180817,5.5669,5.5669,5.5669,5.5669,0
HLE,20180820,5.5669,5.5669,5.5669,5.5669,0
HLE,20180821,5.5669,5.5669,5.5669,5.5669,0
HLE,20180822,5.5669,5.5669,5.5669,5.5669,0
HLE,20180823,5.5669,5.5669,5.5669,5.5669,0
HLE,20180824,5.5669,5.5669,5.5669,5.5669,0
HLE,20180827,5.5669,5.5669,5.5669,5.5669,0
HLE,20180828,5.5669,5.5669,5.5669,5.5669,0
HLE,20180829,5.5669,5.5669,5.5669,5.5669,0
HLE,20180830,5.5669,5.5669,5.5669,5.5669,0
HLE,20180831,5.5669,5.5669,5.5669,5.5669,0
HLE,20180904,5.5669,5.5669,5.5669,5.5669,0
HLE,20180905,5.5669,5.5669,5.5669,5.5669,0
HLE,20180906,5.5669,5.5669,5.5669,5.5669,0
HLE,20180907,5.5669,5.5669,5.5669,5.5669,0
HLE,20180910,5.5669,5.5669,5.5669,5.5669,0
HLE,20180911,5.8599,5.8599,5.8599,5.8599,25000
HLE,20180912,5.8599,5.8599,5.8599,5.8599,0
HLE,20180913,5.8599,5.8599,5.8599,5.8599,0
HLE,20180914,5.8599,5.8599,5.8599,5.8599,0
HLE,20180917,5.8599,5.8599,5.8599,5.8599,0
HLE,20180918,5.8599,5.8599,5.8599,5.8599,0
HLE,20180919,5.8599,5.8599,5.8599,5.8599,0
HLE,20180920,5.8599,5.8599,5.8599,5.8599,0
HLE,20180921,5.8599,5.8599,5.8599,5.8599,0
HLE,20180924,5.8599,5.8599,5.8599,5.8599,0
HLE,20180925,5.8599,5.8599,5.8599,5.8599,0
HLE,20180926,5.8599,5.8599,5.8599,5.8599,0
HLE,20180927,5.8599,5.8599,5.8599,5.8599,0
HLE,20180928,5.8599,5.8599,5.8599,5.8599,0
HLE,20181001,5.8599,5.8599,5.8599,5.8599,0
HLE,20181002,5.8599,5.8599,5.8599,5.8599,0
HLE,20181003,5.8599,5.8599,5.8599,5.8599,0
HLE,20181004,5.8599,5.8599,5.8599,5.8599,0
HLE,20181005,5.8599,5.8599,5.8599,5.8599,0
HLE,20181008,5.8599,5.8599,5.8599,5.8599,0
HLE,20181009,5.8599,5.8599,5.8599,5.8599,0
HLE,20181010,5.8599,5.8599,5.8599,5.8599,0
HLE,20181011,5.8599,5.8599,5.8599,5.8599,0
HLE,20181012,5.8599,5.8599,5.8599,5.8599,0
HLE,20181015,5.8599,5.8599,5.8599,5.8599,0
HLE,20181016,5.8599,5.8599,5.8599,5.8599,0
HLE,20181017,5.8599,5.8599,5.8599,5.8599,0
HLE,20181018,5.8599,5.8599,5.8599,5.8599,0
HLE,20181019,5.8599,5.8599,5.8599,5.8599,0
HLE,20181022,5.8599,5.8599,5.8599,5.8599,0
HLE,20181023,5.8599,5.8599,5.8599,5.8599,0
HLE,20181024,5.8599,5.8599,5.8599,5.8599,0
HLE,20181025,5.8599,5.8599,5.8599,5.8599,0
HLE,20181026,5.8599,5.8599,5.8599,5.8599,0
HLE,20181029,5.8599,5.8599,5.8599,5.8599,0
