<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HLG,20090909,18.6955,18.6955,18.6955,18.6955,45000
HLG,20090910,19.6302,19.6302,19.6302,19.6302,15020
HLG,20090911,20.5650,20.5650,20.5650,20.5650,78480
HLG,20090914,21.5517,21.5517,21.5517,21.5517,45000
HLG,20090915,22.5904,22.5904,22.5904,22.5904,30230
HLG,20090916,23.6809,23.6809,23.6809,23.6809,135780
HLG,20090917,24.8234,24.8234,24.6676,24.8234,215370
HLG,20090918,24.8234,24.8234,23.6290,23.6290,83390
HLG,20090921,22.4865,23.6290,22.4865,22.4865,215040
HLG,20090922,21.3959,21.5517,21.3959,21.3959,221640
HLG,20090923,21.3959,22.4346,21.3959,22.4346,199900
HLG,20090924,23.5251,23.5251,22.4346,23.3693,95870
HLG,20090925,22.5904,23.0058,22.5904,22.8500,47040
HLG,20090928,22.3307,22.8500,21.9152,21.9152,127710
HLG,20090929,21.9152,21.9152,21.0324,21.2921,54800
HLG,20090930,20.8247,21.2921,20.7727,20.8247,66130
HLG,20091001,20.4092,20.7727,19.7860,19.7860,49420
HLG,20091002,18.7993,18.7993,18.7993,18.7993,23230
HLG,20091005,18.2800,19.7341,18.2800,18.8513,52630
HLG,20091006,19.7860,19.7860,19.5264,19.7860,67570
HLG,20091007,20.7727,20.7727,20.7727,20.7727,56180
HLG,20091008,21.2401,21.2401,20.2534,20.2534,23660
HLG,20091009,21.1363,21.1363,19.8899,20.7727,50930
HLG,20091012,20.7727,20.7727,19.8899,20.2534,61370
HLG,20091013,19.7341,19.8899,19.4744,19.4744,70070
HLG,20091014,19.6822,19.9938,19.5783,19.7341,44520
HLG,20091015,19.7341,20.4092,19.7341,19.7341,54800
HLG,20091016,19.4744,19.7341,19.4744,19.4744,42410
HLG,20091019,19.0071,19.2148,18.9551,19.0590,64600
HLG,20091020,20.0067,20.0067,19.9014,20.0067,28790
HLG,20091021,20.2700,21.0071,20.0067,21.0071,201540
HLG,20091022,21.0071,21.0071,20.5332,20.7965,70210
HLG,20091023,20.7965,20.7965,20.0067,20.0067,55520
HLG,20091026,19.1644,19.4802,19.1644,19.2170,51300
HLG,20091027,18.7432,19.2696,18.7432,19.1644,26400
HLG,20091028,19.9541,20.1120,19.4802,20.1120,59060
HLG,20091029,20.0594,20.0594,19.1117,19.7961,22820
HLG,20091030,19.9014,19.9014,19.4802,19.5855,10600
HLG,20091102,18.6905,18.7432,18.6379,18.6379,7820
HLG,20091103,17.7955,17.7955,17.7428,17.7428,9140
HLG,20091104,16.9004,18.0061,16.9004,17.0057,21100
HLG,20091105,16.1633,17.6375,16.1633,17.6375,13630
HLG,20091106,18.3220,18.3220,16.7951,16.7951,14370
