<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HMR,20221010,7.2478,7.2489,7.2478,7.2489,100
HMR,20221011,6.9869,7.2489,6.7249,7.2489,3100
HMR,20221012,7.2489,7.2489,7.2489,7.2489,0
HMR,20221013,7.3362,7.3362,7.3362,7.3362,200
HMR,20221014,7.4235,7.4235,7.1615,7.3362,600
HMR,20221017,6.8122,7.3362,6.8122,7.3362,2300
HMR,20221018,7.3362,7.3362,7.3362,7.3362,0
HMR,20221019,7.4235,7.4236,7.4235,7.4236,100
HMR,20221020,7.4236,7.4236,7.4236,7.4236,0
HMR,20221021,6.9869,6.9869,6.9869,6.9869,4900
HMR,20221024,7.3362,7.3362,6.2882,6.9869,26001
HMR,20221025,6.4629,6.8996,6.3755,6.8996,2900
HMR,20221026,6.5503,6.6376,6.4629,6.6376,3200
HMR,20221027,6.3756,6.6376,6.3756,6.6376,1500
HMR,20221028,6.8996,6.8996,6.4629,6.7249,700
HMR,20221031,6.8996,6.8996,6.4629,6.7249,700
HMR,20221101,6.5502,6.5502,6.3756,6.5502,2100
HMR,20221102,6.3755,6.5502,6.2882,6.5502,1100
HMR,20221103,6.5502,6.5502,6.5502,6.5502,0
HMR,20221104,6.5502,6.5502,6.2009,6.5502,2000
HMR,20221107,6.2009,6.3755,6.2009,6.2009,7300
HMR,20221108,5.8516,6.1136,5.6769,6.1135,22700
HMR,20221109,5.8515,6.0262,5.6768,6.0262,9700
HMR,20221110,5.6769,5.7642,5.5022,5.5022,30400
HMR,20221111,5.5022,6.0262,5.5022,6.0262,2400
HMR,20221114,6.3755,6.3755,5.6769,5.7642,900
HMR,20221115,5.2402,5.8515,5.2402,5.8515,1600
HMR,20221116,5.3275,5.6768,5.3275,5.5895,3200
HMR,20221117,6.0262,6.0262,5.2402,5.5895,3000
HMR,20221118,5.9388,5.9388,5.3275,5.5022,25000
HMR,20221121,5.8515,5.8515,5.3275,5.4148,1100
HMR,20221122,5.8515,5.8515,5.5021,5.5895,5200
HMR,20221123,5.7642,5.7642,5.4148,5.6769,3802
HMR,20221124,5.6769,5.6769,5.6769,5.6769,0
HMR,20221125,6.0262,6.0262,6.0262,6.0262,100
HMR,20221128,6.4629,6.4629,5.5022,6.2009,12801
HMR,20221129,6.6376,6.6376,5.7642,6.1135,20500
HMR,20221130,6.3755,6.3755,5.6768,6.0262,22686
HMR,20221201,5.7642,6.3755,5.7642,6.3755,19700
HMR,20221202,5.9388,6.2882,5.9388,6.2882,16200
