<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HNP,20161220,28.0000,28.0000,28.0000,28.0000,1300
HNP,20161221,32.2000,32.2000,32.2000,32.2000,3500
HNP,20161222,37.0000,37.0000,37.0000,37.0000,1800
HNP,20161223,42.5000,42.5000,37.0000,37.0000,11900
HNP,20161226,40.3000,40.3000,40.3000,40.3000,0
HNP,20161227,34.3000,34.3000,34.3000,34.3000,3100
HNP,20161228,33.0000,33.0000,29.2000,29.2000,1800
HNP,20161229,25.8000,25.8000,25.8000,25.8000,6500
HNP,20161230,23.0000,23.0000,23.0000,23.0000,3200
HNP,20170103,23.0000,23.0000,23.0000,23.0000,0
HNP,20170104,24.7000,24.7000,20.0000,20.0000,600
HNP,20170105,21.5000,23.5000,21.5000,23.5000,2200
HNP,20170106,25.7000,25.7000,23.6000,25.7000,2750
HNP,20170109,25.2000,25.2000,25.2000,25.2000,200
HNP,20170110,25.2000,25.2000,25.2000,25.2000,0
HNP,20170111,22.3000,22.3000,22.3000,22.3000,100
HNP,20170112,22.3000,22.3000,22.3000,22.3000,0
HNP,20170113,16.8264,16.8264,14.9013,14.9013,400
HNP,20170116,14.3309,14.3309,14.3309,14.3309,100
HNP,20170117,16.4699,16.4699,16.4699,16.4699,1100
HNP,20170118,14.6874,14.6874,14.6874,14.6874,100
HNP,20170119,16.3273,16.3273,16.3273,16.3273,100
HNP,20170120,16.3273,16.3273,16.3273,16.3273,0
HNP,20170123,16.3273,16.3273,16.3273,16.3273,0
HNP,20170124,14.9726,14.9726,14.4022,14.8300,3100
HNP,20170125,14.6874,14.9726,14.6874,14.9726,1100
HNP,20170202,14.9726,14.9726,14.9726,14.9726,400
HNP,20170203,14.9726,14.9726,14.9726,14.9726,0
HNP,20170206,14.5448,14.5448,14.4735,14.4735,2200
HNP,20170207,14.4735,14.6161,14.4735,14.4735,3800
HNP,20170208,14.3309,14.9013,14.2596,14.9013,2100
HNP,20170209,16.3986,16.3986,14.3309,15.6143,2500
HNP,20170210,16.7551,16.7551,16.7551,16.7551,100
HNP,20170213,16.7551,16.7551,14.6874,14.6874,1500
HNP,20170214,16.3273,16.3273,16.3273,16.3273,200
HNP,20170215,14.9726,14.9726,14.9726,14.9726,5100
HNP,20170216,15.6856,15.6856,14.4022,15.2578,2440
HNP,20170217,15.6143,15.6143,14.2596,14.9013,4900
HNP,20170220,14.4735,15.4717,14.4735,14.9726,5400
HNP,20170221,14.9726,14.9726,14.9726,14.9726,1700
HNP,20170222,15.1865,15.2578,15.1865,15.2578,1500
HNP,20170223,14.9726,14.9726,14.9013,14.9726,7600
HNP,20170224,14.6874,15.1152,14.6874,14.9726,1600
HNP,20170227,15.1152,15.1865,15.1152,15.1865,4000
HNP,20170228,17.3255,17.3255,14.9726,14.9726,300
HNP,20170301,18.0384,18.0384,15.6856,15.7569,6100
HNP,20170302,15.8282,16.3273,15.8282,16.3273,1100
HNP,20170303,15.0439,16.3273,14.9726,14.9726,12400
HNP,20170306,15.1865,17.0403,15.1865,15.9708,13300
HNP,20170307,16.6125,16.6125,16.3986,16.3986,4200
HNP,20170308,16.2560,16.5412,15.4004,15.4717,4700
HNP,20170309,16.3273,16.3273,15.6143,15.6143,2100
HNP,20170310,16.2560,16.2560,15.6856,15.6856,2200
HNP,20170313,17.0403,17.0403,15.6856,15.6856,8900
HNP,20170314,16.3273,16.6838,15.8282,16.3986,4000
HNP,20170315,16.7551,16.7551,16.0421,16.0421,2600
HNP,20170316,16.6838,16.6838,15.8995,16.6838,6330
HNP,20170317,16.6838,16.6838,16.3986,16.3986,1100
HNP,20170320,16.3986,18.8227,16.3986,18.8227,14400
HNP,20170321,16.5412,16.7551,16.5412,16.6838,1120
HNP,20170322,15.1865,18.6088,15.1865,16.7551,1300
HNP,20170323,16.5412,18.8940,16.5412,18.8940,3810
HNP,20170324,16.8264,18.5375,16.8264,18.1097,7200
HNP,20170327,15.4717,17.3255,15.4717,17.3255,1200
HNP,20170328,18.5375,18.6088,16.4699,18.1810,14600
HNP,20170329,19.2505,19.2505,18.4662,18.4662,2290
HNP,20170330,19.1079,19.8922,18.8940,19.6070,4300
HNP,20170331,19.3931,19.6070,19.3218,19.3218,11950
HNP,20170403,19.3218,19.8922,19.3218,19.4644,7600
HNP,20170404,19.4644,19.4644,19.4644,19.4644,300
HNP,20170405,19.3931,19.3931,18.9653,18.9653,7800
HNP,20170407,17.1829,19.1792,17.1829,19.1792,1400
