<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HPD,20150611,4.4778,4.4778,4.4778,4.4778,0
HPD,20150612,4.4778,4.4778,4.4778,4.4778,0
HPD,20150615,4.4778,4.4778,4.4778,4.4778,0
HPD,20150616,4.4778,4.4778,4.4778,4.4778,0
HPD,20150617,4.4778,4.4778,4.4778,4.4778,0
HPD,20150618,4.4778,4.4778,4.4778,4.4778,0
HPD,20150619,4.4778,4.4778,4.4778,4.4778,0
HPD,20150622,4.4778,4.4778,4.4778,4.4778,0
HPD,20150623,5.5439,6.1837,5.5439,6.1837,2000
HPD,20150624,5.8852,5.8852,5.8851,5.8851,0
HPD,20150625,5.8851,5.8851,5.8851,5.8851,0
HPD,20150626,5.9704,5.9704,5.9704,5.9704,19000
HPD,20150629,5.4160,5.4160,5.4160,5.4160,4900
HPD,20150630,5.4160,5.4160,5.4160,5.4160,0
HPD,20150701,4.7763,4.7763,4.7763,4.7763,3500
HPD,20150702,4.7763,4.7763,4.7763,4.7763,0
HPD,20150703,5.4586,5.4587,5.4586,5.4587,100
HPD,20150706,4.9043,4.9043,4.9043,4.9043,3000
HPD,20150707,5.1602,5.1602,5.1602,5.1602,100
HPD,20150708,5.0749,5.1602,5.0749,5.1602,11500
HPD,20150709,5.3308,5.3308,5.3307,5.3307,100
HPD,20150710,4.9895,4.9896,4.9895,4.9896,100
HPD,20150713,5.3308,5.3308,5.1602,5.1602,3500
HPD,20150714,5.2028,5.2028,5.2028,5.2028,2500
HPD,20150715,5.1175,5.1175,4.4352,4.4778,22800
HPD,20150716,4.9043,5.1602,4.9043,5.1602,2300
HPD,20150717,4.4352,4.4352,4.4352,4.4352,1500
HPD,20150720,4.9043,5.0749,4.6058,5.0749,2404200
HPD,20150721,5.2881,5.2881,5.2881,5.2881,6300
HPD,20150722,4.9043,5.6293,4.9043,5.5440,45100
HPD,20150723,5.0322,5.5440,4.9043,5.5440,65400
