<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HPI,20171005,22.4000,22.4000,22.4000,22.4000,100
HPI,20171006,25.7000,25.7000,25.7000,25.7000,100
HPI,20171009,29.5000,29.5000,29.5000,29.5000,100
HPI,20171010,33.9000,33.9000,33.9000,33.9000,6100
HPI,20171011,38.9000,38.9000,33.9000,33.9000,776
HPI,20171012,38.2000,38.2000,38.2000,38.2000,300
HPI,20171013,34.9000,34.9000,32.5000,32.6000,800
HPI,20171016,33.4000,33.4000,33.4000,33.4000,0
HPI,20171017,33.4000,33.4000,33.4000,33.4000,0
HPI,20171018,33.4000,33.4000,33.4000,33.4000,0
HPI,20171019,33.4000,33.4000,33.4000,33.4000,0
HPI,20171020,33.4000,33.4000,33.4000,33.4000,0
HPI,20171023,28.4000,28.4000,28.4000,28.4000,200
HPI,20171024,28.4000,28.4000,28.4000,28.4000,100
HPI,20171025,28.4000,28.4000,28.4000,28.4000,100
HPI,20171026,28.4000,28.4000,28.4000,28.4000,0
HPI,20171027,28.4000,28.4000,28.4000,28.4000,0
HPI,20171030,28.4000,28.4000,28.4000,28.4000,0
HPI,20171031,28.4000,28.4000,28.4000,28.4000,0
HPI,20171101,28.4000,28.4000,28.4000,28.4000,0
HPI,20171102,28.4000,28.4000,28.4000,28.4000,0
HPI,20171103,28.4000,28.4000,28.4000,28.4000,0
HPI,20171106,28.4000,28.4000,28.4000,28.4000,0
HPI,20171107,28.4000,28.4000,28.4000,28.4000,0
HPI,20171108,27.0000,27.0000,27.0000,27.0000,120
HPI,20171109,27.0000,27.0000,27.0000,27.0000,10
HPI,20171110,27.0000,27.0000,27.0000,27.0000,10
HPI,20171113,23.0000,23.0000,23.0000,23.0000,300
HPI,20171114,20.0000,20.0000,19.6000,19.6000,400
HPI,20171115,19.7000,19.7000,19.7000,19.7000,10
HPI,20171116,16.9000,16.9000,16.9000,16.9000,102
HPI,20171117,16.9000,16.9000,16.9000,16.9000,10
HPI,20171120,16.9000,16.9000,16.9000,16.9000,10
HPI,20171121,16.9000,16.9000,16.9000,16.9000,0
HPI,20171122,15.4000,16.0000,15.4000,16.0000,404
HPI,20171123,16.9000,17.9000,16.9000,17.9000,300
HPI,20171124,17.6000,17.6000,17.6000,17.6000,0
HPI,20171127,17.6000,17.6000,17.6000,17.6000,0
HPI,20171128,17.6000,17.6000,17.6000,17.6000,0
HPI,20171129,20.0000,20.0000,20.0000,20.0000,100
HPI,20171130,20.0000,20.0000,20.0000,20.0000,0
HPI,20171201,20.0000,20.0000,20.0000,20.0000,0
HPI,20171204,20.0000,20.0000,20.0000,20.0000,1000
HPI,20171205,20.0000,20.0000,20.0000,20.0000,0
HPI,20171206,20.0000,20.0000,20.0000,20.0000,0
HPI,20171207,20.0000,20.0000,20.0000,20.0000,0
HPI,20171208,20.0000,20.0000,20.0000,20.0000,0
HPI,20171211,20.0000,20.0000,20.0000,20.0000,0
HPI,20171212,20.0000,20.0000,20.0000,20.0000,0
HPI,20171213,20.0000,20.0000,20.0000,20.0000,0
HPI,20171214,20.0000,20.0000,20.0000,20.0000,0
HPI,20171215,20.0000,20.0000,20.0000,20.0000,0
HPI,20171218,20.0000,20.0000,20.0000,20.0000,0
HPI,20171219,20.0000,20.0000,20.0000,20.0000,0
HPI,20171220,20.0000,20.0000,20.0000,20.0000,0
HPI,20171221,20.0000,20.0000,20.0000,20.0000,0
HPI,20171222,20.0000,20.0000,20.0000,20.0000,0
HPI,20171225,20.0000,20.0000,20.0000,20.0000,0
HPI,20171226,20.0000,20.0000,20.0000,20.0000,0
HPI,20171227,20.0000,20.0000,20.0000,20.0000,0
HPI,20171228,20.0000,20.0000,20.0000,20.0000,0
HPI,20171229,20.0000,20.0000,20.0000,20.0000,0
HPI,20180102,20.0000,20.0000,20.0000,20.0000,0
HPI,20180103,20.0000,20.0000,20.0000,20.0000,0
HPI,20180104,20.0000,20.0000,20.0000,20.0000,0
HPI,20180105,20.0000,20.0000,20.0000,20.0000,0
