<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HPM,20160118,13.6000,13.6000,12.4000,13.6000,18000
HPM,20160119,14.1000,14.1000,14.1000,14.1000,500
HPM,20160120,15.5000,15.5000,15.5000,15.5000,500
HPM,20160121,15.6000,15.7000,15.6000,15.7000,300
HPM,20160122,16.0000,16.0000,16.0000,16.0000,1000
HPM,20160125,16.3000,16.4000,16.3000,16.4000,1000
HPM,20160126,16.8000,16.8000,16.8000,16.8000,500
HPM,20160127,17.0000,17.0000,17.0000,17.0000,500
HPM,20160128,17.3000,17.3000,17.3000,17.3000,1200
HPM,20160129,17.4000,17.6000,17.4000,17.6000,500
HPM,20160201,17.9000,17.9000,17.9000,17.9000,400
HPM,20160202,18.1000,19.6000,18.1000,18.2000,600
HPM,20160203,18.3000,18.5000,18.3000,18.5000,300
HPM,20160204,19.0000,19.0000,18.5000,18.5000,300
HPM,20160205,18.5000,18.7000,18.5000,18.5000,1400
HPM,20160215,18.4000,18.5000,18.4000,18.5000,600
HPM,20160216,18.5000,18.5000,18.5000,18.5000,100
HPM,20160217,18.0000,18.0000,18.0000,18.0000,600
HPM,20160218,17.4000,17.5000,17.4000,17.5000,600
HPM,20160219,17.4000,17.5000,17.4000,17.5000,1100
HPM,20160222,17.0000,17.2000,17.0000,17.0000,1700
HPM,20160223,16.5000,16.6000,16.5000,16.6000,1300
HPM,20160224,16.0000,16.2000,16.0000,16.0000,1300
HPM,20160225,16.1000,16.1000,16.0000,16.0000,1200
HPM,20160226,16.1000,16.1000,15.5000,15.5000,500
HPM,20160229,14.9000,15.0000,14.9000,14.9000,1700
HPM,20160301,14.5000,14.5000,14.5000,14.5000,900
HPM,20160302,14.7000,14.9000,14.7000,14.7000,1900
HPM,20160303,13.7000,15.0000,13.7000,14.9000,2000
HPM,20160304,15.0000,15.1000,15.0000,15.0000,2100
HPM,20160307,15.1000,15.1000,15.1000,15.1000,2000
HPM,20160308,15.2000,15.2000,15.2000,15.2000,2000
HPM,20160309,15.3000,15.3000,15.3000,15.3000,2200
HPM,20160310,15.4000,15.4000,15.4000,15.4000,2100
HPM,20160311,15.5000,15.6000,15.4000,15.5000,2300
HPM,20160314,15.6000,15.9000,15.4000,15.6000,2300
HPM,20160315,15.6000,16.4000,15.5000,15.6000,2100
HPM,20160316,15.8000,15.8000,15.8000,15.8000,1000
HPM,20160317,16.0000,16.0000,15.9000,15.9000,800
HPM,20160318,16.1000,16.1000,16.1000,16.1000,2500
HPM,20160321,16.4000,16.4000,16.3000,16.4000,2100
HPM,20160322,16.6000,16.6000,16.5000,16.6000,1600
