<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HPW,20161121,7.1947,7.1947,7.1947,7.1947,0
HPW,20161122,7.1947,7.1947,7.1947,7.1947,0
HPW,20161123,7.1947,7.1947,7.1947,7.1947,0
HPW,20161124,7.1947,7.1947,7.1947,7.1947,0
HPW,20161125,7.1947,7.1947,7.1947,7.1947,0
HPW,20161128,7.1947,7.1947,7.1947,7.1947,0
HPW,20161129,7.1947,7.1947,7.1947,7.1947,0
HPW,20161130,7.1947,7.1947,7.1947,7.1947,0
HPW,20161201,7.1947,7.1947,7.1947,7.1947,0
HPW,20161202,7.1947,7.1947,7.1947,7.1947,0
HPW,20161205,7.1947,7.1947,7.1947,7.1947,0
HPW,20161206,7.1947,7.1947,7.1947,7.1947,0
HPW,20161207,4.5224,4.5224,4.5224,4.5224,5800
HPW,20161208,4.5224,4.5224,4.5224,4.5224,0
HPW,20161209,4.4539,4.4539,4.4539,4.4539,2200
HPW,20161212,4.4539,4.4539,4.4539,4.4539,0
HPW,20161213,4.5224,4.5224,4.5224,4.5224,7200
HPW,20161214,4.5224,4.5224,4.5224,4.5224,0
HPW,20161215,4.5224,4.5224,4.5224,4.5224,0
HPW,20161216,4.5224,4.5224,4.5224,4.5224,0
HPW,20161219,4.5224,4.5224,4.5224,4.5224,0
HPW,20161220,4.5224,4.5224,4.5224,4.5224,0
HPW,20161221,4.5224,4.5224,4.5224,4.5224,0
HPW,20161222,4.5224,4.5224,4.5224,4.5224,0
HPW,20161223,4.5224,4.5224,4.5224,4.5224,0
HPW,20161226,4.5224,4.5224,4.5224,4.5224,0
HPW,20161227,4.5224,4.5224,4.5224,4.5224,0
HPW,20161228,4.5224,4.5224,4.5224,4.5224,0
HPW,20161229,4.5224,4.5224,4.5224,4.5224,0
HPW,20161230,4.5224,4.5224,4.5224,4.5224,0
HPW,20170103,4.5224,4.5224,4.5224,4.5224,0
HPW,20170104,4.5224,4.5224,4.5224,4.5224,0
HPW,20170105,4.5224,4.5224,4.5224,4.5224,0
HPW,20170106,4.5224,4.5224,4.5224,4.5224,0
HPW,20170109,4.5224,4.5224,4.5224,4.5224,0
HPW,20170110,4.5224,4.5224,4.5224,4.5224,0
HPW,20170111,4.5224,4.5224,4.5224,4.5224,0
HPW,20170112,4.5224,4.5224,4.5224,4.5224,0
HPW,20170113,4.5224,4.5224,4.5224,4.5224,0
HPW,20170116,4.5224,4.5224,4.5224,4.5224,0
HPW,20170117,4.5224,4.5224,4.5224,4.5224,0
HPW,20170118,4.5224,4.5224,4.5224,4.5224,0
HPW,20170119,4.5224,4.5224,4.5224,4.5224,0
HPW,20170120,4.5224,4.5224,4.5224,4.5224,0
HPW,20170123,4.5224,4.5224,4.5224,4.5224,0
HPW,20170124,4.5224,4.5224,4.5224,4.5224,0
HPW,20170125,4.5224,4.5224,4.5224,4.5224,0
HPW,20170202,4.5224,4.5224,4.5224,4.5224,0
HPW,20170203,4.5224,4.5224,4.5224,4.5224,0
HPW,20170206,4.5224,4.5224,4.5224,4.5224,0
HPW,20170207,4.5224,4.5224,4.5224,4.5224,0
HPW,20170208,4.5224,4.5224,4.5224,4.5224,0
HPW,20170209,4.5224,4.5224,4.5224,4.5224,0
HPW,20170210,4.5224,4.5224,4.5224,4.5224,0
HPW,20170213,4.5224,4.5224,4.5224,4.5224,0
HPW,20170214,4.5224,4.5224,4.5224,4.5224,0
HPW,20170215,4.5224,4.5224,4.5224,4.5224,0
HPW,20170216,4.5224,4.5224,4.5224,4.5224,0
HPW,20170217,4.5224,4.5224,4.5224,4.5224,0
HPW,20170220,5.4817,5.4817,5.4817,5.4817,100
HPW,20170221,5.6187,5.6187,5.6187,5.6187,4900
HPW,20170222,5.6187,5.6187,5.6187,5.6187,0
HPW,20170223,5.6187,5.6187,5.6187,5.6187,0
HPW,20170224,5.3447,5.3447,5.3447,5.3447,100
HPW,20170227,5.3447,5.3447,5.3447,5.3447,0
HPW,20170228,5.3447,5.3447,5.3447,5.3447,0
HPW,20170301,5.3447,5.3447,5.3447,5.3447,0
HPW,20170302,5.3447,5.3447,5.3447,5.3447,0
HPW,20170303,5.3447,5.3447,5.3447,5.3447,0
HPW,20170306,5.3447,5.3447,5.3447,5.3447,0
HPW,20170307,5.3447,5.3447,5.3447,5.3447,0
HPW,20170308,5.3447,5.3447,5.3447,5.3447,0
HPW,20170309,5.3447,5.3447,5.3447,5.3447,0
HPW,20170310,5.3447,5.3447,5.3447,5.3447,0
HPW,20170313,5.3447,5.3447,5.3447,5.3447,0
HPW,20170314,5.3447,5.3447,5.3447,5.3447,0
HPW,20170315,5.3447,5.3447,5.3447,5.3447,0
HPW,20170316,5.6187,5.6187,5.6187,5.6187,3400
HPW,20170317,5.6187,5.6187,5.6187,5.6187,0
HPW,20170320,5.6187,5.6187,5.6187,5.6187,0
HPW,20170321,5.6187,5.6187,5.6187,5.6187,0
HPW,20170322,5.6187,5.6187,5.6187,5.6187,0
HPW,20170323,5.6187,5.6187,5.6187,5.6187,0
HPW,20170324,5.6187,5.6187,5.6187,5.6187,0
HPW,20170327,5.6187,5.6187,5.6187,5.6187,0
HPW,20170328,5.6187,5.6187,5.6187,5.6187,0
HPW,20170329,5.6187,5.6187,5.6187,5.6187,0
HPW,20170330,5.6187,5.6187,5.6187,5.6187,0
HPW,20170331,5.6187,5.6187,5.6187,5.6187,0
HPW,20170403,5.6187,5.6187,5.6187,5.6187,0
HPW,20170404,5.6187,5.6187,5.6187,5.6187,0
HPW,20170405,5.6187,5.6187,5.6187,5.6187,0
HPW,20170407,5.2076,5.2076,5.2076,5.2076,100
HPW,20170410,5.2076,5.2076,5.2076,5.2076,0
HPW,20170411,5.2076,5.2076,5.2076,5.2076,0
HPW,20170412,5.2076,5.2076,5.2076,5.2076,0
HPW,20170413,5.2076,5.2076,5.2076,5.2076,0
HPW,20170414,5.2076,5.2076,5.2076,5.2076,0
HPW,20170417,5.2076,5.2076,5.2076,5.2076,0
HPW,20170418,5.4817,5.4817,5.4817,5.4817,8000
HPW,20170419,5.4817,5.4817,5.4817,5.4817,0
HPW,20170420,5.4817,5.4817,5.4817,5.4817,0
HPW,20170421,5.4817,5.4817,5.4817,5.4817,0
HPW,20170424,5.4817,5.4817,5.4817,5.4817,0
HPW,20170425,5.4817,5.4817,5.4817,5.4817,0
HPW,20170426,5.4817,5.4817,5.4817,5.4817,0
HPW,20170427,5.4817,5.4817,5.4817,5.4817,0
