<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HQC,20101020,38.0000,38.0000,31.0000,31.0000,11760
HQC,20101021,31.0000,31.0000,31.0000,31.0000,1000
HQC,20101022,32.5000,32.5000,32.5000,32.5000,2800
HQC,20101025,34.0000,34.0000,33.0000,34.0000,1530
HQC,20101026,34.8000,34.8000,32.3000,34.0000,130
HQC,20101027,32.3000,32.3000,32.3000,32.3000,600
HQC,20101028,30.7000,30.7000,30.7000,30.7000,670
HQC,20101029,29.2000,30.0000,29.2000,29.2000,30
HQC,20101101,29.2000,30.0000,29.2000,30.0000,3500
HQC,20101102,29.7000,30.0000,29.7000,29.7000,3080
HQC,20101103,29.9000,29.9000,29.6000,29.7000,1970
HQC,20101104,29.6000,29.6000,29.5000,29.6000,940
HQC,20101105,29.6000,29.6000,29.1000,29.4000,24090
HQC,20101108,29.4000,29.4000,29.4000,29.4000,5120
HQC,20101109,30.4000,30.4000,28.5000,30.4000,20100
HQC,20101110,30.3000,30.3000,29.0000,29.9000,18800
HQC,20101111,28.5000,29.9000,28.5000,28.8000,16960
HQC,20101112,29.0000,29.0000,28.9000,28.9000,10520
HQC,20101115,28.9000,28.9000,28.7000,28.7000,12850
HQC,20101116,30.1000,30.1000,28.5000,28.8000,15050
HQC,20101117,28.8000,30.0000,28.8000,29.0000,15360
HQC,20101118,30.0000,30.0000,29.0000,29.6000,14290
HQC,20101119,30.9000,30.9000,29.7000,29.7000,15110
HQC,20101122,29.7000,29.9000,28.4000,28.4000,13750
HQC,20101123,29.8000,29.8000,27.0000,29.7000,13540
HQC,20101124,30.6000,30.6000,28.3000,29.8000,13460
HQC,20101125,30.7000,30.7000,29.8000,30.5000,15800
HQC,20101126,30.6000,30.6000,30.2000,30.3000,15470
HQC,20101129,28.8000,30.5000,28.8000,30.5000,17990
HQC,20101130,32.0000,32.0000,30.5000,30.8000,18060
HQC,20101201,31.5000,31.5000,30.9000,31.0000,21430
HQC,20101202,31.0000,31.0000,29.5000,29.9000,17970
HQC,20101203,29.9000,30.9000,28.5000,28.5000,33260
HQC,20101206,29.8000,29.9000,28.5000,29.9000,25760
HQC,20101207,31.2000,31.2000,28.6000,28.6000,15810
HQC,20101208,29.9000,29.9000,28.6000,29.5000,13410
HQC,20101209,29.5000,29.5000,29.2000,29.3000,17480
HQC,20101210,29.4000,30.0000,29.3000,30.0000,26170
HQC,20101213,31.3000,31.5000,31.0000,31.0000,215640
HQC,20101214,31.5000,31.5000,30.0000,31.5000,378200
HQC,20101215,32.9000,32.9000,30.0000,32.8000,233660
HQC,20101216,31.4000,31.5000,31.2000,31.4000,180230
HQC,20101217,32.0000,32.9000,30.0000,32.9000,193870
HQC,20101220,34.2000,34.5000,31.8000,34.5000,46740
HQC,20101221,33.1000,35.9000,32.8000,34.5000,782710
HQC,20101222,36.0000,36.0000,33.2000,33.2000,735540
