<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HRT,20160915,8.0000,13.9000,7.0000,7.4000,81200
HRT,20160916,7.9000,8.8000,7.0000,8.8000,3100
HRT,20160919,7.0000,7.2000,7.0000,7.1000,20300
HRT,20160920,7.0000,7.1000,6.7000,6.7000,12400
HRT,20160921,6.6000,6.6000,6.5000,6.5000,7300
HRT,20160922,6.1000,6.1000,6.1000,6.1000,600
HRT,20160923,6.0000,6.0000,6.0000,6.0000,4700
HRT,20160926,6.0000,6.0000,6.0000,6.0000,2200
HRT,20160927,6.0000,6.0000,6.0000,6.0000,8200
HRT,20160928,6.2000,6.5000,6.2000,6.5000,2000
HRT,20160929,7.2000,7.2000,6.4000,6.4000,10800
HRT,20160930,6.1000,6.1000,6.1000,6.1000,1200
HRT,20161003,6.5000,6.5000,6.0000,6.1000,3200
HRT,20161004,6.1000,6.1000,6.1000,6.1000,2800
HRT,20161005,6.1000,6.1000,6.0000,6.1000,1900
HRT,20161006,6.1000,6.1000,6.1000,6.1000,0
HRT,20161007,6.1000,6.1000,6.1000,6.1000,200
HRT,20161010,6.1000,6.1000,6.1000,6.1000,0
HRT,20161011,6.1000,6.1000,6.1000,6.1000,0
HRT,20161012,6.1000,6.1000,6.1000,6.1000,0
HRT,20161013,6.1000,6.1000,6.1000,6.1000,4200
HRT,20161014,6.1000,6.1000,6.1000,6.1000,2600
HRT,20161017,6.1000,6.1000,6.1000,6.1000,0
HRT,20161018,6.1000,6.1000,6.1000,6.1000,0
HRT,20161019,7.0000,7.0000,7.0000,7.0000,100
HRT,20161020,8.0000,8.0000,8.0000,8.0000,100
HRT,20161021,7.0000,7.0000,6.8000,6.8000,200
HRT,20161024,7.9000,7.9000,7.5000,7.5000,200
HRT,20161025,6.6000,6.6000,6.6000,6.6000,3000
HRT,20161026,6.1000,6.2000,6.1000,6.2000,4600
HRT,20161027,6.1000,6.1000,6.1000,6.1000,600
HRT,20161028,6.1000,6.3000,6.1000,6.3000,14500
HRT,20161031,6.2000,6.2000,6.2000,6.2000,0
HRT,20161101,6.2000,6.2000,6.2000,6.2000,0
HRT,20161102,6.0000,6.0000,6.0000,6.0000,600
HRT,20161103,6.8000,6.8000,6.8000,6.8000,100
HRT,20161104,7.5000,7.5000,7.5000,7.5000,100
HRT,20161107,6.4000,6.4000,6.4000,6.4000,100
HRT,20161108,5.6000,5.6000,5.5000,5.5000,1000
HRT,20161109,5.5000,5.5000,5.5000,5.5000,0
HRT,20161110,5.7000,5.7000,5.7000,5.7000,1500
HRT,20161111,6.3000,6.3000,6.3000,6.3000,100
HRT,20161114,6.9000,6.9000,6.9000,6.9000,100
HRT,20161115,6.0000,6.0000,6.0000,6.0000,500
HRT,20161116,6.3000,6.7000,6.3000,6.5000,5800
HRT,20161117,6.2000,6.2000,6.2000,6.2000,1100
HRT,20161118,6.2000,6.2000,6.2000,6.2000,0
HRT,20161121,6.2000,6.2000,6.2000,6.2000,0
HRT,20161122,6.6000,6.6000,5.9000,6.1000,700
HRT,20161123,6.1000,6.1000,6.1000,6.1000,0
HRT,20161124,5.9000,5.9000,5.9000,5.9000,300
HRT,20161125,5.9000,6.0000,5.9000,6.0000,23300
HRT,20161128,6.0000,6.0000,6.0000,6.0000,1000
HRT,20161129,6.0000,6.0000,6.0000,6.0000,100
HRT,20161130,6.0000,6.0000,6.0000,6.0000,1300
HRT,20161201,5.9000,5.9000,5.9000,5.9000,1200
HRT,20161202,6.4000,6.4000,5.9000,6.1000,12500
HRT,20161205,6.0000,6.0000,6.0000,6.0000,2400
HRT,20161206,6.5000,6.5000,6.5000,6.5000,100
HRT,20161207,6.0000,6.0000,6.0000,6.0000,300
HRT,20161208,6.0000,6.0000,6.0000,6.0000,0
HRT,20161209,6.0000,6.4000,5.3000,5.3000,3000
HRT,20161212,5.7000,5.7000,5.7000,5.7000,100
HRT,20161213,5.1000,5.1000,5.1000,5.1000,1000
HRT,20161214,5.0000,5.4000,5.0000,5.4000,2300
HRT,20161215,5.8000,5.8000,5.0000,5.0000,1400
HRT,20161216,4.9000,4.9000,4.9000,4.9000,1000
HRT,20161219,4.9000,4.9000,4.9000,4.9000,0
HRT,20161220,5.0000,5.0000,5.0000,5.0000,1000
HRT,20161221,4.3000,4.3000,4.3000,4.3000,100
HRT,20161222,4.3000,4.3000,4.3000,4.3000,0
HRT,20161223,4.9000,4.9000,4.9000,4.9000,100
HRT,20161226,4.9000,4.9000,4.9000,4.9000,0
HRT,20161227,4.8000,4.8000,4.8000,4.8000,200
HRT,20161228,5.0000,5.0000,4.8000,4.8000,700
HRT,20161229,5.5000,5.5000,5.5000,5.5000,100
HRT,20161230,5.0000,5.9000,5.0000,5.9000,3900
HRT,20170103,5.5000,5.5000,5.4000,5.4000,1000
HRT,20170104,5.0000,5.0000,5.0000,5.0000,600
HRT,20170105,5.0000,5.0000,5.0000,5.0000,0
HRT,20170106,5.0000,5.0000,5.0000,5.0000,100
HRT,20170109,5.0000,5.0000,5.0000,5.0000,0
HRT,20170110,5.0000,5.0000,5.0000,5.0000,0
HRT,20170111,5.0000,5.0000,4.8000,4.8000,1400
HRT,20170112,4.8000,4.8000,4.8000,4.8000,100
HRT,20170113,4.8000,4.8000,4.8000,4.8000,0
HRT,20170116,4.8000,4.8000,4.8000,4.8000,0
HRT,20170117,4.8000,4.8000,4.8000,4.8000,0
HRT,20170118,4.8000,4.8000,4.8000,4.8000,0
HRT,20170119,4.1000,4.1000,4.1000,4.1000,2800
HRT,20170120,4.1000,4.1000,4.1000,4.1000,500
HRT,20170123,4.1000,4.7000,3.5000,4.7000,1400
HRT,20170124,4.3000,4.3000,4.3000,4.3000,100
HRT,20170125,4.9000,4.9000,4.9000,4.9000,100
HRT,20170202,4.9000,4.9000,4.9000,4.9000,0
HRT,20170203,5.6000,5.6000,4.9000,4.9000,2500
HRT,20170206,5.0000,5.0000,5.0000,5.0000,1000
HRT,20170207,5.0000,5.6000,5.0000,5.6000,500
HRT,20170208,5.9000,5.9000,5.9000,5.9000,100
HRT,20170209,6.4000,6.4000,6.3000,6.3000,200
HRT,20170210,6.4000,6.4000,6.4000,6.4000,0
HRT,20170213,6.4000,6.4000,6.4000,6.4000,0
HRT,20170214,5.5000,5.5000,5.5000,5.5000,100
HRT,20170215,5.0000,5.0000,5.0000,5.0000,800
HRT,20170216,5.6000,5.6000,5.6000,5.6000,100
HRT,20170217,6.3000,6.3000,6.3000,6.3000,100
HRT,20170220,5.4000,5.4000,5.4000,5.4000,1000
HRT,20170221,6.0000,6.0000,6.0000,6.0000,100
HRT,20170222,6.0000,6.0000,6.0000,6.0000,0
HRT,20170223,6.8000,6.8000,6.8000,6.8000,100
HRT,20170224,5.8000,5.8000,5.8000,5.8000,100
HRT,20170227,5.8000,5.8000,5.8000,5.8000,0
HRT,20170228,5.9000,5.9000,5.0000,5.0000,3300
HRT,20170301,5.7000,5.7000,5.7000,5.7000,100
HRT,20170302,6.4000,6.4000,5.3000,5.5000,1600
HRT,20170303,6.1000,6.1000,5.0000,5.0000,600
HRT,20170306,5.8000,5.8000,5.0000,5.0000,2200
HRT,20170307,5.7000,5.7000,4.5000,5.7000,3300
HRT,20170308,5.5000,5.5000,5.5000,5.5000,300
HRT,20170309,5.7000,5.7000,5.3000,5.3000,1800
HRT,20170310,5.9000,5.9000,4.9000,4.9000,2100
HRT,20170313,5.6000,5.6000,5.6000,5.6000,100
