<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HSA,20170123,10.0000,10.0000,10.0000,10.0000,0
HSA,20170124,10.0000,10.0000,10.0000,10.0000,0
HSA,20170125,10.0000,10.0000,10.0000,10.0000,0
HSA,20170202,10.0000,10.0000,10.0000,10.0000,0
HSA,20170203,10.0000,10.0000,10.0000,10.0000,0
HSA,20170206,10.0000,10.0000,10.0000,10.0000,0
HSA,20170207,10.0000,10.0000,10.0000,10.0000,0
HSA,20170208,10.0000,10.0000,10.0000,10.0000,0
HSA,20170209,10.0000,10.0000,10.0000,10.0000,0
HSA,20170210,10.0000,10.0000,10.0000,10.0000,0
HSA,20170213,10.0000,10.0000,10.0000,10.0000,0
HSA,20170214,10.0000,10.0000,10.0000,10.0000,0
HSA,20170215,10.0000,10.0000,10.0000,10.0000,0
HSA,20170216,10.0000,10.0000,10.0000,10.0000,0
HSA,20170217,10.0000,10.0000,10.0000,10.0000,0
HSA,20170220,10.0000,10.0000,10.0000,10.0000,0
HSA,20170221,10.0000,10.0000,10.0000,10.0000,0
HSA,20170222,10.0000,10.0000,10.0000,10.0000,0
HSA,20170223,10.0000,10.0000,10.0000,10.0000,0
HSA,20170224,10.0000,10.0000,10.0000,10.0000,0
HSA,20170227,10.0000,10.0000,10.0000,10.0000,0
HSA,20170228,10.0000,10.0000,10.0000,10.0000,0
HSA,20170301,10.0000,10.0000,10.0000,10.0000,0
HSA,20170302,10.0000,10.0000,10.0000,10.0000,0
HSA,20170303,10.0000,10.0000,10.0000,10.0000,0
HSA,20170306,10.0000,10.0000,10.0000,10.0000,0
HSA,20170307,14.0000,14.0000,14.0000,14.0000,100
HSA,20170308,16.1000,16.1000,16.1000,16.1000,100
HSA,20170309,16.1000,16.1000,16.1000,16.1000,0
HSA,20170310,16.1000,16.1000,16.1000,16.1000,0
HSA,20170313,16.1000,16.1000,16.1000,16.1000,0
HSA,20170314,16.1000,16.1000,16.1000,16.1000,0
HSA,20170315,18.5000,18.5000,18.5000,18.5000,100
HSA,20170316,21.2000,21.2000,21.2000,21.2000,100
HSA,20170317,24.3000,24.3000,24.3000,24.3000,100
HSA,20170320,27.8000,27.8000,27.8000,27.8000,100
HSA,20170321,27.8000,27.8000,27.8000,27.8000,0
HSA,20170322,31.9000,31.9000,31.9000,31.9000,100
HSA,20170323,31.9000,31.9000,31.9000,31.9000,400
HSA,20170324,31.9000,31.9000,31.9000,31.9000,0
HSA,20170327,31.9000,31.9000,31.9000,31.9000,0
HSA,20170328,31.9000,31.9000,31.9000,31.9000,0
HSA,20170329,31.9000,31.9000,31.9000,31.9000,0
HSA,20170330,35.0000,35.0000,35.0000,35.0000,200
HSA,20170331,35.0000,35.0000,35.0000,35.0000,0
HSA,20170403,35.0000,35.0000,35.0000,35.0000,0
HSA,20170404,35.0000,35.0000,35.0000,35.0000,0
HSA,20170405,35.0000,35.0000,35.0000,35.0000,0
HSA,20170407,29.8000,29.8000,29.8000,29.8000,100
HSA,20170410,29.8000,29.8000,29.8000,29.8000,0
HSA,20170411,29.8000,29.8000,29.8000,29.8000,0
HSA,20170412,29.8000,29.8000,29.8000,29.8000,0
HSA,20170413,29.8000,29.8000,29.8000,29.8000,0
HSA,20170414,29.8000,29.8000,29.8000,29.8000,0
HSA,20170417,29.8000,29.8000,29.8000,29.8000,0
HSA,20170418,29.8000,29.8000,29.8000,29.8000,0
HSA,20170419,29.8000,29.8000,29.8000,29.8000,0
HSA,20170420,29.8000,29.8000,29.8000,29.8000,0
HSA,20170421,29.8000,29.8000,29.8000,29.8000,0
HSA,20170424,29.8000,29.8000,29.8000,29.8000,0
HSA,20170425,29.8000,29.8000,29.8000,29.8000,0
HSA,20170426,29.8000,29.8000,29.8000,29.8000,0
HSA,20170427,29.8000,29.8000,29.8000,29.8000,0
HSA,20170428,25.4000,25.4000,25.4000,25.4000,100
HSA,20170503,25.4000,25.4000,25.4000,25.4000,0
HSA,20170504,25.4000,25.4000,25.4000,25.4000,0
HSA,20170505,21.6000,21.6000,21.6000,21.6000,100
HSA,20170508,18.4000,18.4000,18.4000,18.4000,200
HSA,20170509,21.1000,21.1000,21.1000,21.1000,200
HSA,20170510,21.1000,21.1000,21.1000,21.1000,0
HSA,20170511,21.1000,21.1000,21.1000,21.1000,0
