<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HSL,20180510,19.8000,19.8000,19.8000,19.8000,100
HSL,20180511,21.1500,21.1500,21.1500,21.1500,500
HSL,20180514,22.6000,22.6000,22.6000,22.6000,500
HSL,20180515,24.0000,24.1500,24.0000,24.1500,300
HSL,20180516,25.8000,25.8000,25.7500,25.8000,178780
HSL,20180517,26.1000,26.8000,25.8000,26.0000,195340
HSL,20180518,25.5000,26.0000,24.5000,24.6000,32250
HSL,20180521,24.0000,24.4500,23.5000,24.0000,29590
HSL,20180522,24.0500,24.2500,24.0000,24.2500,26050
HSL,20180523,24.2500,24.3000,24.2500,24.3000,8580
HSL,20180524,24.3000,24.3500,24.1500,24.3000,8410
HSL,20180525,24.3000,24.3000,24.1000,24.2000,6350
HSL,20180528,24.2000,24.2500,24.1000,24.2000,4410
HSL,20180529,24.2000,24.3000,24.2000,24.3000,8960
HSL,20180530,24.0500,24.3500,24.0000,24.3500,7460
HSL,20180531,24.3500,24.3500,24.0000,24.3500,17630
HSL,20180601,24.3500,24.4000,24.3500,24.4000,5570
HSL,20180604,24.3000,24.5000,24.3000,24.5000,6140
HSL,20180605,24.5000,24.5000,24.4000,24.5000,4490
HSL,20180606,24.5000,24.5000,24.4000,24.5000,5090
HSL,20180607,24.4500,24.5500,24.4500,24.5000,4070
HSL,20180608,24.5000,24.5500,24.4500,24.5500,6910
HSL,20180611,24.5000,24.5500,24.4500,24.4500,4580
HSL,20180612,24.4500,24.4500,24.3500,24.3500,6120
HSL,20180613,24.3500,24.4000,24.3000,24.4000,3440
HSL,20180614,24.4000,24.5500,24.3500,24.5500,8660
HSL,20180615,24.5500,24.6000,24.5000,24.5500,6250
HSL,20180618,24.5500,24.9000,24.5000,24.8500,71940
HSL,20180619,24.9000,26.0000,24.8500,26.0000,399690
HSL,20180620,26.0500,27.8000,26.0000,27.8000,741720
HSL,20180621,27.9000,28.4000,26.3000,26.5000,294350
HSL,20180622,24.6500,25.0000,24.6500,24.6500,66970
HSL,20180625,22.9500,22.9500,22.9500,22.9500,20
HSL,20180626,21.3500,21.3500,21.3500,21.3500,30
HSL,20180627,19.9000,21.0000,19.9000,20.9000,497570
HSL,20180628,20.9000,21.5000,20.7000,21.4500,236030
HSL,20180629,21.5000,21.8000,19.9500,20.6000,193730
HSL,20180702,20.6000,20.6000,19.9000,20.0000,59740
HSL,20180703,20.0000,20.3500,19.9500,20.1500,148070
HSL,20180704,20.1000,20.5000,20.0000,20.5000,187520
HSL,20180705,20.5000,20.7500,20.4000,20.7000,113120
HSL,20180706,20.7000,21.1000,20.6500,21.0000,289980
HSL,20180709,21.0500,21.5000,21.0000,21.5000,935220
HSL,20180710,21.5500,21.9000,21.5000,21.8000,735980
HSL,20180711,21.8500,21.9000,20.3000,20.8000,464540
HSL,20180712,20.8000,21.0000,20.0000,20.2000,466160
HSL,20180713,20.2000,20.5000,20.0000,20.5000,534530
HSL,20180716,20.5000,20.5500,20.1000,20.2000,116850
HSL,20180717,20.2000,20.5000,20.0000,20.1000,122270
HSL,20180718,20.1000,20.2500,20.0000,20.1000,75780
HSL,20180719,20.1500,20.5000,20.0000,20.4500,117340
HSL,20180720,20.4500,20.8000,20.3500,20.8000,100410
HSL,20180723,20.8500,20.9500,20.5000,20.6000,107300
HSL,20180724,20.6000,20.7500,20.4500,20.5500,86310
HSL,20180725,20.5500,20.9000,20.5500,20.8000,110440
HSL,20180726,20.8000,20.8500,20.5000,20.6000,86270
HSL,20180727,20.6000,20.7000,20.4500,20.6000,71790
HSL,20180730,20.6500,20.8000,20.5000,20.6500,59350
HSL,20180731,20.7000,20.8000,20.5500,20.7000,58250
HSL,20180801,20.7500,20.8500,20.6500,20.8500,115740
HSL,20180802,20.9000,22.3000,20.8500,22.3000,706130
