<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HST,20091229,5.6147,5.6147,5.6147,5.6147,200
HST,20091230,6.0034,6.0034,6.0034,6.0034,1000
HST,20091231,6.0034,6.0034,6.0034,6.0034,0
HST,20100104,5.6147,5.6147,5.6147,5.6147,400
HST,20100105,5.2260,5.2260,5.2260,5.2260,1000
HST,20100106,5.2260,5.2260,5.2260,5.2260,0
HST,20100107,5.2260,5.2260,5.2260,5.2260,0
HST,20100108,5.2260,5.2260,5.2260,5.2260,0
HST,20100111,5.2260,5.2260,5.2260,5.2260,0
HST,20100112,5.2260,5.2260,5.2260,5.2260,0
HST,20100113,5.2260,5.2260,5.2260,5.2260,0
HST,20100114,5.2260,5.2260,5.2260,5.2260,0
HST,20100115,5.2260,5.2260,5.2260,5.2260,0
HST,20100118,5.2260,5.2260,5.2260,5.2260,0
HST,20100119,5.0532,5.0532,5.0532,5.0532,300
HST,20100120,5.0532,5.0532,5.0532,5.0532,0
HST,20100121,5.0532,5.0532,5.0532,5.0532,0
HST,20100122,5.0532,5.0532,5.0532,5.0532,0
HST,20100125,5.0532,5.0532,5.0532,5.0532,0
HST,20100126,5.0532,5.0532,5.0532,5.0532,0
HST,20100127,5.0532,5.0532,5.0532,5.0532,0
HST,20100128,5.0532,5.0532,5.0532,5.0532,0
HST,20100129,5.0532,5.0532,5.0532,5.0532,0
HST,20100201,5.0532,5.0532,5.0532,5.0532,0
HST,20100202,5.0532,5.0532,5.0532,5.0532,0
HST,20100203,5.0532,5.0532,5.0532,5.0532,0
HST,20100204,5.0532,5.0532,5.0532,5.0532,0
HST,20100205,5.0532,5.0532,5.0532,5.0532,0
HST,20100208,5.0532,5.0532,5.0530,5.0530,0
HST,20100209,5.0530,5.0530,5.0530,5.0530,0
HST,20100210,5.0530,5.0530,5.0530,5.0530,0
HST,20100211,5.0530,5.0530,5.0530,5.0530,0
HST,20100212,5.0530,5.0530,5.0530,5.0530,0
HST,20100222,5.0530,5.0530,5.0530,5.0530,0
HST,20100223,5.0530,5.0530,5.0530,5.0530,0
HST,20100224,5.0530,5.0530,5.0530,5.0530,0
HST,20100225,5.0530,5.0530,5.0530,5.0530,0
HST,20100226,5.0530,5.0530,5.0530,5.0530,0
HST,20100301,5.0530,5.0530,5.0530,5.0530,0
HST,20100302,5.0530,5.0530,5.0530,5.0530,0
HST,20100303,5.0530,5.0530,5.0530,5.0530,0
HST,20100304,5.0530,5.0530,5.0530,5.0530,0
HST,20100305,5.0530,5.0530,5.0530,5.0530,0
HST,20100308,5.0530,5.0530,5.0530,5.0530,0
HST,20100309,5.0530,5.0530,5.0530,5.0530,0
HST,20100310,5.0530,5.0530,5.0530,5.0530,500
HST,20100311,5.0530,5.0530,5.0530,5.0530,100
HST,20100312,5.0530,5.0530,5.0530,5.0530,0
HST,20100315,4.7255,4.7255,4.7255,4.7255,200
HST,20100316,4.4916,4.4916,4.4916,4.4916,1400
HST,20100317,4.3045,4.3045,4.3044,4.3044,200
HST,20100318,4.3044,4.3044,4.3044,4.3044,0
HST,20100319,4.5851,4.5852,4.5851,4.5852,100
HST,20100322,4.5852,4.5852,4.5852,4.5852,200
HST,20100323,4.8191,4.8191,4.4448,4.4448,700
HST,20100324,4.3044,4.4916,4.3044,4.4916,1200
HST,20100325,4.5852,4.5852,4.5852,4.5852,100
HST,20100326,4.5852,4.5852,4.5852,4.5852,0
HST,20100329,4.7724,4.7724,4.7723,4.7723,100
HST,20100330,4.4916,4.4916,4.4916,4.4916,100
HST,20100331,4.2109,4.2109,4.2109,4.2109,4000
HST,20100401,4.2109,4.2109,4.2109,4.2109,0
HST,20100402,4.2109,4.2109,4.2109,4.2109,0
HST,20100405,4.2109,4.2109,4.2109,4.2109,300
HST,20100406,4.4448,4.4448,4.4448,4.4448,100
HST,20100407,4.3980,4.3980,4.2577,4.2577,200
HST,20100408,4.2109,4.2109,4.2109,4.2109,2000
HST,20100409,4.2109,4.2109,4.2109,4.2109,1000
HST,20100412,4.3045,4.3045,4.2109,4.2109,1400
HST,20100413,4.3513,4.3513,4.3512,4.3512,100
HST,20100414,4.2108,4.3044,4.2108,4.2577,4100
HST,20100415,4.3513,4.3513,4.3512,4.3512,100
HST,20100416,4.3512,4.3512,4.3512,4.3512,1300
HST,20100419,4.3512,4.3512,4.3512,4.3512,100
HST,20100420,4.5851,4.6320,4.3512,4.6320,6700
HST,20100421,4.7724,4.8192,4.6788,4.8191,9500
HST,20100422,4.7723,4.9127,4.7723,4.9127,1600
HST,20100426,4.5384,4.5384,4.5384,4.5384,1000
HST,20100427,4.3980,4.5384,4.3512,4.5384,1600
HST,20100428,4.2577,4.2577,4.2577,4.2577,100
HST,20100429,4.2577,4.2577,4.2577,4.2577,0
HST,20100504,4.4449,4.5384,4.4449,4.5384,8200
HST,20100505,4.7723,4.7723,4.6788,4.7723,13800
HST,20100506,5.0998,5.0998,5.0998,5.0998,7200
HST,20100507,5.1934,5.4273,5.0998,5.4273,12200
HST,20100510,5.5677,5.5677,5.4741,5.5677,6900
HST,20100511,5.9420,5.9420,5.9420,5.9420,14700
HST,20100512,6.3163,6.3163,5.7081,5.7081,12400
HST,20100513,5.7081,5.7081,5.7081,5.7081,600
HST,20100514,5.3338,5.3338,5.3338,5.3338,7600
HST,20100517,5.0531,5.0531,5.0530,5.0530,100
HST,20100518,4.7255,5.0530,4.7255,5.0530,2300
HST,20100519,4.8659,4.8659,4.7723,4.8191,1700
HST,20100520,4.8659,4.8659,4.8659,4.8659,1400
HST,20100521,4.8659,4.8659,4.8659,4.8659,0
HST,20100524,5.0530,5.1466,5.0530,5.1466,3000
HST,20100525,5.3805,5.3806,5.3805,5.3806,100
HST,20100526,5.7549,5.7549,5.4742,5.5677,7400
HST,20100527,5.1934,5.3806,5.1934,5.2870,12000
HST,20100528,5.5677,5.5677,4.9127,5.3806,700
HST,20100531,5.5678,5.6145,5.5209,5.5209,300
HST,20100601,5.1934,5.1934,5.1934,5.1934,1300
HST,20100602,4.9127,5.3806,4.9127,5.3806,6400
HST,20100603,5.1467,5.1467,5.1466,5.1466,500
HST,20100604,5.1466,5.1466,4.9127,4.9127,6000
HST,20100607,4.8659,4.8659,4.8191,4.8191,6500
HST,20100608,4.8191,5.1466,4.8191,5.1466,4500
HST,20100609,5.0998,5.0998,5.0998,5.0998,200
HST,20100610,5.0998,5.0998,5.0530,5.0530,7600
HST,20100611,5.0530,5.0530,4.8191,4.8191,2600
HST,20100614,5.1466,5.1466,4.7723,4.7723,500
HST,20100615,4.6787,5.0062,4.6787,4.8659,1200
HST,20100616,4.9127,5.0998,4.9127,4.9127,1100
HST,20100617,4.9127,4.9595,4.9127,4.9595,8200
HST,20100618,4.9127,4.9595,4.9127,4.9595,400
HST,20100621,4.9127,5.0531,4.9127,5.0530,9600
HST,20100622,4.9594,5.0062,4.9594,4.9595,4200
HST,20100623,5.0063,5.0063,5.0063,5.0063,2600
HST,20100624,5.0063,5.0063,4.9127,5.0063,2600
HST,20100625,4.6788,4.6788,4.6787,4.6787,1000
HST,20100628,4.4448,4.4448,4.4448,4.4448,100
HST,20100629,4.7255,4.7255,4.7255,4.7255,100
HST,20100630,4.7723,5.0530,4.7255,5.0530,8900
