<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HTC,20100507,6.3633,7.9542,6.3633,7.8481,25200
HTC,20100510,6.9572,6.9572,6.9572,6.9572,0
HTC,20100511,6.4800,6.4800,6.4800,6.4800,1400
HTC,20100512,6.0346,6.0346,6.0346,6.0346,200
HTC,20100513,5.6210,5.6210,5.6209,5.6209,4000
HTC,20100514,5.2285,5.7588,5.2285,5.7588,50200
HTC,20100517,5.6103,5.6103,4.9846,5.2285,31700
HTC,20100518,5.1857,5.2713,5.0253,5.0255,9300
HTC,20100519,5.1859,5.2714,5.1859,5.2714,14500
HTC,20100520,5.2393,5.2821,5.2393,5.2714,33600
HTC,20100521,4.9185,5.2714,4.9185,5.2714,44100
HTC,20100524,5.2393,5.3356,5.2393,5.3356,32000
HTC,20100525,5.2928,5.3356,5.2714,5.3356,18000
HTC,20100526,5.1324,5.3142,5.1324,5.3142,3100
HTC,20100527,5.1859,5.3356,5.1324,5.3356,17500
HTC,20100528,5.4532,5.6029,5.1431,5.3463,16100
HTC,20100531,5.2928,5.2928,5.2393,5.2393,4000
HTC,20100601,5.1431,5.1538,5.1324,5.1324,5900
HTC,20100602,5.1324,5.1859,5.1324,5.1859,12200
HTC,20100603,5.1538,5.1859,5.1324,5.1324,6200
HTC,20100604,5.1110,5.2179,5.0789,5.1324,10600
HTC,20100607,5.1324,5.3463,5.1324,5.3463,8000
HTC,20100608,5.2928,5.2928,5.2928,5.2928,0
HTC,20100609,5.1324,5.2607,5.1324,5.2607,8400
HTC,20100610,5.1324,5.1859,5.1324,5.1645,30800
HTC,20100611,5.4960,5.5174,5.1324,5.3249,57700
HTC,20100614,5.2928,5.3356,5.2928,5.3356,6000
HTC,20100615,5.3249,5.3249,5.3249,5.3249,200
HTC,20100616,5.2394,5.3784,5.2394,5.3569,69100
HTC,20100617,5.3355,5.3463,5.3248,5.3463,22400
HTC,20100618,5.3463,5.5602,5.3463,5.5173,89000
HTC,20100621,5.5601,5.8167,5.5601,5.8167,49100
HTC,20100622,6.1909,6.1909,5.8809,5.8809,52800
HTC,20100623,5.8274,5.8274,5.7205,5.7205,40100
HTC,20100624,5.7205,5.7205,5.4104,5.5387,30100
HTC,20100625,5.1538,5.5173,5.1538,5.3463,8600
HTC,20100628,5.3463,5.4532,5.3249,5.3463,8900
