<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HTE,20170724,15.4000,15.4000,12.0000,12.0000,53000
HTE,20170725,14.9000,14.9000,11.2000,12.0000,4140
HTE,20170726,12.5000,12.5000,12.5000,12.5000,100
HTE,20170727,10.7000,10.7000,10.7000,10.7000,200
HTE,20170728,9.1000,11.5000,9.1000,11.5000,1500
HTE,20170731,9.0000,9.0000,8.2000,8.2000,2900
HTE,20170801,7.5000,9.2000,7.2000,9.2000,4800
HTE,20170802,8.7000,8.7000,8.7000,8.7000,2000
HTE,20170803,9.0000,9.0000,8.5000,8.5000,6400
HTE,20170804,8.5000,9.0000,8.5000,9.0000,1510
HTE,20170807,7.6000,8.9000,7.5000,8.9000,3000
HTE,20170808,7.6000,7.8000,7.6000,7.8000,200
HTE,20170809,8.8000,8.8000,8.8000,8.8000,700
HTE,20170810,7.6000,7.6000,7.6000,7.6000,1800
HTE,20170811,8.0000,8.0000,8.0000,8.0000,100
HTE,20170814,8.0000,8.0000,8.0000,8.0000,950
HTE,20170815,8.0000,8.0000,8.0000,8.0000,0
HTE,20170816,8.0000,8.0000,8.0000,8.0000,100
HTE,20170817,8.7000,8.7000,8.5000,8.5000,300
HTE,20170818,7.5000,7.5000,7.5000,7.5000,600
HTE,20170821,7.1000,7.1000,7.0000,7.0000,1810
HTE,20170822,7.0000,7.9000,7.0000,7.9000,6100
HTE,20170823,7.0000,7.8000,7.0000,7.8000,600
HTE,20170824,7.0000,7.0000,6.5000,6.5000,3700
HTE,20170825,6.5000,6.6000,6.1000,6.1000,3500
HTE,20170828,7.2000,7.2000,7.2000,7.2000,3800
HTE,20170829,7.2000,7.2000,7.2000,7.2000,0
HTE,20170830,7.2000,7.2000,7.2000,7.2000,100
HTE,20170831,6.3000,6.3000,6.3000,6.3000,1400
HTE,20170901,6.0000,6.0000,6.0000,6.0000,2800
HTE,20170905,6.0000,6.0000,6.0000,6.0000,0
HTE,20170906,6.1000,6.1000,6.1000,6.1000,900
HTE,20170907,6.1000,6.1000,6.1000,6.1000,0
HTE,20170908,6.6000,6.6000,6.6000,6.6000,100
HTE,20170911,5.9000,6.3000,5.9000,6.0000,2400
HTE,20170912,6.6000,6.6000,6.6000,6.6000,1000
HTE,20170913,6.1000,6.1000,6.0000,6.0000,5300
HTE,20170914,6.1000,6.1000,6.1000,6.1000,1200
HTE,20170915,6.1000,6.1000,6.1000,6.1000,1000
HTE,20170918,6.2000,6.6000,6.2000,6.4000,300
HTE,20170919,6.4000,6.4000,6.2000,6.2000,3600
HTE,20170920,6.2000,6.2000,6.2000,6.2000,200
HTE,20170921,6.3000,6.5000,6.2000,6.2000,2300
HTE,20170922,6.3000,6.3000,6.0000,6.2000,5700
HTE,20170925,6.1000,6.1000,6.1000,6.1000,900
HTE,20170926,5.3000,6.3000,5.3000,6.3000,5900
HTE,20170927,6.1000,6.4000,6.1000,6.4000,2100
HTE,20170928,6.1000,6.1000,6.0000,6.0000,300
HTE,20170929,6.1000,6.1000,6.1000,6.1000,0
HTE,20171002,6.0000,6.4000,6.0000,6.1000,1200
HTE,20171003,6.1000,6.4000,6.1000,6.4000,2500
HTE,20171004,6.3000,6.6000,6.3000,6.6000,1100
HTE,20171005,6.6000,6.6000,6.6000,6.6000,500
HTE,20171006,6.6000,6.8000,6.6000,6.6000,7400
HTE,20171009,6.6000,6.6000,6.6000,6.6000,4500
HTE,20171010,6.2000,6.6000,6.2000,6.2000,2500
HTE,20171011,6.5000,6.5000,6.1000,6.1000,1490
HTE,20171012,6.2000,6.2000,6.1000,6.2000,1400
HTE,20171013,6.1000,6.1000,6.1000,6.1000,780
HTE,20171016,6.1000,6.1000,6.1000,6.1000,3700
HTE,20171017,6.1000,6.1000,6.1000,6.1000,0
HTE,20171018,6.1000,6.1000,6.1000,6.1000,0
HTE,20171019,6.2000,6.2000,6.2000,6.2000,4600
HTE,20171020,6.2000,6.2000,6.2000,6.2000,2100
HTE,20171023,6.2000,6.2000,6.1000,6.2000,1880
HTE,20171024,6.2000,6.2000,6.2000,6.2000,200
HTE,20171025,6.8000,6.8000,6.2000,6.2000,1100
HTE,20171026,6.1000,6.1000,6.1000,6.1000,2280
HTE,20171027,6.1000,6.1000,6.1000,6.1000,3600
HTE,20171030,6.0000,6.1000,6.0000,6.1000,3117
HTE,20171031,6.0000,6.0000,5.5000,5.5000,3302
HTE,20171101,5.8000,6.1000,5.8000,6.0000,9300
HTE,20171102,5.8000,5.8000,5.6000,5.8000,9700
HTE,20171103,5.7000,5.7000,5.7000,5.7000,0
HTE,20171106,5.4000,5.4000,5.4000,5.4000,200
HTE,20171107,5.6000,6.0000,5.6000,6.0000,200
HTE,20171108,5.8000,5.8000,5.8000,5.8000,4249
HTE,20171109,5.8000,5.8000,5.5000,5.5000,500
HTE,20171110,5.6000,6.0000,5.1000,6.0000,1751
HTE,20171113,6.0000,6.0000,6.0000,6.0000,100
HTE,20171114,6.9000,6.9000,6.8000,6.8000,200
HTE,20171115,7.7000,7.7000,7.7000,7.7000,100
HTE,20171116,6.6000,8.5000,6.6000,6.6000,900
HTE,20171117,6.1000,6.1000,6.1000,6.1000,2400
HTE,20171120,6.5000,6.5000,6.5000,6.5000,900
HTE,20171121,7.3000,7.3000,6.0000,6.0000,950
HTE,20171122,6.2000,6.2000,6.2000,6.2000,2000
HTE,20171123,5.7000,5.7000,5.7000,5.7000,100
HTE,20171124,5.5000,6.3000,5.5000,6.3000,1400
HTE,20171127,6.1000,6.4000,6.1000,6.4000,1900
HTE,20171128,5.6000,5.6000,5.6000,5.6000,141
HTE,20171129,6.3000,6.4000,5.9000,5.9000,4685
HTE,20171130,5.9000,5.9000,5.9000,5.9000,1805
HTE,20171201,6.5000,6.7000,6.5000,6.5000,1200
HTE,20171204,6.5000,6.5000,6.5000,6.5000,0
HTE,20171205,6.5000,6.5000,6.5000,6.5000,2590
HTE,20171206,6.5000,6.5000,6.5000,6.5000,80
HTE,20171207,6.3000,6.3000,6.2000,6.2000,910
HTE,20171208,6.2000,6.3000,5.7000,5.7000,1300
HTE,20171211,6.0000,6.5000,6.0000,6.5000,1200
HTE,20171212,6.2000,6.2000,6.2000,6.2000,0
HTE,20171213,6.2000,6.2000,6.2000,6.2000,0
HTE,20171214,6.2000,6.2000,6.0000,6.1000,1300
HTE,20171215,6.1000,6.1000,6.1000,6.1000,3100
HTE,20171218,6.1000,6.2000,6.1000,6.1000,7580
HTE,20171219,6.1000,6.1000,6.1000,6.1000,0
HTE,20171220,6.1000,6.1000,6.1000,6.1000,0
HTE,20171221,6.3000,6.3000,6.3000,6.3000,100
HTE,20171222,6.3000,6.3000,6.3000,6.3000,0
HTE,20171225,6.0000,6.0000,6.0000,6.0000,300
HTE,20171226,6.0000,6.0000,6.0000,6.0000,2300
HTE,20171227,5.8000,6.0000,5.8000,6.0000,200
HTE,20171228,5.5000,5.5000,5.5000,5.5000,300
HTE,20171229,5.5000,5.5000,5.5000,5.5000,50
HTE,20180102,6.1000,6.2000,6.1000,6.1000,800
HTE,20180103,6.2000,6.2000,6.2000,6.2000,300
HTE,20180104,7.1000,7.1000,7.1000,7.1000,100
HTE,20180105,6.5000,6.5000,6.5000,6.5000,100
HTE,20180108,6.5000,6.5000,6.5000,6.5000,0
HTE,20180109,6.1000,6.1000,6.1000,6.1000,100
HTE,20180110,6.1000,6.1000,6.1000,6.1000,40
HTE,20180111,6.1000,6.1000,6.1000,6.1000,11100
HTE,20180112,6.5000,6.5000,6.5000,6.5000,1029
HTE,20180115,6.5000,6.5000,6.5000,6.5000,21
HTE,20180116,6.1000,6.1000,6.1000,6.1000,500
HTE,20180117,6.0000,6.0000,6.0000,6.0000,100
