<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HTK,20180912,10.7000,10.7000,10.7000,10.7000,0
HTK,20180913,10.7000,10.7000,10.7000,10.7000,0
HTK,20180914,10.7000,10.7000,10.7000,10.7000,0
HTK,20180917,14.9000,14.9000,14.9000,14.9000,100
HTK,20180918,17.1000,17.1000,17.1000,17.1000,100
HTK,20180919,19.6000,19.6000,19.6000,19.6000,100
HTK,20180920,22.5000,22.5000,22.5000,22.5000,100
HTK,20180921,25.8000,25.8000,25.8000,25.8000,100
HTK,20180924,29.6000,29.6000,29.6000,29.6000,100
HTK,20180925,34.0000,34.0000,34.0000,34.0000,100
HTK,20180926,30.0000,30.0000,30.0000,30.0000,100
HTK,20180927,27.5000,27.5000,27.5000,27.5000,100
HTK,20180928,27.5000,27.5000,27.5000,27.5000,0
HTK,20181001,23.5000,23.5000,23.5000,23.5000,100
HTK,20181002,23.5000,23.5000,23.5000,23.5000,0
HTK,20181003,25.0000,25.0000,20.0000,20.0000,400
HTK,20181004,20.0000,20.0000,18.9000,18.9000,1100
HTK,20181005,16.2000,16.2000,16.2000,16.2000,17300
HTK,20181008,13.9000,13.9000,13.9000,13.9000,50000
HTK,20181009,13.9000,13.9000,13.9000,13.9000,0
HTK,20181010,13.9000,13.9000,13.9000,13.9000,0
HTK,20181011,13.9000,13.9000,13.9000,13.9000,0
HTK,20181012,13.9000,13.9000,13.9000,13.9000,0
HTK,20181015,13.9000,13.9000,13.9000,13.9000,0
HTK,20181016,13.9000,13.9000,13.9000,13.9000,0
HTK,20181017,13.9000,13.9000,13.9000,13.9000,0
HTK,20181018,13.9000,13.9000,13.9000,13.9000,0
HTK,20181019,13.9000,13.9000,13.9000,13.9000,0
HTK,20181022,13.9000,13.9000,13.9000,13.9000,0
HTK,20181023,12.0000,12.0000,12.0000,12.0000,1500
HTK,20181024,11.0000,11.0000,11.0000,11.0000,1800
HTK,20181025,11.0000,11.0000,11.0000,11.0000,0
HTK,20181026,11.0000,11.0000,11.0000,11.0000,0
HTK,20181029,11.0000,11.0000,11.0000,11.0000,0
HTK,20181030,11.0000,11.0000,11.0000,11.0000,0
HTK,20181031,11.0000,11.0000,11.0000,11.0000,0
HTK,20181101,11.0000,11.0000,11.0000,11.0000,0
HTK,20181102,11.0000,11.0000,11.0000,11.0000,0
HTK,20181105,10.5000,10.5000,10.5000,10.5000,7900
HTK,20181106,10.5000,10.5000,10.5000,10.5000,0
HTK,20181107,10.5000,10.5000,10.5000,10.5000,0
HTK,20181108,10.5000,10.5000,10.5000,10.5000,0
HTK,20181109,10.5000,10.5000,10.5000,10.5000,0
HTK,20181112,10.5000,10.5000,10.5000,10.5000,0
HTK,20181113,10.5000,10.5000,10.5000,10.5000,0
HTK,20181114,10.5000,10.5000,10.5000,10.5000,0
HTK,20181115,10.5000,10.5000,10.5000,10.5000,0
HTK,20181116,10.5000,10.5000,10.5000,10.5000,0
HTK,20181119,10.5000,10.5000,10.5000,10.5000,0
HTK,20181120,10.5000,10.5000,10.5000,10.5000,0
HTK,20181121,10.5000,10.5000,10.5000,10.5000,0
HTK,20181122,10.5000,10.5000,10.5000,10.5000,0
HTK,20181123,10.5000,10.5000,10.5000,10.5000,0
HTK,20181126,10.5000,10.5000,10.5000,10.5000,0
HTK,20181127,10.5000,10.5000,10.5000,10.5000,0
HTK,20181128,10.5000,10.5000,10.5000,10.5000,0
HTK,20181129,10.5000,10.5000,10.5000,10.5000,0
HTK,20181130,10.5000,10.5000,10.5000,10.5000,0
HTK,20181203,10.5000,10.5000,10.5000,10.5000,0
HTK,20181204,10.5000,10.5000,10.5000,10.5000,0
HTK,20181205,10.5000,10.5000,10.5000,10.5000,0
HTK,20181206,10.5000,10.5000,10.5000,10.5000,0
HTK,20181207,10.5000,10.5000,10.5000,10.5000,0
HTK,20181210,10.5000,10.5000,10.5000,10.5000,0
HTK,20181211,10.5000,10.5000,10.5000,10.5000,0
HTK,20181212,10.5000,10.5000,10.5000,10.5000,0
HTK,20181213,10.5000,10.5000,10.5000,10.5000,0
HTK,20181214,10.5000,10.5000,10.5000,10.5000,0
HTK,20181217,10.5000,10.5000,10.5000,10.5000,0
HTK,20181218,10.5000,10.5000,10.5000,10.5000,0
HTK,20181219,10.5000,10.5000,10.5000,10.5000,0
HTK,20181220,10.5000,10.5000,10.5000,10.5000,0
HTK,20181221,10.5000,10.5000,10.5000,10.5000,0
HTK,20181224,10.5000,10.5000,10.5000,10.5000,0
HTK,20181225,10.5000,10.5000,10.5000,10.5000,0
HTK,20181226,10.5000,10.5000,10.5000,10.5000,0
HTK,20181227,10.5000,10.5000,10.5000,10.5000,0
HTK,20181228,10.5000,10.5000,10.5000,10.5000,0
HTK,20190102,10.5000,10.5000,10.5000,10.5000,0
HTK,20190103,10.5000,10.5000,10.5000,10.5000,0
HTK,20190104,10.5000,10.5000,10.5000,10.5000,0
HTK,20190107,10.5000,10.5000,10.5000,10.5000,0
HTK,20190108,10.5000,10.5000,10.5000,10.5000,0
HTK,20190109,10.5000,10.5000,10.5000,10.5000,0
HTK,20190110,10.5000,10.5000,10.5000,10.5000,0
HTK,20190111,10.5000,10.5000,10.5000,10.5000,0
HTK,20190114,10.5000,10.5000,10.5000,10.5000,0
HTK,20190115,10.5000,10.5000,10.5000,10.5000,0
HTK,20190116,10.5000,10.5000,10.5000,10.5000,0
HTK,20190117,10.5000,10.5000,10.5000,10.5000,0
HTK,20190118,10.5000,10.5000,10.5000,10.5000,0
HTK,20190121,10.5000,10.5000,10.5000,10.5000,0
HTK,20190122,10.5000,10.5000,10.5000,10.5000,0
HTK,20190123,10.5000,10.5000,10.5000,10.5000,0
HTK,20190124,10.5000,10.5000,10.5000,10.5000,0
HTK,20190125,10.5000,10.5000,10.5000,10.5000,0
HTK,20190128,10.5000,10.5000,10.5000,10.5000,0
HTK,20190129,10.5000,10.5000,10.5000,10.5000,0
HTK,20190130,10.5000,10.5000,10.5000,10.5000,0
HTK,20190131,10.5000,10.5000,10.5000,10.5000,0
HTK,20190201,10.5000,10.5000,10.5000,10.5000,0
HTK,20190211,10.5000,10.5000,10.5000,10.5000,0
HTK,20190212,10.5000,10.5000,10.5000,10.5000,0
HTK,20190213,10.5000,10.5000,10.5000,10.5000,0
HTK,20190214,10.5000,10.5000,10.5000,10.5000,0
HTK,20190215,10.5000,10.5000,10.5000,10.5000,0
HTK,20190218,10.5000,10.5000,10.5000,10.5000,0
HTK,20190219,10.5000,10.5000,10.5000,10.5000,0
HTK,20190220,10.5000,10.5000,10.5000,10.5000,0
HTK,20190221,10.5000,10.5000,10.5000,10.5000,0
HTK,20190222,10.5000,10.5000,10.5000,10.5000,0
HTK,20190225,10.5000,10.5000,10.5000,10.5000,0
HTK,20190226,10.5000,10.5000,10.5000,10.5000,0
HTK,20190227,10.5000,10.5000,10.5000,10.5000,0
HTK,20190228,10.5000,10.5000,10.5000,10.5000,0
HTK,20190301,10.5000,10.5000,10.5000,10.5000,0
HTK,20190304,10.5000,10.5000,10.5000,10.5000,0
HTK,20190305,10.5000,10.5000,10.5000,10.5000,0
HTK,20190306,10.5000,10.5000,10.5000,10.5000,0
HTK,20190307,10.5000,10.5000,10.5000,10.5000,100
HTK,20190308,10.5000,10.5000,10.5000,10.5000,0
HTK,20190311,10.5000,10.5000,10.5000,10.5000,0
HTK,20190312,10.5000,10.5000,10.5000,10.5000,0
HTK,20190313,10.5000,10.5000,10.5000,10.5000,0
HTK,20190314,10.5000,10.5000,10.5000,10.5000,0
HTK,20190315,10.5000,10.5000,10.5000,10.5000,0
HTK,20190318,10.5000,10.5000,10.5000,10.5000,0
HTK,20190319,10.5000,10.5000,10.5000,10.5000,0
HTK,20190320,10.5000,10.5000,10.5000,10.5000,0
HTK,20190321,10.5000,10.5000,10.5000,10.5000,0
HTK,20190322,10.5000,10.5000,10.5000,10.5000,0
HTK,20190325,10.5000,10.5000,10.5000,10.5000,0
HTK,20190326,10.5000,10.5000,10.5000,10.5000,0
HTK,20190327,10.5000,10.5000,10.5000,10.5000,0
HTK,20190328,10.5000,10.5000,10.5000,10.5000,0
HTK,20190329,10.5000,10.5000,10.5000,10.5000,0
HTK,20190401,10.5000,10.5000,10.5000,10.5000,0
HTK,20190402,10.5000,10.5000,10.5000,10.5000,0
HTK,20190403,10.5000,10.5000,10.5000,10.5000,0
HTK,20190404,10.5000,10.5000,10.5000,10.5000,0
HTK,20190405,10.5000,10.5000,10.5000,10.5000,0
HTK,20190408,10.5000,10.5000,10.5000,10.5000,0
HTK,20190409,10.5000,10.5000,10.5000,10.5000,0
HTK,20190410,10.5000,10.5000,10.5000,10.5000,0
HTK,20190411,10.5000,10.5000,10.5000,10.5000,0
HTK,20190412,10.5000,10.5000,10.5000,10.5000,0
HTK,20190416,10.5000,10.5000,10.5000,10.5000,0
HTK,20190417,10.5000,10.5000,10.5000,10.5000,0
HTK,20190418,10.5000,10.5000,10.5000,10.5000,0
HTK,20190419,10.5000,10.5000,10.5000,10.5000,0
HTK,20190422,10.5000,10.5000,10.5000,10.5000,0
HTK,20190423,10.5000,10.5000,10.5000,10.5000,0
HTK,20190424,10.5000,10.5000,10.5000,10.5000,0
HTK,20190425,10.5000,10.5000,10.5000,10.5000,0
HTK,20190426,10.5000,10.5000,10.5000,10.5000,0
HTK,20190502,10.5000,10.5000,10.5000,10.5000,0
HTK,20190503,10.5000,10.5000,10.5000,10.5000,0
HTK,20190506,10.5000,10.5000,10.5000,10.5000,0
HTK,20190507,10.5000,10.5000,10.5000,10.5000,0
HTK,20190508,10.5000,10.5000,10.5000,10.5000,0
HTK,20190509,10.5000,10.5000,10.5000,10.5000,0
