<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HU1,20100525,20.0000,20.0000,20.0000,20.0000,1000
HU1,20100526,20.0000,20.0000,20.0000,20.0000,0
HU1,20100527,20.0000,20.0000,20.0000,20.0000,0
HU1,20100528,20.0000,20.0000,20.0000,20.0000,0
HU1,20100531,20.0000,20.0000,20.0000,20.0000,0
HU1,20100601,20.0000,20.0000,20.0000,20.0000,0
HU1,20100602,20.0000,20.0000,20.0000,20.0000,0
HU1,20100603,20.0000,20.0000,20.0000,20.0000,0
HU1,20100604,20.0000,20.0000,20.0000,20.0000,0
HU1,20100607,20.0000,20.0000,20.0000,20.0000,0
HU1,20100608,20.0000,20.0000,20.0000,20.0000,25000
HU1,20100609,20.0000,20.0000,20.0000,20.0000,0
HU1,20100610,20.0000,20.0000,20.0000,20.0000,0
HU1,20100611,20.0000,20.0000,20.0000,20.0000,0
HU1,20100614,20.0000,20.0000,20.0000,20.0000,0
HU1,20100615,20.0000,20.0000,20.0000,20.0000,0
HU1,20100616,20.0000,20.0000,20.0000,20.0000,0
HU1,20100617,20.0000,20.0000,20.0000,20.0000,0
HU1,20100618,20.0000,20.0000,20.0000,20.0000,0
HU1,20100621,20.0000,20.0000,20.0000,20.0000,0
HU1,20100622,20.0000,20.0000,20.0000,20.0000,0
HU1,20100623,20.0000,20.0000,20.0000,20.0000,0
HU1,20100624,20.0000,20.0000,20.0000,20.0000,0
HU1,20100625,20.0000,20.0000,20.0000,20.0000,0
HU1,20100628,20.0000,20.0000,20.0000,20.0000,0
HU1,20100629,20.0000,20.0000,20.0000,20.0000,0
HU1,20100630,20.0000,20.0000,20.0000,20.0000,0
HU1,20100701,20.0000,20.0000,20.0000,20.0000,0
HU1,20100702,20.0000,20.0000,20.0000,20.0000,0
HU1,20100705,22.0000,22.0000,22.0000,22.0000,1500
HU1,20100706,22.0000,22.0000,22.0000,22.0000,0
HU1,20100707,22.0000,22.0000,22.0000,22.0000,0
HU1,20100708,24.2000,24.2000,24.2000,24.2000,1000
HU1,20100709,26.6000,26.6000,26.6000,26.6000,2000
HU1,20100712,29.2000,29.2000,29.2000,29.2000,1000
HU1,20100713,29.2000,29.2000,29.2000,29.2000,0
HU1,20100714,29.2000,29.2000,29.2000,29.2000,0
HU1,20100715,32.1000,32.1000,32.1000,32.1000,1781
HU1,20100716,35.3000,35.3000,35.3000,35.3000,14316
HU1,20100719,38.8000,38.8000,38.8000,38.8000,100
HU1,20100720,42.6000,42.6000,42.6000,42.6000,20200
HU1,20100721,46.8000,46.8000,46.8000,46.8000,2400
HU1,20100722,46.8000,46.8000,42.2000,43.0000,21600
HU1,20100723,42.0000,42.0000,39.0000,40.5000,5100
