<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HUB,20190226,25.0000,26.0000,20.0000,20.0000,65860
HUB,20190227,18.7000,19.0000,18.6000,18.6000,19140
HUB,20190228,17.3000,17.3000,17.3000,17.3000,1390
HUB,20190301,16.1000,17.0000,16.1000,16.1000,26370
HUB,20190304,15.2000,16.5000,15.2000,15.4000,5050
HUB,20190305,16.0000,16.4500,15.3000,16.4500,17170
HUB,20190306,17.4000,17.6000,17.4000,17.6000,6980
HUB,20190307,17.9500,18.8000,17.9500,18.5000,6820
HUB,20190308,18.7000,18.7000,17.5000,18.4500,2770
HUB,20190311,18.3000,18.3000,17.2000,18.3000,6880
HUB,20190312,18.0000,18.2000,18.0000,18.2000,4000
HUB,20190313,17.0500,18.0000,17.0000,17.3000,8170
HUB,20190314,17.5000,17.8000,17.0000,17.0000,18170
HUB,20190315,17.0000,17.6000,17.0000,17.4500,2790
HUB,20190318,17.0000,18.6500,17.0000,18.2000,17230
HUB,20190319,18.2000,18.2000,17.7000,18.1500,1730
HUB,20190320,18.2500,19.4000,18.0000,19.0000,3200
HUB,20190321,19.0000,19.4000,19.0000,19.0000,4070
HUB,20190322,19.0000,20.0000,19.0000,19.1000,5650
HUB,20190325,18.1000,19.1000,17.9000,18.0000,2900
HUB,20190326,19.0000,19.0000,18.5000,18.8000,940
HUB,20190327,18.0000,18.8000,18.0000,18.5000,410
HUB,20190328,19.0000,19.0000,18.0000,18.0000,1550
HUB,20190329,18.8000,18.8000,18.8000,18.8000,10
HUB,20190401,18.3000,18.8000,18.0000,18.3000,10340
HUB,20190402,18.3000,18.3000,18.3000,18.3000,150
HUB,20190403,18.5000,18.5000,17.0500,18.3000,8530
HUB,20190404,18.5000,18.6000,17.1000,17.3500,8710
HUB,20190405,18.3000,18.3000,18.3000,18.3000,840
HUB,20190408,17.2000,18.3000,17.2000,18.3000,2130
HUB,20190409,18.0000,18.0000,17.8000,17.8000,1230
HUB,20190410,17.8000,17.8000,17.8000,17.8000,10
HUB,20190411,17.7500,18.1500,17.6000,18.1500,8040
HUB,20190412,18.1500,18.1500,18.1500,18.1500,0
HUB,20190416,17.5500,17.5500,17.5500,17.5500,3930
HUB,20190417,17.5500,17.5500,17.5500,17.5500,0
HUB,20190418,17.9500,17.9500,17.9500,17.9500,10
HUB,20190419,17.5000,17.9500,17.5000,17.9500,3970
HUB,20190422,17.5000,17.9500,17.5000,17.9500,30
HUB,20190423,17.9500,17.9500,17.9500,17.9500,0
HUB,20190424,17.9500,17.9500,17.9500,17.9500,0
HUB,20190425,17.0500,17.5000,16.7000,17.5000,3030
HUB,20190426,17.6000,17.6000,17.6000,17.6000,3550
HUB,20190502,17.1000,17.6000,17.0000,17.6000,2320
HUB,20190503,16.6500,17.8500,16.6500,17.4000,520
HUB,20190506,17.0000,17.1000,16.8000,17.1000,2310
HUB,20190507,17.9000,18.0000,16.9000,17.7000,40
HUB,20190508,17.0000,17.0000,17.0000,17.0000,1500
HUB,20190509,16.9000,17.9000,16.9000,17.9000,40
HUB,20190510,17.9000,17.9000,17.9000,17.9000,0
HUB,20190513,19.0000,19.0000,18.5000,18.5000,1010
HUB,20190514,18.5000,18.5000,18.5000,18.5000,10
HUB,20190515,18.5000,18.5000,18.5000,18.5000,0
HUB,20190516,18.0000,18.0000,17.2500,18.0000,4390
HUB,20190517,18.0000,18.0000,17.5000,18.0000,2840
HUB,20190520,17.9000,17.9000,17.0500,17.0500,11120
HUB,20190521,17.8000,17.8000,17.1000,17.7500,1230
HUB,20190522,11.5711,11.6062,11.2545,11.2545,4330
HUB,20190523,11.2545,11.2545,11.2545,11.2545,10
HUB,20190524,11.5359,11.5359,10.9732,11.5007,770
HUB,20190527,10.7270,11.2545,10.7270,11.2545,4850
HUB,20190528,11.9931,11.9931,11.9931,11.9931,10
HUB,20190529,11.1842,11.2545,11.1842,11.1842,2190
HUB,20190530,10.6918,11.2545,10.6918,10.7270,5070
HUB,20190531,11.2545,11.2545,11.2545,11.2545,10
HUB,20190603,11.2545,11.3952,11.2545,11.3952,20
HUB,20190604,11.3600,11.3600,11.3600,11.3600,10
HUB,20190605,11.3600,11.3600,11.3600,11.3600,10
HUB,20190606,11.3249,11.3249,11.3249,11.3249,10
HUB,20190607,11.2545,11.2545,11.2545,11.2545,580
HUB,20190610,11.2545,11.2545,11.2545,11.2545,10
HUB,20190611,10.9732,11.2194,10.9732,11.2194,1010
HUB,20190612,11.4656,11.4656,10.9028,11.0435,22940
HUB,20190613,11.5711,11.5711,11.5711,11.5711,10
HUB,20190614,11.5711,11.5711,11.5711,11.5711,0
HUB,20190617,11.3249,11.3249,11.2545,11.3249,6900
HUB,20190618,11.2545,11.3952,11.2545,11.2545,7010
HUB,20190619,11.4656,11.4656,11.2897,11.4304,120
HUB,20190620,11.2897,11.3600,11.2897,11.2897,3490
HUB,20190621,11.3249,11.3249,11.2545,11.2897,4310
HUB,20190624,11.9579,11.9579,11.2545,11.5359,4540
HUB,20190625,11.5007,11.6062,11.5007,11.6062,11490
HUB,20190626,11.6062,12.3800,11.6062,11.9579,10060
HUB,20190627,12.3096,12.7317,11.9931,12.0634,21310
HUB,20190628,12.0634,12.8020,12.0634,12.5207,9750
HUB,20190701,12.5910,13.3648,12.3096,13.3648,75660
HUB,20190702,13.4351,13.9275,13.3648,13.9275,118720
HUB,20190703,13.7868,13.7868,13.7165,13.7868,19640
HUB,20190704,13.5054,13.7868,13.4351,13.7868,18140
HUB,20190705,13.5406,13.7868,13.5406,13.7868,10040
HUB,20190708,13.8571,14.7364,13.8571,14.7364,66830
HUB,20190709,15.1233,15.7563,15.0529,15.7563,84140
HUB,20190710,16.7411,16.8466,16.1784,16.1784,46790
HUB,20190711,15.8970,16.8818,15.8267,16.5301,38940
HUB,20190712,16.5301,17.5852,16.5301,17.5852,25110
HUB,20190715,17.2335,17.5852,16.7411,16.7411,37090
HUB,20190716,17.1632,17.8666,17.0928,17.0928,55540
HUB,20190717,16.2487,17.3742,16.2487,16.3191,23190
HUB,20190718,15.9674,16.5301,15.9674,16.5301,7280
HUB,20190719,16.1784,16.6708,16.1432,16.6004,790
HUB,20190722,16.6708,16.6708,15.4398,15.4398,36260
HUB,20190723,15.4398,15.4750,14.3847,15.2640,74690
HUB,20190724,15.1936,15.1936,14.2088,14.2088,33270
HUB,20190725,14.2088,15.1584,14.0682,15.1233,18610
HUB,20190726,15.1584,15.1584,14.0682,14.0682,16980
HUB,20190729,13.2944,13.2944,13.0834,13.0834,79350
HUB,20190730,13.6813,13.6813,12.6613,13.0130,23830
HUB,20190731,13.0130,13.0834,12.5207,12.5910,59510
HUB,20190801,12.5910,13.2944,12.5207,13.2944,17300
HUB,20190802,13.2944,13.2944,12.6613,13.1537,16300
HUB,20190805,12.6965,14.0682,12.6965,14.0682,18210
HUB,20190806,14.4199,15.0529,14.2792,15.0529,97720
HUB,20190807,15.0529,15.4046,14.4550,14.7012,14090
HUB,20190808,15.0178,15.0178,14.1737,14.7012,4540
HUB,20190809,14.2088,14.6309,14.0682,14.6309,23140
HUB,20190812,14.8771,14.8771,14.2792,14.2792,9370
HUB,20190813,14.2792,14.4199,13.7165,13.8571,25570
HUB,20190814,13.9275,14.4199,13.8571,14.2088,9800
HUB,20190815,14.0682,14.2792,13.7165,13.8571,3160
HUB,20190816,13.8923,14.8067,13.8923,14.8067,50260
HUB,20190819,15.0881,15.6860,14.7716,15.4398,36890
HUB,20190820,16.1784,16.1784,15.6157,15.8970,48730
HUB,20190821,15.9674,16.1080,15.3343,15.3343,20080
HUB,20190822,15.3343,15.4046,15.0529,15.4046,7190
HUB,20190823,15.4046,15.6157,15.1936,15.1936,25600
HUB,20190826,15.1936,15.9674,14.7716,15.8267,27250
HUB,20190827,15.8267,16.9170,15.6860,16.9170,237050
HUB,20190828,17.5149,17.5852,16.6356,16.6356,70420
HUB,20190829,16.7411,17.7962,16.6356,17.7962,166760
HUB,20190830,17.7962,17.7962,17.1632,17.4445,70600
HUB,20190903,16.9521,17.5149,16.7411,17.2335,74570
HUB,20190904,17.0928,17.1632,16.3894,16.8818,35600
HUB,20190905,16.8818,16.8818,16.4597,16.8466,19800
HUB,20190906,16.4597,16.4597,15.8970,15.8970,41600
HUB,20190909,15.8970,16.1080,15.8970,16.1080,4980
HUB,20190910,17.1983,17.1983,15.8267,16.1784,4570
HUB,20190911,15.6157,16.9521,15.6157,16.5301,200
HUB,20190912,16.5301,16.5301,15.8970,15.9674,12660
HUB,20190913,15.9674,16.6004,15.6860,15.6860,17500
HUB,20190916,15.7563,16.5301,15.7563,16.4246,8010
HUB,20190917,16.1784,16.2487,15.9674,16.1784,7700
HUB,20190918,16.1784,16.4597,16.1080,16.4597,4310
HUB,20190919,16.4246,16.4597,15.8619,15.8619,18430
HUB,20190920,16.1784,16.1784,15.8970,16.1784,1210
HUB,20190923,15.9674,15.9674,15.4750,15.4750,19460
HUB,20190924,15.4750,15.8267,15.3343,15.7915,3930
HUB,20190925,16.0025,16.0025,14.7012,15.1936,45870
HUB,20190926,15.1233,15.2640,14.2440,15.2640,24660
HUB,20190927,14.5957,14.9123,14.4199,14.5605,25070
HUB,20190930,14.4199,14.5605,14.4199,14.4199,15980
HUB,20191001,14.7716,14.7716,14.4199,14.7716,4940
HUB,20191002,14.4902,14.7012,14.4199,14.5254,6040
HUB,20191003,14.4199,14.4199,14.2792,14.3495,7000
HUB,20191004,14.3495,14.4199,14.2088,14.3495,9650
HUB,20191007,14.2088,14.6661,14.2088,14.6661,7210
HUB,20191008,14.4902,14.4902,14.3495,14.3495,2570
HUB,20191009,14.6309,14.7716,14.4199,14.7716,610
HUB,20191010,15.4750,15.4750,14.7716,14.7716,1380
HUB,20191011,14.4199,14.7716,14.3495,14.7716,8100
HUB,20191014,14.6309,14.6309,14.6309,14.6309,280
HUB,20191015,14.4199,14.5605,13.7165,13.7165,24950
HUB,20191016,14.2792,14.6661,14.2792,14.6661,2690
HUB,20191017,14.4902,14.7716,14.4199,14.7716,2380
HUB,20191018,14.3144,14.5957,14.0682,14.5605,20260
HUB,20191021,14.4199,14.4199,14.4199,14.4199,5000
HUB,20191022,14.1033,14.4199,14.1033,14.4199,20
HUB,20191023,14.2088,14.2088,14.0682,14.1033,22900
HUB,20191024,14.3495,15.0881,14.0682,15.0881,70
HUB,20191025,15.0881,15.0881,15.0881,15.0881,0
HUB,20191028,14.3495,14.3495,14.0682,14.2792,10150
HUB,20191029,14.2792,14.2792,14.2792,14.2792,10760
HUB,20191030,14.2792,14.2792,14.2088,14.2088,22180
HUB,20191031,13.9275,14.6309,13.9275,14.6309,40
