<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
HWS,20180727,10.7000,10.7000,10.7000,10.7000,0
HWS,20180730,10.7000,10.7000,10.7000,10.7000,0
HWS,20180731,10.7000,10.7000,10.7000,10.7000,0
HWS,20180801,10.7000,10.7000,10.7000,10.7000,0
HWS,20180802,10.7000,10.7000,10.7000,10.7000,0
HWS,20180803,10.7000,10.7000,10.7000,10.7000,0
HWS,20180806,10.7000,10.7000,10.7000,10.7000,0
HWS,20180807,10.7000,10.7000,10.7000,10.7000,0
HWS,20180808,10.7000,10.7000,10.7000,10.7000,0
HWS,20180809,14.9000,14.9000,14.9000,14.9000,100
HWS,20180810,14.9000,14.9000,14.9000,14.9000,0
HWS,20180813,14.9000,14.9000,14.9000,14.9000,0
HWS,20180814,14.9000,14.9000,14.9000,14.9000,0
HWS,20180815,14.9000,14.9000,14.9000,14.9000,0
HWS,20180816,14.9000,14.9000,14.9000,14.9000,0
HWS,20180817,14.9000,14.9000,14.9000,14.9000,0
HWS,20180820,14.9000,14.9000,14.9000,14.9000,0
HWS,20180821,14.9000,14.9000,14.9000,14.9000,0
HWS,20180822,14.9000,14.9000,14.9000,14.9000,0
HWS,20180823,14.9000,14.9000,14.9000,14.9000,0
HWS,20180824,13.0000,13.0000,13.0000,13.0000,100
HWS,20180827,13.0000,13.0000,13.0000,13.0000,0
HWS,20180828,13.0000,13.0000,13.0000,13.0000,0
HWS,20180829,13.0000,13.0000,13.0000,13.0000,0
HWS,20180830,13.0000,13.0000,13.0000,13.0000,0
HWS,20180831,10.9183,10.9183,10.9183,10.9183,0
HWS,20180904,10.9183,10.9183,10.9183,10.9183,0
HWS,20180905,10.9183,10.9183,10.9183,10.9183,0
HWS,20180906,10.9183,10.9183,10.9183,10.9183,0
HWS,20180907,10.9183,10.9183,10.9183,10.9183,0
HWS,20180910,10.9183,10.9183,10.9183,10.9183,0
HWS,20180911,10.9183,10.9183,10.9183,10.9183,0
HWS,20180912,10.9183,10.9183,10.9183,10.9183,0
HWS,20180913,10.9183,10.9183,10.9183,10.9183,0
HWS,20180914,10.9183,10.9183,10.9183,10.9183,0
HWS,20180917,10.9183,10.9183,10.9183,10.9183,0
HWS,20180918,10.9183,10.9183,10.9183,10.9183,0
HWS,20180919,10.9183,10.9183,10.9183,10.9183,0
HWS,20180920,10.9183,10.9183,10.9183,10.9183,0
HWS,20180921,10.9183,10.9183,10.9183,10.9183,0
HWS,20180924,10.9183,10.9183,10.9183,10.9183,0
HWS,20180925,10.9183,10.9183,10.9183,10.9183,0
HWS,20180926,9.2848,9.2848,9.2848,9.2848,100
HWS,20180927,7.9093,7.9093,7.9093,7.9093,5300
HWS,20180928,7.9093,7.9093,7.9093,7.9093,0
HWS,20181001,7.9093,7.9093,7.9093,7.9093,0
HWS,20181002,7.9093,7.9093,7.9093,7.9093,0
HWS,20181003,6.7917,6.7917,6.7917,6.7917,3100
HWS,20181004,6.7917,6.7917,6.7917,6.7917,0
HWS,20181005,6.7917,6.7917,6.7917,6.7917,0
HWS,20181008,6.7917,6.7917,6.7917,6.7917,0
HWS,20181009,5.8460,5.8460,5.8460,5.8460,9600
HWS,20181010,5.8460,5.8460,5.1582,5.1582,400
HWS,20181011,5.5021,5.5021,5.5021,5.5021,0
HWS,20181012,5.5021,5.5021,5.5021,5.5021,0
HWS,20181015,5.6741,5.6741,4.7284,4.7284,32700
HWS,20181016,4.9863,4.9863,4.9863,4.9863,0
HWS,20181017,4.9863,4.9863,4.9863,4.9863,0
HWS,20181018,4.9863,4.9863,4.9863,4.9863,0
HWS,20181019,4.8143,4.8143,4.8143,4.8143,30600
HWS,20181022,4.8143,4.8143,4.8143,4.8143,0
HWS,20181023,5.5021,5.5021,4.5564,4.5564,300
HWS,20181024,5.1582,5.1582,5.1582,5.1582,0
HWS,20181025,5.1582,5.1582,5.1582,5.1582,0
HWS,20181026,5.1582,5.1582,5.1582,5.1582,0
HWS,20181029,4.7284,4.7284,4.7284,4.7284,100
HWS,20181030,5.1582,5.4161,5.1582,5.4161,200
HWS,20181031,4.9003,4.9003,4.9003,4.9003,6400
HWS,20181101,4.9003,4.9003,4.9003,4.9003,0
HWS,20181102,4.9003,4.9003,4.9003,4.9003,0
HWS,20181105,4.9003,4.9003,4.9003,4.9003,0
HWS,20181106,4.9003,4.9003,4.9003,4.9003,0
HWS,20181107,4.9003,4.9003,4.9003,4.9003,0
HWS,20181108,4.9003,4.9003,4.9003,4.9003,0
HWS,20181109,4.9003,4.9003,4.9003,4.9003,0
HWS,20181112,4.9003,4.9003,4.9003,4.9003,0
HWS,20181113,4.9003,4.9003,4.9003,4.9003,0
HWS,20181114,4.9003,4.9003,4.9003,4.9003,0
HWS,20181115,4.8143,4.8143,4.8143,4.8143,9600
HWS,20181116,4.8143,4.8143,4.8143,4.8143,0
HWS,20181119,4.8143,4.8143,4.8143,4.8143,0
HWS,20181120,4.8143,4.8143,4.8143,4.8143,0
HWS,20181121,4.8143,4.8143,4.8143,4.8143,0
HWS,20181122,4.8143,4.8143,4.8143,4.8143,0
HWS,20181123,4.8143,4.8143,4.8143,4.8143,0
HWS,20181126,4.8143,4.8143,4.8143,4.8143,0
HWS,20181127,4.8143,4.8143,4.8143,4.8143,0
HWS,20181128,5.0723,5.0723,5.0723,5.0723,9200
HWS,20181129,5.7600,5.7600,5.7600,5.7600,100
HWS,20181130,6.6197,6.6197,6.6197,6.6197,100
HWS,20181203,6.6197,6.6197,6.6197,6.6197,0
HWS,20181204,6.8776,7.1355,6.8776,7.1355,200
HWS,20181205,8.0812,8.0812,8.0812,8.0812,100
HWS,20181206,9.2848,9.2848,9.2848,9.2848,100
HWS,20181207,10.6603,10.6603,10.6603,10.6603,100
HWS,20181210,10.6603,10.6603,10.6603,10.6603,0
HWS,20181211,10.6603,10.6603,10.6603,10.6603,0
HWS,20181212,10.6603,10.6603,10.6603,10.6603,0
HWS,20181213,10.6603,10.6603,10.6603,10.6603,0
HWS,20181214,9.1129,9.1129,9.1129,9.1129,100
HWS,20181217,7.8233,7.8233,7.8233,7.8233,100
HWS,20181218,7.8233,7.8233,7.8233,7.8233,0
HWS,20181219,7.8233,7.8233,7.8233,7.8233,0
HWS,20181220,7.8233,7.8233,7.8233,7.8233,0
HWS,20181221,6.7057,6.7057,6.7057,6.7057,100
HWS,20181224,5.9320,5.9320,5.9320,5.9320,19700
HWS,20181225,5.9320,5.9320,5.9320,5.9320,0
HWS,20181226,5.9320,5.9320,5.9320,5.9320,0
HWS,20181227,5.9320,5.9320,5.9320,5.9320,0
HWS,20181228,5.9320,5.9320,5.9320,5.9320,0
HWS,20190102,5.6741,5.6741,5.6741,5.6741,9600
HWS,20190103,5.2442,5.2442,5.2442,5.2442,10000
HWS,20190104,5.4161,5.4161,5.4161,5.4161,14300
HWS,20190107,5.4161,5.4161,5.4161,5.4161,0
HWS,20190108,5.4161,5.4161,5.4161,5.4161,0
HWS,20190109,5.4161,5.4161,5.4161,5.4161,0
HWS,20190110,5.4161,5.4161,5.4161,5.4161,0
HWS,20190111,5.4161,5.4161,5.4161,5.4161,0
HWS,20190114,5.4161,5.4161,5.4161,5.4161,0
HWS,20190115,5.4161,5.4161,5.4161,5.4161,0
HWS,20190116,5.4161,5.4161,5.4161,5.4161,0
HWS,20190117,5.4161,5.4161,5.4161,5.4161,0
HWS,20190118,6.1899,6.1899,6.1899,6.1899,200
HWS,20190121,6.4478,6.4478,6.4478,6.4478,500
HWS,20190122,6.4478,6.4478,6.4478,6.4478,0
HWS,20190123,6.4478,6.4478,6.4478,6.4478,0
HWS,20190124,6.4478,6.4478,6.4478,6.4478,0
HWS,20190125,6.4478,6.4478,6.4478,6.4478,0
HWS,20190128,6.4478,6.4478,6.4478,6.4478,0
HWS,20190129,7.3935,7.3935,7.3935,7.3935,200
HWS,20190130,7.3935,7.3935,7.3935,7.3935,0
HWS,20190131,7.3935,7.3935,7.3935,7.3935,0
HWS,20190201,7.3935,7.3935,7.3935,7.3935,0
HWS,20190211,7.3935,7.3935,7.3935,7.3935,0
HWS,20190212,7.3935,7.3935,7.3935,7.3935,0
HWS,20190213,7.7373,7.7373,7.7373,7.7373,500
HWS,20190214,7.7373,7.7373,7.7373,7.7373,0
HWS,20190215,7.7373,7.7373,7.7373,7.7373,0
HWS,20190218,7.7373,7.7373,7.7373,7.7373,0
HWS,20190219,8.1672,8.1672,8.1672,8.1672,100
HWS,20190220,8.1672,8.1672,8.1672,8.1672,0
HWS,20190221,8.1672,8.1672,8.1672,8.1672,0
HWS,20190222,8.1672,8.1672,8.1672,8.1672,0
HWS,20190225,8.1672,8.1672,8.1672,8.1672,0
HWS,20190226,8.1672,8.1672,8.1672,8.1672,0
HWS,20190227,8.1672,8.1672,8.1672,8.1672,0
HWS,20190228,8.1672,8.1672,8.1672,8.1672,0
HWS,20190301,8.1672,8.1672,8.1672,8.1672,0
HWS,20190304,8.1672,8.1672,8.1672,8.1672,0
HWS,20190305,8.1672,8.1672,8.1672,8.1672,0
HWS,20190306,8.1672,8.1672,8.1672,8.1672,0
HWS,20190307,8.1672,8.1672,8.1672,8.1672,0
HWS,20190308,8.1672,8.1672,8.1672,8.1672,0
HWS,20190311,8.1672,8.1672,8.1672,8.1672,0
HWS,20190312,8.1672,8.1672,8.1672,8.1672,0
HWS,20190313,7.1355,7.1355,7.1355,7.1355,5900
HWS,20190314,7.1355,7.1355,7.1355,7.1355,0
HWS,20190315,7.1355,7.1355,7.1355,7.1355,0
HWS,20190318,7.1355,7.1355,7.1355,7.1355,0
HWS,20190319,7.1355,7.1355,7.1355,7.1355,0
HWS,20190320,6.1039,6.1039,6.1039,6.1039,12200
HWS,20190321,6.1039,6.1039,6.1039,6.1039,0
HWS,20190322,6.1039,6.1039,6.1039,6.1039,0
HWS,20190325,6.1039,6.1039,6.1039,6.1039,0
HWS,20190326,6.1039,6.1039,6.1039,6.1039,0
HWS,20190327,6.1039,6.1039,6.1039,6.1039,0
HWS,20190328,6.1039,6.1039,6.1039,6.1039,0
HWS,20190329,6.1039,6.1039,6.1039,6.1039,0
HWS,20190401,6.1039,6.1039,6.1039,6.1039,0
HWS,20190402,6.1039,6.1039,6.1039,6.1039,0
HWS,20190403,6.1039,6.1039,6.1039,6.1039,0
HWS,20190404,6.1039,6.1039,6.1039,6.1039,0
HWS,20190405,6.1039,6.1039,6.1039,6.1039,0
HWS,20190408,6.1039,6.1039,6.1039,6.1039,0
HWS,20190409,6.1039,6.1039,6.1039,6.1039,0
HWS,20190410,6.9636,6.9636,6.9636,6.9636,100
HWS,20190411,6.9636,6.9636,6.9636,6.9636,0
HWS,20190412,7.9953,7.9953,7.9953,7.9953,300
HWS,20190416,8.6830,9.1129,7.9953,7.9953,7300
HWS,20190417,8.5970,8.5970,8.4251,8.4251,15000
HWS,20190418,9.0269,9.4568,9.0269,9.4568,7000
HWS,20190419,8.9409,8.9409,8.9409,8.9409,2000
HWS,20190422,10.2305,10.2305,10.2305,10.2305,400
HWS,20190423,10.7463,10.7463,9.0269,9.0269,2100
HWS,20190424,9.1129,9.1129,9.1129,9.1129,0
HWS,20190425,9.1129,9.1129,9.1129,9.1129,0
HWS,20190426,9.1129,9.1129,9.1129,9.1129,0
HWS,20190502,9.0269,9.0269,9.0269,9.0269,3000
HWS,20190503,9.0269,9.0269,9.0269,9.0269,0
HWS,20190506,9.0269,9.0269,9.0269,9.0269,0
HWS,20190507,9.0269,9.0269,9.0269,9.0269,0
HWS,20190508,9.0269,9.0269,9.0269,9.0269,0
HWS,20190509,8.9409,8.9409,8.9409,8.9409,2000
HWS,20190510,8.9409,8.9409,8.9409,8.9409,0
HWS,20190513,8.8550,8.8550,8.8550,8.8550,2000
HWS,20190514,8.8550,8.8550,8.8550,8.8550,0
HWS,20190515,8.8550,8.8550,8.8550,8.8550,0
HWS,20190516,8.8550,8.8550,8.8550,8.8550,0
