<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
IDI,20110630,14.4000,14.4000,14.4000,14.4000,170
IDI,20110701,13.7000,13.7000,13.7000,13.7000,40
IDI,20110704,13.1000,13.1000,13.1000,13.1000,15000
IDI,20110705,12.5000,12.5000,12.5000,12.5000,220030
IDI,20110706,11.9000,12.0000,11.9000,11.9000,624470
IDI,20110707,11.4000,11.4000,11.4000,11.4000,318140
IDI,20110708,10.9000,11.4000,10.9000,11.3000,1256220
IDI,20110711,11.3000,11.6000,11.1000,11.3000,249140
IDI,20110712,10.8000,11.2000,10.8000,10.8000,478410
IDI,20110713,10.5000,11.2000,10.5000,10.9000,47600
IDI,20110714,10.4000,10.8000,10.4000,10.4000,285500
IDI,20110715,10.0000,10.4000,10.0000,10.3000,88840
IDI,20110718,10.2000,10.2000,9.8000,9.8000,10339
IDI,20110719,9.8000,10.0000,9.5000,10.0000,108560
IDI,20110720,10.0000,10.1000,9.8000,10.1000,87900
IDI,20110721,10.0000,10.2000,9.7000,9.8000,33320
IDI,20110722,9.6000,9.8000,9.6000,9.6000,63980
IDI,20110725,9.8000,9.8000,9.3000,9.3000,32870
IDI,20110726,9.0000,9.3000,9.0000,9.3000,25630
IDI,20110727,9.3000,9.4000,9.1000,9.4000,6400
IDI,20110728,9.6000,9.6000,9.0000,9.4000,33840
IDI,20110729,9.3000,9.3000,9.1000,9.1000,26900
IDI,20110801,9.0000,9.3000,8.8000,9.0000,38550
IDI,20110802,9.0000,9.1000,8.8000,9.1000,47630
IDI,20110803,8.7000,9.1000,8.7000,9.0000,10020
IDI,20110804,9.1000,9.4000,8.8000,9.3000,84070
IDI,20110805,9.3000,9.5000,9.0000,9.5000,39680
IDI,20110808,9.3000,9.5000,9.3000,9.4000,5890
IDI,20110809,9.0000,9.4000,9.0000,9.0000,20310
IDI,20110810,9.0000,9.0000,8.9000,9.0000,26010
IDI,20110811,8.8000,9.0000,8.6000,9.0000,14390
IDI,20110812,9.1000,9.2000,9.0000,9.1000,12910
IDI,20110815,9.3000,9.3000,9.0000,9.0000,80
