<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
IDJ,20100913,20.0000,20.0000,16.1000,17.2000,1091600
IDJ,20100914,18.2000,18.2000,16.3000,16.6000,516000
IDJ,20100915,16.9000,16.9000,15.6000,15.8000,790000
IDJ,20100916,15.8000,16.9000,15.7000,16.9000,930900
IDJ,20100917,17.8000,17.8000,17.2000,17.8000,346800
IDJ,20100920,19.0000,19.0000,18.2000,18.7000,943300
IDJ,20100921,18.6000,19.0000,17.7000,17.9000,1269700
IDJ,20100922,17.7000,19.2000,17.2000,18.7000,1621400
IDJ,20100923,18.7000,18.7000,17.5000,18.2000,774500
IDJ,20100924,18.1000,18.4000,17.9000,18.0000,443200
IDJ,20100927,18.2000,18.3000,17.7000,17.9000,611100
IDJ,20100928,18.1000,18.5000,17.8000,17.9000,674300
IDJ,20100929,17.5000,17.9000,16.9000,16.9000,796100
IDJ,20100930,17.1000,17.2000,16.6000,17.0000,513200
IDJ,20101001,17.1000,17.2000,16.1000,16.3000,306400
IDJ,20101004,16.3000,16.3000,15.3000,15.6000,847100
IDJ,20101005,15.2000,16.0000,14.9000,16.0000,469500
IDJ,20101006,16.0000,16.5000,15.7000,16.4000,697500
IDJ,20101007,16.1000,16.5000,15.6000,15.6000,434700
IDJ,20101008,15.5000,15.9000,15.3000,15.4000,380700
IDJ,20101011,15.4000,15.5000,14.9000,15.1000,379100
IDJ,20101012,15.0000,15.4000,14.6000,14.7000,365000
IDJ,20101013,15.1000,15.1000,14.5000,14.8000,234200
IDJ,20101014,15.1000,15.3000,14.7000,14.8000,314600
IDJ,20101015,15.3000,15.3000,14.0000,14.2000,357600
IDJ,20101018,14.3000,14.4000,13.7000,13.7000,323900
IDJ,20101019,13.7000,13.8000,13.1000,13.4000,943900
IDJ,20101020,13.2000,13.2000,12.3000,12.3000,672300
IDJ,20101021,12.7000,13.0000,11.7000,12.0000,538200
IDJ,20101022,12.2000,12.4000,11.7000,11.9000,273500
IDJ,20101025,12.1000,12.1000,11.3000,12.0000,353300
IDJ,20101026,12.2000,12.5000,12.2000,12.5000,198900
IDJ,20101027,13.3000,13.3000,12.3000,12.4000,647700
IDJ,20101028,12.5000,12.8000,12.1000,12.3000,144600
IDJ,20101029,12.0000,12.6000,12.0000,12.3000,145600
IDJ,20101101,12.6000,12.6000,11.9000,11.9000,203800
IDJ,20101102,12.8000,12.8000,11.6000,11.7000,209700
IDJ,20101103,11.7000,11.9000,11.2000,11.7000,322700
IDJ,20101104,11.5000,11.9000,11.5000,11.7000,316300
IDJ,20101105,12.5000,12.5000,12.0000,12.2000,402700
IDJ,20101108,12.4000,12.6000,11.5000,11.6000,348500
IDJ,20101109,11.8000,11.9000,11.0000,11.1000,632600
IDJ,20101110,11.1000,11.3000,10.9000,11.2000,342100
IDJ,20101111,11.3000,11.3000,10.4000,10.6000,296300
IDJ,20101112,10.4000,10.5000,9.9000,10.1000,537100
IDJ,20101115,10.2000,10.3000,9.7000,9.8000,273000
IDJ,20101116,9.8000,9.9000,9.4000,9.5000,278100
IDJ,20101117,9.4000,10.2000,9.4000,9.9000,293800
IDJ,20101118,10.0000,10.5000,10.0000,10.5000,465600
IDJ,20101119,10.8000,10.8000,9.9000,10.0000,252700
IDJ,20101122,9.7000,9.9000,9.6000,9.8000,326500
IDJ,20101123,10.0000,10.2000,9.7000,10.0000,233200
IDJ,20101124,10.0000,10.2000,9.7000,10.0000,286200
IDJ,20101125,10.2000,10.7000,10.2000,10.7000,836100
IDJ,20101126,11.3000,11.3000,11.1000,11.3000,1320400
IDJ,20101129,12.0000,12.0000,11.2000,12.0000,1243700
IDJ,20101130,12.7000,12.7000,12.7000,12.7000,210100
IDJ,20101201,13.5000,13.5000,12.7000,13.1000,2892600
IDJ,20101202,12.8000,14.3000,12.8000,14.3000,2179300
IDJ,20101203,14.8000,14.9000,14.7000,14.9000,1173200
IDJ,20101206,15.9000,15.9000,14.7000,15.0000,1749000
IDJ,20101207,14.9000,15.4000,14.5000,14.5000,1674300
IDJ,20101208,14.0000,14.2000,13.6000,13.6000,1171300
IDJ,20101209,13.2000,14.1000,12.8000,13.8000,1812200
IDJ,20101210,14.0000,14.2000,14.0000,14.2000,892000
IDJ,20101213,15.1000,15.1000,15.1000,15.1000,214500
IDJ,20101214,16.1000,16.1000,14.1000,14.3000,2343600
