<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ILC,20051226,18.0000,18.0000,18.0000,18.0000,0
ILC,20051228,18.0000,18.0000,18.0000,18.0000,100
ILC,20051230,18.0000,18.0000,18.0000,18.0000,0
ILC,20060104,18.0000,18.0000,18.0000,18.0000,0
ILC,20060106,18.0000,18.0000,18.0000,18.0000,0
ILC,20060109,18.0000,18.0000,18.0000,18.0000,0
ILC,20060111,18.0000,18.0000,18.0000,18.0000,0
ILC,20060113,19.8000,19.8000,19.8000,19.8000,100
ILC,20060116,19.8000,19.8000,19.8000,19.8000,0
ILC,20060118,19.8000,19.8000,19.8000,19.8000,0
ILC,20060120,19.8000,19.8000,19.8000,19.8000,0
ILC,20060123,19.8000,19.8000,19.8000,19.8000,0
ILC,20060125,19.8000,19.8000,19.8000,19.8000,0
ILC,20060127,19.8000,19.8000,19.8000,19.8000,0
ILC,20060206,19.8000,19.8000,19.8000,19.8000,0
ILC,20060208,19.8000,19.8000,19.8000,19.8000,0
ILC,20060210,19.8000,19.8000,19.8000,19.8000,0
ILC,20060213,19.8000,19.8000,19.8000,19.8000,0
ILC,20060215,19.8000,19.8000,19.8000,19.8000,0
ILC,20060217,19.8000,19.8000,19.8000,19.8000,0
ILC,20060220,19.8000,19.8000,19.8000,19.8000,0
ILC,20060222,19.8000,19.8000,19.8000,19.8000,0
ILC,20060224,19.8000,19.8000,19.8000,19.8000,0
ILC,20060227,19.8000,19.8000,19.8000,19.8000,0
ILC,20060301,21.7000,21.7000,21.7000,21.7000,400
ILC,20060303,21.7000,21.7000,21.7000,21.7000,0
ILC,20060306,21.7000,21.7000,21.7000,21.7000,0
ILC,20060308,21.7000,21.7000,21.7000,21.7000,0
ILC,20060310,21.7000,21.7000,21.7000,21.7000,0
ILC,20060313,23.8000,23.8000,23.8000,23.8000,400
ILC,20060315,23.8000,23.8000,23.8000,23.8000,0
ILC,20060317,23.8000,23.8000,23.8000,23.8000,0
ILC,20060320,23.8000,23.8000,23.8000,23.8000,0
ILC,20060322,23.8000,23.8000,23.8000,23.8000,0
ILC,20060324,2.9030,2.9030,2.9030,2.9030,0
ILC,20060327,2.9030,2.9030,2.9030,2.9030,0
ILC,20060329,2.9030,2.9030,2.9030,2.9030,0
ILC,20060331,2.9030,2.9030,2.9030,2.9030,0
ILC,20060401,2.2621,2.2621,2.2621,2.2621,0
ILC,20060403,2.9030,2.9030,2.9030,2.9030,0
ILC,20060405,2.9030,2.9030,2.9030,2.9030,0
ILC,20060407,2.9030,2.9030,2.9030,2.9030,0
ILC,20060410,2.9030,2.9030,2.9030,2.9030,0
ILC,20060412,2.9030,2.9030,2.9030,2.9030,0
ILC,20060414,2.9030,2.9030,2.9030,2.9030,0
ILC,20060417,2.9030,2.9030,2.9030,2.9030,0
ILC,20060419,2.9030,2.9030,2.9030,2.9030,0
ILC,20060421,2.9030,2.9030,2.9030,2.9030,0
ILC,20060424,2.9030,2.9030,2.9030,2.9030,0
ILC,20060426,2.9030,2.9030,2.9030,2.9030,0
ILC,20060428,2.9030,2.9030,2.9030,2.9030,0
ILC,20060503,2.9030,2.9030,2.9030,2.9030,0
ILC,20060505,2.9030,2.9030,2.9030,2.9030,0
ILC,20060508,3.1921,3.1921,3.1921,3.1921,100
ILC,20060510,3.5062,3.5062,3.5062,3.5062,500
ILC,20060512,3.5062,3.5062,3.5062,3.5062,0
ILC,20060515,3.5062,3.5062,3.5062,3.5062,0
ILC,20060517,3.8455,3.8455,3.8455,3.8455,100
ILC,20060519,3.8455,3.8455,3.8455,3.8455,0
ILC,20060522,3.8455,3.8455,3.8455,3.8455,0
ILC,20060524,3.8455,3.8455,3.8455,3.8455,0
ILC,20060526,3.8455,3.8455,3.8455,3.8455,0
ILC,20060529,3.8455,3.8455,3.8455,3.8455,0
ILC,20060531,3.8455,3.8455,3.8455,3.8455,0
ILC,20060601,3.8455,3.8455,3.8455,3.8455,0
ILC,20060602,4.2226,4.2226,4.2226,4.2226,100
ILC,20060605,4.2226,4.2226,4.2226,4.2226,0
ILC,20060606,4.2226,4.2226,4.2226,4.2226,0
ILC,20060607,4.2226,4.2226,4.2226,4.2226,0
ILC,20060608,4.2226,4.2226,4.2226,4.2226,0
ILC,20060609,4.2226,4.2226,4.2226,4.2226,0
ILC,20060612,4.2226,4.2226,4.2226,4.2226,0
ILC,20060613,4.2226,4.2226,4.2226,4.2226,0
ILC,20060614,4.2226,4.2226,4.2226,4.2226,0
ILC,20060615,4.2226,4.2226,4.2226,4.2226,0
ILC,20060616,4.2226,4.2226,4.2226,4.2226,0
ILC,20060619,4.2226,4.2226,4.2226,4.2226,0
ILC,20060620,4.2226,4.2226,4.2226,4.2226,0
ILC,20060621,4.2226,4.2226,4.2226,4.2226,0
ILC,20060622,4.2226,4.2226,4.2226,4.2226,0
ILC,20060623,4.2226,4.2226,4.2226,4.2226,0
ILC,20060626,4.2226,4.2226,4.2226,4.2226,0
ILC,20060627,4.2226,4.2226,4.2226,4.2226,0
ILC,20060628,4.2226,4.2226,4.2226,4.2226,0
ILC,20060629,4.2226,4.2226,4.2226,4.2226,0
ILC,20060630,4.2226,4.2226,4.2226,4.2226,0
ILC,20060703,4.2226,4.2226,4.2226,4.2226,0
ILC,20060704,4.2226,4.2226,4.2226,4.2226,0
ILC,20060705,4.2226,4.2226,4.2226,4.2226,0
ILC,20060706,4.2226,4.2226,4.2226,4.2226,0
ILC,20060707,4.2226,4.2226,4.2226,4.2226,0
ILC,20060710,4.2226,4.2226,4.2226,4.2226,0
ILC,20060711,4.2226,4.2226,4.2226,4.2226,0
ILC,20060712,4.2226,4.2226,4.2226,4.2226,0
ILC,20060713,4.2226,4.2226,4.2226,4.2226,0
ILC,20060714,4.2226,4.2226,4.2226,4.2226,0
ILC,20060717,4.2226,4.2226,4.2226,4.2226,0
ILC,20060718,4.2226,4.2226,4.2226,4.2226,0
ILC,20060719,4.6373,4.6373,4.6373,4.6373,100
ILC,20060720,5.0897,5.0897,5.0897,5.0897,100
ILC,20060721,5.0897,5.0897,5.0897,5.0897,0
ILC,20060724,5.0897,5.0897,5.0897,5.0897,0
ILC,20060725,5.0897,5.0897,5.0897,5.0897,0
ILC,20060726,5.0897,5.0897,5.0897,5.0897,0
ILC,20060727,5.0897,5.0897,5.0897,5.0897,0
ILC,20060728,5.0897,5.0897,5.0897,5.0897,0
ILC,20060731,5.0897,5.0897,5.0897,5.0897,0
ILC,20060801,5.0897,5.0897,5.0897,5.0897,0
ILC,20060802,5.0897,5.0897,5.0897,5.0897,0
ILC,20060803,5.0897,5.0897,5.0897,5.0897,0
ILC,20060804,4.5870,4.5870,4.5870,4.5870,300
ILC,20060807,4.5870,4.5870,4.5870,4.5870,0
ILC,20060808,4.5870,4.5870,4.5870,4.5870,0
ILC,20060809,4.1346,5.0394,4.1346,4.5870,200
ILC,20060810,4.5870,4.5870,4.5870,4.5870,0
ILC,20060811,4.5870,4.5870,4.5870,4.5870,0
ILC,20060814,4.5870,4.5870,4.5870,4.5870,0
ILC,20060815,4.5870,4.5870,4.5870,4.5870,0
ILC,20060816,4.5870,4.5870,4.5870,4.5870,0
ILC,20060817,4.5870,4.5870,4.5870,4.5870,0
ILC,20060818,4.5870,4.5870,4.5870,4.5870,0
ILC,20060821,4.5870,4.5870,4.5870,4.5870,0
ILC,20060822,4.5870,4.5870,4.5870,4.5870,0
ILC,20060823,4.5870,4.5870,4.5870,4.5870,0
ILC,20060824,4.5870,4.5870,4.5870,4.5870,0
ILC,20060825,4.5870,4.5870,4.5870,4.5870,0
ILC,20060828,4.5870,4.5870,4.5870,4.5870,0
ILC,20060829,4.5870,4.5870,4.5870,4.5870,0
ILC,20060830,4.5870,4.5870,4.5870,4.5870,0
ILC,20060831,4.5870,4.5870,4.5870,4.5870,0
ILC,20060901,4.5870,4.5870,4.5870,4.5870,0
ILC,20060905,4.5870,4.5870,4.5870,4.5870,0
ILC,20060906,4.5870,4.5870,4.5870,4.5870,0
ILC,20060907,4.5870,4.5870,4.5870,4.5870,0
ILC,20060908,4.5870,4.5870,4.5870,4.5870,0
ILC,20060911,4.5870,4.5870,4.5870,4.5870,0
ILC,20060912,4.5870,4.5870,4.5870,4.5870,0
ILC,20060913,4.5870,4.5870,4.5870,4.5870,0
ILC,20060914,4.5870,4.5870,4.5870,4.5870,0
ILC,20060915,4.5870,4.5870,4.5870,4.5870,0
ILC,20060918,4.5870,4.5870,4.5870,4.5870,0
ILC,20060919,4.5870,4.5870,4.5870,4.5870,0
ILC,20060920,4.2100,4.2100,4.2100,4.2100,100
ILC,20060921,4.2100,4.2100,4.2100,4.2100,0
ILC,20060922,4.2164,4.2164,4.2164,4.2164,0
