<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ISG,20150922,1.3000,1.3000,1.3000,1.3000,0
ISG,20150923,1.3000,1.3000,1.3000,1.3000,0
ISG,20150924,1.3000,1.3000,1.3000,1.3000,0
ISG,20150925,1.3000,1.3000,1.3000,1.3000,0
ISG,20150928,1.3000,1.3000,1.3000,1.3000,0
ISG,20150929,1.3000,1.3000,1.3000,1.3000,0
ISG,20150930,1.3000,1.3000,1.3000,1.3000,0
ISG,20151001,1.3000,1.3000,1.3000,1.3000,0
ISG,20151002,1.3000,1.3000,1.3000,1.3000,0
ISG,20151005,1.5000,1.8000,1.5000,1.8000,600
ISG,20151006,1.6000,1.6000,1.6000,1.6000,0
ISG,20151007,1.5000,1.5000,1.5000,1.5000,200
ISG,20151008,1.3000,1.3000,1.3000,1.3000,500
ISG,20151009,1.3000,1.3000,1.3000,1.3000,0
ISG,20151012,1.3000,1.3000,1.3000,1.3000,0
ISG,20151013,1.4000,1.4000,1.4000,1.4000,500
ISG,20151014,1.4000,1.4000,1.4000,1.4000,0
ISG,20151015,1.4000,1.4000,1.4000,1.4000,0
ISG,20151016,1.4000,1.4000,1.4000,1.4000,0
ISG,20151019,1.4000,1.4000,1.4000,1.4000,0
ISG,20151020,1.4000,1.4000,1.4000,1.4000,0
ISG,20151021,1.4000,1.4000,1.4000,1.4000,0
ISG,20151022,1.4000,1.4000,1.4000,1.4000,0
ISG,20151023,1.4000,1.4000,1.4000,1.4000,0
ISG,20151026,1.4000,1.4000,1.4000,1.4000,0
ISG,20151027,1.4000,1.4000,1.4000,1.4000,0
ISG,20151028,1.4000,1.4000,1.4000,1.4000,0
ISG,20151029,1.4000,1.4000,1.4000,1.4000,0
ISG,20151030,1.4000,1.4000,1.4000,1.4000,0
ISG,20151102,1.4000,1.4000,1.4000,1.4000,0
ISG,20151103,1.4000,1.4000,1.4000,1.4000,0
ISG,20151104,1.4000,1.4000,1.4000,1.4000,0
ISG,20151105,1.4000,1.4000,1.4000,1.4000,0
ISG,20151106,1.4000,1.4000,1.4000,1.4000,0
ISG,20151109,1.4000,1.4000,1.4000,1.4000,0
ISG,20151110,1.4000,1.4000,1.4000,1.4000,0
ISG,20151111,1.4000,1.4000,1.4000,1.4000,0
ISG,20151112,1.4000,1.4000,1.4000,1.4000,0
ISG,20151113,1.4000,1.4000,1.4000,1.4000,0
ISG,20151116,1.4000,1.4000,1.4000,1.4000,0
ISG,20151117,1.4000,1.4000,1.4000,1.4000,0
ISG,20151118,1.4000,1.4000,1.4000,1.4000,0
ISG,20151119,1.4000,1.4000,1.4000,1.4000,0
ISG,20151120,1.4000,1.4000,1.4000,1.4000,0
ISG,20151123,1.4000,1.4000,1.4000,1.4000,0
ISG,20151124,1.4000,1.4000,1.4000,1.4000,0
ISG,20151125,1.4000,1.4000,1.4000,1.4000,0
ISG,20151126,1.4000,1.4000,1.4000,1.4000,0
ISG,20151127,1.4000,1.4000,1.4000,1.4000,0
ISG,20151130,1.4000,1.4000,1.4000,1.4000,0
ISG,20151201,1.4000,1.4000,1.4000,1.4000,0
ISG,20151202,1.4000,1.4000,1.4000,1.4000,0
ISG,20151203,1.4000,1.4000,1.4000,1.4000,0
ISG,20151204,1.4000,1.4000,1.4000,1.4000,0
ISG,20151207,1.4000,1.4000,1.4000,1.4000,0
ISG,20151208,1.4000,1.4000,1.4000,1.4000,0
ISG,20151209,1.4000,1.4000,1.4000,1.4000,0
ISG,20151210,1.4000,1.4000,1.4000,1.4000,0
ISG,20151211,1.4000,1.4000,1.4000,1.4000,0
ISG,20151214,1.4000,1.4000,1.4000,1.4000,0
ISG,20151215,1.4000,1.4000,1.4000,1.4000,0
ISG,20151216,1.4000,1.4000,1.4000,1.4000,0
ISG,20151217,1.4000,1.4000,1.4000,1.4000,0
ISG,20151218,1.4000,1.4000,1.4000,1.4000,0
ISG,20151221,1.4000,1.4000,1.4000,1.4000,0
ISG,20151222,1.4000,1.4000,1.4000,1.4000,0
ISG,20151223,1.4000,1.4000,1.4000,1.4000,0
ISG,20151224,1.4000,1.4000,1.4000,1.4000,0
ISG,20151225,1.4000,1.4000,1.4000,1.4000,0
ISG,20151228,1.4000,1.4000,1.4000,1.4000,0
ISG,20151229,1.4000,1.4000,1.4000,1.4000,0
ISG,20151230,1.4000,1.4000,1.4000,1.4000,0
ISG,20151231,1.4000,1.4000,1.4000,1.4000,0
ISG,20160104,1.4000,1.4000,1.4000,1.4000,0
ISG,20160105,1.4000,1.4000,1.4000,1.4000,0
ISG,20160106,1.4000,1.4000,1.4000,1.4000,0
ISG,20160107,1.4000,1.4000,1.4000,1.4000,0
ISG,20160108,1.4000,1.4000,1.4000,1.4000,0
ISG,20160111,1.4000,1.4000,1.4000,1.4000,0
ISG,20160112,1.4000,1.4000,1.4000,1.4000,0
ISG,20160113,1.4000,1.4000,1.4000,1.4000,0
ISG,20160114,1.4000,1.4000,1.4000,1.4000,0
ISG,20160115,1.4000,1.4000,1.4000,1.4000,0
ISG,20160118,1.9000,1.9000,1.9000,1.9000,100
ISG,20160119,1.9000,1.9000,1.9000,1.9000,0
ISG,20160120,2.1000,2.1000,2.1000,2.1000,100
ISG,20160121,2.1000,2.1000,2.1000,2.1000,0
ISG,20160122,2.1000,2.1000,2.1000,2.1000,0
ISG,20160125,2.1000,2.1000,2.1000,2.1000,0
ISG,20160126,2.1000,2.1000,2.1000,2.1000,0
ISG,20160127,2.1000,2.1000,2.1000,2.1000,0
ISG,20160128,2.1000,2.1000,2.1000,2.1000,0
ISG,20160129,2.1000,2.1000,2.1000,2.1000,0
ISG,20160201,1.9000,2.1000,1.9000,2.1000,200
ISG,20160202,1.9000,2.2000,1.9000,2.2000,400
ISG,20160203,1.9000,2.3000,1.9000,1.9000,5200
ISG,20160204,2.1000,2.1000,2.1000,2.1000,0
ISG,20160205,2.1000,2.1000,2.1000,2.1000,0
ISG,20160215,2.1000,2.1000,2.1000,2.1000,0
ISG,20160216,2.1000,2.1000,2.1000,2.1000,0
ISG,20160217,2.0000,2.0000,2.0000,2.0000,100
ISG,20160218,2.0000,2.0000,2.0000,2.0000,0
ISG,20160219,2.0000,2.0000,2.0000,2.0000,0
