<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
IVS,20110801,7.0000,7.0000,7.0000,7.0000,5300
IVS,20110802,6.6000,6.6000,6.6000,6.6000,10200
IVS,20110803,6.2000,6.2000,6.2000,6.2000,3800
IVS,20110804,5.8000,5.8000,5.8000,5.8000,200
IVS,20110805,5.4000,5.7000,5.4000,5.7000,284000
IVS,20110808,5.4000,5.7000,5.2000,5.6000,5900
IVS,20110809,5.5000,5.5000,5.1000,5.1000,12500
IVS,20110810,5.5000,5.5000,4.9000,4.9000,5800
IVS,20110811,4.6000,4.6000,4.6000,4.6000,5500
IVS,20110812,4.5000,4.5000,4.3000,4.4000,20400
IVS,20110815,4.3000,4.4000,4.2000,4.3000,30200
IVS,20110816,4.2000,4.4000,4.1000,4.3000,19500
IVS,20110817,4.2000,4.4000,4.2000,4.3000,22600
IVS,20110818,4.6000,4.6000,4.1000,4.3000,19400
IVS,20110819,4.1000,4.2000,4.1000,4.2000,6100
IVS,20110822,4.1000,4.3000,4.1000,4.2000,44200
IVS,20110823,4.3000,4.4000,4.3000,4.4000,139100
IVS,20110824,4.5000,4.7000,4.3000,4.5000,65500
IVS,20110825,4.4000,4.7000,4.4000,4.4000,28100
IVS,20110826,4.8000,4.8000,4.5000,4.8000,39900
IVS,20110829,5.0000,5.0000,5.0000,5.0000,600
IVS,20110830,5.3000,5.3000,5.3000,5.3000,28300
IVS,20110831,5.6000,5.6000,5.6000,5.6000,47200
IVS,20110901,5.9000,5.9000,5.9000,5.9000,21700
IVS,20110905,6.3000,6.3000,6.3000,6.3000,7500
IVS,20110906,6.7000,6.7000,5.9000,6.3000,77700
IVS,20110907,6.6000,6.6000,6.2000,6.6000,103500
IVS,20110908,6.4000,6.8000,6.4000,6.4000,30900
IVS,20110909,6.3000,6.5000,6.3000,6.4000,22200
IVS,20110912,6.3000,6.5000,6.0000,6.4000,129600
IVS,20110913,6.5000,6.6000,6.4000,6.5000,85100
IVS,20110914,6.3000,6.9000,6.3000,6.6000,112400
IVS,20110915,6.4000,6.4000,6.3000,6.4000,9900
IVS,20110916,6.6000,6.6000,6.0000,6.3000,2600
