<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KAC,20101027,32.0000,35.0000,31.9000,31.9000,115700
KAC,20101028,32.0000,33.0000,31.9000,31.9000,56950
KAC,20101029,31.9000,32.0000,30.4000,32.0000,104790
KAC,20101101,32.1000,32.5000,31.1000,31.9000,62500
KAC,20101102,31.8000,31.8000,30.4000,30.4000,78810
KAC,20101103,28.9000,29.9000,28.9000,28.9000,31280
KAC,20101104,27.5000,30.3000,27.5000,30.3000,75430
KAC,20101105,30.8000,30.8000,28.8000,30.3000,44030
KAC,20101108,28.8000,29.9000,28.8000,28.8000,19220
KAC,20101109,27.4000,27.4000,27.4000,27.4000,2650
KAC,20101110,26.1000,26.1000,26.1000,26.1000,30810
KAC,20101111,24.9000,26.1000,24.9000,26.1000,14830
KAC,20101112,26.0000,26.0000,24.8000,24.9000,53500
KAC,20101115,24.5000,25.1000,23.9000,25.0000,36530
KAC,20101116,24.0000,25.0000,23.8000,25.0000,65620
KAC,20101117,26.0000,26.0000,24.0000,25.5000,41200
KAC,20101118,26.4000,26.7000,24.3000,26.5000,28250
KAC,20101119,27.5000,27.5000,25.2000,25.2000,51850
KAC,20101122,26.3000,26.3000,24.0000,25.0000,84150
KAC,20101123,25.0000,25.4000,23.9000,25.3000,34570
KAC,20101124,25.8000,25.8000,24.5000,24.5000,23520
KAC,20101125,25.0000,25.3000,24.5000,25.0000,50400
KAC,20101126,25.1000,25.1000,24.1000,25.1000,68630
KAC,20101129,26.0000,26.0000,24.8000,25.1000,46940
KAC,20101130,25.9000,26.3000,25.2000,26.3000,102700
KAC,20101201,26.3000,27.0000,25.5000,26.3000,49300
KAC,20101202,25.5000,27.6000,25.5000,27.6000,67840
KAC,20101203,27.6000,28.9000,27.6000,28.9000,71760
KAC,20101206,29.5000,30.3000,28.5000,30.1000,87470
KAC,20101207,30.3000,30.3000,28.6000,29.7000,73810
KAC,20101208,29.0000,29.6000,28.3000,28.3000,81410
KAC,20101209,27.0000,29.7000,27.0000,29.5000,101630
KAC,20101210,29.5000,30.0000,29.5000,29.8000,85430
KAC,20101213,30.5000,31.2000,30.1000,30.9000,125350
KAC,20101214,30.5000,30.5000,29.4000,29.9000,91590
KAC,20101215,28.5000,29.5000,28.5000,29.5000,89110
KAC,20101216,29.5000,29.5000,28.1000,29.4000,101170
KAC,20101217,29.4000,29.4000,28.0000,28.0000,110110
KAC,20101220,29.0000,29.0000,28.9000,29.0000,17420
KAC,20101221,29.0000,29.1000,28.0000,29.1000,35940
KAC,20101222,29.5000,29.5000,27.8000,29.0000,19950
KAC,20101223,29.0000,29.0000,27.6000,28.0000,11710
KAC,20101224,29.4000,29.4000,26.6000,26.8000,13140
KAC,20101227,28.1000,28.1000,26.0000,28.0000,11490
KAC,20101228,29.0000,29.0000,28.0000,28.9000,12420
KAC,20101229,27.5000,28.5000,27.5000,28.5000,10030
KAC,20101230,27.1000,28.5000,27.1000,28.5000,210
KAC,20101231,29.5000,29.5000,29.0000,29.4000,11010
KAC,20110104,28.5000,29.0000,28.0000,28.0000,16620
KAC,20110105,27.9000,28.3000,27.0000,28.0000,12890
KAC,20110106,27.3000,28.0000,26.7000,26.7000,14030
KAC,20110107,26.6000,28.0000,25.5000,26.8000,18010
KAC,20110110,28.0000,28.0000,28.0000,28.0000,30
KAC,20110111,26.6000,27.8000,26.6000,26.6000,2020
KAC,20110112,25.3000,25.4000,25.3000,25.3000,10650
KAC,20110113,25.3000,26.0000,25.3000,26.0000,510
KAC,20110114,27.2000,27.2000,24.7000,25.0000,120
KAC,20110117,25.9000,26.2000,25.9000,25.9000,1400
KAC,20110118,26.5000,26.6000,24.8000,24.8000,1520
KAC,20110119,24.2000,25.0000,24.1000,24.6000,55430
KAC,20110120,23.5000,25.8000,23.5000,24.1000,33310
KAC,20110121,24.1000,25.1000,23.1000,23.4000,21610
KAC,20110124,24.5000,24.5000,22.6000,24.0000,9460
KAC,20110125,25.0000,25.0000,23.5000,23.5000,120
KAC,20110126,24.6000,24.6000,23.0000,24.1000,45030
KAC,20110127,23.6000,25.3000,23.6000,24.1000,40400
KAC,20110128,25.3000,25.3000,23.6000,24.3000,21520
KAC,20110208,24.5000,24.5000,24.5000,24.5000,3000
KAC,20110209,25.0000,25.7000,25.0000,25.7000,1510
KAC,20110210,25.6000,26.0000,25.6000,26.0000,3710
KAC,20110211,26.0000,27.3000,25.5000,25.5000,33220
KAC,20110214,25.0000,26.7000,25.0000,26.4000,19080
KAC,20110215,26.0000,27.7000,26.0000,26.5000,15030
KAC,20110216,26.4000,27.8000,25.8000,26.6000,18130
KAC,20110217,27.5000,27.9000,26.1000,27.9000,23090
KAC,20110218,29.2000,29.2000,28.0000,28.4000,32410
KAC,20110221,28.2000,28.2000,27.0000,27.0000,62160
KAC,20110222,27.7000,27.7000,27.0000,27.0000,21350
KAC,20110223,26.9000,27.4000,26.9000,27.2000,29000
KAC,20110224,27.0000,27.5000,27.0000,27.3000,27000
KAC,20110225,27.9000,27.9000,27.6000,27.7000,31910
KAC,20110228,28.0000,28.0000,27.0000,27.8000,33000
KAC,20110301,26.5000,28.0000,26.5000,28.0000,30320
KAC,20110302,27.9000,27.9000,26.6000,27.5000,36610
KAC,20110303,27.0000,27.5000,26.9000,27.3000,22300
KAC,20110304,27.5000,27.5000,26.5000,27.3000,14230
KAC,20110307,27.5000,27.5000,26.0000,27.3000,26500
KAC,20110308,27.9000,27.9000,26.0000,27.5000,24860
KAC,20110309,26.9000,27.3000,26.9000,27.2000,28400
KAC,20110310,26.5000,27.5000,25.9000,27.5000,34610
KAC,20110311,27.9000,27.9000,27.0000,27.4000,22870
KAC,20110314,27.0000,27.0000,26.1000,26.1000,29700
KAC,20110315,27.0000,27.1000,25.1000,26.0000,28220
KAC,20110316,26.7000,26.7000,26.0000,26.3000,33550
KAC,20110317,27.1000,27.1000,26.0000,26.8000,31170
KAC,20110318,26.9000,26.9000,25.5000,26.9000,77670
KAC,20110321,28.0000,28.0000,27.0000,27.4000,66500
KAC,20110322,26.1000,27.0000,26.1000,26.4000,41570
KAC,20110323,26.9000,26.9000,25.1000,26.9000,91900
KAC,20110324,26.8000,26.8000,25.6000,26.4000,39400
KAC,20110325,26.7000,26.7000,26.5000,26.7000,13230
KAC,20110328,26.9000,26.9000,26.9000,26.9000,15000
KAC,20110329,27.0000,28.1000,26.9000,27.4000,64490
KAC,20110330,26.9000,26.9000,26.1000,26.1000,57680
KAC,20110331,24.8000,25.9000,24.8000,25.8000,65130
KAC,20110401,24.6000,26.8000,24.6000,26.0000,29040
KAC,20110404,26.5000,26.7000,26.4000,26.7000,16990
KAC,20110405,26.3000,26.3000,25.4000,25.8000,68550
KAC,20110406,25.8000,27.0000,25.5000,26.9000,106190
KAC,20110407,27.2000,27.2000,26.0000,26.7000,86350
KAC,20110408,27.0000,27.0000,26.5000,26.7000,55090
KAC,20110413,26.6000,26.6000,26.3000,26.3000,26430
KAC,20110414,26.3000,26.3000,26.3000,26.3000,0
KAC,20110415,26.3000,26.4000,26.3000,26.3000,15440
KAC,20110418,26.2000,26.2000,26.1000,26.1000,2410
KAC,20110419,26.9000,26.9000,24.8000,24.8000,19540
KAC,20110420,26.0000,26.0000,25.6000,25.6000,20520
KAC,20110421,26.4000,26.4000,24.4000,25.0000,14850
KAC,20110422,24.0000,24.0000,23.8000,23.9000,17810
KAC,20110425,22.8000,25.0000,22.8000,23.8000,7240
KAC,20110426,22.7000,23.6000,22.7000,23.6000,8340
KAC,20110427,24.1000,24.1000,22.5000,24.0000,9240
KAC,20110428,22.8000,25.0000,22.8000,25.0000,5980
KAC,20110429,23.8000,24.9000,23.8000,24.9000,1560
KAC,20110504,23.7000,23.7000,23.7000,23.7000,10
KAC,20110505,23.6000,24.8000,23.5000,24.8000,2770
KAC,20110506,25.3000,25.3000,23.6000,25.3000,12700
KAC,20110509,25.7000,25.7000,24.1000,24.1000,13220
KAC,20110510,24.7000,24.8000,22.9000,24.5000,16150
KAC,20110511,23.3000,24.6000,23.3000,24.2000,14990
KAC,20110512,24.4000,24.4000,23.0000,24.4000,28590
KAC,20110513,23.9000,24.3000,23.2000,24.3000,13700
KAC,20110516,24.0000,24.1000,24.0000,24.1000,12500
KAC,20110517,23.9000,23.9000,23.9000,23.9000,12400
KAC,20110518,23.4000,23.4000,22.8000,22.8000,11510
KAC,20110519,23.0000,23.0000,22.9000,22.9000,11800
KAC,20110520,21.8000,21.8000,21.8000,21.8000,200
KAC,20110523,22.2000,22.3000,20.8000,21.9000,11440
KAC,20110524,22.1000,22.1000,20.9000,21.5000,23950
KAC,20110525,21.1000,21.1000,20.7000,20.7000,10100
KAC,20110526,20.5000,20.5000,19.7000,19.7000,23320
KAC,20110527,20.2000,20.2000,20.0000,20.0000,16600
KAC,20110530,20.3000,20.4000,20.1000,20.3000,10710
KAC,20110531,19.9000,19.9000,19.3000,19.5000,19310
KAC,20110601,19.7000,19.7000,19.4000,19.5000,18300
KAC,20110602,19.3000,19.3000,19.0000,19.0000,17600
KAC,20110603,19.0000,19.0000,18.2000,18.6000,6440
KAC,20110606,18.6000,18.7000,18.5000,18.5000,18000
KAC,20110607,18.5000,18.5000,17.6000,17.6000,14450
KAC,20110608,17.8000,17.9000,17.8000,17.9000,4010
KAC,20110609,17.7000,17.9000,17.7000,17.9000,4100
KAC,20110610,18.2000,18.4000,18.0000,18.2000,5100
KAC,20110613,18.1000,18.1000,18.0000,18.1000,2850
KAC,20110614,18.1000,18.1000,18.1000,18.1000,0
KAC,20110615,18.1000,18.1000,18.1000,18.1000,0
KAC,20110616,17.2000,18.0000,17.2000,18.0000,90
KAC,20110617,18.0000,18.0000,18.0000,18.0000,0
KAC,20110620,18.0000,18.0000,18.0000,18.0000,0
KAC,20110621,18.0000,18.0000,18.0000,18.0000,0
KAC,20110622,18.0000,18.0000,18.0000,18.0000,0
KAC,20110623,18.9000,18.9000,18.9000,18.9000,10
KAC,20110624,19.7000,19.7000,19.7000,19.7000,10
KAC,20110627,19.9000,19.9000,19.9000,19.9000,10
KAC,20110628,20.7000,20.7000,20.7000,20.7000,10
KAC,20110629,20.7000,20.7000,20.7000,20.7000,0
KAC,20110630,20.7000,20.7000,20.7000,20.7000,0
KAC,20110701,20.9000,20.9000,20.9000,20.9000,10
KAC,20110704,20.9000,20.9000,20.9000,20.9000,899710
KAC,20110705,20.9000,20.9000,20.9000,20.9000,0
KAC,20110706,20.9000,20.9000,20.9000,20.9000,0
KAC,20110707,20.9000,20.9000,20.9000,20.9000,0
KAC,20110708,21.9000,21.9000,20.0000,20.0000,30
KAC,20110711,19.3000,19.5000,19.3000,19.5000,10000
KAC,20110712,19.4000,19.4000,19.1000,19.4000,3850
KAC,20110713,18.8000,18.8000,18.6000,18.8000,4900
KAC,20110714,18.8000,18.8000,18.8000,18.8000,0
KAC,20110715,18.8000,18.8000,18.8000,18.8000,0
KAC,20110718,18.8000,18.8000,18.8000,18.8000,0
KAC,20110719,18.8000,18.8000,18.8000,18.8000,0
KAC,20110720,18.8000,18.8000,18.8000,18.8000,0
KAC,20110721,18.8000,18.8000,18.8000,18.8000,0
KAC,20110722,18.8000,18.8000,18.8000,18.8000,0
KAC,20110725,18.8000,18.8000,18.8000,18.8000,0
KAC,20110726,18.8000,18.8000,18.8000,18.8000,0
KAC,20110727,18.8000,18.8000,18.8000,18.8000,0
KAC,20110728,18.8000,18.8000,18.8000,18.8000,0
KAC,20110729,18.8000,18.8000,18.8000,18.8000,0
KAC,20110801,17.9000,17.9000,17.9000,17.9000,10
KAC,20110802,17.9000,17.9000,17.9000,17.9000,0
KAC,20110803,17.9000,17.9000,17.9000,17.9000,0
KAC,20110804,17.1000,17.1000,17.1000,17.1000,10
KAC,20110805,17.1000,17.1000,17.1000,17.1000,0
KAC,20110808,17.1000,17.1000,17.1000,17.1000,0
KAC,20110809,16.3000,16.3000,16.3000,16.3000,10
KAC,20110810,15.5000,15.5000,15.5000,15.5000,10
KAC,20110811,15.5000,15.5000,15.5000,15.5000,0
KAC,20110812,14.8000,14.8000,14.8000,14.8000,10
KAC,20110815,14.1000,14.1000,14.1000,14.1000,10
KAC,20110816,13.4000,14.8000,13.4000,14.8000,120
KAC,20110817,15.5000,15.5000,15.5000,15.5000,10
KAC,20110818,15.5000,16.2000,14.8000,16.1000,110
KAC,20110819,16.5000,16.5000,16.5000,16.5000,40
KAC,20110822,17.3000,17.3000,17.3000,17.3000,10
KAC,20110823,16.5000,16.6000,16.5000,16.6000,2640
KAC,20110824,17.4000,17.4000,15.8000,15.8000,3020
KAC,20110825,16.5000,16.5000,16.3000,16.5000,80920
KAC,20110826,17.3000,17.3000,16.5000,16.5000,30830
KAC,20110829,16.0000,17.3000,16.0000,17.0000,18930
KAC,20110830,17.1000,17.3000,16.7000,17.0000,12830
KAC,20110831,16.2000,16.6000,16.2000,16.2000,10050
KAC,20110901,15.4000,16.0000,15.4000,15.4000,21600
KAC,20110905,14.7000,15.9000,14.7000,15.9000,31890
KAC,20110906,16.0000,16.0000,15.3000,15.7000,21120
KAC,20110907,15.1000,15.9000,15.1000,15.9000,81460
KAC,20110908,16.2000,16.6000,15.9000,16.6000,31030
KAC,20110909,16.0000,17.0000,15.8000,16.6000,44670
KAC,20110912,17.0000,17.0000,15.8000,16.0000,42130
KAC,20110913,16.5000,16.8000,16.5000,16.8000,82560
KAC,20110914,17.0000,17.5000,16.8000,16.9000,46760
KAC,20110915,16.7000,17.5000,16.3000,16.7000,92730
KAC,20110916,16.0000,17.0000,15.9000,16.0000,21590
KAC,20110919,16.5000,16.7000,15.4000,16.7000,15400
KAC,20110920,16.6000,17.3000,16.0000,16.6000,14900
KAC,20110921,16.7000,16.9000,16.0000,16.0000,20700
KAC,20110922,15.7000,16.5000,15.7000,16.5000,15010
KAC,20110923,16.9000,16.9000,15.8000,16.0000,19030
