<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KGU,20170626,16.5025,16.5025,16.5025,16.5025,0
KGU,20170627,16.5025,16.5025,16.5025,16.5025,0
KGU,20170628,16.5025,16.5025,16.5025,16.5025,0
KGU,20170629,16.5025,16.5025,16.5025,16.5025,0
KGU,20170630,16.5025,16.5025,16.5025,16.5025,0
KGU,20170703,16.5025,16.5025,16.5025,16.5025,0
KGU,20170704,16.5025,16.5025,16.5025,16.5025,0
KGU,20170705,16.5025,16.5025,16.5025,16.5025,0
KGU,20170706,16.5025,16.5025,16.5025,16.5025,0
KGU,20170707,16.5025,16.5025,16.5025,16.5025,0
KGU,20170710,16.5025,16.5025,16.5025,16.5025,0
KGU,20170711,16.5025,16.5025,16.5025,16.5025,0
KGU,20170712,16.5025,16.5025,16.5025,16.5025,0
KGU,20170713,16.5025,16.5025,16.5025,16.5025,0
KGU,20170714,16.5025,16.5025,16.5025,16.5025,0
KGU,20170717,16.5025,16.5025,16.5025,16.5025,0
KGU,20170718,16.5025,16.5025,16.5025,16.5025,0
KGU,20170719,16.5025,16.5025,16.5025,16.5025,0
KGU,20170720,16.5025,16.5025,16.5025,16.5025,0
KGU,20170721,16.5025,16.5025,16.5025,16.5025,0
KGU,20170724,16.5025,16.5025,16.5025,16.5025,0
KGU,20170725,16.5025,16.5025,16.5025,16.5025,0
KGU,20170726,16.5025,16.5025,16.5025,16.5025,0
KGU,20170727,16.5025,16.5025,16.5025,16.5025,0
KGU,20170728,16.5025,16.5025,16.5025,16.5025,0
KGU,20170731,16.5025,16.5025,16.5025,16.5025,0
KGU,20170801,16.5025,16.5025,16.5025,16.5025,0
KGU,20170802,16.5025,16.5025,16.5025,16.5025,0
KGU,20170803,16.5025,16.5025,16.5025,16.5025,0
KGU,20170804,16.5025,16.5025,16.5025,16.5025,0
KGU,20170807,16.5025,16.5025,16.5025,16.5025,0
KGU,20170808,16.5025,16.5025,16.5025,16.5025,0
KGU,20170809,16.5025,16.5025,16.5025,16.5025,0
KGU,20170810,16.5025,16.5025,16.5025,16.5025,0
KGU,20170811,16.5025,16.5025,16.5025,16.5025,0
KGU,20170814,16.5025,16.5025,16.5025,16.5025,0
KGU,20170815,16.5025,16.5025,16.5025,16.5025,0
KGU,20170816,16.5025,16.5025,16.5025,16.5025,0
KGU,20170817,16.5025,16.5025,16.5025,16.5025,0
KGU,20170818,16.5025,16.5025,16.5025,16.5025,0
KGU,20170821,16.5025,16.5025,16.5025,16.5025,0
KGU,20170822,16.5025,16.5025,16.5025,16.5025,0
KGU,20170823,16.5025,16.5025,16.5025,16.5025,0
KGU,20170824,16.5025,16.5025,16.5025,16.5025,0
KGU,20170825,16.5025,16.5025,16.5025,16.5025,0
KGU,20170828,16.5025,16.5025,16.5025,16.5025,0
KGU,20170829,16.5025,16.5025,16.5025,16.5025,0
KGU,20170830,16.5025,16.5025,16.5025,16.5025,0
KGU,20170831,16.5025,16.5025,16.5025,16.5025,0
KGU,20170901,16.5025,16.5025,16.5025,16.5025,0
KGU,20170905,16.5025,16.5025,16.5025,16.5025,0
KGU,20170906,16.5025,16.5025,16.5025,16.5025,0
