<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KHA,20020819,21.5000,21.5000,21.5000,21.5000,21300
KHA,20020820,20.9000,20.9000,20.9000,20.9000,13000
KHA,20020821,20.4000,20.4000,20.4000,20.4000,53500
KHA,20020822,21.0000,21.0000,21.0000,21.0000,25600
KHA,20020823,21.5000,21.5000,21.5000,21.5000,29700
KHA,20020826,21.5000,21.5000,21.5000,21.5000,7900
KHA,20020827,21.5000,21.5000,21.5000,21.5000,17500
KHA,20020828,21.5000,21.5000,21.5000,21.5000,12000
KHA,20020829,21.6000,21.6000,21.6000,21.6000,11800
KHA,20020830,21.9000,21.9000,21.9000,21.9000,5500
KHA,20020903,22.0000,22.0000,22.0000,22.0000,2500
KHA,20020904,22.3000,22.3000,22.3000,22.3000,3500
KHA,20020905,22.3000,22.3000,22.3000,22.3000,1600
KHA,20020906,22.3000,22.3000,22.3000,22.3000,2000
KHA,20020909,22.5000,22.5000,22.5000,22.5000,3400
KHA,20020910,22.9000,22.9000,22.9000,22.9000,3000
KHA,20020911,23.0000,23.0000,23.0000,23.0000,7800
KHA,20020912,23.0000,23.0000,23.0000,23.0000,3500
KHA,20020913,23.0000,23.0000,23.0000,23.0000,3000
KHA,20020916,23.0000,23.0000,23.0000,23.0000,6600
KHA,20020917,23.0000,23.0000,23.0000,23.0000,9200
KHA,20020918,23.0000,23.0000,23.0000,23.0000,3500
KHA,20020919,23.0000,23.0000,23.0000,23.0000,11300
KHA,20020920,23.0000,23.0000,23.0000,23.0000,10500
KHA,20020923,23.0000,23.0000,23.0000,23.0000,1000
KHA,20020924,23.0000,23.0000,23.0000,23.0000,9500
KHA,20020925,23.0000,23.0000,23.0000,23.0000,5400
KHA,20020926,23.1000,23.1000,23.1000,23.1000,2000
KHA,20020927,23.4000,23.4000,23.4000,23.4000,6000
KHA,20020930,23.5000,23.5000,23.5000,23.5000,2100
KHA,20021001,23.5000,23.5000,23.5000,23.5000,8300
KHA,20021002,23.5000,23.5000,23.5000,23.5000,4900
KHA,20021003,23.5000,23.5000,23.5000,23.5000,7700
KHA,20021004,23.5000,23.5000,23.5000,23.5000,5500
KHA,20021007,24.0000,24.0000,24.0000,24.0000,2100
KHA,20021008,24.2000,24.2000,24.2000,24.2000,400
KHA,20021009,24.2000,24.2000,24.2000,24.2000,300
KHA,20021010,24.3000,24.3000,24.3000,24.3000,1300
KHA,20021011,24.3000,24.3000,24.3000,24.3000,2200
KHA,20021014,24.3000,24.3000,24.3000,24.3000,3100
KHA,20021015,24.3000,24.3000,24.3000,24.3000,3500
KHA,20021016,24.3000,24.3000,24.3000,24.3000,6400
KHA,20021017,23.7000,23.7000,23.7000,23.7000,1900
KHA,20021018,23.7000,23.7000,23.7000,23.7000,19300
KHA,20021021,23.7000,23.7000,23.7000,23.7000,400
KHA,20021022,23.6000,23.6000,23.6000,23.6000,6700
KHA,20021023,23.0000,23.0000,23.0000,23.0000,9500
KHA,20021024,23.0000,23.0000,23.0000,23.0000,14800
KHA,20021025,23.0000,23.0000,23.0000,23.0000,9000
KHA,20021028,23.0000,23.0000,23.0000,23.0000,2200
KHA,20021029,23.0000,23.0000,23.0000,23.0000,7000
KHA,20021030,23.0000,23.0000,23.0000,23.0000,9500
KHA,20021031,22.9000,22.9000,22.9000,22.9000,7700
KHA,20021101,23.0000,23.0000,23.0000,23.0000,9700
KHA,20021104,23.0000,23.0000,23.0000,23.0000,10000
KHA,20021105,23.0000,23.0000,23.0000,23.0000,8300
KHA,20021106,22.9000,22.9000,22.9000,22.9000,7000
KHA,20021107,22.7000,22.7000,22.7000,22.7000,3200
KHA,20021108,22.7000,22.7000,22.7000,22.7000,6700
KHA,20021111,22.9000,22.9000,22.9000,22.9000,200
KHA,20021112,23.0000,23.0000,23.0000,23.0000,3600
KHA,20021113,23.0000,23.0000,23.0000,23.0000,500
KHA,20021114,23.2000,23.2000,23.2000,23.2000,6000
KHA,20021115,23.4000,23.4000,23.4000,23.4000,7800
KHA,20021118,23.4000,23.4000,23.4000,23.4000,1700
KHA,20021119,23.4000,23.4000,23.4000,23.4000,7300
KHA,20021120,23.4000,23.4000,23.4000,23.4000,2100
KHA,20021121,23.4000,23.4000,23.4000,23.4000,3600
KHA,20021122,23.5000,23.5000,23.5000,23.5000,3300
KHA,20021125,23.5000,23.5000,23.5000,23.5000,4700
KHA,20021126,23.5000,23.5000,23.5000,23.5000,9400
KHA,20021127,23.4000,23.4000,23.4000,23.4000,4000
KHA,20021128,23.4000,23.4000,23.4000,23.4000,3500
KHA,20021129,23.6000,23.6000,23.6000,23.6000,2500
KHA,20021202,23.7000,23.7000,23.7000,23.7000,5800
KHA,20021203,24.4000,24.4000,24.4000,24.4000,10900
KHA,20021204,25.0000,25.0000,25.0000,25.0000,15500
KHA,20021205,25.0000,25.0000,25.0000,25.0000,9400
KHA,20021206,24.3000,24.3000,24.3000,24.3000,17200
KHA,20021209,24.5000,24.5000,24.5000,24.5000,200
KHA,20021210,25.0000,25.0000,25.0000,25.0000,3200
KHA,20021211,25.0000,25.0000,25.0000,25.0000,900
KHA,20021212,24.7000,24.7000,24.7000,24.7000,3000
KHA,20021213,24.7000,24.7000,24.7000,24.7000,4300
KHA,20021216,24.6000,24.6000,24.6000,24.6000,7100
KHA,20021217,24.5000,24.5000,24.5000,24.5000,5600
KHA,20021218,24.5000,24.5000,24.5000,24.5000,2000
KHA,20021219,24.6000,24.6000,24.6000,24.6000,3000
KHA,20021220,24.6000,24.6000,24.6000,24.6000,600
KHA,20021223,24.0000,24.0000,24.0000,24.0000,14200
KHA,20021224,24.0000,24.0000,24.0000,24.0000,5300
KHA,20021225,23.9000,23.9000,23.9000,23.9000,2100
KHA,20021226,23.8000,23.8000,23.8000,23.8000,7800
KHA,20021227,23.8000,23.8000,23.8000,23.8000,200
KHA,20021230,23.2000,23.2000,23.2000,23.2000,1800
KHA,20021231,23.3000,23.3000,23.3000,23.3000,1300
KHA,20030102,23.1000,23.1000,23.1000,23.1000,1300
KHA,20030103,23.2000,23.2000,23.2000,23.2000,800
KHA,20030106,23.1000,23.1000,23.1000,23.1000,300
KHA,20030107,23.0000,23.0000,23.0000,23.0000,3100
KHA,20030108,23.0000,23.0000,23.0000,23.0000,100
KHA,20030109,23.0000,23.0000,23.0000,23.0000,300
KHA,20030110,23.0000,23.0000,23.0000,23.0000,500
KHA,20030113,23.0000,23.0000,23.0000,23.0000,1600
KHA,20030114,23.0000,23.0000,23.0000,23.0000,1600
KHA,20030115,21.9000,21.9000,21.9000,21.9000,900
KHA,20030116,22.9000,22.9000,22.9000,22.9000,12600
KHA,20030117,22.9000,22.9000,22.9000,22.9000,3000
KHA,20030120,23.0000,23.0000,23.0000,23.0000,300
KHA,20030121,23.0000,23.0000,23.0000,23.0000,900
KHA,20030122,23.0000,23.0000,23.0000,23.0000,600
KHA,20030123,23.0000,23.0000,23.0000,23.0000,200
KHA,20030124,23.0000,23.0000,23.0000,23.0000,100
KHA,20030127,23.0000,23.0000,23.0000,23.0000,900
KHA,20030128,23.0000,23.0000,23.0000,23.0000,2000
KHA,20030210,23.0000,23.0000,23.0000,23.0000,1200
KHA,20030211,22.5000,22.5000,22.5000,22.5000,500
KHA,20030212,21.5000,21.5000,21.5000,21.5000,5500
KHA,20030213,22.5000,22.5000,22.5000,22.5000,2700
KHA,20030214,22.5000,22.5000,22.5000,22.5000,3000
KHA,20030217,22.9000,22.9000,22.9000,22.9000,300
KHA,20030218,22.9000,22.9000,22.9000,22.9000,2600
KHA,20030219,23.0000,23.0000,23.0000,23.0000,1100
KHA,20030220,23.0000,23.0000,23.0000,23.0000,100
KHA,20030221,23.0000,23.0000,23.0000,23.0000,1000
KHA,20030224,23.2000,23.2000,23.2000,23.2000,100
KHA,20030225,23.2000,23.2000,23.2000,23.2000,200
KHA,20030226,23.2000,23.2000,23.2000,23.2000,0
KHA,20030227,23.2000,23.2000,23.2000,23.2000,600
KHA,20030228,22.6000,22.6000,22.6000,22.6000,2700
KHA,20030303,23.2000,23.2000,23.2000,23.2000,300
KHA,20030304,22.7000,22.7000,22.7000,22.7000,400
KHA,20030305,22.5000,22.5000,22.5000,22.5000,1400
KHA,20030306,22.0000,22.0000,22.0000,22.0000,6000
KHA,20030307,22.0000,22.0000,22.0000,22.0000,4800
KHA,20030310,22.0000,22.0000,22.0000,22.0000,500
KHA,20030311,21.7000,21.7000,21.7000,21.7000,8000
KHA,20030312,21.5000,21.5000,21.5000,21.5000,500
KHA,20030313,21.5000,21.5000,21.5000,21.5000,900
KHA,20030314,21.5000,21.5000,21.5000,21.5000,2200
KHA,20030317,21.0000,21.0000,21.0000,21.0000,3900
KHA,20030318,21.0000,21.0000,21.0000,21.0000,2000
KHA,20030319,21.0000,21.0000,21.0000,21.0000,1200
KHA,20030320,21.0000,21.0000,21.0000,21.0000,1200
KHA,20030321,21.1000,21.1000,21.1000,21.1000,2000
KHA,20030324,21.4000,21.4000,21.4000,21.4000,400
KHA,20030325,21.5000,21.5000,21.5000,21.5000,1100
KHA,20030326,21.5000,21.5000,21.5000,21.5000,700
KHA,20030327,21.0000,21.0000,21.0000,21.0000,1300
KHA,20030328,21.4000,21.4000,21.4000,21.4000,400
KHA,20030331,21.4000,21.4000,21.4000,21.4000,300
KHA,20030401,20.5000,20.5000,20.5000,20.5000,4500
KHA,20030402,21.0000,21.0000,21.0000,21.0000,3600
KHA,20030403,21.0000,21.0000,21.0000,21.0000,2700
KHA,20030404,21.0000,21.0000,21.0000,21.0000,600
KHA,20030407,21.5000,21.5000,21.5000,21.5000,700
KHA,20030408,21.5000,21.5000,21.5000,21.5000,1200
KHA,20030409,21.0000,21.0000,21.0000,21.0000,2900
KHA,20030410,20.5000,20.5000,20.5000,20.5000,2000
KHA,20030411,21.0000,21.0000,21.0000,21.0000,2100
KHA,20030414,21.0000,21.0000,21.0000,21.0000,1900
KHA,20030415,21.0000,21.0000,21.0000,21.0000,1300
KHA,20030416,21.4000,21.4000,21.4000,21.4000,200
KHA,20030417,21.5000,21.5000,21.5000,21.5000,300
KHA,20030418,22.0000,22.0000,22.0000,22.0000,300
KHA,20030421,22.0000,22.0000,22.0000,22.0000,100
KHA,20030422,21.6000,21.6000,21.6000,21.6000,1200
KHA,20030423,22.0000,22.0000,22.0000,22.0000,300
KHA,20030424,22.0000,22.0000,22.0000,22.0000,700
KHA,20030425,22.5000,22.5000,22.5000,22.5000,100
KHA,20030428,22.5000,22.5000,22.5000,22.5000,300
KHA,20030429,22.1000,22.1000,22.1000,22.1000,1000
KHA,20030505,21.5000,21.5000,21.5000,21.5000,800
KHA,20030506,22.0000,22.0000,22.0000,22.0000,2200
KHA,20030507,22.4000,22.4000,22.4000,22.4000,5000
KHA,20030508,22.4000,22.4000,22.4000,22.4000,2000
KHA,20030509,21.9000,21.9000,21.9000,21.9000,10000
KHA,20030512,22.0000,22.0000,22.0000,22.0000,1600
KHA,20030513,22.2000,22.2000,22.2000,22.2000,1800
KHA,20030514,22.2000,22.2000,22.2000,22.2000,100
KHA,20030515,22.2000,22.2000,22.2000,22.2000,200
KHA,20030516,22.2000,22.2000,22.2000,22.2000,600
KHA,20030519,22.2000,22.2000,22.2000,22.2000,1100
KHA,20030520,22.4000,22.4000,22.2000,22.2000,1220
KHA,20030521,22.2000,22.2000,21.6000,21.6000,680
KHA,20030522,21.6000,22.0000,21.6000,22.0000,630
KHA,20030523,22.0000,22.0000,22.0000,22.0000,30
KHA,20030526,22.5000,22.5000,22.5000,22.5000,20
KHA,20030527,22.5000,22.5000,22.5000,22.5000,20
KHA,20030528,22.0000,22.0000,22.0000,22.0000,2170
KHA,20030529,22.0000,22.0000,22.0000,22.0000,150
KHA,20030530,22.0000,22.0000,22.0000,22.0000,30
KHA,20030602,22.0000,22.0000,22.0000,22.0000,0
KHA,20030603,22.0000,22.0000,22.0000,22.0000,20
KHA,20030604,22.0000,22.0000,21.9000,21.9000,310
KHA,20030605,21.2000,21.5000,21.2000,21.5000,2530
KHA,20030606,21.3000,21.3000,21.3000,21.3000,2850
KHA,20030609,21.2000,21.4000,21.2000,21.4000,2010
KHA,20030610,21.2000,21.2000,21.2000,21.2000,3230
KHA,20030611,21.2000,21.2000,21.1000,21.1000,3000
KHA,20030612,21.0000,21.2000,21.0000,21.2000,1830
KHA,20030613,21.5000,21.5000,21.5000,21.5000,20
KHA,20030616,21.5000,21.8000,21.5000,21.8000,460
