<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KHW,20170220,13.1000,13.1000,13.1000,13.1000,0
KHW,20170221,13.1000,13.1000,13.1000,13.1000,0
KHW,20170222,13.1000,13.1000,13.1000,13.1000,0
KHW,20170223,13.1000,13.1000,13.1000,13.1000,0
KHW,20170224,13.1000,13.1000,13.1000,13.1000,0
KHW,20170227,13.1000,13.1000,13.1000,13.1000,0
KHW,20170228,13.1000,13.1000,13.1000,13.1000,0
KHW,20170301,13.1000,13.1000,13.1000,13.1000,0
KHW,20170302,13.1000,13.1000,13.1000,13.1000,0
KHW,20170303,13.1000,13.1000,13.1000,13.1000,0
KHW,20170306,13.1000,13.1000,13.1000,13.1000,0
KHW,20170307,13.1000,13.1000,13.1000,13.1000,0
KHW,20170308,13.1000,13.1000,13.1000,13.1000,0
KHW,20170309,13.1000,13.1000,13.1000,13.1000,0
KHW,20170310,13.1000,13.1000,13.1000,13.1000,0
KHW,20170313,13.1000,13.1000,13.1000,13.1000,0
KHW,20170314,13.1000,13.1000,13.1000,13.1000,0
KHW,20170315,13.1000,13.1000,13.1000,13.1000,0
KHW,20170316,13.1000,13.1000,13.1000,13.1000,0
KHW,20170317,13.1000,13.1000,13.1000,13.1000,0
KHW,20170320,13.1000,13.1000,13.1000,13.1000,0
KHW,20170321,13.1000,13.1000,13.1000,13.1000,0
KHW,20170322,13.1000,13.1000,13.1000,13.1000,0
KHW,20170323,13.1000,13.1000,13.1000,13.1000,0
KHW,20170324,13.1000,13.1000,13.1000,13.1000,0
KHW,20170327,13.1000,13.1000,13.1000,13.1000,0
KHW,20170328,13.1000,13.1000,13.1000,13.1000,0
KHW,20170329,13.1000,13.1000,13.1000,13.1000,0
KHW,20170330,13.1000,13.1000,13.1000,13.1000,0
KHW,20170331,13.1000,13.1000,13.1000,13.1000,0
KHW,20170403,13.1000,13.1000,13.1000,13.1000,0
KHW,20170404,13.1000,13.1000,13.1000,13.1000,0
KHW,20170405,13.1000,13.1000,13.1000,13.1000,0
KHW,20170407,13.1000,13.1000,13.1000,13.1000,0
KHW,20170410,13.1000,13.1000,13.1000,13.1000,0
KHW,20170411,13.1000,13.1000,13.1000,13.1000,0
KHW,20170412,13.1000,13.1000,13.1000,13.1000,0
