<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KLF,20130923,13.6000,13.6000,13.6000,13.6000,342200
KLF,20130924,14.9000,14.9000,13.6000,14.9000,409600
KLF,20130925,16.3000,16.3000,14.9000,16.3000,616500
KLF,20130926,17.9000,17.9000,15.2000,16.5000,851400
KLF,20130927,16.4000,18.1000,16.4000,18.1000,956200
KLF,20130930,17.9000,19.9000,17.9000,19.9000,654100
KLF,20131001,19.9000,21.8000,19.8000,21.8000,812000
KLF,20131002,21.8000,21.8000,20.4000,21.4000,831500
KLF,20131003,20.9000,22.7000,20.6000,22.7000,1071000
KLF,20131004,22.8000,24.9000,22.8000,24.9000,840600
KLF,20131007,25.0000,27.3000,22.8000,27.3000,1385900
KLF,20131008,27.5000,28.0000,24.8000,25.9000,1183200
KLF,20131009,23.7000,24.0000,23.4000,24.0000,1020300
KLF,20131010,24.0000,24.0000,21.6000,21.6000,573200
KLF,20131011,21.2000,22.0000,19.5000,21.8000,1103400
KLF,20131014,21.7000,21.9000,20.0000,20.5000,774500
KLF,20131015,20.3000,20.3000,18.7000,20.3000,564800
KLF,20131016,20.3000,20.7000,18.7000,20.5000,624500
KLF,20131017,20.5000,20.7000,20.0000,20.7000,541800
KLF,20131018,20.7000,20.8000,20.0000,20.7000,442700
KLF,20131021,20.5000,21.0000,20.0000,21.0000,663900
KLF,20131022,20.7000,21.4000,20.2000,21.4000,554700
KLF,20131023,21.2000,22.2000,20.7000,22.2000,586300
KLF,20131024,21.8000,24.4000,21.7000,24.0000,825800
KLF,20131025,23.8000,23.9000,21.9000,22.0000,939400
KLF,20131028,21.8000,21.8000,19.8000,19.8000,854600
KLF,20131029,19.0000,19.1000,18.3000,18.8000,988900
KLF,20131030,18.5000,18.5000,17.5000,17.6000,769200
KLF,20131031,17.4000,17.4000,16.7000,16.7000,611500
KLF,20131101,16.7000,16.7000,15.1000,15.1000,759700
KLF,20131104,13.7000,15.1000,13.7000,14.5000,676800
KLF,20131105,14.5000,15.4000,14.4000,14.9000,814100
KLF,20131106,15.0000,15.7000,14.5000,15.2000,784700
KLF,20131107,15.2000,15.2000,14.6000,14.8000,746900
KLF,20131108,14.7000,14.8000,13.8000,13.9000,680300
KLF,20131111,13.9000,14.0000,13.4000,13.9000,655100
KLF,20131112,13.8000,14.2000,13.5000,14.2000,496700
KLF,20131113,14.2000,14.3000,14.0000,14.3000,344400
KLF,20131114,14.2000,14.4000,13.6000,14.4000,1256100
KLF,20131115,14.4000,14.9000,14.0000,14.7000,793400
KLF,20131118,15.0000,16.1000,14.7000,16.1000,800500
KLF,20131119,16.1000,16.5000,15.6000,15.6000,940600
KLF,20131120,15.7000,15.7000,14.9000,15.1000,824600
KLF,20131121,15.1000,15.6000,14.9000,14.9000,1002500
KLF,20131122,14.9000,15.0000,14.6000,14.6000,655600
KLF,20131125,14.6000,15.0000,14.3000,15.0000,1071400
KLF,20131126,14.8000,15.3000,14.6000,15.2000,903800
KLF,20131127,15.2000,15.5000,14.9000,15.4000,1102500
KLF,20131128,15.2000,16.1000,15.2000,16.0000,1123200
KLF,20131129,16.0000,16.3000,15.9000,16.0000,902100
KLF,20131202,16.0000,16.1000,15.3000,15.3000,809700
KLF,20131203,15.2000,15.6000,15.2000,15.6000,981100
KLF,20131204,15.7000,15.8000,15.3000,15.7000,923200
KLF,20131205,15.6000,15.9000,15.5000,15.8000,835800
KLF,20131206,15.8000,16.2000,15.6000,15.6000,778200
KLF,20131209,15.7000,15.9000,15.1000,15.3000,889900
KLF,20131210,15.3000,15.4000,15.2000,15.3000,415100
KLF,20131211,15.2000,15.4000,14.6000,14.7000,823000
KLF,20131212,14.6000,14.7000,14.0000,14.6000,1345100
KLF,20131213,14.6000,14.7000,14.2000,14.4000,690500
KLF,20131216,14.4000,14.9000,14.1000,14.9000,971400
KLF,20131217,14.9000,15.3000,14.7000,15.0000,966200
KLF,20131218,14.9000,15.0000,14.3000,14.7000,888900
KLF,20131219,14.7000,15.0000,14.0000,15.0000,1774500
KLF,20131220,15.0000,16.5000,15.0000,16.5000,3066000
KLF,20131223,16.8000,18.1000,16.6000,17.3000,1878000
KLF,20131224,17.3000,18.0000,17.1000,17.3000,1762700
KLF,20131225,17.2000,17.3000,15.9000,16.3000,2757100
