<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KMR,20080630,48.0000,48.0000,48.0000,48.0000,220
KMR,20080701,46.6000,46.6000,46.6000,46.6000,70
KMR,20080702,45.3000,45.3000,45.3000,45.3000,20
KMR,20080703,44.0000,44.0000,44.0000,44.0000,10
KMR,20080704,42.7000,42.7000,42.7000,42.7000,10
KMR,20080707,41.5000,41.5000,41.5000,41.5000,10
KMR,20080708,41.5000,41.5000,41.5000,41.5000,0
KMR,20080709,41.5000,41.5000,41.5000,41.5000,0
KMR,20080710,40.3000,40.3000,40.3000,40.3000,10
KMR,20080711,40.3000,40.3000,40.3000,40.3000,0
KMR,20080714,39.1000,39.1000,39.1000,39.1000,10
KMR,20080715,38.0000,38.0000,38.0000,38.0000,70
KMR,20080716,36.9000,36.9000,36.9000,36.9000,60
KMR,20080717,35.8000,35.8000,35.8000,35.8000,80
KMR,20080718,34.8000,34.8000,34.8000,34.8000,10
KMR,20080721,34.0000,34.0000,34.0000,34.0000,100
KMR,20080722,34.0000,34.0000,34.0000,34.0000,0
KMR,20080723,33.0000,33.0000,33.0000,33.0000,10
KMR,20080724,32.1000,32.1000,32.1000,32.1000,10
KMR,20080725,31.2000,31.2000,31.2000,31.2000,920
KMR,20080728,30.3000,30.3000,30.3000,30.3000,20
KMR,20080729,29.4000,29.4000,29.4000,29.4000,10
KMR,20080730,29.4000,29.4000,29.4000,29.4000,0
KMR,20080731,28.6000,28.6000,28.6000,28.6000,10
KMR,20080801,27.8000,27.8000,27.8000,27.8000,20
KMR,20080804,27.0000,27.0000,27.0000,27.0000,20
KMR,20080805,27.0000,27.0000,27.0000,27.0000,0
KMR,20080806,26.2000,26.2000,26.2000,26.2000,10
KMR,20080807,25.5000,25.5000,25.5000,25.5000,19620
KMR,20080808,24.8000,24.8000,24.8000,24.8000,15010
KMR,20080811,24.1000,24.1000,24.1000,24.1000,13950
KMR,20080812,23.4000,23.4000,23.4000,23.4000,310
KMR,20080813,22.7000,22.7000,22.7000,22.7000,14020
KMR,20080814,22.1000,22.1000,22.1000,22.1000,1180
KMR,20080815,21.5000,21.5000,21.5000,21.5000,34440
KMR,20080818,20.5000,20.5000,20.5000,20.5000,790
KMR,20080819,19.5000,19.5000,19.5000,19.5000,1920
KMR,20080820,18.6000,18.6000,18.6000,18.6000,12410
KMR,20080821,17.7000,17.7000,17.7000,17.7000,410
KMR,20080822,16.9000,16.9000,16.9000,16.9000,3880
KMR,20080825,16.1000,17.7000,16.1000,17.7000,1185260
KMR,20080826,18.5000,18.5000,18.5000,18.5000,210300
KMR,20080827,19.4000,19.4000,19.4000,19.4000,73710
KMR,20080828,20.3000,20.3000,18.5000,20.3000,265520
KMR,20080829,19.3000,19.3000,19.3000,19.3000,97850
KMR,20080903,18.4000,19.3000,18.4000,18.4000,631710
KMR,20080904,17.5000,17.6000,17.5000,17.5000,211600
KMR,20080905,16.7000,16.7000,16.7000,16.7000,143310
KMR,20080908,16.0000,16.7000,15.9000,16.7000,439970
KMR,20080909,17.5000,17.5000,17.5000,17.5000,170800
KMR,20080910,18.3000,18.3000,17.0000,17.5000,292400
KMR,20080911,16.8000,17.0000,16.7000,16.7000,80610
KMR,20080912,15.9000,15.9000,15.9000,15.9000,55760
KMR,20080915,15.2000,16.5000,15.2000,15.2000,189790
KMR,20080916,14.5000,14.5000,14.5000,14.5000,44820
