<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KSQ,20130726,7.7000,7.7000,7.7000,7.7000,200
KSQ,20130729,7.0000,7.0000,7.0000,7.0000,100
KSQ,20130730,6.3000,6.3000,6.3000,6.3000,100
KSQ,20130731,5.7000,5.7000,5.7000,5.7000,100
KSQ,20130801,5.2000,5.2000,5.2000,5.2000,100
KSQ,20130802,4.7000,4.7000,4.7000,4.7000,100
KSQ,20130805,4.3000,4.3000,4.3000,4.3000,200
KSQ,20130806,3.9000,3.9000,3.9000,3.9000,1200
KSQ,20130807,3.6000,4.2000,3.6000,3.8000,73100
KSQ,20130808,4.0000,4.0000,3.7000,4.0000,8900
KSQ,20130809,3.9000,3.9000,3.6000,3.6000,116000
KSQ,20130812,3.5000,3.8000,3.3000,3.3000,243200
KSQ,20130813,3.4000,3.5000,3.1000,3.2000,68400
KSQ,20130814,3.3000,3.3000,3.2000,3.3000,60200
KSQ,20130815,3.3000,3.4000,3.2000,3.4000,76600
KSQ,20130816,3.3000,3.5000,3.3000,3.5000,72800
KSQ,20130819,3.5000,3.5000,3.4000,3.5000,98300
KSQ,20130820,3.4000,3.6000,3.4000,3.6000,32900
KSQ,20130821,3.6000,3.9000,3.5000,3.9000,84000
KSQ,20130822,4.1000,4.2000,4.1000,4.2000,19400
KSQ,20130823,4.6000,4.6000,4.4000,4.6000,489100
KSQ,20130826,4.8000,4.8000,4.3000,4.7000,95100
KSQ,20130827,4.6000,5.1000,4.6000,5.1000,268900
KSQ,20130828,5.0000,5.6000,4.8000,5.6000,251700
KSQ,20130829,5.8000,6.1000,5.8000,6.1000,156700
KSQ,20130830,6.5000,6.5000,5.5000,5.6000,177300
KSQ,20130903,5.4000,5.6000,5.1000,5.1000,185700
KSQ,20130904,4.7000,5.0000,4.6000,4.6000,219000
KSQ,20130905,4.6000,5.0000,4.4000,4.9000,58000
KSQ,20130906,4.8000,4.9000,4.5000,4.5000,106000
KSQ,20130909,4.4000,4.4000,4.1000,4.1000,151200
KSQ,20130910,4.1000,4.3000,4.0000,4.3000,28500
KSQ,20130911,3.9000,4.3000,3.9000,4.3000,23600
KSQ,20130912,4.2000,4.7000,4.2000,4.6000,46400
KSQ,20130913,4.3000,4.6000,4.3000,4.4000,14600
KSQ,20130916,4.6000,4.6000,4.0000,4.0000,45100
KSQ,20130917,3.9000,4.2000,3.7000,4.2000,21000
KSQ,20130918,3.9000,4.2000,3.9000,4.1000,15900
KSQ,20130919,4.0000,4.1000,3.7000,4.0000,54500
KSQ,20130920,3.9000,4.0000,3.7000,4.0000,46900
KSQ,20130923,3.9000,4.3000,3.9000,4.2000,46200
KSQ,20130924,4.2000,4.2000,4.0000,4.0000,61400
KSQ,20130925,4.2000,4.4000,4.1000,4.4000,66000
KSQ,20130926,4.4000,4.8000,4.4000,4.8000,73800
KSQ,20130927,4.8000,5.0000,4.5000,4.7000,71800
KSQ,20130930,4.5000,4.5000,4.4000,4.4000,81300
KSQ,20131001,4.5000,4.5000,4.4000,4.5000,88100
KSQ,20131002,4.4000,4.5000,4.3000,4.4000,49000
KSQ,20131003,4.4000,4.6000,4.3000,4.6000,44200
KSQ,20131004,4.6000,4.6000,4.4000,4.4000,32100
KSQ,20131007,4.4000,4.5000,4.4000,4.5000,65400
KSQ,20131008,4.5000,4.5000,4.4000,4.4000,162400
KSQ,20131009,4.4000,4.5000,4.3000,4.5000,38400
KSQ,20131010,4.4000,4.5000,4.3000,4.3000,31900
KSQ,20131011,4.2000,4.3000,4.2000,4.3000,36000
KSQ,20131014,4.3000,4.7000,4.3000,4.7000,166000
KSQ,20131015,4.6000,4.6000,4.4000,4.5000,56400
KSQ,20131016,4.6000,4.9000,4.6000,4.9000,76300
KSQ,20131017,5.0000,5.0000,4.6000,4.8000,72500
KSQ,20131018,4.8000,4.8000,4.5000,4.7000,32500
KSQ,20131021,4.7000,5.0000,4.6000,4.9000,62800
KSQ,20131022,4.7000,4.7000,4.5000,4.5000,157100
KSQ,20131023,4.6000,4.8000,4.5000,4.5000,58200
KSQ,20131024,4.5000,4.5000,4.4000,4.5000,58500
KSQ,20131025,4.5000,4.5000,4.4000,4.4000,57200
KSQ,20131028,4.4000,4.5000,4.2000,4.3000,26800
KSQ,20131029,4.5000,4.6000,4.4000,4.6000,27900
KSQ,20131030,4.4000,4.4000,4.2000,4.2000,21600
KSQ,20131031,3.8000,3.8000,3.8000,3.8000,22100
KSQ,20131101,3.5000,3.8000,3.5000,3.8000,203900
KSQ,20131104,3.8000,4.1000,3.8000,3.9000,156300
KSQ,20131105,3.9000,4.1000,3.9000,4.0000,74700
KSQ,20131106,3.9000,4.0000,3.8000,3.8000,102500
KSQ,20131107,3.9000,4.0000,3.9000,3.9000,54200
KSQ,20131108,3.9000,4.0000,3.9000,4.0000,42500
