<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KST,20101229,30.0000,30.0000,18.5000,25.5000,15500
KST,20101230,25.0000,25.0000,25.0000,25.0000,300
KST,20101231,25.0000,25.0000,25.0000,25.0000,0
KST,20110104,23.3000,23.3000,23.3000,23.3000,100
KST,20110105,21.7000,21.7000,21.7000,21.7000,3200
KST,20110106,20.2000,20.2000,20.2000,20.2000,200
KST,20110107,18.8000,18.8000,18.8000,18.8000,100
KST,20110110,17.5000,17.5000,17.5000,17.5000,8500
KST,20110111,16.3000,16.3000,16.3000,16.3000,3000
KST,20110112,15.2000,15.3000,15.2000,15.3000,13300
KST,20110113,16.2000,16.2000,16.0000,16.0000,7500
KST,20110114,17.2000,17.2000,15.5000,15.5000,700
KST,20110117,16.4000,16.4000,16.4000,16.4000,100
KST,20110118,15.3000,15.3000,15.3000,15.3000,500
KST,20110119,14.5000,14.7000,14.3000,14.3000,14400
KST,20110120,15.0000,15.4000,13.7000,13.7000,5200
KST,20110121,13.2000,14.8000,13.1000,14.8000,4500
KST,20110124,14.0000,14.0000,13.9000,13.9000,3700
KST,20110125,14.8000,14.8000,14.8000,14.8000,100
KST,20110126,14.8000,14.8000,14.8000,14.8000,0
KST,20110127,14.8000,14.8000,14.8000,14.8000,0
KST,20110128,14.5000,14.9000,14.5000,14.9000,1600
KST,20110208,15.0000,15.0000,15.0000,15.0000,100
KST,20110209,15.5000,15.5000,14.5000,15.2000,10500
KST,20110210,15.0000,15.0000,15.0000,15.0000,0
KST,20110211,14.9000,14.9000,14.9000,14.9000,3000
KST,20110214,14.9000,14.9000,14.9000,14.9000,0
KST,20110215,13.9000,15.1000,13.9000,15.0000,5900
KST,20110216,14.0000,15.0000,13.8000,14.4000,8100
KST,20110217,14.5000,14.8000,14.5000,14.8000,500
KST,20110218,14.8000,14.8000,14.8000,14.8000,3000
KST,20110221,14.8000,14.8000,14.5000,14.5000,4000
KST,20110222,14.0000,14.0000,13.7000,13.7000,3000
KST,20110223,13.8000,14.7000,13.8000,14.7000,200
KST,20110224,15.2000,15.2000,15.2000,15.2000,100
KST,20110225,16.0000,16.0000,16.0000,16.0000,100
KST,20110228,16.7000,16.7000,16.7000,16.7000,100
KST,20110301,15.6000,15.6000,15.6000,15.6000,1000
KST,20110302,14.8000,14.8000,14.8000,14.8000,1000
KST,20110303,15.8000,15.8000,15.8000,15.8000,100
KST,20110304,16.7000,16.7000,14.7000,14.7000,600
KST,20110307,16.0000,16.0000,14.0000,14.0000,300
KST,20110308,15.7000,15.7000,13.7000,13.8000,5200
KST,20110309,14.7000,14.7000,13.0000,13.0000,700
KST,20110310,14.1000,14.1000,14.1000,14.1000,100
KST,20110311,15.0000,15.0000,15.0000,15.0000,100
KST,20110314,16.0000,16.0000,16.0000,16.0000,100
KST,20110315,17.1000,17.1000,16.0000,16.0000,1100
KST,20110316,17.0000,17.2000,17.0000,17.0000,800
KST,20110317,16.9000,18.2000,16.9000,17.7000,800
KST,20110318,17.0000,17.0000,17.0000,17.0000,100
KST,20110321,18.1000,18.1000,18.1000,18.1000,200
KST,20110322,18.1000,18.1000,18.1000,18.1000,0
KST,20110323,18.1000,18.1000,18.1000,18.1000,0
KST,20110324,16.9000,16.9000,16.9000,16.9000,500
KST,20110325,18.0000,18.0000,18.0000,18.0000,100
KST,20110328,18.5000,19.2000,16.8000,18.0000,900
KST,20110329,18.9000,18.9000,18.9000,18.9000,100
KST,20110330,20.2000,20.2000,17.6000,17.6000,200
KST,20110331,20.2000,20.2000,17.6000,17.6000,1200
KST,20110401,21.4000,21.4000,21.4000,21.4000,100
KST,20110404,21.4000,21.4000,21.4000,21.4000,0
KST,20110405,21.4000,21.4000,21.4000,21.4000,0
KST,20110406,21.4000,21.4000,21.4000,21.4000,0
KST,20110407,21.4000,21.4000,21.4000,21.4000,0
