<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
KTS,20101231,35.0000,41.0000,35.0000,41.0000,31400
KTS,20110104,35.4000,35.4000,35.4000,35.4000,11900
KTS,20110105,33.5000,36.0000,33.5000,36.0000,8800
KTS,20110106,34.6000,37.0000,34.6000,37.0000,17500
KTS,20110107,37.0000,37.0000,37.0000,37.0000,3300
KTS,20110110,37.0000,39.0000,37.0000,39.0000,19300
KTS,20110111,41.2000,41.2000,41.2000,41.2000,100
KTS,20110112,38.5000,38.5000,38.4000,38.4000,3000
KTS,20110113,39.0000,39.0000,39.0000,39.0000,100
KTS,20110114,39.0000,39.0000,39.0000,39.0000,7500
KTS,20110117,38.0000,39.0000,38.0000,39.0000,7700
KTS,20110118,39.0000,39.0000,39.0000,39.0000,1000
KTS,20110119,39.0000,39.0000,39.0000,39.0000,1500
KTS,20110120,39.0000,39.0000,39.0000,39.0000,0
KTS,20110121,39.0000,39.0000,39.0000,39.0000,0
KTS,20110124,39.0000,39.0000,39.0000,39.0000,0
KTS,20110125,39.0000,39.0000,39.0000,39.0000,42000
KTS,20110126,39.0000,39.0000,39.0000,39.0000,0
KTS,20110127,39.0000,39.0000,39.0000,39.0000,3000
KTS,20110128,39.0000,39.0000,39.0000,39.0000,0
KTS,20110208,41.7000,41.7000,41.7000,41.7000,100
KTS,20110209,41.7000,41.7000,41.7000,41.7000,0
KTS,20110210,44.5000,44.5000,44.5000,44.5000,100
KTS,20110211,44.5000,44.5000,44.5000,44.5000,0
KTS,20110214,41.5000,41.5000,41.5000,41.5000,200
KTS,20110215,39.0000,39.0000,39.0000,39.0000,200
KTS,20110216,41.6000,41.6000,41.6000,41.6000,100
KTS,20110217,39.0000,44.5000,39.0000,44.5000,300
KTS,20110218,38.0000,38.0000,38.0000,38.0000,100
KTS,20110221,38.0000,38.0000,38.0000,38.0000,0
KTS,20110222,38.0000,38.0000,38.0000,38.0000,0
KTS,20110223,35.4000,35.4000,35.4000,35.4000,200
KTS,20110224,33.0000,33.0000,33.0000,33.0000,200
KTS,20110225,30.7000,30.7000,30.7000,30.7000,100
KTS,20110228,30.7000,30.7000,30.7000,30.7000,0
KTS,20110301,29.0000,29.0000,29.0000,29.0000,200
KTS,20110302,27.0000,27.0000,27.0000,27.0000,100
KTS,20110303,25.5000,25.5000,25.5000,25.5000,200
KTS,20110304,25.5000,25.5000,25.5000,25.5000,0
KTS,20110307,24.0000,24.0000,24.0000,24.0000,500
KTS,20110308,22.8000,22.8000,22.8000,22.8000,100
KTS,20110309,22.8000,22.8000,22.8000,22.8000,0
KTS,20110310,22.8000,22.8000,22.8000,22.8000,0
KTS,20110311,22.8000,22.8000,22.8000,22.8000,0
KTS,20110314,21.6000,21.6000,21.6000,21.6000,300
KTS,20110315,21.6000,21.6000,21.6000,21.6000,0
KTS,20110316,21.6000,21.6000,21.6000,21.6000,0
