<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
L14,20110913,11.3000,13.5000,11.1000,12.2000,144200
L14,20110914,12.0000,12.0000,11.1000,11.1000,20200
L14,20110915,11.0000,11.0000,10.7000,10.7000,16600
L14,20110916,10.5000,10.5000,10.3000,10.3000,4500
L14,20110919,10.1000,11.0000,10.0000,10.5000,4000
L14,20110920,10.0000,10.0000,10.0000,10.0000,200
L14,20110921,10.0000,10.0000,10.0000,10.0000,100
L14,20110922,10.0000,10.0000,10.0000,10.0000,100
L14,20110923,10.0000,10.0000,10.0000,10.0000,0
L14,20110926,10.7000,10.7000,10.7000,10.7000,200
L14,20110927,10.0000,10.0000,10.0000,10.0000,100
L14,20110928,10.0000,10.0000,9.7000,9.7000,1900
L14,20110929,10.3000,10.3000,10.3000,10.3000,100
L14,20110930,10.0000,10.0000,9.6000,9.6000,800
L14,20111003,9.7000,10.0000,9.7000,10.0000,200
L14,20111004,9.9000,10.0000,9.9000,10.0000,200
L14,20111005,10.2000,10.2000,10.2000,10.2000,100
L14,20111006,10.8000,10.8000,9.6000,10.3000,4000
L14,20111007,10.2000,10.2000,10.2000,10.2000,0
L14,20111010,10.2000,10.2000,10.2000,10.2000,0
L14,20111011,10.8000,10.8000,10.8000,10.8000,1500
L14,20111012,11.2000,11.2000,11.2000,11.2000,1000
L14,20111013,11.3000,11.3000,11.3000,11.3000,1100
L14,20111014,11.2000,11.2000,11.2000,11.2000,600
L14,20111017,11.2000,11.2000,11.2000,11.2000,0
L14,20111018,11.2000,11.2000,11.2000,11.2000,0
L14,20111019,11.2000,11.2000,11.2000,11.2000,0
L14,20111020,11.2000,11.2000,11.2000,11.2000,0
L14,20111021,11.2000,11.2000,11.2000,11.2000,0
L14,20111024,11.2000,11.2000,11.2000,11.2000,100
L14,20111025,11.2000,11.2000,11.2000,11.2000,0
L14,20111026,11.2000,11.2000,11.2000,11.2000,0
L14,20111027,11.2000,11.2000,11.2000,11.2000,0
L14,20111028,11.2000,11.2000,11.2000,11.2000,0
L14,20111031,11.2000,11.2000,11.2000,11.2000,0
L14,20111101,11.2000,11.2000,11.2000,11.2000,0
L14,20111102,11.2000,11.2000,11.2000,11.2000,2800
L14,20111103,11.2000,11.2000,11.2000,11.2000,0
L14,20111104,11.2000,11.2000,11.2000,11.2000,0
L14,20111107,11.2000,11.2000,11.2000,11.2000,0
L14,20111108,11.2000,11.2000,11.2000,11.2000,0
L14,20111109,11.2000,11.2000,11.2000,11.2000,0
L14,20111110,11.2000,11.2000,11.2000,11.2000,0
L14,20111111,11.2000,11.2000,11.2000,11.2000,0
L14,20111114,11.2000,11.2000,11.2000,11.2000,0
L14,20111115,11.2000,11.2000,11.2000,11.2000,0
L14,20111116,11.2000,11.2000,11.2000,11.2000,0
L14,20111117,10.5000,10.5000,10.5000,10.5000,700
L14,20111118,9.8000,9.8000,9.8000,9.8000,600
L14,20111121,9.2000,9.2000,9.2000,9.2000,7800
L14,20111122,9.2000,9.2000,9.2000,9.2000,0
L14,20111123,9.2000,9.2000,9.2000,9.2000,0
L14,20111124,8.6000,8.6000,8.6000,8.6000,800
L14,20111125,8.6000,8.6000,8.6000,8.6000,0
L14,20111128,8.0000,8.0000,8.0000,8.0000,100
L14,20111129,8.5000,8.5000,8.5000,8.5000,200
L14,20111130,8.5000,8.5000,8.5000,8.5000,0
L14,20111201,8.4000,8.5000,8.2000,8.2000,6900
L14,20111202,8.5000,8.5000,8.5000,8.5000,0
L14,20111205,8.5000,8.5000,8.5000,8.5000,0
L14,20111206,8.5000,8.5000,8.5000,8.5000,0
L14,20111207,8.4000,9.0000,8.0000,8.2000,13800
L14,20111208,8.5000,8.5000,8.5000,8.5000,0
L14,20111209,8.5000,8.5000,8.5000,8.5000,0
L14,20111212,8.7000,8.7000,8.1000,8.1000,500
L14,20111213,8.4000,8.4000,8.4000,8.4000,0
L14,20111214,8.8000,8.8000,8.0000,8.0000,2100
L14,20111215,8.2000,8.5000,8.2000,8.5000,9500
L14,20111216,8.5000,8.5000,8.5000,8.5000,0
L14,20111219,8.5000,8.5000,8.5000,8.5000,0
L14,20111220,8.5000,8.5000,8.5000,8.5000,0
L14,20111221,8.5000,8.5000,8.5000,8.5000,0
L14,20111222,8.5000,8.5000,8.5000,8.5000,0
L14,20111223,8.5000,8.5000,8.5000,8.5000,0
L14,20111226,8.5000,8.5000,8.5000,8.5000,0
L14,20111227,8.5000,8.5000,8.5000,8.5000,0
L14,20111228,8.5000,8.5000,8.5000,8.5000,0
L14,20111229,8.5000,8.5000,8.5000,8.5000,0
L14,20111230,8.5000,8.5000,8.5000,8.5000,0
L14,20120103,8.5000,8.5000,8.5000,8.5000,0
L14,20120104,8.5000,8.5000,8.5000,8.5000,0
L14,20120105,8.5000,8.5000,8.5000,8.5000,0
L14,20120106,8.5000,8.5000,8.5000,8.5000,0
L14,20120109,8.5000,8.5000,8.5000,8.5000,0
L14,20120110,8.0000,8.5000,8.0000,8.5000,1000
L14,20120111,8.0000,8.0000,8.0000,8.0000,1100
L14,20120112,8.0000,8.0000,8.0000,8.0000,0
L14,20120113,8.0000,8.0000,8.0000,8.0000,0
L14,20120116,8.0000,8.0000,8.0000,8.0000,0
L14,20120117,7.9000,7.9000,7.9000,7.9000,2000
L14,20120118,7.9000,7.9000,7.9000,7.9000,0
L14,20120119,7.9000,7.9000,7.9000,7.9000,0
L14,20120120,7.9000,7.9000,7.9000,7.9000,0
L14,20120130,7.9000,7.9000,7.9000,7.9000,0
L14,20120131,7.9000,7.9000,7.9000,7.9000,0
L14,20120201,7.9000,7.9000,7.9000,7.9000,0
L14,20120202,7.9000,7.9000,7.9000,7.9000,0
L14,20120203,7.4000,7.4000,7.4000,7.4000,3500
L14,20120206,7.4000,7.4000,7.4000,7.4000,0
L14,20120207,7.0000,7.0000,7.0000,7.0000,1000
L14,20120208,6.7000,6.7000,6.7000,6.7000,1900
L14,20120209,6.7000,6.7000,6.7000,6.7000,0
L14,20120210,6.7000,6.7000,6.7000,6.7000,0
L14,20120213,6.7000,6.7000,6.7000,6.7000,0
L14,20120214,6.7000,6.7000,6.7000,6.7000,0
L14,20120215,6.6000,6.6000,6.6000,6.6000,500
L14,20120216,6.7000,6.7000,6.7000,6.7000,100
L14,20120217,6.7000,6.7000,6.7000,6.7000,0
L14,20120220,6.7000,6.7000,6.7000,6.7000,0
L14,20120221,6.7000,6.7000,6.7000,6.7000,3000
L14,20120222,6.7000,6.7000,6.7000,6.7000,0
L14,20120223,6.7000,6.7000,6.7000,6.7000,0
L14,20120224,6.7000,6.7000,6.7000,6.7000,0
L14,20120227,7.1000,7.1000,7.1000,7.1000,100
L14,20120228,7.5000,7.5000,7.5000,7.5000,100
L14,20120229,8.0000,8.0000,8.0000,8.0000,1100
L14,20120301,8.5000,8.5000,8.5000,8.5000,100
L14,20120302,9.0000,9.0000,9.0000,9.0000,100
L14,20120305,9.6000,9.6000,9.6000,9.6000,3400
L14,20120306,10.2000,10.2000,9.0000,9.0000,1600
L14,20120307,9.6000,9.6000,9.6000,9.6000,100
L14,20120308,10.2000,10.2000,10.2000,10.2000,100
L14,20120309,10.9000,10.9000,10.9000,10.9000,100
L14,20120312,11.5000,11.5000,10.2000,10.2000,200
L14,20120313,11.0000,11.0000,10.2000,10.2000,300
L14,20120314,9.8000,9.8000,9.8000,9.8000,100
L14,20120315,9.2000,9.2000,9.2000,9.2000,100
L14,20120316,9.2000,9.2000,9.2000,9.2000,0
L14,20120319,9.5000,9.5000,8.6000,8.6000,200
L14,20120320,8.5000,8.5000,8.5000,8.5000,100
L14,20120321,9.0000,9.0000,8.0000,8.9000,800
L14,20120322,7.7000,7.7000,7.7000,7.7000,100
L14,20120323,8.2000,8.2000,7.2000,7.2000,400
L14,20120326,7.5000,7.5000,7.5000,7.5000,500
L14,20120327,7.5000,7.5000,7.5000,7.5000,0
L14,20120328,7.5000,7.5000,7.5000,7.5000,0
L14,20120329,8.0000,8.0000,7.5000,7.5000,600
L14,20120330,7.5000,7.5000,7.5000,7.5000,0
L14,20120403,7.5000,7.5000,7.5000,7.5000,200
L14,20120404,7.5000,7.5000,7.5000,7.5000,0
L14,20120405,8.0000,8.0000,7.1000,7.1000,200
L14,20120406,7.5000,7.5000,7.0000,7.0000,400
L14,20120409,6.8000,6.8000,6.8000,6.8000,100
L14,20120410,6.8000,6.8000,6.8000,6.8000,0
L14,20120411,6.8000,6.8000,6.8000,6.8000,0
L14,20120412,6.8000,6.8000,6.8000,6.8000,0
L14,20120413,6.8000,6.8000,6.8000,6.8000,0
L14,20120416,6.8000,6.8000,6.8000,6.8000,0
L14,20120417,7.0000,7.0000,6.8000,6.8000,1600
L14,20120418,7.2000,7.2000,7.2000,7.2000,200
L14,20120419,7.7000,7.7000,7.7000,7.7000,100
L14,20120420,8.2000,8.2000,8.2000,8.2000,2500
L14,20120423,8.2000,8.2000,8.2000,8.2000,0
L14,20120424,8.6000,8.6000,8.6000,8.6000,200
L14,20120425,9.2000,9.2000,9.2000,9.2000,100
L14,20120426,9.5000,9.5000,9.4000,9.4000,800
L14,20120427,8.8000,8.8000,8.8000,8.8000,4900
L14,20120502,9.0000,9.0000,8.9000,9.0000,7000
L14,20120503,9.4000,9.4000,9.1000,9.1000,300
L14,20120504,9.1000,9.1000,9.1000,9.1000,0
L14,20120507,9.4000,9.4000,9.1000,9.1000,200
L14,20120508,9.3000,9.3000,9.3000,9.3000,100
L14,20120509,9.3000,9.3000,9.3000,9.3000,0
L14,20120510,0.8495,0.8495,0.8495,0.8495,0
L14,20120511,0.8596,0.8596,0.8596,0.8596,100
L14,20120514,0.8900,0.8900,0.8900,0.8900,200
L14,20120515,0.8900,0.8900,0.8900,0.8900,0
L14,20120516,0.8900,0.8900,0.8900,0.8900,0
L14,20120517,0.9102,0.9102,0.9102,0.9102,100
L14,20120518,0.9304,0.9304,0.9304,0.9304,100
L14,20120521,0.9304,0.9304,0.9304,0.9304,0
L14,20120522,0.9304,0.9304,0.9304,0.9304,0
L14,20120523,0.9304,0.9304,0.9304,0.9304,0
L14,20120524,0.9304,0.9304,0.9304,0.9304,0
L14,20120525,0.9405,0.9405,0.9405,0.9405,100
L14,20120528,0.9405,0.9405,0.9405,0.9405,0
L14,20120529,0.9405,0.9405,0.9405,0.9405,0
L14,20120530,0.9405,0.9405,0.9405,0.9405,0
L14,20120531,0.9405,0.9405,0.9405,0.9405,0
L14,20120601,0.9405,0.9405,0.9405,0.9405,0
L14,20120604,0.9405,0.9405,0.9405,0.9405,0
L14,20120605,0.9405,0.9405,0.9405,0.9405,0
L14,20120606,0.9405,0.9405,0.9405,0.9405,0
L14,20120607,0.9405,0.9405,0.9405,0.9405,0
L14,20120608,0.9405,0.9405,0.9405,0.9405,0
L14,20120611,0.9405,0.9405,0.9405,0.9405,0
L14,20120612,0.9608,0.9608,0.9608,0.9608,200
L14,20120613,0.9608,0.9608,0.9608,0.9608,0
L14,20120614,0.9608,0.9608,0.9608,0.9608,0
L14,20120615,0.9608,0.9608,0.9608,0.9608,0
L14,20120618,0.9608,0.9608,0.9608,0.9608,0
L14,20120619,0.9608,0.9608,0.9608,0.9608,0
L14,20120620,0.9608,0.9608,0.9608,0.9608,0
L14,20120621,0.9608,0.9608,0.9608,0.9608,0
L14,20120622,0.9608,0.9608,0.9608,0.9608,0
L14,20120625,0.9608,0.9608,0.9608,0.9608,0
L14,20120626,0.9608,0.9608,0.9608,0.9608,0
L14,20120627,0.9608,0.9608,0.9608,0.9608,0
L14,20120628,0.9608,0.9608,0.9608,0.9608,0
L14,20120629,0.9608,0.9608,0.9608,0.9608,0
L14,20120702,0.9608,0.9608,0.9608,0.9608,0
L14,20120703,0.9608,0.9608,0.9608,0.9608,0
L14,20120704,0.9608,0.9608,0.9608,0.9608,0
L14,20120705,0.9608,0.9608,0.9608,0.9608,0
L14,20120706,0.9608,0.9608,0.9608,0.9608,0
L14,20120709,0.9608,0.9608,0.9608,0.9608,0
L14,20120710,0.9608,0.9608,0.9608,0.9608,0
L14,20120711,0.9608,0.9608,0.9608,0.9608,0
L14,20120712,0.9608,0.9608,0.9608,0.9608,0
L14,20120713,0.9608,0.9608,0.9608,0.9608,0
L14,20120716,0.9608,0.9608,0.9608,0.9608,0
L14,20120717,0.9608,0.9608,0.9608,0.9608,0
L14,20120718,0.9608,0.9608,0.9608,0.9608,0
L14,20120719,0.9608,0.9608,0.9608,0.9608,0
L14,20120720,0.9608,0.9608,0.9608,0.9608,0
L14,20120723,0.9608,0.9608,0.9608,0.9608,0
L14,20120724,0.9608,0.9608,0.9608,0.9608,0
L14,20120725,0.9608,0.9608,0.9608,0.9608,0
L14,20120726,0.9608,0.9608,0.9608,0.9608,0
L14,20120727,0.9608,0.9608,0.9608,0.9608,0
L14,20120730,0.9608,0.9608,0.9608,0.9608,0
L14,20120731,0.9608,0.9608,0.9608,0.9608,0
L14,20120801,0.9608,0.9608,0.9608,0.9608,0
L14,20120802,0.9608,0.9608,0.9608,0.9608,0
L14,20120803,0.9608,0.9608,0.9608,0.9608,0
L14,20120806,0.9608,0.9608,0.9608,0.9608,0
L14,20120807,0.9608,0.9608,0.9608,0.9608,0
L14,20120808,0.9608,0.9608,0.9608,0.9608,0
L14,20120809,0.9608,0.9608,0.9608,0.9608,0
L14,20120810,0.9608,0.9608,0.9608,0.9608,0
L14,20120813,0.9608,0.9608,0.9608,0.9608,0
L14,20120814,0.9608,0.9608,0.9608,0.9608,0
L14,20120815,0.9608,0.9608,0.9608,0.9608,0
L14,20120816,0.9608,0.9608,0.9608,0.9608,0
L14,20120817,0.9608,0.9608,0.9608,0.9608,0
L14,20120820,0.9608,0.9608,0.9608,0.9608,0
