<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LBM,20061220,3.6477,3.6477,3.6477,3.6477,14410
LBM,20061221,3.6477,3.6477,3.4740,3.4740,5560
LBM,20061222,3.3003,3.3003,3.3003,3.3003,10
LBM,20061225,3.1357,3.1357,3.1357,3.1357,2860
LBM,20061226,2.9803,2.9803,2.9803,2.9803,10060
LBM,20061227,2.8340,2.8340,2.8340,2.8340,12900
LBM,20061228,2.6969,2.6969,2.6969,2.6969,1500
LBM,20061229,2.5689,2.5689,2.5689,2.5689,550
LBM,20070102,2.4409,2.4409,2.4409,2.4409,10
LBM,20070103,2.3221,2.3221,2.3221,2.3221,510
LBM,20070104,2.2124,2.2124,2.2124,2.2124,10
LBM,20070105,2.2124,2.2124,2.1118,2.1118,71290
LBM,20070108,2.2124,2.2124,2.2124,2.2124,39040
LBM,20070109,2.3221,2.3221,2.3221,2.3221,79720
LBM,20070110,2.3221,2.3221,2.2855,2.2855,50820
LBM,20070111,2.2855,2.2855,2.2855,2.2855,3740
LBM,20070112,2.1758,2.1849,2.1758,2.1758,5300
LBM,20070115,2.1758,2.1758,2.0844,2.0844,3310
LBM,20070116,1.9838,1.9838,1.9838,1.9838,18700
LBM,20070117,2.0204,2.0204,1.8924,2.0204,5400
LBM,20070118,2.0204,2.0204,2.0021,2.0113,6600
LBM,20070119,1.9199,2.0113,1.9199,2.0113,14600
LBM,20070122,2.0113,2.0113,1.9107,1.9107,4100
LBM,20070123,1.8193,1.8193,1.8193,1.8193,10210
LBM,20070124,1.8284,1.8284,1.8193,1.8193,18100
LBM,20070125,1.9016,1.9016,1.9015,1.9015,4900
LBM,20070126,1.9015,1.9930,1.9015,1.9930,20450
LBM,20070129,1.9199,1.9930,1.9198,1.9198,12710
LBM,20070130,1.9198,1.9198,1.9198,1.9198,3310
LBM,20070131,1.9860,1.9860,1.9387,1.9388,1540
LBM,20070201,1.9388,1.9672,1.9388,1.9388,1340
LBM,20070202,1.9388,1.9388,1.9388,1.9388,940
LBM,20070205,2.0334,2.0334,1.8631,2.0334,10030
LBM,20070206,2.1280,2.1280,2.0807,2.1279,29430
LBM,20070207,2.2225,2.2225,2.1752,2.2225,22850
LBM,20070208,2.3265,2.3265,2.3265,2.3265,29810
LBM,20070209,2.4400,2.4400,2.4400,2.4400,29840
LBM,20070212,2.5535,2.5535,2.5535,2.5535,33190
LBM,20070213,2.5062,2.5535,2.5062,2.5062,17260
LBM,20070214,2.4495,2.5062,2.3833,2.4495,10400
LBM,20070215,2.4495,2.5535,2.4495,2.4495,7020
LBM,20070226,2.5630,2.5630,2.5535,2.5630,5570
LBM,20070227,2.5535,2.6859,2.5535,2.5535,21880
LBM,20070228,2.4589,2.4589,2.4306,2.4589,13930
LBM,20070301,2.4305,2.4589,2.4116,2.4306,8320
LBM,20070302,2.4306,2.4306,2.4116,2.4116,15650
LBM,20070305,2.5251,2.5251,2.4589,2.5251,21660
LBM,20070306,2.6480,2.6481,2.6480,2.6481,79240
LBM,20070307,2.7805,2.7805,2.7805,2.7805,10610
LBM,20070308,2.8372,2.9129,2.8372,2.9129,6220
LBM,20070309,3.0548,3.0548,3.0548,3.0548,7620
LBM,20070312,3.2061,3.2061,3.2061,3.2061,13540
