<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LCS,20100706,36.0000,44.0000,35.0000,43.0000,278800
LCS,20100707,43.1000,43.1000,43.1000,43.1000,30700
LCS,20100708,46.1000,46.1000,41.0000,42.0000,192800
LCS,20100709,42.0000,42.0000,42.0000,42.0000,1000
LCS,20100712,39.1000,42.0000,39.1000,40.5000,133500
LCS,20100713,41.8000,42.1000,40.0000,41.0000,50500
LCS,20100714,40.9000,40.9000,39.5000,39.5000,52000
LCS,20100715,38.7000,39.0000,38.2000,38.3000,34500
LCS,20100716,37.5000,38.6000,37.0000,38.6000,63000
LCS,20100719,39.0000,40.0000,38.5000,39.8000,65500
LCS,20100720,37.1000,39.0000,37.1000,38.5000,39900
LCS,20100721,39.9000,40.5000,38.6000,40.5000,143700
LCS,20100722,42.5000,42.6000,41.0000,42.2000,166100
LCS,20100723,42.5000,43.2000,40.3000,40.4000,53900
LCS,20100726,40.0000,41.0000,39.6000,40.0000,112900
LCS,20100727,39.6000,40.0000,38.0000,40.0000,139200
LCS,20100728,18.7540,18.7540,18.7540,18.7540,300
LCS,20100729,20.0385,20.0385,19.2678,20.0385,178600
LCS,20100730,21.3873,21.3873,20.2312,21.3873,83600
LCS,20100802,22.8003,22.8003,22.1580,22.8003,147000
LCS,20100803,24.1490,24.2775,21.1946,21.4515,51900
LCS,20100804,20.7450,21.7726,20.4881,20.8735,74400
LCS,20100805,20.6808,22.0295,20.2954,22.0295,68700
LCS,20100806,21.8369,22.4791,21.8369,22.4791,46400
LCS,20100809,24.0206,24.0206,22.1580,24.0206,97300
LCS,20100810,23.6994,23.6994,22.0295,23.6994,77900
LCS,20100811,23.6994,23.7636,22.0295,22.0295,31700
LCS,20100812,21.9011,21.9011,21.1946,21.1946,12000
LCS,20100813,20.8735,21.7084,20.1028,21.1946,74000
LCS,20100816,21.7084,21.9011,20.1028,21.3231,91800
LCS,20100817,20.2312,20.5523,19.5890,19.6532,39500
LCS,20100818,20.2954,20.8735,18.8825,20.4239,11200
