<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LDP,20100720,60.0000,80.0000,60.0000,80.0000,27900
LDP,20100721,75.7000,75.7000,75.5000,75.7000,4200
LDP,20100722,80.9000,80.9000,79.0000,79.0000,1000
LDP,20100723,80.0000,80.0000,74.5000,78.5000,5000
LDP,20100726,70.5000,70.5000,70.5000,70.5000,1600
LDP,20100727,65.6000,65.6000,65.6000,65.6000,24200
LDP,20100728,61.1000,61.2000,61.1000,61.1000,800
LDP,20100729,65.4000,65.4000,61.2000,63.0000,3000
LDP,20100730,61.6000,63.2000,61.6000,61.6000,2800
LDP,20100802,63.6000,63.6000,63.6000,63.6000,100
LDP,20100803,59.5000,63.4000,59.5000,63.4000,400
LDP,20100804,63.4000,63.4000,63.4000,63.4000,100
LDP,20100805,60.0000,60.0000,59.0000,59.0000,1600
LDP,20100806,58.0000,59.0000,58.0000,59.0000,1500
LDP,20100809,56.0000,56.0000,56.0000,56.0000,100
LDP,20100810,52.3000,52.3000,52.1000,52.1000,1300
LDP,20100811,54.0000,54.0000,52.2000,52.2000,700
LDP,20100812,52.9000,52.9000,52.9000,52.9000,100
LDP,20100813,52.5000,55.0000,52.5000,55.0000,300
LDP,20100816,55.0000,55.0000,53.5000,53.5000,600
LDP,20100817,56.9000,56.9000,56.9000,56.9000,100
LDP,20100818,53.0000,53.0000,53.0000,53.0000,200
LDP,20100819,54.5000,54.5000,53.0000,53.0000,200
LDP,20100820,51.0000,51.0000,50.1000,50.1000,4000
LDP,20100823,50.0000,50.0000,47.0000,47.0000,2500
LDP,20100824,51.2000,51.2000,45.3000,45.3000,900
LDP,20100825,43.0000,44.0000,43.0000,44.0000,5300
LDP,20100826,4.7043,4.8219,4.7043,4.8219,2200
LDP,20100827,5.0571,5.0571,4.7278,4.8219,400
LDP,20100830,5.1748,5.1748,5.1748,5.1748,3400
LDP,20100831,5.4100,5.4100,5.2924,5.2924,900
LDP,20100901,5.3276,5.3276,5.2453,5.2453,1500
LDP,20100906,5.6334,5.6334,5.6334,5.6334,2500
LDP,20100907,5.4100,6.0215,5.4100,6.0215,6900
LDP,20100908,6.1156,6.1156,5.9980,5.9980,500
LDP,20100909,6.0215,6.0215,6.0215,6.0215,0
LDP,20100910,5.6452,5.6452,5.6099,5.6099,1200
LDP,20100913,5.7628,5.7628,5.4100,5.4100,2100
LDP,20100914,5.7628,5.7628,5.7628,5.7628,100
LDP,20100915,5.6452,5.6452,5.3629,5.3629,1000
LDP,20100916,5.6334,5.6334,5.0571,5.0571,1500
LDP,20100917,5.2924,5.2924,5.2924,5.2924,100
LDP,20100920,5.6452,5.6452,5.2924,5.2924,800
