<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LDW,20180316,11.1000,11.1000,11.1000,11.1000,0
LDW,20180319,11.1000,11.1000,11.1000,11.1000,0
LDW,20180320,11.1000,11.1000,11.1000,11.1000,0
LDW,20180321,11.1000,11.1000,11.1000,11.1000,0
LDW,20180322,11.1000,11.1000,11.1000,11.1000,0
LDW,20180323,11.1000,11.1000,11.1000,11.1000,0
LDW,20180326,11.1000,11.1000,11.1000,11.1000,0
LDW,20180327,11.1000,11.1000,11.1000,11.1000,0
LDW,20180328,11.1000,11.1000,11.1000,11.1000,0
LDW,20180329,11.1000,11.1000,11.1000,11.1000,0
LDW,20180330,11.1000,11.1000,11.1000,11.1000,0
LDW,20180402,11.1000,11.1000,11.1000,11.1000,0
LDW,20180403,11.1000,11.1000,11.1000,11.1000,0
LDW,20180404,11.1000,11.1000,11.1000,11.1000,0
LDW,20180405,11.1000,11.1000,11.1000,11.1000,0
LDW,20180406,11.1000,11.1000,11.1000,11.1000,0
LDW,20180409,11.1000,11.1000,11.1000,11.1000,0
LDW,20180410,11.1000,11.1000,11.1000,11.1000,0
LDW,20180411,11.1000,11.1000,11.1000,11.1000,0
LDW,20180412,11.1000,11.1000,11.1000,11.1000,0
LDW,20180413,11.1000,11.1000,11.1000,11.1000,0
LDW,20180416,11.1000,11.1000,11.1000,11.1000,0
LDW,20180417,11.1000,11.1000,11.1000,11.1000,0
LDW,20180418,11.1000,11.1000,11.1000,11.1000,0
LDW,20180419,11.1000,11.1000,11.1000,11.1000,0
LDW,20180420,11.1000,11.1000,11.1000,11.1000,0
LDW,20180423,11.1000,11.1000,11.1000,11.1000,0
LDW,20180424,11.1000,11.1000,11.1000,11.1000,0
LDW,20180426,11.1000,11.1000,11.1000,11.1000,0
LDW,20180427,11.1000,11.1000,11.1000,11.1000,0
LDW,20180502,11.1000,11.1000,11.1000,11.1000,0
LDW,20180503,11.1000,11.1000,11.1000,11.1000,0
LDW,20180504,11.1000,11.1000,11.1000,11.1000,0
LDW,20180507,11.1000,11.1000,11.1000,11.1000,0
LDW,20180508,11.1000,11.1000,11.1000,11.1000,0
LDW,20180509,11.1000,11.1000,11.1000,11.1000,0
LDW,20180510,11.1000,11.1000,11.1000,11.1000,0
LDW,20180511,11.1000,11.1000,11.1000,11.1000,0
LDW,20180514,11.1000,11.1000,11.1000,11.1000,0
LDW,20180515,11.1000,11.1000,11.1000,11.1000,0
LDW,20180516,11.1000,11.1000,11.1000,11.1000,0
LDW,20180517,11.1000,11.1000,11.1000,11.1000,0
LDW,20180518,11.1000,11.1000,11.1000,11.1000,0
LDW,20180521,11.1000,11.1000,11.1000,11.1000,0
LDW,20180522,11.1000,11.1000,11.1000,11.1000,0
LDW,20180523,11.1000,11.1000,11.1000,11.1000,0
LDW,20180524,11.1000,11.1000,11.1000,11.1000,0
LDW,20180525,11.1000,11.1000,11.1000,11.1000,0
LDW,20180528,11.1000,11.1000,11.1000,11.1000,0
LDW,20180529,11.1000,11.1000,11.1000,11.1000,0
LDW,20180530,11.1000,11.1000,11.1000,11.1000,0
LDW,20180531,11.1000,11.1000,11.1000,11.1000,0
LDW,20180601,11.1000,11.1000,11.1000,11.1000,0
LDW,20180604,11.1000,11.1000,11.1000,11.1000,0
LDW,20180605,11.1000,11.1000,11.1000,11.1000,0
LDW,20180606,11.1000,11.1000,11.1000,11.1000,0
LDW,20180607,11.1000,11.1000,11.1000,11.1000,0
LDW,20180608,11.1000,11.1000,11.1000,11.1000,0
LDW,20180611,11.1000,11.1000,11.1000,11.1000,0
LDW,20180612,11.1000,11.1000,11.1000,11.1000,0
LDW,20180613,11.1000,11.1000,11.1000,11.1000,0
LDW,20180614,11.1000,11.1000,11.1000,11.1000,0
LDW,20180615,11.1000,11.1000,11.1000,11.1000,0
LDW,20180618,11.1000,11.1000,11.1000,11.1000,0
LDW,20180619,11.1000,11.1000,11.1000,11.1000,0
LDW,20180620,11.1000,11.1000,11.1000,11.1000,0
LDW,20180621,11.1000,11.1000,11.1000,11.1000,0
LDW,20180622,11.1000,11.1000,11.1000,11.1000,0
LDW,20180625,11.1000,11.1000,11.1000,11.1000,0
LDW,20180626,11.1000,11.1000,11.1000,11.1000,0
LDW,20180627,11.1000,11.1000,11.1000,11.1000,0
LDW,20180628,11.1000,11.1000,11.1000,11.1000,0
LDW,20180629,11.1000,11.1000,11.1000,11.1000,0
LDW,20180702,11.1000,11.1000,11.1000,11.1000,0
LDW,20180703,11.1000,11.1000,11.1000,11.1000,0
LDW,20180704,11.1000,11.1000,11.1000,11.1000,0
LDW,20180705,11.1000,11.1000,11.1000,11.1000,0
LDW,20180706,11.1000,11.1000,11.1000,11.1000,0
LDW,20180709,11.1000,11.1000,11.1000,11.1000,0
LDW,20180710,11.1000,11.1000,11.1000,11.1000,0
LDW,20180711,11.1000,11.1000,11.1000,11.1000,0
LDW,20180712,11.1000,11.1000,11.1000,11.1000,0
LDW,20180713,11.1000,11.1000,11.1000,11.1000,0
LDW,20180716,11.1000,11.1000,11.1000,11.1000,0
LDW,20180717,11.1000,11.1000,11.1000,11.1000,0
LDW,20180718,11.1000,11.1000,11.1000,11.1000,0
LDW,20180719,11.1000,11.1000,11.1000,11.1000,0
LDW,20180720,11.1000,11.1000,11.1000,11.1000,0
LDW,20180723,11.1000,11.1000,11.1000,11.1000,0
LDW,20180724,11.1000,11.1000,11.1000,11.1000,0
LDW,20180725,11.1000,11.1000,11.1000,11.1000,0
LDW,20180726,11.1000,11.1000,11.1000,11.1000,0
LDW,20180727,11.1000,11.1000,11.1000,11.1000,0
LDW,20180730,11.1000,11.1000,11.1000,11.1000,0
LDW,20180731,11.1000,11.1000,11.1000,11.1000,0
LDW,20180801,11.1000,11.1000,11.1000,11.1000,0
LDW,20180802,11.1000,11.1000,11.1000,11.1000,0
LDW,20180803,11.1000,11.1000,11.1000,11.1000,0
LDW,20180806,11.1000,11.1000,11.1000,11.1000,0
LDW,20180807,11.1000,11.1000,11.1000,11.1000,0
LDW,20180808,11.1000,11.1000,11.1000,11.1000,0
LDW,20180809,11.1000,11.1000,11.1000,11.1000,0
LDW,20180810,11.1000,11.1000,11.1000,11.1000,0
LDW,20180813,11.1000,11.1000,11.1000,11.1000,0
LDW,20180814,11.1000,11.1000,11.1000,11.1000,0
LDW,20180815,11.1000,11.1000,11.1000,11.1000,0
LDW,20180816,11.1000,11.1000,11.1000,11.1000,0
LDW,20180817,11.1000,11.1000,11.1000,11.1000,0
LDW,20180820,11.1000,11.1000,11.1000,11.1000,0
LDW,20180821,11.1000,11.1000,11.1000,11.1000,0
LDW,20180822,11.1000,11.1000,11.1000,11.1000,0
LDW,20180823,11.1000,11.1000,11.1000,11.1000,0
LDW,20180824,11.1000,11.1000,11.1000,11.1000,0
LDW,20180827,11.1000,11.1000,11.1000,11.1000,0
LDW,20180828,11.1000,11.1000,11.1000,11.1000,0
LDW,20180829,11.1000,11.1000,11.1000,11.1000,0
LDW,20180830,11.1000,11.1000,11.1000,11.1000,0
LDW,20180831,11.1000,11.1000,11.1000,11.1000,0
LDW,20180904,11.1000,11.1000,11.1000,11.1000,0
LDW,20180905,11.1000,11.1000,11.1000,11.1000,0
LDW,20180906,11.1000,11.1000,11.1000,11.1000,0
LDW,20180907,11.1000,11.1000,11.1000,11.1000,0
LDW,20180910,11.1000,11.1000,11.1000,11.1000,0
LDW,20180911,11.1000,11.1000,11.1000,11.1000,0
LDW,20180912,11.1000,11.1000,11.1000,11.1000,0
LDW,20180913,11.1000,11.1000,11.1000,11.1000,0
LDW,20180914,11.1000,11.1000,11.1000,11.1000,0
LDW,20180917,11.1000,11.1000,11.1000,11.1000,0
LDW,20180918,11.1000,11.1000,11.1000,11.1000,0
LDW,20180919,11.1000,11.1000,11.1000,11.1000,0
LDW,20180920,11.1000,11.1000,11.1000,11.1000,0
LDW,20180921,11.1000,11.1000,11.1000,11.1000,0
LDW,20180924,11.1000,11.1000,11.1000,11.1000,0
LDW,20180925,11.1000,11.1000,11.1000,11.1000,0
LDW,20180926,11.1000,11.1000,11.1000,11.1000,0
LDW,20180927,11.1000,11.1000,11.1000,11.1000,0
LDW,20180928,11.1000,11.1000,11.1000,11.1000,0
LDW,20181001,11.1000,11.1000,11.1000,11.1000,0
LDW,20181002,11.1000,11.1000,11.1000,11.1000,0
LDW,20181003,11.1000,11.1000,11.1000,11.1000,0
LDW,20181004,11.1000,11.1000,11.1000,11.1000,0
LDW,20181005,11.1000,11.1000,11.1000,11.1000,0
LDW,20181008,11.1000,11.1000,11.1000,11.1000,0
LDW,20181009,11.1000,11.1000,11.1000,11.1000,0
LDW,20181010,11.1000,11.1000,11.1000,11.1000,0
LDW,20181011,11.1000,11.1000,11.1000,11.1000,0
LDW,20181012,11.1000,11.1000,11.1000,11.1000,0
LDW,20181015,11.1000,11.1000,11.1000,11.1000,0
LDW,20181016,11.1000,11.1000,11.1000,11.1000,0
LDW,20181017,11.1000,11.1000,11.1000,11.1000,0
LDW,20181018,11.1000,11.1000,11.1000,11.1000,0
LDW,20181019,11.1000,11.1000,11.1000,11.1000,0
LDW,20181022,11.1000,11.1000,11.1000,11.1000,0
LDW,20181023,11.1000,11.1000,11.1000,11.1000,0
LDW,20181024,11.1000,11.1000,11.1000,11.1000,0
LDW,20181025,11.1000,11.1000,11.1000,11.1000,0
LDW,20181026,11.1000,11.1000,11.1000,11.1000,0
LDW,20181029,11.1000,11.1000,11.1000,11.1000,0
LDW,20181030,11.1000,11.1000,11.1000,11.1000,0
LDW,20181031,11.1000,11.1000,11.1000,11.1000,0
LDW,20181101,11.1000,11.1000,11.1000,11.1000,0
LDW,20181102,11.1000,11.1000,11.1000,11.1000,0
LDW,20181105,11.1000,11.1000,11.1000,11.1000,0
LDW,20181106,11.1000,11.1000,11.1000,11.1000,0
LDW,20181107,11.1000,11.1000,11.1000,11.1000,0
LDW,20181108,11.1000,11.1000,11.1000,11.1000,0
LDW,20181109,11.1000,11.1000,11.1000,11.1000,0
LDW,20181112,11.1000,11.1000,11.1000,11.1000,0
LDW,20181113,11.1000,11.1000,11.1000,11.1000,0
LDW,20181114,11.1000,11.1000,11.1000,11.1000,0
