<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LLM,20170816,21.0000,21.0000,18.0000,21.0000,1000
LLM,20170817,19.2000,19.2000,19.2000,19.2000,0
LLM,20170818,22.0000,22.0000,22.0000,22.0000,300
LLM,20170821,22.0000,22.0000,22.0000,22.0000,0
LLM,20170822,22.0000,22.0000,22.0000,22.0000,0
LLM,20170823,21.0000,21.0000,21.0000,21.0000,400
LLM,20170824,17.9000,17.9000,17.9000,17.9000,100
LLM,20170825,15.3000,15.3000,15.3000,15.3000,600
LLM,20170828,13.1000,13.1000,13.1000,13.1000,100
LLM,20170829,11.2000,11.2000,11.2000,11.2000,100
LLM,20170830,10.0000,10.0000,9.6000,9.6000,1100
LLM,20170831,8.6000,11.0000,8.5000,8.6000,14900
LLM,20170901,8.0000,9.8000,7.4000,9.8000,400
LLM,20170905,10.0000,10.0000,10.0000,10.0000,2200
LLM,20170906,8.5000,10.0000,8.5000,10.0000,300
LLM,20170907,10.0000,10.0000,10.0000,10.0000,100
LLM,20170908,10.0000,10.0000,8.5000,8.5000,2500
LLM,20170911,9.0000,9.0000,8.5000,9.0000,3000
LLM,20170912,10.0000,10.0000,9.5000,9.5000,800
LLM,20170913,8.5000,9.7000,8.5000,9.7000,200
LLM,20170914,8.2000,9.5000,8.2000,9.5000,200
LLM,20170915,10.0000,10.0000,9.0000,9.0000,400
LLM,20170918,9.5000,9.5000,9.5000,9.5000,400
LLM,20170919,8.6000,10.0000,8.6000,10.0000,300
LLM,20170920,10.0000,10.0000,9.8000,9.8000,500
LLM,20170921,10.0000,10.0000,10.0000,10.0000,9000
LLM,20170922,9.9000,10.1000,9.9000,10.0000,5800
LLM,20170925,9.9000,10.0000,9.9000,10.0000,3800
LLM,20170926,10.0000,10.5000,10.0000,10.5000,3100
LLM,20170927,11.0000,11.0000,11.0000,11.0000,500
LLM,20170928,11.0000,11.0000,11.0000,11.0000,0
LLM,20170929,11.0000,11.0000,11.0000,11.0000,0
LLM,20171002,11.0000,11.0000,11.0000,11.0000,1000
LLM,20171003,11.0000,11.0000,11.0000,11.0000,0
LLM,20171004,11.0000,11.0000,11.0000,11.0000,0
LLM,20171005,11.0000,11.0000,11.0000,11.0000,0
LLM,20171006,11.0000,11.0000,11.0000,11.0000,0
LLM,20171009,11.0000,11.0000,11.0000,11.0000,0
LLM,20171010,11.0000,11.0000,11.0000,11.0000,0
LLM,20171011,11.0000,11.0000,11.0000,11.0000,0
LLM,20171012,11.0000,11.0000,11.0000,11.0000,0
LLM,20171013,11.0000,11.0000,11.0000,11.0000,1300
LLM,20171016,11.0000,11.0000,11.0000,11.0000,0
LLM,20171017,11.0000,11.0000,11.0000,11.0000,0
LLM,20171018,11.0000,11.0000,11.0000,11.0000,1300
LLM,20171019,11.0000,11.0000,11.0000,11.0000,0
LLM,20171020,9.9000,9.9000,9.9000,9.9000,100
LLM,20171023,9.9000,9.9000,9.9000,9.9000,0
LLM,20171024,11.0000,11.0000,11.0000,11.0000,100
LLM,20171025,11.0000,11.0000,11.0000,11.0000,0
LLM,20171026,11.0000,11.0000,11.0000,11.0000,0
LLM,20171027,11.0000,11.0000,11.0000,11.0000,0
LLM,20171030,9.8793,9.8793,9.8793,9.8793,0
LLM,20171031,10.9770,10.9770,10.9770,10.9770,1000
LLM,20171101,9.3305,9.3305,9.3305,9.3305,100
LLM,20171102,10.7026,10.7026,9.0561,9.0561,3100
LLM,20171103,10.6111,10.6111,10.6111,10.6111,0
LLM,20171106,9.6964,9.6964,9.6964,9.6964,100
LLM,20171107,10.5197,10.8856,10.5197,10.8856,7000
LLM,20171108,9.2390,9.2390,9.2390,9.2390,100
LLM,20171109,10.5197,10.5197,10.5197,10.5197,1000
LLM,20171110,11.8003,11.8003,11.8003,11.8003,100
LLM,20171113,10.0623,10.0623,10.0623,10.0623,100
LLM,20171114,9.6049,9.6049,9.6049,9.6049,100
LLM,20171115,10.9770,10.9770,10.9770,10.9770,200
LLM,20171116,10.0623,10.0623,10.0623,10.0623,100
LLM,20171117,9.6049,9.6049,9.6049,9.6049,100
LLM,20171120,9.2390,9.2390,9.2390,9.2390,100
LLM,20171121,9.6049,9.6049,9.1475,9.1475,2200
LLM,20171122,9.1475,9.1475,9.1475,9.1475,0
LLM,20171123,9.1475,9.1475,9.1475,9.1475,0
LLM,20171124,9.6049,9.6049,9.6049,9.6049,100
LLM,20171127,9.2390,9.2390,9.2390,9.2390,100
LLM,20171128,9.2390,9.2390,9.2390,9.2390,0
LLM,20171129,9.2390,9.2390,9.2390,9.2390,0
LLM,20171130,9.2390,9.2390,9.2390,9.2390,0
LLM,20171201,10.6111,10.6111,9.1475,9.1475,15100
LLM,20171204,12.1662,12.1662,10.0623,12.1662,13400
LLM,20171205,11.0685,13.7213,11.0685,13.7213,1100
LLM,20171206,11.4344,11.4344,11.4344,11.4344,100
LLM,20171207,10.9770,10.9770,10.9770,10.9770,4900
LLM,20171208,10.0623,11.9833,10.0623,11.9833,200
LLM,20171211,11.0685,11.8918,11.0685,11.8918,1600
LLM,20171212,10.0623,11.8918,10.0623,11.8918,200
LLM,20171213,11.8003,12.6236,11.8003,12.6236,7000
LLM,20171214,12.4407,12.4407,12.4407,12.4407,2000
LLM,20171215,12.4407,12.4407,11.8918,11.8918,8300
LLM,20171218,12.0748,12.0748,11.4344,11.4344,4600
LLM,20171219,10.9770,11.9833,10.9770,11.9833,3900
LLM,20171220,11.8918,12.0748,11.1600,11.2515,10000
LLM,20171221,11.8918,11.8918,11.5259,11.5259,7100
LLM,20171222,11.8918,11.8918,11.8918,11.8918,0
LLM,20171225,11.8918,11.8918,11.8918,11.8918,0
LLM,20171226,11.8918,11.8918,11.7089,11.8918,5700
LLM,20171227,11.1600,11.8918,11.1600,11.8918,9300
LLM,20171228,12.0748,13.6298,10.1538,10.1538,800
LLM,20171229,12.3492,12.3492,12.3492,12.3492,0
LLM,20180102,12.3492,12.3492,12.3492,12.3492,0
LLM,20180103,12.3492,12.3492,12.3492,12.3492,1000
LLM,20180104,12.8066,13.2639,12.8066,13.0810,4000
LLM,20180105,13.1725,13.1725,13.1725,13.1725,3000
LLM,20180108,13.7213,13.7213,13.7213,13.7213,4300
LLM,20180109,13.7213,13.7213,13.7213,13.7213,1400
LLM,20180110,13.7213,13.7213,13.7213,13.7213,15600
LLM,20180111,14.6361,14.6361,13.7213,13.7213,800
LLM,20180112,14.6361,14.6361,14.1787,14.2702,10300
LLM,20180115,15.5508,15.5508,14.6361,15.3679,5100
LLM,20180116,14.1787,14.6361,14.1787,14.6361,10000
LLM,20180117,14.4531,14.4531,14.4531,14.4531,0
LLM,20180118,14.4531,15.0934,14.4531,15.0934,2100
LLM,20180119,14.6361,14.6361,14.6361,14.6361,1000
LLM,20180122,14.6361,14.6361,14.6361,14.6361,0
LLM,20180123,14.1787,14.1787,14.1787,14.1787,2000
LLM,20180124,14.6361,16.2826,14.6361,16.2826,28300
LLM,20180125,18.5695,18.5695,16.2826,18.5695,22000
LLM,20180126,21.0393,21.0393,21.0393,21.0393,42300
LLM,20180129,24.1495,24.1495,23.7836,24.1495,55200
LLM,20180130,27.4426,27.7170,24.6069,24.9728,42750
LLM,20180131,25.9790,25.9790,22.1370,22.1370,18600
LLM,20180201,19.1184,19.3013,19.1184,19.1184,24500
LLM,20180202,16.2826,21.0393,16.2826,18.4780,44750
LLM,20180205,18.2951,18.6610,17.4718,17.8377,20700
LLM,20180206,18.0207,18.2951,16.5570,18.1121,38900
LLM,20180207,19.2098,19.4843,18.2951,19.4843,16800
