<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LQN,20161101,9.0000,9.0000,9.0000,9.0000,0
LQN,20161102,9.0000,9.0000,9.0000,9.0000,0
LQN,20161103,9.0000,9.0000,9.0000,9.0000,0
LQN,20161104,9.0000,9.0000,9.0000,9.0000,0
LQN,20161107,9.0000,9.0000,9.0000,9.0000,0
LQN,20161108,9.0000,9.0000,9.0000,9.0000,0
LQN,20161109,9.0000,9.0000,9.0000,9.0000,0
LQN,20161110,9.0000,9.0000,9.0000,9.0000,0
LQN,20161111,9.0000,9.0000,9.0000,9.0000,0
LQN,20161114,9.0000,9.0000,9.0000,9.0000,0
LQN,20161115,9.0000,9.0000,9.0000,9.0000,0
LQN,20161116,9.0000,9.0000,9.0000,9.0000,0
LQN,20161117,9.0000,9.0000,9.0000,9.0000,0
LQN,20161118,9.0000,9.0000,9.0000,9.0000,0
LQN,20161121,9.0000,9.0000,9.0000,9.0000,0
LQN,20161122,9.0000,9.0000,9.0000,9.0000,0
LQN,20161123,9.0000,9.0000,9.0000,9.0000,0
LQN,20161124,9.0000,9.0000,9.0000,9.0000,0
LQN,20161125,9.0000,9.0000,9.0000,9.0000,0
LQN,20161128,9.0000,9.0000,9.0000,9.0000,0
LQN,20161129,9.0000,9.0000,9.0000,9.0000,0
LQN,20161130,9.0000,9.0000,9.0000,9.0000,0
LQN,20161201,9.0000,9.0000,9.0000,9.0000,0
LQN,20161202,9.0000,9.0000,9.0000,9.0000,0
LQN,20161205,9.0000,9.0000,9.0000,9.0000,0
LQN,20161206,9.0000,9.0000,9.0000,9.0000,0
LQN,20161207,9.0000,9.0000,9.0000,9.0000,0
LQN,20161208,9.0000,9.0000,9.0000,9.0000,0
LQN,20161209,9.0000,9.0000,9.0000,9.0000,0
LQN,20161212,9.0000,9.0000,9.0000,9.0000,0
LQN,20161213,9.0000,9.0000,9.0000,9.0000,0
LQN,20161214,9.0000,9.0000,9.0000,9.0000,0
LQN,20161215,9.0000,9.0000,9.0000,9.0000,0
LQN,20161216,9.0000,9.0000,9.0000,9.0000,0
LQN,20161219,9.0000,9.0000,9.0000,9.0000,0
LQN,20161220,9.0000,9.0000,9.0000,9.0000,0
LQN,20161221,9.0000,9.0000,9.0000,9.0000,0
LQN,20161222,9.0000,9.0000,9.0000,9.0000,0
LQN,20161223,9.0000,9.0000,9.0000,9.0000,0
LQN,20161226,9.0000,9.0000,9.0000,9.0000,0
LQN,20161227,9.0000,9.0000,9.0000,9.0000,0
LQN,20161228,9.0000,9.0000,9.0000,9.0000,0
LQN,20161229,9.0000,9.0000,9.0000,9.0000,0
LQN,20161230,9.0000,9.0000,9.0000,9.0000,0
LQN,20170103,9.0000,9.0000,9.0000,9.0000,0
LQN,20170104,9.0000,9.0000,9.0000,9.0000,0
LQN,20170105,9.0000,9.0000,9.0000,9.0000,0
LQN,20170106,9.0000,9.0000,9.0000,9.0000,0
LQN,20170109,9.0000,9.0000,9.0000,9.0000,0
LQN,20170110,9.0000,9.0000,9.0000,9.0000,0
LQN,20170111,9.0000,9.0000,9.0000,9.0000,0
LQN,20170112,9.0000,9.0000,9.0000,9.0000,0
LQN,20170113,9.0000,9.0000,9.0000,9.0000,0
LQN,20170116,9.0000,9.0000,9.0000,9.0000,0
LQN,20170117,9.0000,9.0000,9.0000,9.0000,0
LQN,20170118,9.0000,9.0000,9.0000,9.0000,0
LQN,20170119,9.0000,9.0000,9.0000,9.0000,0
LQN,20170120,9.0000,9.0000,9.0000,9.0000,0
LQN,20170123,9.0000,9.0000,9.0000,9.0000,0
LQN,20170124,9.0000,9.0000,9.0000,9.0000,0
LQN,20170125,9.0000,9.0000,9.0000,9.0000,0
LQN,20170202,9.0000,9.0000,9.0000,9.0000,0
LQN,20170203,9.0000,9.0000,9.0000,9.0000,0
LQN,20170206,9.0000,9.0000,9.0000,9.0000,0
LQN,20170207,9.0000,9.0000,9.0000,9.0000,0
LQN,20170208,9.0000,9.0000,9.0000,9.0000,0
LQN,20170209,9.0000,9.0000,9.0000,9.0000,0
LQN,20170210,9.0000,9.0000,9.0000,9.0000,0
LQN,20170213,9.0000,9.0000,9.0000,9.0000,0
LQN,20170214,9.0000,9.0000,9.0000,9.0000,0
LQN,20170215,9.0000,9.0000,9.0000,9.0000,0
LQN,20170216,9.0000,9.0000,9.0000,9.0000,0
LQN,20170217,9.0000,9.0000,9.0000,9.0000,0
LQN,20170220,9.0000,9.0000,9.0000,9.0000,0
LQN,20170221,9.0000,9.0000,9.0000,9.0000,0
LQN,20170222,9.0000,9.0000,9.0000,9.0000,0
LQN,20170223,9.0000,9.0000,9.0000,9.0000,0
LQN,20170224,9.0000,9.0000,9.0000,9.0000,0
LQN,20170227,9.0000,9.0000,9.0000,9.0000,0
LQN,20170228,9.0000,9.0000,9.0000,9.0000,0
LQN,20170301,9.0000,9.0000,9.0000,9.0000,0
LQN,20170302,9.0000,9.0000,9.0000,9.0000,0
LQN,20170303,9.0000,9.0000,9.0000,9.0000,0
LQN,20170306,9.0000,9.0000,9.0000,9.0000,0
LQN,20170307,9.0000,9.0000,9.0000,9.0000,0
LQN,20170308,9.0000,9.0000,9.0000,9.0000,0
LQN,20170309,9.0000,9.0000,9.0000,9.0000,0
LQN,20170310,9.0000,9.0000,9.0000,9.0000,0
LQN,20170313,9.0000,9.0000,9.0000,9.0000,0
LQN,20170314,9.0000,9.0000,9.0000,9.0000,0
LQN,20170315,9.0000,9.0000,9.0000,9.0000,0
LQN,20170316,9.0000,9.0000,9.0000,9.0000,0
LQN,20170317,9.0000,9.0000,9.0000,9.0000,0
LQN,20170320,9.0000,9.0000,9.0000,9.0000,0
LQN,20170321,9.0000,9.0000,9.0000,9.0000,0
LQN,20170322,9.0000,9.0000,9.0000,9.0000,0
LQN,20170323,9.0000,9.0000,9.0000,9.0000,0
LQN,20170324,9.0000,9.0000,9.0000,9.0000,0
LQN,20170327,9.0000,9.0000,9.0000,9.0000,0
LQN,20170328,9.0000,9.0000,9.0000,9.0000,0
LQN,20170329,9.0000,9.0000,9.0000,9.0000,0
LQN,20170330,9.0000,9.0000,9.0000,9.0000,0
LQN,20170331,9.0000,9.0000,9.0000,9.0000,0
LQN,20170403,9.0000,9.0000,9.0000,9.0000,0
LQN,20170404,9.0000,9.0000,9.0000,9.0000,0
LQN,20170405,9.0000,9.0000,9.0000,9.0000,0
LQN,20170407,9.0000,9.0000,9.0000,9.0000,0
LQN,20170410,9.0000,9.0000,9.0000,9.0000,0
LQN,20170411,9.0000,9.0000,9.0000,9.0000,0
