<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LUT,20080104,46.0000,67.0000,46.0000,67.0000,13200
LUT,20080107,59.3000,59.3000,53.4000,53.4000,16800
LUT,20080108,54.3000,54.3000,48.9000,48.9000,14800
LUT,20080109,44.8000,44.8000,44.8000,44.8000,23900
LUT,20080110,40.4000,40.4000,40.4000,40.4000,6900
LUT,20080111,36.4000,43.0000,36.4000,40.4000,46200
LUT,20080114,37.0000,40.5000,35.0000,35.0000,29700
LUT,20080115,37.4000,38.0000,33.7000,38.0000,10400
LUT,20080116,36.0000,38.0000,34.6000,38.0000,45400
LUT,20080117,40.5000,40.5000,38.0000,38.0000,16700
LUT,20080118,38.0000,44.0000,38.0000,43.0000,26000
LUT,20080121,41.0000,41.0000,41.0000,41.0000,2700
LUT,20080122,40.0000,41.0000,38.0000,38.1000,13500
LUT,20080123,39.0000,39.0000,36.0000,38.0000,16200
LUT,20080124,38.0000,38.5000,36.0000,38.0000,2300
LUT,20080125,35.0000,37.0000,35.0000,35.9000,2000
LUT,20080128,36.0000,36.0000,34.0000,35.8000,10400
LUT,20080129,37.0000,37.0000,36.0000,36.5000,5000
LUT,20080130,39.6000,40.0000,38.0000,39.0000,11100
LUT,20080131,39.0000,39.0000,38.0000,38.5000,2700
LUT,20080201,42.2000,42.2000,39.5000,42.2000,67700
LUT,20080212,45.9000,45.9000,40.0000,45.7000,17900
LUT,20080213,47.0000,47.0000,41.5000,42.0000,8300
LUT,20080214,45.0000,45.0000,41.0000,42.0000,11100
LUT,20080215,43.0000,43.0000,40.0000,40.5000,8700
LUT,20080218,40.0000,41.4000,38.0000,38.0000,7300
LUT,20080219,39.5000,39.5000,39.4000,39.4000,3400
LUT,20080220,41.0000,41.0000,37.0000,38.0000,4400
LUT,20080221,38.9000,38.9000,35.1000,35.1000,6100
LUT,20080222,31.9000,35.0000,31.9000,34.5000,9200
LUT,20080225,36.5000,36.9000,36.5000,36.9000,4700
LUT,20080226,40.0000,40.4000,35.5000,35.5000,6200
LUT,20080227,41.5000,41.5000,35.0000,38.0000,10300
LUT,20080228,37.5000,37.5000,34.5000,34.5000,4900
LUT,20080229,38.6000,38.6000,33.0000,33.0000,2200
LUT,20080303,38.5000,38.5000,32.5000,32.5000,2200
LUT,20080304,36.0000,36.0000,32.6000,32.6000,600
LUT,20080305,38.1000,38.1000,31.3000,32.0000,2800
LUT,20080306,34.0000,35.8000,34.0000,35.8000,3400
LUT,20080307,38.0000,39.1000,38.0000,39.1000,58000
LUT,20080310,42.5000,42.5000,35.1000,36.0000,5100
LUT,20080311,19.1545,19.1545,17.2858,17.6491,15100
LUT,20080312,18.6873,18.8430,18.6873,18.6873,1900
LUT,20080313,19.9851,19.9851,16.9743,17.1300,2700
LUT,20080314,17.1300,18.6873,16.6110,16.6110,16000
LUT,20080317,15.3132,15.3132,15.1575,15.1575,7400
