<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LYF,20210525,16.8000,16.8000,16.8000,16.8000,0
LYF,20210526,16.8000,16.8000,16.8000,16.8000,0
LYF,20210527,16.8000,16.8000,16.8000,16.8000,0
LYF,20210528,16.8000,16.8000,16.8000,16.8000,0
LYF,20210531,16.8000,16.8000,16.8000,16.8000,0
LYF,20210601,16.8000,16.8000,16.8000,16.8000,0
LYF,20210602,16.8000,16.8000,16.8000,16.8000,0
LYF,20210603,16.8000,16.8000,16.8000,16.8000,0
LYF,20210604,16.8000,16.8000,16.8000,16.8000,0
LYF,20210607,16.8000,16.8000,16.8000,16.8000,0
LYF,20210608,16.8000,16.8000,16.8000,16.8000,0
LYF,20210609,16.8000,16.8000,16.8000,16.8000,0
LYF,20210610,16.8000,16.8000,16.8000,16.8000,0
LYF,20210611,16.8000,16.8000,16.8000,16.8000,0
LYF,20210614,16.8000,16.8000,16.8000,16.8000,0
LYF,20210615,16.8000,16.8000,16.8000,16.8000,0
LYF,20210616,16.8000,16.8000,16.8000,16.8000,0
LYF,20210617,16.8000,16.8000,16.8000,16.8000,0
LYF,20210618,16.8000,16.8000,16.8000,16.8000,0
LYF,20210621,16.8000,16.8000,16.8000,16.8000,0
LYF,20210622,16.8000,16.8000,16.8000,16.8000,0
LYF,20210623,16.8000,16.8000,16.8000,16.8000,0
LYF,20210624,16.8000,16.8000,16.8000,16.8000,0
LYF,20210625,16.8000,16.8000,16.8000,16.8000,0
LYF,20210628,16.8000,16.8000,16.8000,16.8000,0
LYF,20210629,16.8000,16.8000,16.8000,16.8000,0
LYF,20210630,16.8000,16.8000,16.8000,16.8000,0
LYF,20210701,16.8000,16.8000,16.8000,16.8000,0
LYF,20210702,16.8000,16.8000,16.8000,16.8000,0
LYF,20210705,16.8000,16.8000,16.8000,16.8000,0
LYF,20210706,16.8000,16.8000,16.8000,16.8000,0
