<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MCC,20100426,32.0000,35.0000,30.1000,30.1000,5800
MCC,20100427,33.0000,34.0000,31.0000,31.5000,6500
MCC,20100428,31.5000,32.0000,30.5000,30.5000,4900
MCC,20100429,31.5000,31.5000,31.0000,31.5000,12200
MCC,20100504,31.3000,31.3000,30.0000,31.1000,1800
MCC,20100505,30.8000,32.0000,30.8000,31.9000,8900
MCC,20100506,32.0000,32.0000,32.0000,32.0000,12000
MCC,20100507,30.0000,32.0000,30.0000,32.0000,1600
MCC,20100510,30.5000,31.4000,30.5000,31.4000,5400
MCC,20100511,31.1000,31.3000,30.0000,30.0000,18200
MCC,20100512,30.5000,30.7000,30.5000,30.5000,24100
MCC,20100513,29.5000,29.5000,29.5000,29.5000,200
MCC,20100514,30.5000,31.5000,30.4000,31.5000,10100
MCC,20100517,29.6000,30.6000,29.6000,29.6000,400
MCC,20100518,30.2000,30.2000,30.2000,30.2000,100
MCC,20100519,30.2000,30.2000,28.1000,28.1000,2500
MCC,20100520,28.0000,30.5000,28.0000,30.5000,10700
MCC,20100521,28.5000,28.5000,26.6000,28.0000,12100
MCC,20100524,26.0000,26.0000,25.6000,25.6000,2400
MCC,20100525,25.3000,25.3000,23.9000,23.9000,30400
MCC,20100526,25.5000,25.5000,25.1000,25.5000,6000
MCC,20100527,26.5000,27.0000,24.0000,27.0000,4400
MCC,20100528,27.9000,28.0000,27.9000,28.0000,3900
MCC,20100531,27.2000,27.3000,27.2000,27.3000,1300
MCC,20100601,28.0000,28.0000,27.8000,27.8000,300
MCC,20100602,27.9000,27.9000,27.1000,27.9000,2400
MCC,20100603,28.8000,28.8000,28.8000,28.8000,100
MCC,20100604,27.1000,27.1000,27.1000,27.1000,1000
MCC,20100607,25.4000,27.1000,25.3000,25.3000,4700
MCC,20100608,25.9000,27.1000,25.9000,27.1000,2000
MCC,20100609,27.0000,27.0000,27.0000,27.0000,100
MCC,20100610,26.9000,26.9000,26.9000,26.9000,1000
MCC,20100611,25.2000,25.2000,25.2000,25.2000,100
MCC,20100614,26.0000,26.9000,26.0000,26.9000,1300
MCC,20100615,28.5000,28.5000,27.0000,27.0000,1200
MCC,20100616,26.0000,26.9000,26.0000,26.0000,18700
MCC,20100617,27.6000,27.6000,26.0000,26.1000,4900
MCC,20100618,26.0000,26.0000,26.0000,26.0000,200
MCC,20100621,26.1000,26.1000,26.0000,26.0000,800
MCC,20100622,26.0000,27.0000,25.0000,27.0000,1300
MCC,20100623,25.5000,26.9000,25.5000,26.9000,2700
MCC,20100624,25.6000,25.6000,25.4000,25.4000,9200
MCC,20100625,25.0000,25.0000,25.0000,25.0000,600
MCC,20100628,26.7000,26.7000,25.0000,25.0000,1100
MCC,20100629,26.5000,26.5000,26.0000,26.0000,1200
MCC,20100630,25.0000,25.0000,24.5000,25.0000,2300
MCC,20100701,25.0000,25.0000,24.3000,24.3000,4000
MCC,20100702,24.5000,24.9000,24.2000,24.2000,4300
MCC,20100705,25.8000,26.1000,24.3000,24.3000,2200
MCC,20100706,24.7000,24.7000,24.0000,24.0000,4300
MCC,20100707,26.0000,26.0000,26.0000,26.0000,100
MCC,20100708,24.2000,24.2000,24.2000,24.2000,13000
MCC,20100709,25.0000,25.0000,25.0000,25.0000,100
MCC,20100712,26.1000,26.1000,24.0000,24.2000,6200
MCC,20100713,25.8000,25.8000,24.2000,24.2000,4800
MCC,20100714,25.0000,25.0000,24.0000,24.2000,6100
MCC,20100715,24.7000,24.7000,24.0000,24.0000,300
MCC,20100716,25.0000,25.0000,25.0000,25.0000,100
MCC,20100719,24.2000,24.2000,24.0000,24.2000,3200
MCC,20100720,24.1000,24.5000,24.0000,24.5000,5200
MCC,20100721,24.9000,24.9000,24.2000,24.2000,1400
MCC,20100722,24.4000,24.4000,24.0000,24.0000,4000
MCC,20100723,25.0000,25.0000,25.0000,25.0000,100
MCC,20100726,23.5000,23.9000,23.5000,23.9000,2200
MCC,20100727,24.5000,24.5000,22.2000,22.2000,3100
MCC,20100728,22.5000,22.7000,22.2000,22.3000,69900
MCC,20100729,23.7000,23.7000,23.5000,23.7000,17500
MCC,20100730,25.3000,25.3000,24.0000,24.0000,2300
MCC,20100802,25.2000,25.2000,24.6000,24.6000,1200
MCC,20100803,23.2000,24.0000,23.0000,23.0000,6900
MCC,20100804,22.3000,23.0000,21.6000,23.0000,5000
MCC,20100805,23.2000,23.2000,23.2000,23.2000,100
MCC,20100806,24.0000,24.0000,24.0000,24.0000,100
MCC,20100809,24.1000,24.1000,22.4000,22.4000,9200
MCC,20100810,21.1000,21.1000,21.1000,21.1000,4700
MCC,20100811,21.9000,21.9000,21.9000,21.9000,100
MCC,20100812,21.9000,21.9000,21.9000,21.9000,0
MCC,20100813,21.9000,21.9000,21.9000,21.9000,2000
MCC,20100816,23.4000,23.4000,23.4000,23.4000,1500
MCC,20100817,24.5000,24.5000,24.3000,24.3000,10600
MCC,20100818,22.6000,22.6000,22.6000,22.6000,3200
MCC,20100819,23.0000,23.2000,22.6000,23.2000,28500
MCC,20100820,23.0000,23.0000,23.0000,23.0000,0
MCC,20100823,22.5000,22.5000,22.5000,22.5000,2500
MCC,20100824,21.1000,23.0000,21.1000,23.0000,2900
MCC,20100825,8.9225,9.1300,8.9225,9.1300,7000
MCC,20100826,9.1300,9.1300,9.1300,9.1300,2000
MCC,20100827,9.1300,9.3375,8.5075,9.3375,9900
MCC,20100830,9.1715,9.2130,9.1715,9.1715,5500
MCC,20100831,9.1300,9.1300,9.1300,9.1300,2200
MCC,20100901,9.1300,9.2130,9.1300,9.1715,7600
MCC,20100906,9.7110,9.7525,9.7110,9.7525,1700
MCC,20100907,9.9600,10.3335,9.7525,10.1675,5700
MCC,20100908,9.9600,9.9600,9.9600,9.9600,6500
MCC,20100909,10.3335,10.3335,10.1675,10.1675,5800
MCC,20100910,10.1675,10.1675,10.1675,10.1675,5000
MCC,20100913,10.3750,10.3750,10.2090,10.2090,800
MCC,20100914,10.3750,10.3750,10.3750,10.3750,3000
MCC,20100915,10.3750,10.3750,10.3750,10.3750,0
MCC,20100916,10.3750,10.3750,10.3750,10.3750,0
MCC,20100917,10.3750,10.3750,10.3750,10.3750,800
MCC,20100920,10.3750,10.4580,10.3750,10.4580,2400
MCC,20100921,10.3750,10.3750,10.3750,10.3750,6000
MCC,20100922,10.7899,10.7899,10.1675,10.1675,12900
MCC,20100923,10.3750,10.3750,10.3750,10.3750,10000
MCC,20100924,10.3750,10.3750,10.3750,10.3750,8000
MCC,20100927,10.3750,10.3750,10.3750,10.3750,2000
MCC,20100928,10.3750,10.4165,10.3750,10.4165,12000
MCC,20100929,10.4165,10.4165,10.4165,10.4165,0
MCC,20100930,10.1675,10.1675,9.9600,9.9600,10000
MCC,20101001,10.3750,10.3750,10.3750,10.3750,100
MCC,20101004,10.3750,10.3750,10.3750,10.3750,1200
MCC,20101005,10.3750,10.3750,10.3750,10.3750,0
