<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MCM,20201222,55.5000,55.5000,55.5000,55.5000,100
MCM,20201223,63.8000,63.8000,63.8000,63.8000,900
MCM,20201224,73.3000,73.3000,63.8000,73.3000,204593
MCM,20201225,84.2000,84.2000,74.0000,80.0000,730500
MCM,20201228,74.1378,74.1378,70.3430,72.1941,99300
MCM,20201229,72.0090,72.8420,69.9728,70.3430,150154
MCM,20201230,67.5663,69.4174,66.8259,67.3812,222102
MCM,20201231,67.3812,67.3812,65.9003,66.8259,254700
MCM,20210104,66.8259,69.6026,66.8259,69.0472,160300
MCM,20210105,68.3068,68.9547,67.9365,68.3993,92603
MCM,20210106,68.3993,68.4919,67.8440,67.9365,105300
MCM,20210107,68.0291,68.3068,67.1035,67.5663,114900
MCM,20210108,67.3812,67.4738,66.9184,67.1035,97620
MCM,20210111,67.1035,67.1035,66.1780,66.2705,88400
MCM,20210112,66.2705,68.4919,66.2705,67.5663,126950
MCM,20210113,68.4919,71.2686,68.0291,70.0653,394260
MCM,20210114,70.1579,71.7314,68.9547,71.2686,214730
MCM,20210115,71.1760,71.8239,70.8984,71.7314,251852
MCM,20210118,72.1941,72.1941,69.8802,71.7314,178150
MCM,20210119,70.3430,71.4537,67.5663,69.8802,209297
MCM,20210120,69.8802,70.7132,68.0291,69.4174,170110
MCM,20210121,70.1579,71.7314,68.9547,71.3611,220000
MCM,20210122,71.2686,71.7314,70.8058,71.2686,148700
MCM,20210125,71.5463,71.5463,68.4919,69.5100,133600
MCM,20210126,69.7877,69.7877,68.0291,68.4919,182110
MCM,20210127,67.6589,68.0291,58.6809,67.5663,128700
MCM,20210128,66.6408,67.1035,57.9404,60.1618,370075
MCM,20210129,58.2181,66.1780,57.8479,64.7896,70800
MCM,20210201,66.6408,66.6408,62.9385,63.8641,48800
MCM,20210202,63.6789,64.7896,63.6789,64.7896,105800
MCM,20210203,66.1780,66.1780,64.7896,65.3450,22700
MCM,20210204,65.7152,65.9003,63.6789,64.3268,67200
MCM,20210205,64.1417,64.7896,63.8641,64.7896,35500
MCM,20210208,64.7896,64.7896,63.4938,63.8641,46000
MCM,20210209,64.3268,64.3268,62.5683,63.8641,73200
MCM,20210217,63.8641,64.7896,63.8641,64.7896,28700
MCM,20210218,64.7896,64.7896,64.1417,64.4194,34806
MCM,20210219,64.7896,64.7896,63.4938,63.8641,45800
MCM,20210222,63.8641,64.3268,63.1236,63.9566,49630
MCM,20210223,63.9566,64.6045,63.1236,64.6045,43106
MCM,20210224,63.8641,64.0492,63.4013,63.4938,34400
MCM,20210225,63.1236,63.7715,63.0310,63.6789,10800
MCM,20210226,63.3087,63.8641,63.3087,63.3087,41600
MCM,20210301,63.7715,64.3268,63.4938,63.9566,56340
MCM,20210302,64.5119,65.6226,64.5119,65.6226,84257
MCM,20210303,65.6226,65.7152,64.7896,65.3450,17600
MCM,20210304,64.7896,65.2524,63.8641,64.2343,39100
MCM,20210305,63.7715,64.2343,63.1236,63.7715,31300
MCM,20210308,63.8641,65.5301,63.6789,65.2524,77500
MCM,20210309,64.6045,65.2524,63.8641,64.6045,60400
MCM,20210310,64.5119,65.1598,63.8641,63.9566,46500
MCM,20210311,64.6045,64.6045,63.8641,64.2343,78400
MCM,20210312,64.3268,64.3268,63.8641,64.3268,56316
MCM,20210315,64.0492,64.0492,63.4013,63.7715,67300
MCM,20210316,63.7715,63.8641,63.4013,63.8641,45900
MCM,20210317,64.6971,64.6971,63.5864,63.5864,12900
MCM,20210318,63.7715,64.3268,63.5864,63.6789,11205
MCM,20210319,63.4938,63.8641,63.2162,63.6789,38700
MCM,20210322,63.8641,63.8641,62.7534,62.9385,230881
MCM,20210323,63.4013,63.4013,62.9385,63.2162,50600
MCM,20210324,63.1236,63.1236,62.8459,63.0310,51783
MCM,20210325,62.9385,62.9385,61.5501,61.7352,70800
MCM,20210326,61.9204,61.9204,61.0874,61.5501,20500
MCM,20210329,62.0129,63.4013,61.0874,61.3650,51200
MCM,20210330,61.3650,61.5501,59.6990,60.1618,37600
MCM,20210331,60.5320,60.5320,58.7734,58.8660,59011
MCM,20210401,60.1618,61.0874,59.0511,60.1618,40932
MCM,20210402,59.8841,60.1618,59.4213,60.1618,30460
MCM,20210405,60.1618,60.1618,59.8841,60.1618,8530
MCM,20210406,59.9767,59.9767,59.2362,59.4213,19500
MCM,20210407,60.1618,60.1618,59.2362,59.2362,32330
MCM,20210408,59.2362,59.2362,59.0511,59.1437,56500
MCM,20210409,58.7734,58.7734,57.3851,57.9404,65600
MCM,20210412,58.0330,58.0330,56.7372,56.7372,53663
MCM,20210413,56.7372,57.3851,56.5521,56.9223,26570
MCM,20210414,57.1074,57.1074,55.5340,56.4595,32260
MCM,20210415,56.4595,56.4595,55.4414,55.7191,42212
MCM,20210416,55.4414,55.4414,54.3307,54.4233,72736
MCM,20210419,54.4233,54.4233,49.9806,51.6466,128200
MCM,20210420,51.8317,51.8317,50.3508,50.9987,118300
MCM,20210422,50.9061,50.9061,48.8699,48.8699,108663
MCM,20210423,48.8699,48.9624,46.2783,47.3890,273463
MCM,20210426,47.4815,51.8317,47.4815,49.5178,145010
MCM,20210427,49.6103,52.4796,49.6103,52.2945,156670
MCM,20210428,52.2945,52.2945,51.7391,52.2019,76689
MCM,20210429,52.2019,52.2945,50.4433,52.2945,79634
MCM,20210504,49.9806,50.7210,49.0550,49.9806,33900
