<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MCP,20061228,40.0000,40.0000,40.0000,40.0000,4510
MCP,20061229,40.0000,40.0000,38.0000,38.0000,22200
MCP,20070102,36.1000,36.1000,36.1000,36.1000,10
MCP,20070103,34.3000,34.3000,34.3000,34.3000,10
MCP,20070104,34.3000,34.3000,32.6000,34.3000,14700
MCP,20070105,34.3000,34.3000,34.0000,34.0000,4500
MCP,20070108,34.5000,34.5000,34.5000,34.5000,3250
MCP,20070109,34.5000,35.5000,34.5000,35.0000,1210
MCP,20070110,35.0000,35.0000,35.0000,35.0000,4680
MCP,20070111,35.0000,35.0000,34.4000,34.4000,3010
MCP,20070112,33.0000,33.0000,32.7000,32.7000,3990
MCP,20070115,33.0000,33.0000,32.7000,32.7000,3990
MCP,20070116,31.1000,31.1000,31.1000,31.1000,3300
MCP,20070117,31.1000,31.1000,31.1000,31.1000,6000
MCP,20070118,32.6000,32.6000,32.6000,32.6000,4600
MCP,20070119,34.0000,34.0000,34.0000,34.0000,7000
MCP,20070122,35.7000,35.7000,35.7000,35.7000,2100
MCP,20070123,35.7000,35.7000,35.7000,35.7000,2210
MCP,20070124,34.0000,34.0000,34.0000,34.0000,2100
MCP,20070125,32.3000,32.3000,32.3000,32.3000,12400
MCP,20070126,32.5000,32.5000,32.5000,32.5000,3000
MCP,20070129,34.0000,34.0000,33.6000,34.0000,4500
MCP,20070130,34.0000,34.0000,33.6000,34.0000,4500
MCP,20070131,32.3000,32.3000,32.3000,32.3000,2770
MCP,20070201,32.3000,32.3000,32.3000,32.3000,60
MCP,20070202,31.1000,31.1000,31.1000,31.1000,250
MCP,20070205,32.0000,32.6000,32.0000,32.0000,3460
MCP,20070206,32.0000,32.0000,32.0000,32.0000,50
MCP,20070207,32.0000,32.0000,32.0000,32.0000,1840
MCP,20070208,32.0000,32.0000,31.0000,32.0000,1510
MCP,20070209,31.0000,32.0000,30.4000,31.0000,1200
MCP,20070212,32.1000,32.5000,32.1000,32.5000,2210
MCP,20070213,34.0000,34.1000,34.0000,34.0000,3600
MCP,20070214,33.0000,33.0000,33.0000,33.0000,620
MCP,20070215,33.0000,33.0000,33.0000,33.0000,3500
MCP,20070226,34.6000,34.6000,33.0000,34.6000,3990
MCP,20070227,36.3000,36.3000,36.0000,36.3000,12940
MCP,20070228,36.0000,36.3000,36.0000,36.0000,900
MCP,20070301,37.8000,37.8000,36.0000,37.8000,12580
MCP,20070302,37.8000,37.8000,37.8000,37.8000,15140
MCP,20070305,37.8000,37.8000,36.5000,37.8000,10230
MCP,20070306,37.0000,37.8000,37.0000,37.0000,28770
MCP,20070307,5.9995,6.1941,5.9995,6.1941,16390
MCP,20070308,6.1941,6.5022,6.1941,6.5022,38210
MCP,20070309,6.8265,6.8265,6.8265,6.8265,14900
MCP,20070312,7.1670,7.1670,7.1670,7.1670,5880
MCP,20070313,7.5238,7.5238,7.5238,7.5238,18850
MCP,20070314,7.1508,7.8967,7.1508,7.1508,60050
MCP,20070315,6.8914,6.8914,6.7941,6.7941,12480
MCP,20070316,6.7941,6.7941,6.6481,6.7941,14360
MCP,20070319,6.7941,7.1184,6.7941,7.1184,9000
MCP,20070320,7.1184,7.2967,7.1184,7.1346,11700
MCP,20070321,7.4589,7.4589,6.7779,6.7779,7210
MCP,20070322,6.7779,6.7779,6.4536,6.4536,17360
MCP,20070323,6.4860,6.7617,6.4860,6.7617,6500
MCP,20070326,6.6481,6.6481,6.4374,6.4374,2460
MCP,20070327,6.1293,6.1293,6.1293,6.1293,1210
MCP,20070328,5.8374,5.8374,5.8374,5.8374,1000
MCP,20070329,6.1293,6.1293,6.1293,6.1293,1740
MCP,20070330,6.4211,6.4211,6.4211,6.4211,4850
MCP,20070402,6.4211,6.4211,6.4211,6.4211,680
MCP,20070403,6.4211,6.4211,6.1131,6.1131,1500
MCP,20070404,6.1131,6.1617,6.1131,6.1617,2000
MCP,20070405,6.1617,6.1617,6.1617,6.1617,160
MCP,20070406,6.1617,6.1617,5.8536,5.8536,1320
MCP,20070409,5.9995,5.9995,5.9995,5.9995,4040
MCP,20070410,5.9995,5.9995,5.9995,5.9995,2110
MCP,20070411,5.9995,5.9995,5.7077,5.7077,1930
MCP,20070412,5.6752,5.6752,5.4320,5.4320,6900
MCP,20070413,5.1726,5.1726,5.1726,5.1726,4110
MCP,20070416,5.0591,5.0591,5.0266,5.0266,1400
MCP,20070417,4.8645,4.8645,4.8645,4.8645,6400
MCP,20070418,5.0266,5.0266,5.0266,5.0266,2810
MCP,20070419,5.2699,5.2699,5.1077,5.1077,8890
MCP,20070420,5.1077,5.1077,5.1077,5.1077,2410
MCP,20070423,4.8807,5.1077,4.8807,5.0266,4900
MCP,20070424,5.0266,5.0266,4.9456,5.0266,4370
MCP,20070425,5.0266,5.1077,5.0266,5.1077,3200
MCP,20070502,5.1888,5.2699,5.1888,5.2699,600
MCP,20070503,5.4320,5.4320,5.2699,5.2699,4690
MCP,20070504,5.2050,5.2050,5.0266,5.0266,4900
MCP,20070507,4.8159,5.1726,4.8159,5.1726,5500
MCP,20070508,5.3509,5.3509,5.0104,5.0104,11790
MCP,20070509,5.0104,5.0266,5.0104,5.0266,11450
MCP,20070510,4.9456,5.0266,4.9456,5.0266,2760
MCP,20070511,5.0266,5.0266,5.0266,5.0266,780
MCP,20070514,5.1726,5.1726,4.8645,4.8645,15070
MCP,20070515,5.1077,5.1077,4.9456,4.9456,22170
MCP,20070516,4.9456,5.1077,4.9456,5.1077,11320
MCP,20070517,5.1077,5.1888,5.1077,5.1077,6950
MCP,20070518,5.1888,5.1888,5.0591,5.0591,12240
MCP,20070521,5.1888,5.3023,5.1888,5.3023,16030
MCP,20070522,5.5617,5.5617,5.5617,5.5617,17370
MCP,20070523,5.8374,5.8374,5.8374,5.8374,9970
MCP,20070524,5.5617,5.8374,5.5617,5.5617,5100
MCP,20070525,5.4158,5.4158,5.2861,5.4158,11310
MCP,20070528,5.4158,5.5455,5.4158,5.5131,4130
MCP,20070529,5.5131,5.5131,5.3023,5.3023,10850
MCP,20070530,5.3023,5.3023,5.2699,5.2699,19870
MCP,20070531,5.3509,5.3509,5.2861,5.3347,6770
