<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MDT,20191231,7.5000,7.5000,7.5000,7.5000,0
MDT,20200102,7.5000,7.5000,7.5000,7.5000,0
MDT,20200103,7.5000,7.5000,7.5000,7.5000,0
MDT,20200106,7.5000,7.5000,7.5000,7.5000,0
MDT,20200107,7.5000,7.5000,7.5000,7.5000,0
MDT,20200108,7.5000,7.5000,7.5000,7.5000,0
MDT,20200109,7.5000,7.5000,7.5000,7.5000,0
MDT,20200110,7.5000,7.5000,7.5000,7.5000,0
MDT,20200113,7.5000,7.5000,7.5000,7.5000,0
MDT,20200114,7.5000,7.5000,7.5000,7.5000,0
MDT,20200115,7.5000,7.5000,7.5000,7.5000,0
MDT,20200116,7.5000,7.5000,7.5000,7.5000,0
MDT,20200117,7.5000,7.5000,7.5000,7.5000,0
MDT,20200120,7.5000,7.5000,7.5000,7.5000,0
MDT,20200121,7.5000,7.5000,7.5000,7.5000,0
MDT,20200122,7.5000,7.5000,7.5000,7.5000,0
MDT,20200130,7.5000,7.5000,7.5000,7.5000,0
MDT,20200131,7.5000,7.5000,7.5000,7.5000,0
MDT,20200203,7.5000,7.5000,7.5000,7.5000,0
MDT,20200204,7.5000,7.5000,7.5000,7.5000,0
MDT,20200205,7.5000,7.5000,7.5000,7.5000,0
MDT,20200206,7.5000,7.5000,7.5000,7.5000,0
MDT,20200207,7.5000,7.5000,7.5000,7.5000,0
MDT,20200210,7.5000,7.5000,7.5000,7.5000,0
MDT,20200211,7.5000,7.5000,7.5000,7.5000,0
MDT,20200212,7.5000,7.5000,7.5000,7.5000,0
MDT,20200213,7.5000,7.5000,7.5000,7.5000,0
MDT,20200214,7.5000,7.5000,7.5000,7.5000,0
MDT,20200217,7.5000,7.5000,7.5000,7.5000,0
MDT,20200218,7.5000,7.5000,7.5000,7.5000,0
MDT,20200219,7.5000,7.5000,7.5000,7.5000,0
MDT,20200220,7.5000,7.5000,7.5000,7.5000,0
MDT,20200221,7.5000,7.5000,7.5000,7.5000,0
MDT,20200224,7.5000,7.5000,7.5000,7.5000,0
MDT,20200225,7.5000,7.5000,7.5000,7.5000,0
MDT,20200226,7.5000,7.5000,7.5000,7.5000,0
MDT,20200227,7.5000,7.5000,7.5000,7.5000,0
MDT,20200228,7.5000,7.5000,7.5000,7.5000,0
MDT,20200302,7.5000,7.5000,7.5000,7.5000,0
MDT,20200303,7.5000,7.5000,7.5000,7.5000,0
MDT,20200304,7.5000,7.5000,7.5000,7.5000,0
MDT,20200305,7.5000,7.5000,7.5000,7.5000,0
MDT,20200306,7.5000,7.5000,7.5000,7.5000,0
MDT,20200309,7.5000,7.5000,7.5000,7.5000,0
MDT,20200310,7.5000,7.5000,7.5000,7.5000,0
MDT,20200311,7.5000,7.5000,7.5000,7.5000,0
MDT,20200312,7.5000,7.5000,7.5000,7.5000,0
MDT,20200313,7.5000,7.5000,7.5000,7.5000,0
MDT,20200316,7.5000,7.5000,7.5000,7.5000,0
MDT,20200317,7.5000,7.5000,7.5000,7.5000,0
MDT,20200318,7.5000,7.5000,7.5000,7.5000,0
MDT,20200319,7.5000,7.5000,7.5000,7.5000,0
MDT,20200320,7.5000,7.5000,7.5000,7.5000,0
MDT,20200323,7.5000,7.5000,7.5000,7.5000,0
MDT,20200324,7.5000,7.5000,7.5000,7.5000,0
MDT,20200325,7.5000,7.5000,7.5000,7.5000,0
MDT,20200326,7.5000,7.5000,7.5000,7.5000,0
MDT,20200327,7.5000,7.5000,7.5000,7.5000,0
MDT,20200330,7.5000,7.5000,7.5000,7.5000,0
MDT,20200331,7.5000,7.5000,7.5000,7.5000,0
MDT,20200401,7.5000,7.5000,7.5000,7.5000,0
MDT,20200403,7.5000,7.5000,7.5000,7.5000,0
MDT,20200406,7.5000,7.5000,7.5000,7.5000,0
MDT,20200407,7.5000,7.5000,7.5000,7.5000,0
MDT,20200408,7.5000,7.5000,7.5000,7.5000,0
MDT,20200409,7.5000,7.5000,7.5000,7.5000,0
MDT,20200410,7.5000,7.5000,7.5000,7.5000,0
MDT,20200413,7.5000,7.5000,7.5000,7.5000,0
MDT,20200414,7.5000,7.5000,7.5000,7.5000,0
MDT,20200415,7.5000,7.5000,7.5000,7.5000,0
MDT,20200416,7.5000,7.5000,7.5000,7.5000,0
MDT,20200417,7.5000,7.5000,7.5000,7.5000,0
MDT,20200420,7.5000,7.5000,7.5000,7.5000,0
MDT,20200421,7.5000,7.5000,7.5000,7.5000,0
MDT,20200422,7.5000,7.5000,7.5000,7.5000,0
MDT,20200423,7.5000,7.5000,7.5000,7.5000,0
MDT,20200424,7.5000,7.5000,7.5000,7.5000,0
MDT,20200427,7.5000,7.5000,7.5000,7.5000,0
MDT,20200428,7.5000,7.5000,7.5000,7.5000,0
MDT,20200429,7.5000,7.5000,7.5000,7.5000,0
MDT,20200504,7.5000,7.5000,7.5000,7.5000,0
MDT,20200505,7.5000,7.5000,7.5000,7.5000,0
MDT,20200506,7.5000,7.5000,7.5000,7.5000,0
MDT,20200507,7.5000,7.5000,7.5000,7.5000,0
MDT,20200508,7.5000,7.5000,7.5000,7.5000,0
MDT,20200511,7.5000,7.5000,7.5000,7.5000,0
MDT,20200512,7.5000,7.5000,7.5000,7.5000,0
MDT,20200513,7.5000,7.5000,7.5000,7.5000,0
MDT,20200514,7.5000,7.5000,7.5000,7.5000,0
MDT,20200515,7.5000,7.5000,7.5000,7.5000,0
MDT,20200518,7.5000,7.5000,7.5000,7.5000,0
MDT,20200519,7.5000,7.5000,7.5000,7.5000,0
MDT,20200520,7.5000,7.5000,7.5000,7.5000,0
MDT,20200521,7.5000,7.5000,7.5000,7.5000,0
MDT,20200522,7.5000,7.5000,7.5000,7.5000,0
MDT,20200525,7.5000,7.5000,7.5000,7.5000,0
MDT,20200526,7.5000,7.5000,7.5000,7.5000,0
MDT,20200527,7.5000,7.5000,7.5000,7.5000,0
MDT,20200528,7.5000,7.5000,7.5000,7.5000,0
MDT,20200529,7.5000,7.5000,7.5000,7.5000,0
MDT,20200601,7.5000,7.5000,7.5000,7.5000,0
MDT,20200602,7.5000,7.5000,7.5000,7.5000,0
MDT,20200603,7.5000,7.5000,7.5000,7.5000,0
MDT,20200604,7.5000,7.5000,7.5000,7.5000,0
MDT,20200605,7.5000,7.5000,7.5000,7.5000,0
MDT,20200608,7.5000,7.5000,7.5000,7.5000,0
MDT,20200609,7.5000,7.5000,7.5000,7.5000,0
MDT,20200610,7.5000,7.5000,7.5000,7.5000,0
MDT,20200611,7.5000,7.5000,7.5000,7.5000,0
MDT,20200612,7.5000,7.5000,7.5000,7.5000,0
MDT,20200615,7.5000,7.5000,7.5000,7.5000,0
MDT,20200616,7.5000,7.5000,7.5000,7.5000,0
MDT,20200617,7.5000,7.5000,7.5000,7.5000,0
MDT,20200618,7.5000,7.5000,7.5000,7.5000,0
MDT,20200619,7.5000,7.5000,7.5000,7.5000,0
MDT,20200622,7.5000,7.5000,7.5000,7.5000,0
MDT,20200623,7.5000,7.5000,7.5000,7.5000,0
MDT,20200624,7.5000,7.5000,7.5000,7.5000,0
MDT,20200625,7.5000,7.5000,7.5000,7.5000,0
MDT,20200626,7.5000,7.5000,7.5000,7.5000,0
MDT,20200629,7.5000,7.5000,7.5000,7.5000,0
MDT,20200630,7.5000,7.5000,7.5000,7.5000,0
MDT,20200701,7.5000,7.5000,7.5000,7.5000,0
MDT,20200702,7.5000,7.5000,7.5000,7.5000,0
MDT,20200703,7.5000,7.5000,7.5000,7.5000,0
MDT,20200706,7.5000,7.5000,7.5000,7.5000,0
MDT,20200707,7.5000,7.5000,7.5000,7.5000,0
MDT,20200708,7.5000,7.5000,7.5000,7.5000,0
MDT,20200709,7.5000,7.5000,7.5000,7.5000,0
MDT,20200710,7.5000,7.5000,7.5000,7.5000,0
MDT,20200713,7.5000,7.5000,7.5000,7.5000,0
MDT,20200714,7.5000,7.5000,7.5000,7.5000,0
MDT,20200715,7.5000,7.5000,7.5000,7.5000,0
MDT,20200716,7.5000,7.5000,7.5000,7.5000,0
MDT,20200717,7.5000,7.5000,7.5000,7.5000,0
MDT,20200720,7.5000,7.5000,7.5000,7.5000,0
MDT,20200721,7.5000,7.5000,7.5000,7.5000,0
MDT,20200722,7.5000,7.5000,7.5000,7.5000,0
MDT,20200723,7.5000,7.5000,7.5000,7.5000,0
MDT,20200724,7.5000,7.5000,7.5000,7.5000,0
MDT,20200727,7.5000,7.5000,7.5000,7.5000,0
MDT,20200728,7.5000,7.5000,7.5000,7.5000,0
MDT,20200729,7.5000,7.5000,7.5000,7.5000,0
MDT,20200730,7.5000,7.5000,7.5000,7.5000,0
MDT,20200731,7.5000,7.5000,7.5000,7.5000,0
MDT,20200803,7.5000,7.5000,7.5000,7.5000,0
MDT,20200804,7.5000,7.5000,7.5000,7.5000,0
MDT,20200805,7.5000,7.5000,7.5000,7.5000,0
MDT,20200806,7.5000,7.5000,7.5000,7.5000,0
MDT,20200807,7.5000,7.5000,7.5000,7.5000,0
MDT,20200810,7.5000,7.5000,7.5000,7.5000,0
MDT,20200811,7.5000,7.5000,7.5000,7.5000,0
MDT,20200812,7.5000,7.5000,7.5000,7.5000,0
MDT,20200813,7.5000,7.5000,7.5000,7.5000,0
MDT,20200814,7.5000,7.5000,7.5000,7.5000,0
MDT,20200817,7.5000,7.5000,7.5000,7.5000,0
MDT,20200818,7.5000,7.5000,7.5000,7.5000,0
MDT,20200819,7.5000,7.5000,7.5000,7.5000,0
MDT,20200820,7.5000,7.5000,7.5000,7.5000,0
MDT,20200821,7.5000,7.5000,7.5000,7.5000,0
MDT,20200824,7.5000,7.5000,7.5000,7.5000,0
MDT,20200825,7.5000,7.5000,7.5000,7.5000,0
MDT,20200826,7.5000,7.5000,7.5000,7.5000,0
MDT,20200827,7.5000,7.5000,7.5000,7.5000,0
MDT,20200828,7.5000,7.5000,7.5000,7.5000,0
MDT,20200831,7.5000,7.5000,7.5000,7.5000,0
MDT,20200901,7.5000,7.5000,7.5000,7.5000,0
MDT,20200903,7.5000,7.5000,7.5000,7.5000,0
MDT,20200904,7.5000,7.5000,7.5000,7.5000,0
MDT,20200907,7.5000,7.5000,7.5000,7.5000,0
MDT,20200908,7.5000,7.5000,7.5000,7.5000,0
MDT,20200909,7.5000,7.5000,7.5000,7.5000,0
MDT,20200910,7.5000,7.5000,7.5000,7.5000,0
MDT,20200911,7.5000,7.5000,7.5000,7.5000,0
MDT,20200914,7.5000,7.5000,7.5000,7.5000,0
MDT,20200915,7.5000,7.5000,7.5000,7.5000,0
MDT,20200916,7.5000,7.5000,7.5000,7.5000,0
MDT,20200917,7.5000,7.5000,7.5000,7.5000,0
MDT,20200918,7.5000,7.5000,7.5000,7.5000,0
MDT,20200921,7.5000,7.5000,7.5000,7.5000,0
MDT,20200922,7.5000,7.5000,7.5000,7.5000,0
MDT,20200923,7.5000,7.5000,7.5000,7.5000,0
MDT,20200924,7.5000,7.5000,7.5000,7.5000,0
MDT,20200925,7.5000,7.5000,7.5000,7.5000,0
MDT,20200928,7.5000,7.5000,7.5000,7.5000,0
MDT,20200929,7.5000,7.5000,7.5000,7.5000,0
MDT,20200930,7.5000,7.5000,7.5000,7.5000,0
MDT,20201001,7.5000,7.5000,7.5000,7.5000,0
MDT,20201002,7.5000,7.5000,7.5000,7.5000,0
MDT,20201005,7.5000,7.5000,7.5000,7.5000,0
MDT,20201006,7.5000,7.5000,7.5000,7.5000,0
MDT,20201007,7.5000,7.5000,7.5000,7.5000,0
MDT,20201008,7.5000,7.5000,7.5000,7.5000,0
MDT,20201009,7.5000,7.5000,7.5000,7.5000,0
MDT,20201012,7.5000,7.5000,7.5000,7.5000,0
MDT,20201013,7.5000,7.5000,7.5000,7.5000,0
MDT,20201014,7.5000,7.5000,7.5000,7.5000,0
MDT,20201015,7.5000,7.5000,7.5000,7.5000,0
MDT,20201016,7.5000,7.5000,7.5000,7.5000,0
MDT,20201019,7.5000,7.5000,7.5000,7.5000,0
