<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MEG,20190909,16.8000,16.8000,16.8000,16.8000,5000
MEG,20190910,19.3000,19.3000,19.3000,19.3000,2000
MEG,20190911,22.1000,22.1000,22.1000,22.1000,1000
MEG,20190912,25.4000,25.4000,25.4000,25.4000,4400
MEG,20190913,29.2000,29.2000,29.2000,29.2000,1900
MEG,20190916,33.5000,33.5000,33.5000,33.5000,2000
MEG,20190917,38.5000,38.5000,38.5000,38.5000,100
MEG,20190918,44.2000,44.2000,44.2000,44.2000,100
MEG,20190919,50.8000,50.8000,37.6000,42.5000,3400
MEG,20190920,43.8000,43.8000,43.8000,43.8000,0
MEG,20190923,43.8000,43.8000,43.8000,43.8000,0
MEG,20190924,43.8000,43.8000,43.8000,43.8000,0
MEG,20190925,43.8000,43.8000,43.8000,43.8000,0
MEG,20190926,43.8000,43.8000,43.8000,43.8000,0
MEG,20190927,43.8000,43.8000,43.8000,43.8000,0
MEG,20190930,43.8000,43.8000,43.8000,43.8000,0
MEG,20191001,43.8000,43.8000,43.8000,43.8000,0
MEG,20191002,43.8000,43.8000,43.8000,43.8000,0
MEG,20191003,43.8000,43.8000,43.8000,43.8000,0
MEG,20191004,43.8000,43.8000,43.8000,43.8000,0
MEG,20191007,43.8000,43.8000,43.8000,43.8000,0
MEG,20191008,43.8000,43.8000,43.8000,43.8000,0
MEG,20191009,43.8000,43.8000,43.8000,43.8000,0
MEG,20191010,43.8000,43.8000,43.8000,43.8000,0
MEG,20191011,43.8000,43.8000,43.8000,43.8000,0
MEG,20191014,43.8000,43.8000,43.8000,43.8000,0
MEG,20191015,43.8000,43.8000,43.8000,43.8000,0
MEG,20191016,43.8000,43.8000,43.8000,43.8000,0
MEG,20191017,43.8000,43.8000,43.8000,43.8000,0
MEG,20191018,43.8000,43.8000,43.8000,43.8000,0
MEG,20191021,43.8000,43.8000,43.8000,43.8000,0
MEG,20191022,43.8000,43.8000,43.8000,43.8000,0
MEG,20191023,43.8000,43.8000,43.8000,43.8000,0
MEG,20191024,43.8000,43.8000,43.8000,43.8000,0
MEG,20191025,37.3000,37.3000,37.3000,37.3000,100
MEG,20191028,37.3000,37.3000,37.3000,37.3000,0
MEG,20191029,37.3000,37.3000,37.3000,37.3000,0
MEG,20191030,37.3000,37.3000,37.3000,37.3000,0
MEG,20191031,37.3000,37.3000,37.3000,37.3000,0
MEG,20191101,37.3000,37.3000,37.3000,37.3000,0
MEG,20191104,37.3000,37.3000,37.3000,37.3000,0
MEG,20191105,37.3000,37.3000,37.3000,37.3000,0
MEG,20191106,37.3000,37.3000,37.3000,37.3000,0
MEG,20191107,37.3000,37.3000,37.3000,37.3000,0
MEG,20191108,37.3000,37.3000,37.3000,37.3000,0
MEG,20191111,37.3000,37.3000,37.3000,37.3000,0
MEG,20191112,37.3000,37.3000,37.3000,37.3000,0
