<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MEL,20170927,19.5000,19.5000,19.2000,19.4000,41900
MEL,20170928,21.3000,21.3000,19.0000,19.4000,44400
MEL,20170929,19.4000,19.4000,18.5000,18.7000,31200
MEL,20171002,18.6000,18.6000,18.2000,18.2000,9800
MEL,20171003,16.4000,16.4000,16.4000,16.4000,300
MEL,20171004,14.8000,14.8000,14.8000,14.8000,2600
MEL,20171005,13.4000,13.4000,13.4000,13.4000,300
MEL,20171006,12.1000,12.1000,12.1000,12.1000,500
MEL,20171009,10.9000,10.9000,10.9000,10.9000,7200
MEL,20171010,9.9000,9.9000,9.9000,9.9000,9000
MEL,20171011,9.0000,10.5000,9.0000,10.0000,42000
MEL,20171012,10.0000,10.5000,9.0000,10.5000,25300
MEL,20171013,10.5000,11.0000,10.0000,11.0000,13200
MEL,20171016,10.5000,11.0000,9.9000,10.4000,39700
MEL,20171017,10.3000,10.3000,9.4000,10.0000,21600
MEL,20171018,10.0000,10.0000,9.0000,9.0000,17000
MEL,20171019,9.2000,9.5000,9.1000,9.5000,8200
MEL,20171020,10.0000,10.0000,9.1000,9.8000,3700
MEL,20171023,9.5000,9.9000,9.3000,9.9000,12400
MEL,20171024,9.7000,9.7000,9.7000,9.7000,1200
MEL,20171025,9.2000,9.2000,9.0000,9.0000,8900
MEL,20171026,9.0000,9.5000,9.0000,9.4000,13900
MEL,20171027,9.0000,9.8000,9.0000,9.8000,29900
MEL,20171030,9.3000,9.3000,9.0000,9.2000,16900
MEL,20171031,8.5000,9.5000,8.5000,9.4000,13400
MEL,20171101,8.9000,9.4000,8.9000,9.4000,10500
MEL,20171102,9.4000,9.4000,9.0000,9.0000,17100
MEL,20171103,9.0000,9.1000,9.0000,9.1000,6000
MEL,20171106,9.2000,9.2000,9.0000,9.0000,14500
MEL,20171107,9.2000,9.3000,9.2000,9.3000,4800
MEL,20171108,9.3000,9.3000,9.0000,9.0000,12300
MEL,20171109,8.7000,9.2000,8.6000,9.2000,9300
MEL,20171110,9.2000,9.2000,9.0000,9.0000,5000
MEL,20171113,9.0000,9.0000,9.0000,9.0000,11000
MEL,20171114,9.2000,9.2000,8.9000,9.0000,14900
MEL,20171115,9.0000,9.0000,9.0000,9.0000,10000
MEL,20171116,9.0000,9.2000,9.0000,9.1000,14000
MEL,20171117,9.0000,9.0000,9.0000,9.0000,4000
MEL,20171120,9.2000,9.2000,8.9000,8.9000,12700
MEL,20171121,9.2000,9.2000,9.1000,9.2000,6100
MEL,20171122,8.9000,9.1000,8.8000,8.8000,18200
MEL,20171123,8.8000,9.2000,8.7000,9.2000,26600
MEL,20171124,9.1000,9.1000,9.1000,9.1000,2400
MEL,20171127,9.0000,9.1000,9.0000,9.1000,9000
MEL,20171128,9.1000,9.1000,9.1000,9.1000,100
MEL,20171129,9.1000,9.2000,9.1000,9.2000,2100
MEL,20171130,9.1000,9.1000,9.1000,9.1000,3700
MEL,20171201,9.1000,9.1000,9.1000,9.1000,2000
MEL,20171204,9.1000,9.1000,9.1000,9.1000,0
MEL,20171205,9.1000,9.1000,9.1000,9.1000,0
MEL,20171206,9.0000,9.2000,9.0000,9.2000,5100
MEL,20171207,9.3000,9.3000,9.3000,9.3000,100
MEL,20171208,9.3000,9.3000,9.3000,9.3000,0
MEL,20171211,9.0000,9.0000,9.0000,9.0000,2000
MEL,20171212,9.0000,9.0000,9.0000,9.0000,1500
MEL,20171213,9.0000,9.0000,9.0000,9.0000,700
MEL,20171214,9.0000,9.0000,9.0000,9.0000,0
MEL,20171215,9.0000,9.0000,9.0000,9.0000,0
MEL,20171218,9.0000,9.0000,9.0000,9.0000,200
MEL,20171219,9.0000,9.0000,9.0000,9.0000,500
MEL,20171220,9.2000,9.2000,9.2000,9.2000,200
MEL,20171221,9.0000,9.0000,9.0000,9.0000,40700
MEL,20171222,9.2000,9.2000,9.2000,9.2000,100
MEL,20171225,9.4000,9.4000,9.4000,9.4000,100
MEL,20171226,9.4000,9.4000,9.4000,9.4000,0
MEL,20171227,9.4000,9.4000,9.4000,9.4000,0
MEL,20171228,9.5000,9.5000,9.5000,9.5000,100
MEL,20171229,9.7000,9.7000,9.7000,9.7000,400
MEL,20180102,9.7000,9.7000,9.7000,9.7000,0
MEL,20180103,9.7000,9.7000,9.7000,9.7000,0
MEL,20180104,9.7000,9.7000,9.7000,9.7000,0
MEL,20180105,9.7000,9.7000,9.7000,9.7000,0
MEL,20180108,8.9000,9.4000,8.9000,9.4000,1700
MEL,20180109,9.5000,9.5000,9.5000,9.5000,100
MEL,20180110,9.6000,9.6000,9.6000,9.6000,100
MEL,20180111,9.6000,9.6000,9.6000,9.6000,0
MEL,20180112,9.7000,9.7000,9.7000,9.7000,100
MEL,20180115,9.8000,9.8000,9.8000,9.8000,100
MEL,20180116,9.8000,9.8000,9.8000,9.8000,0
MEL,20180117,9.8000,9.8000,9.8000,9.8000,0
MEL,20180118,9.1000,9.7000,9.1000,9.7000,2100
MEL,20180119,9.7000,9.7000,9.7000,9.7000,0
MEL,20180122,9.8000,9.8000,9.8000,9.8000,100
MEL,20180123,9.0000,9.0000,9.0000,9.0000,4000
MEL,20180124,9.0000,9.0000,9.0000,9.0000,1900
MEL,20180125,9.0000,9.0000,8.9000,8.9000,3300
MEL,20180126,8.9000,8.9000,8.9000,8.9000,100
MEL,20180129,8.9000,8.9000,8.9000,8.9000,0
MEL,20180130,8.9000,8.9000,8.9000,8.9000,24000
MEL,20180131,8.9000,8.9000,8.9000,8.9000,3700
MEL,20180201,8.9000,8.9000,8.9000,8.9000,0
MEL,20180202,8.9000,8.9000,8.9000,8.9000,0
MEL,20180205,8.9000,8.9000,8.9000,8.9000,0
MEL,20180206,8.9000,8.9000,8.9000,8.9000,0
MEL,20180207,8.9000,8.9000,8.9000,8.9000,0
MEL,20180208,8.9000,8.9000,8.9000,8.9000,0
MEL,20180209,8.9000,8.9000,8.9000,8.9000,0
MEL,20180212,8.9000,8.9000,8.9000,8.9000,0
MEL,20180213,8.9000,8.9000,8.9000,8.9000,0
MEL,20180221,9.0000,9.0000,8.9000,8.9000,1700
MEL,20180222,8.9000,8.9000,8.9000,8.9000,0
MEL,20180223,8.9000,8.9000,8.9000,8.9000,0
MEL,20180226,8.9000,8.9000,8.9000,8.9000,0
MEL,20180227,8.9000,8.9000,8.9000,8.9000,0
MEL,20180228,8.9000,8.9000,8.9000,8.9000,0
MEL,20180301,8.9000,8.9000,8.9000,8.9000,0
MEL,20180302,8.9000,8.9000,8.9000,8.9000,0
MEL,20180305,8.9000,8.9000,8.9000,8.9000,0
MEL,20180306,8.9000,8.9000,8.9000,8.9000,0
MEL,20180307,8.9000,8.9000,8.9000,8.9000,0
MEL,20180308,8.9000,8.9000,8.9000,8.9000,0
MEL,20180309,8.9000,8.9000,8.9000,8.9000,0
MEL,20180312,8.9000,8.9000,8.9000,8.9000,2000
MEL,20180313,8.9000,8.9000,8.9000,8.9000,0
MEL,20180314,8.9000,8.9000,8.9000,8.9000,0
MEL,20180315,8.9000,8.9000,8.9000,8.9000,2000
MEL,20180316,8.7000,8.9000,8.7000,8.9000,1100
MEL,20180319,8.9000,8.9000,8.8000,8.8000,5000
MEL,20180320,8.9000,8.9000,8.8000,8.8000,6000
MEL,20180321,8.8000,8.8000,8.8000,8.8000,2000
MEL,20180322,8.7000,8.7000,8.6000,8.6000,6000
MEL,20180323,8.6000,8.6000,8.6000,8.6000,0
MEL,20180326,8.6000,8.6000,8.6000,8.6000,0
MEL,20180327,8.6000,8.6000,8.6000,8.6000,0
MEL,20180328,8.6000,8.6000,8.6000,8.6000,0
MEL,20180329,8.6000,8.6000,8.6000,8.6000,0
MEL,20180330,8.6000,8.6000,8.6000,8.6000,0
MEL,20180402,8.6000,8.6000,8.6000,8.6000,100
MEL,20180403,8.6000,8.6000,8.6000,8.6000,0
MEL,20180404,8.6000,8.6000,8.6000,8.6000,0
MEL,20180405,8.6000,8.6000,8.6000,8.6000,0
MEL,20180406,8.6000,8.6000,8.6000,8.6000,0
MEL,20180409,8.5000,8.5000,8.5000,8.5000,2000
MEL,20180410,8.5000,8.5000,8.5000,8.5000,0
MEL,20180411,8.5000,8.5000,8.5000,8.5000,0
MEL,20180412,8.5000,8.5000,8.5000,8.5000,0
MEL,20180413,8.5000,8.5000,8.5000,8.5000,0
MEL,20180416,8.5000,8.5000,8.5000,8.5000,0
MEL,20180417,8.5000,8.5000,8.5000,8.5000,0
MEL,20180418,8.5000,8.5000,8.5000,8.5000,0
MEL,20180419,8.5000,8.5000,8.5000,8.5000,0
MEL,20180420,8.5000,8.5000,8.5000,8.5000,0
MEL,20180423,8.5000,8.7000,8.5000,8.7000,1100
MEL,20180424,8.7000,8.7000,8.7000,8.7000,0
MEL,20180426,8.7000,8.7000,8.7000,8.7000,0
MEL,20180427,8.7000,8.7000,8.7000,8.7000,0
MEL,20180502,8.7000,8.7000,8.7000,8.7000,0
MEL,20180503,8.7000,8.7000,8.7000,8.7000,0
MEL,20180504,8.7000,8.7000,8.7000,8.7000,0
MEL,20180507,8.7000,8.7000,8.7000,8.7000,0
MEL,20180508,8.7000,8.7000,8.7000,8.7000,0
MEL,20180509,8.7000,8.7000,8.7000,8.7000,0
MEL,20180510,8.7000,8.7000,8.7000,8.7000,0
MEL,20180511,8.7000,8.7000,8.7000,8.7000,0
MEL,20180514,8.7000,8.7000,8.7000,8.7000,0
MEL,20180515,8.7000,8.7000,8.7000,8.7000,0
MEL,20180516,8.7000,8.7000,8.7000,8.7000,0
MEL,20180517,8.7000,8.7000,8.7000,8.7000,500
MEL,20180518,8.7000,8.7000,8.7000,8.7000,0
MEL,20180521,8.7000,8.7000,8.7000,8.7000,2000
MEL,20180522,8.7000,8.7000,8.7000,8.7000,100
MEL,20180523,8.7000,8.7000,8.7000,8.7000,0
MEL,20180524,8.7000,8.7000,8.7000,8.7000,0
MEL,20180525,8.7000,8.7000,8.7000,8.7000,0
MEL,20180528,8.7000,8.7000,8.7000,8.7000,0
MEL,20180529,8.7000,8.7000,8.7000,8.7000,0
MEL,20180530,8.7000,8.7000,8.7000,8.7000,0
MEL,20180531,8.7000,8.7000,8.7000,8.7000,0
MEL,20180601,8.7000,8.7000,8.7000,8.7000,0
MEL,20180604,8.7000,8.7000,8.7000,8.7000,0
MEL,20180605,8.7000,8.7000,8.7000,8.7000,0
MEL,20180606,8.7000,8.7000,8.7000,8.7000,0
MEL,20180607,8.7000,8.7000,8.7000,8.7000,0
MEL,20180608,8.7000,8.7000,8.7000,8.7000,0
MEL,20180611,8.7000,8.7000,8.7000,8.7000,0
MEL,20180612,8.7000,8.7000,8.7000,8.7000,0
MEL,20180613,8.7000,8.7000,8.7000,8.7000,0
MEL,20180614,8.3000,8.8000,8.3000,8.8000,600
