<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MES,20161212,10.0000,10.0000,10.0000,10.0000,0
MES,20161213,10.0000,10.0000,10.0000,10.0000,0
MES,20161214,10.0000,10.0000,10.0000,10.0000,0
MES,20161215,10.0000,10.0000,10.0000,10.0000,0
MES,20161216,10.0000,10.0000,10.0000,10.0000,0
MES,20161219,10.0000,10.0000,10.0000,10.0000,0
MES,20161220,10.0000,10.0000,10.0000,10.0000,0
MES,20161221,10.0000,10.0000,10.0000,10.0000,0
MES,20161222,10.0000,10.0000,10.0000,10.0000,0
MES,20161223,10.0000,10.0000,10.0000,10.0000,0
MES,20161226,10.0000,10.0000,10.0000,10.0000,0
MES,20161227,10.0000,10.0000,10.0000,10.0000,0
MES,20161228,10.0000,10.0000,10.0000,10.0000,0
MES,20161229,10.0000,10.0000,10.0000,10.0000,0
MES,20161230,10.0000,10.0000,10.0000,10.0000,0
MES,20170103,10.0000,10.0000,10.0000,10.0000,0
MES,20170104,10.0000,10.0000,10.0000,10.0000,0
MES,20170105,10.0000,10.0000,10.0000,10.0000,0
MES,20170106,10.0000,10.0000,10.0000,10.0000,0
MES,20170109,10.0000,10.0000,10.0000,10.0000,0
MES,20170110,10.0000,10.0000,10.0000,10.0000,0
MES,20170111,10.0000,10.0000,10.0000,10.0000,0
MES,20170112,10.0000,10.0000,10.0000,10.0000,0
MES,20170113,10.0000,10.0000,10.0000,10.0000,0
MES,20170116,10.0000,10.0000,10.0000,10.0000,0
MES,20170117,10.0000,10.0000,10.0000,10.0000,0
MES,20170118,10.0000,10.0000,10.0000,10.0000,0
MES,20170119,10.0000,10.0000,10.0000,10.0000,0
MES,20170120,10.0000,10.0000,10.0000,10.0000,0
MES,20170123,10.0000,10.0000,10.0000,10.0000,0
MES,20170124,10.0000,10.0000,10.0000,10.0000,0
MES,20170125,10.0000,10.0000,10.0000,10.0000,0
MES,20170202,10.0000,10.0000,10.0000,10.0000,0
MES,20170203,10.0000,10.0000,10.0000,10.0000,0
MES,20170206,10.0000,10.0000,10.0000,10.0000,0
MES,20170207,10.0000,10.0000,10.0000,10.0000,0
MES,20170208,10.0000,10.0000,10.0000,10.0000,0
MES,20170209,10.0000,10.0000,10.0000,10.0000,0
MES,20170210,10.0000,10.0000,10.0000,10.0000,0
MES,20170213,10.0000,10.0000,10.0000,10.0000,0
MES,20170214,10.0000,10.0000,10.0000,10.0000,0
MES,20170215,10.0000,10.0000,10.0000,10.0000,0
MES,20170216,10.0000,10.0000,10.0000,10.0000,0
MES,20170217,10.0000,10.0000,10.0000,10.0000,0
MES,20170220,10.0000,10.0000,10.0000,10.0000,0
MES,20170221,10.0000,10.0000,10.0000,10.0000,0
MES,20170222,10.0000,10.0000,10.0000,10.0000,0
MES,20170223,10.0000,10.0000,10.0000,10.0000,0
MES,20170224,10.0000,10.0000,10.0000,10.0000,0
MES,20170227,10.0000,10.0000,10.0000,10.0000,0
MES,20170228,10.0000,10.0000,10.0000,10.0000,0
MES,20170301,10.0000,10.0000,10.0000,10.0000,0
MES,20170302,10.0000,10.0000,10.0000,10.0000,0
MES,20170303,10.0000,10.0000,10.0000,10.0000,0
MES,20170306,10.0000,10.0000,10.0000,10.0000,0
MES,20170307,10.0000,10.0000,10.0000,10.0000,0
MES,20170308,10.0000,10.0000,10.0000,10.0000,0
MES,20170309,10.0000,10.0000,10.0000,10.0000,0
MES,20170310,10.0000,10.0000,10.0000,10.0000,0
MES,20170313,10.0000,10.0000,10.0000,10.0000,0
MES,20170314,10.0000,10.0000,10.0000,10.0000,0
MES,20170315,10.0000,10.0000,10.0000,10.0000,0
MES,20170316,10.0000,10.0000,10.0000,10.0000,0
MES,20170317,10.0000,10.0000,10.0000,10.0000,0
MES,20170320,10.0000,10.0000,10.0000,10.0000,0
MES,20170321,10.0000,10.0000,10.0000,10.0000,0
MES,20170322,10.0000,10.0000,10.0000,10.0000,0
MES,20170323,10.0000,10.0000,10.0000,10.0000,0
MES,20170324,10.0000,10.0000,10.0000,10.0000,0
MES,20170327,10.0000,10.0000,10.0000,10.0000,0
MES,20170328,10.0000,10.0000,10.0000,10.0000,0
MES,20170329,10.0000,10.0000,10.0000,10.0000,0
MES,20170330,10.0000,10.0000,10.0000,10.0000,0
MES,20170331,10.0000,10.0000,10.0000,10.0000,0
MES,20170403,10.0000,10.0000,10.0000,10.0000,0
MES,20170404,10.0000,10.0000,10.0000,10.0000,0
MES,20170405,10.0000,10.0000,10.0000,10.0000,0
MES,20170407,10.0000,10.0000,10.0000,10.0000,0
MES,20170410,10.0000,10.0000,10.0000,10.0000,0
MES,20170411,10.0000,10.0000,10.0000,10.0000,0
MES,20170412,10.0000,10.0000,10.0000,10.0000,0
MES,20170413,10.0000,10.0000,10.0000,10.0000,0
MES,20170414,10.0000,10.0000,10.0000,10.0000,0
MES,20170417,10.0000,10.0000,10.0000,10.0000,0
MES,20170418,10.0000,10.0000,10.0000,10.0000,0
MES,20170419,10.0000,10.0000,10.0000,10.0000,0
MES,20170420,10.0000,10.0000,10.0000,10.0000,0
MES,20170421,10.0000,10.0000,10.0000,10.0000,0
MES,20170424,10.0000,10.0000,10.0000,10.0000,0
MES,20170425,10.0000,10.0000,10.0000,10.0000,0
MES,20170426,10.0000,10.0000,10.0000,10.0000,0
MES,20170427,10.0000,10.0000,10.0000,10.0000,0
MES,20170428,10.0000,10.0000,10.0000,10.0000,0
MES,20170503,10.0000,10.0000,10.0000,10.0000,0
MES,20170504,10.0000,10.0000,10.0000,10.0000,0
MES,20170505,10.0000,10.0000,10.0000,10.0000,0
MES,20170508,10.0000,10.0000,10.0000,10.0000,0
MES,20170509,10.0000,10.0000,10.0000,10.0000,0
MES,20170510,10.0000,10.0000,10.0000,10.0000,0
MES,20170511,10.0000,10.0000,10.0000,10.0000,0
MES,20170512,10.0000,10.0000,10.0000,10.0000,0
MES,20170515,10.0000,10.0000,10.0000,10.0000,0
MES,20170516,10.0000,10.0000,10.0000,10.0000,0
MES,20170517,10.0000,10.0000,10.0000,10.0000,0
MES,20170518,10.0000,10.0000,10.0000,10.0000,0
MES,20170519,10.0000,10.0000,10.0000,10.0000,0
MES,20170522,10.0000,10.0000,10.0000,10.0000,0
MES,20170523,10.0000,10.0000,10.0000,10.0000,0
MES,20170524,10.0000,10.0000,10.0000,10.0000,0
MES,20170525,10.0000,10.0000,10.0000,10.0000,0
MES,20170526,10.0000,10.0000,10.0000,10.0000,0
MES,20170529,10.0000,10.0000,10.0000,10.0000,0
MES,20170530,10.0000,10.0000,10.0000,10.0000,0
MES,20170531,10.0000,10.0000,10.0000,10.0000,0
MES,20170601,10.0000,10.0000,10.0000,10.0000,0
MES,20170602,10.0000,10.0000,10.0000,10.0000,0
MES,20170605,10.0000,10.0000,10.0000,10.0000,0
MES,20170606,10.0000,10.0000,10.0000,10.0000,0
MES,20170607,10.0000,10.0000,10.0000,10.0000,0
MES,20170608,10.0000,10.0000,10.0000,10.0000,0
MES,20170609,10.0000,10.0000,10.0000,10.0000,0
MES,20170612,10.0000,10.0000,10.0000,10.0000,0
MES,20170613,10.0000,10.0000,10.0000,10.0000,0
MES,20170614,10.0000,10.0000,10.0000,10.0000,0
MES,20170615,10.0000,10.0000,10.0000,10.0000,0
MES,20170616,10.0000,10.0000,10.0000,10.0000,0
MES,20170619,10.0000,10.0000,10.0000,10.0000,0
MES,20170620,10.0000,10.0000,10.0000,10.0000,0
MES,20170621,10.0000,10.0000,10.0000,10.0000,0
MES,20170622,10.0000,10.0000,10.0000,10.0000,0
MES,20170623,10.0000,10.0000,10.0000,10.0000,0
MES,20170626,10.0000,10.0000,10.0000,10.0000,0
MES,20170627,10.0000,10.0000,10.0000,10.0000,0
MES,20170628,10.0000,10.0000,10.0000,10.0000,0
MES,20170629,10.0000,10.0000,10.0000,10.0000,0
MES,20170630,10.0000,10.0000,10.0000,10.0000,0
MES,20170703,10.0000,10.0000,10.0000,10.0000,0
MES,20170704,10.0000,10.0000,10.0000,10.0000,0
MES,20170705,10.0000,10.0000,10.0000,10.0000,0
MES,20170706,10.0000,10.0000,10.0000,10.0000,0
MES,20170707,10.0000,10.0000,10.0000,10.0000,0
MES,20170710,10.0000,10.0000,10.0000,10.0000,0
MES,20170711,10.0000,10.0000,10.0000,10.0000,0
MES,20170712,10.0000,10.0000,10.0000,10.0000,0
MES,20170713,10.0000,10.0000,10.0000,10.0000,0
MES,20170714,10.0000,10.0000,10.0000,10.0000,0
MES,20170717,10.0000,10.0000,10.0000,10.0000,0
MES,20170718,10.0000,10.0000,10.0000,10.0000,0
MES,20170719,10.0000,10.0000,10.0000,10.0000,0
MES,20170720,10.0000,10.0000,10.0000,10.0000,0
MES,20170721,10.0000,10.0000,10.0000,10.0000,0
MES,20170724,10.0000,10.0000,10.0000,10.0000,0
MES,20170725,10.0000,10.0000,10.0000,10.0000,0
MES,20170726,10.0000,10.0000,10.0000,10.0000,0
MES,20170727,10.0000,10.0000,10.0000,10.0000,0
MES,20170728,10.0000,10.0000,10.0000,10.0000,0
MES,20170731,10.0000,10.0000,10.0000,10.0000,0
MES,20170801,10.0000,10.0000,10.0000,10.0000,0
MES,20170802,10.0000,10.0000,10.0000,10.0000,0
MES,20170803,10.0000,10.0000,10.0000,10.0000,0
MES,20170804,10.0000,10.0000,10.0000,10.0000,0
MES,20170807,10.0000,10.0000,10.0000,10.0000,0
MES,20170808,10.0000,10.0000,10.0000,10.0000,0
MES,20170809,10.0000,10.0000,10.0000,10.0000,0
MES,20170810,10.0000,10.0000,10.0000,10.0000,0
MES,20170811,10.0000,10.0000,10.0000,10.0000,0
MES,20170814,10.0000,10.0000,10.0000,10.0000,0
MES,20170815,10.0000,10.0000,10.0000,10.0000,0
MES,20170816,10.0000,10.0000,10.0000,10.0000,0
MES,20170817,10.0000,10.0000,10.0000,10.0000,0
MES,20170818,10.0000,10.0000,10.0000,10.0000,0
MES,20170821,10.0000,10.0000,10.0000,10.0000,0
MES,20170822,10.0000,10.0000,10.0000,10.0000,0
MES,20170823,10.0000,10.0000,10.0000,10.0000,0
