<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MGR,20220713,10.2000,12.0000,10.2000,12.0000,400
MGR,20220714,11.1000,11.1000,11.1000,11.1000,200
MGR,20220715,11.1000,11.1000,11.1000,11.1000,0
MGR,20220718,11.1000,11.1000,11.1000,11.1000,0
MGR,20220719,11.1000,11.1000,11.1000,11.1000,1500
MGR,20220720,12.0000,12.0000,9.8000,11.9000,1000
MGR,20220721,13.0000,13.0000,13.0000,13.0000,100
MGR,20220722,11.1000,12.8000,11.1000,12.8000,19500
MGR,20220725,9.5000,12.6000,9.5000,12.0000,1300
MGR,20220726,11.9000,11.9000,9.0000,11.6000,1300
MGR,20220727,11.6000,11.6000,11.6000,11.6000,0
MGR,20220728,11.6000,11.6000,11.0000,11.0000,8500
MGR,20220729,9.4000,12.5000,9.4000,12.5000,300
MGR,20220801,10.4000,10.5000,10.4000,10.5000,1700
MGR,20220802,11.0000,11.0000,11.0000,11.0000,400
MGR,20220803,11.0000,11.6000,11.0000,11.6000,1300
MGR,20220804,10.9000,10.9000,10.9000,10.9000,106
MGR,20220805,10.9000,11.7000,9.4000,11.5000,900
MGR,20220808,11.2000,11.2000,10.0000,11.0000,1300
MGR,20220809,11.0000,11.0000,11.0000,11.0000,0
MGR,20220810,10.6000,11.0000,10.6000,11.0000,2100
MGR,20220811,11.5000,11.5000,11.5000,11.5000,2000
MGR,20220812,11.5000,11.5000,11.5000,11.5000,0
MGR,20220815,10.9000,11.5000,9.9000,9.9000,3000
MGR,20220816,10.7000,11.9000,10.7000,11.9000,800
MGR,20220817,9.3000,11.5000,9.3000,11.5000,6000
MGR,20220818,11.0000,11.0000,11.0000,11.0000,200
MGR,20220819,10.9000,10.9000,10.9000,10.9000,800
MGR,20220822,10.9000,10.9000,10.9000,10.9000,0
MGR,20220823,10.7000,12.5000,10.2000,11.0000,3300
MGR,20220824,11.7000,11.7000,11.7000,11.7000,0
MGR,20220825,11.7000,11.7000,11.7000,11.7000,0
MGR,20220826,11.7000,11.7000,11.7000,11.7000,0
MGR,20220829,11.7000,11.7000,11.7000,11.7000,0
MGR,20220830,11.7000,11.7000,11.7000,11.7000,0
MGR,20220831,11.7000,11.7000,11.7000,11.7000,0
MGR,20220905,10.0000,10.0000,10.0000,10.0000,100
MGR,20220906,8.5000,11.5000,8.5000,11.0000,3700
MGR,20220907,10.0000,10.0000,9.9000,10.0000,2300
MGR,20220908,9.9000,9.9000,9.9000,9.9000,0
MGR,20220909,11.3000,11.3000,11.3000,11.3000,600
MGR,20220912,11.3000,11.3000,11.3000,11.3000,0
MGR,20220913,12.8000,12.8000,12.2000,12.5000,1200
MGR,20220914,12.4000,14.2000,12.4000,14.0000,16230
MGR,20220915,14.5000,15.1000,13.9000,14.9000,17600
MGR,20220916,14.8000,14.8000,12.6000,13.5000,5500
MGR,20220919,15.3000,15.3000,15.3000,15.3000,100
MGR,20220920,13.1000,15.0000,13.1000,15.0000,1100
MGR,20220921,12.5000,12.5000,12.5000,12.5000,100
MGR,20220922,12.5000,12.5000,12.5000,12.5000,0
MGR,20220927,9.5000,11.0000,9.5000,11.0000,5300
MGR,20220928,10.9000,10.9000,10.9000,10.9000,200
MGR,20220929,10.9000,10.9000,10.9000,10.9000,0
MGR,20220930,10.9000,10.9000,10.9000,10.9000,0
MGR,20221003,10.9000,10.9000,10.9000,10.9000,0
MGR,20221004,10.0000,10.5000,10.0000,10.5000,1500
MGR,20221005,10.5000,10.5000,10.5000,10.5000,700
MGR,20221006,10.5000,10.5000,10.5000,10.5000,1100
MGR,20221007,10.0000,10.0000,10.0000,10.0000,1000
MGR,20221010,10.0000,10.0000,10.0000,10.0000,800
MGR,20221011,10.0000,10.0000,10.0000,10.0000,0
MGR,20221012,10.0000,10.5000,10.0000,10.5000,1500
MGR,20221013,10.0000,10.0000,10.0000,10.0000,100
MGR,20221014,10.0000,10.0000,10.0000,10.0000,0
MGR,20221017,8.5000,10.0000,8.5000,10.0000,3100
MGR,20221018,9.6000,9.6000,9.6000,9.6000,200
MGR,20221019,9.6000,9.6000,9.6000,9.6000,0
MGR,20221020,8.2000,10.5000,8.2000,10.5000,210
MGR,20221021,9.4000,9.4000,9.4000,9.4000,0
MGR,20221024,9.4000,9.4000,9.4000,9.4000,0
MGR,20221025,9.4000,9.4000,9.4000,9.4000,0
MGR,20221026,9.4000,9.4000,9.4000,9.4000,0
MGR,20221027,9.4000,9.4000,9.4000,9.4000,0
MGR,20221028,10.0000,10.0000,10.0000,10.0000,100
MGR,20221031,10.0000,10.0000,10.0000,10.0000,0
MGR,20221101,10.0000,10.0000,10.0000,10.0000,0
MGR,20221102,10.0000,10.0000,10.0000,10.0000,1000
MGR,20221103,10.0000,10.0000,10.0000,10.0000,0
MGR,20221104,10.0000,10.0000,10.0000,10.0000,0
MGR,20221107,10.0000,10.0000,10.0000,10.0000,0
MGR,20221108,10.0000,10.0000,10.0000,10.0000,0
MGR,20221109,10.0000,10.0000,10.0000,10.0000,0
MGR,20221110,8.5000,9.9000,8.5000,9.9000,800
MGR,20221111,8.7000,8.7000,8.7000,8.7000,0
MGR,20221114,7.4000,7.4000,7.4000,7.4000,100
MGR,20221115,7.4000,7.4000,7.4000,7.4000,0
MGR,20221116,7.4000,7.4000,7.4000,7.4000,0
MGR,20221117,7.4000,7.4000,7.4000,7.4000,0
MGR,20221118,7.4000,7.4000,7.4000,7.4000,0
MGR,20221121,8.5000,8.5000,8.5000,8.5000,100
MGR,20221122,8.5000,8.5000,8.5000,8.5000,0
MGR,20221123,8.5000,8.5000,8.5000,8.5000,0
MGR,20221124,7.3000,7.3000,7.3000,7.3000,900
MGR,20221125,8.3000,8.3000,8.3000,8.3000,100
MGR,20221128,7.1000,8.3000,7.1000,8.3000,400
MGR,20221129,7.8000,7.8000,7.8000,7.8000,100
MGR,20221130,7.8000,7.8000,7.8000,7.8000,0
MGR,20221201,8.9000,8.9000,8.8000,8.8000,600
MGR,20221202,8.7000,8.7000,8.7000,8.7000,300
MGR,20221205,8.0000,8.0000,8.0000,8.0000,9900
MGR,20221206,6.8000,6.8000,6.8000,6.8000,500
MGR,20221207,7.5000,7.5000,7.5000,7.5000,100
MGR,20221208,7.5000,7.5000,7.5000,7.5000,0
MGR,20221209,7.5000,7.5000,7.5000,7.5000,0
MGR,20221212,7.5000,7.5000,7.5000,7.5000,0
MGR,20221213,7.5000,7.5000,7.5000,7.5000,0
MGR,20221214,8.0000,8.0000,7.5000,7.5000,2200
MGR,20221215,7.5000,7.5000,7.5000,7.5000,2700
MGR,20221216,7.5000,7.5000,7.5000,7.5000,2000
MGR,20221219,7.5000,7.5000,7.5000,7.5000,0
MGR,20221220,7.5000,7.5000,7.5000,7.5000,0
MGR,20221221,7.5000,7.5000,7.5000,7.5000,0
MGR,20221222,7.5000,7.5000,7.5000,7.5000,0
MGR,20221223,7.5000,7.5000,7.5000,7.5000,0
MGR,20221226,7.4000,7.4000,7.4000,7.4000,1000
MGR,20221227,7.0000,7.3000,7.0000,7.3000,2700
MGR,20221228,7.1000,7.1000,7.1000,7.1000,0
MGR,20221229,7.1000,7.1000,7.1000,7.1000,0
MGR,20221230,7.1000,7.1000,7.1000,7.1000,0
MGR,20230103,6.1000,7.0000,6.1000,7.0000,12900
MGR,20230104,7.7000,7.7000,7.7000,7.7000,100
MGR,20230105,6.6000,7.7000,6.6000,7.7000,10100
MGR,20230106,5.7000,7.0000,5.7000,7.0000,5200
MGR,20230109,6.6000,6.6000,5.0000,5.0000,1100
MGR,20230110,5.2000,5.2000,5.2000,5.2000,0
MGR,20230111,5.9000,5.9000,5.8000,5.9000,300
MGR,20230112,6.7000,6.7000,6.7000,6.7000,100
MGR,20230113,7.7000,7.7000,7.7000,7.7000,400
MGR,20230116,6.6000,7.7000,6.6000,7.7000,1100
MGR,20230117,6.7000,6.7000,6.7000,6.7000,0
MGR,20230118,7.7000,7.7000,7.7000,7.7000,100
MGR,20230119,7.7000,7.7000,7.7000,7.7000,0
MGR,20230127,7.7000,7.7000,7.7000,7.7000,0
MGR,20230130,7.7000,7.7000,7.7000,7.7000,4800
MGR,20230131,7.7000,8.8000,7.7000,8.8000,1400
MGR,20230201,7.8000,7.8000,7.8000,7.8000,0
MGR,20230202,7.8000,7.8000,7.8000,7.8000,0
MGR,20230203,7.8000,7.8000,7.8000,7.8000,0
MGR,20230206,7.8000,7.8000,7.8000,7.8000,0
MGR,20230207,7.8000,7.8000,7.8000,7.8000,700
MGR,20230208,8.7000,8.7000,8.7000,8.7000,100
MGR,20230209,10.0000,10.0000,9.8000,9.8000,200
MGR,20230210,11.3000,11.3000,11.0000,11.0000,200
MGR,20230213,11.2000,11.2000,11.2000,11.2000,0
MGR,20230214,11.2000,11.2000,11.2000,11.2000,0
MGR,20230215,11.2000,11.2000,11.2000,11.2000,0
MGR,20230216,11.2000,11.2000,11.2000,11.2000,0
MGR,20230220,11.4000,11.4000,11.4000,11.4000,0
MGR,20230221,9.7000,11.4000,9.7000,11.4000,200
MGR,20230222,11.4000,11.4000,11.4000,11.4000,100
MGR,20230223,11.4000,11.4000,11.4000,11.4000,0
MGR,20230224,11.4000,11.4000,11.4000,11.4000,0
MGR,20230227,11.4000,11.4000,11.4000,11.4000,0
MGR,20230228,11.4000,11.4000,11.4000,11.4000,0
MGR,20230301,9.7000,9.7000,9.7000,9.7000,2100
MGR,20230302,11.0000,11.0000,8.3000,11.0000,5300
MGR,20230303,9.6000,9.6000,9.6000,9.6000,100
MGR,20230306,10.8000,10.8000,10.8000,10.8000,100
MGR,20230307,10.8000,10.8000,10.8000,10.8000,0
MGR,20230308,10.8000,10.8000,10.8000,10.8000,0
MGR,20230309,10.8000,10.8000,10.8000,10.8000,0
MGR,20230310,10.8000,10.8000,10.8000,10.8000,0
MGR,20230313,9.2000,9.2000,9.2000,9.2000,1100
MGR,20230314,9.2000,9.2000,9.2000,9.2000,0
MGR,20230315,9.2000,9.2000,9.2000,9.2000,0
MGR,20230316,9.2000,9.2000,9.2000,9.2000,100
MGR,20230317,9.2000,9.2000,9.2000,9.2000,0
MGR,20230320,10.0000,10.0000,10.0000,10.0000,4600
