<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MHL,20091126,18.0000,25.0000,16.0000,18.0000,14300
MHL,20091127,19.0000,19.0000,18.2000,18.2000,8000
MHL,20091130,19.7000,19.7000,17.8000,18.5000,60000
MHL,20091201,18.5000,19.5000,18.5000,19.5000,78300
MHL,20091202,19.4000,20.7000,19.0000,20.6000,86400
MHL,20091203,21.0000,21.6000,21.0000,21.6000,82200
MHL,20091204,22.8000,22.8000,22.5000,22.8000,92400
MHL,20091207,23.9000,24.2000,22.8000,22.8000,86600
MHL,20091208,22.8000,23.2000,21.6000,22.0000,98100
MHL,20091209,20.5000,20.5000,20.5000,20.5000,32700
MHL,20091210,19.1000,19.1000,19.1000,19.1000,46000
MHL,20091211,17.8000,19.0000,17.8000,19.0000,71100
MHL,20091214,19.1000,19.1000,18.9000,19.1000,83900
MHL,20091215,20.0000,20.0000,19.1000,19.3000,30400
MHL,20091216,21.0000,21.1000,18.6000,18.7000,106400
MHL,20091217,19.4000,19.4000,19.4000,19.4000,32200
MHL,20091218,19.4000,19.9000,18.1000,19.6000,69800
MHL,20091221,20.0000,20.9000,19.7000,20.9000,173600
MHL,20091222,22.0000,22.0000,20.0000,21.0000,69300
MHL,20091223,21.0000,21.0000,19.5000,19.5000,20400
MHL,20091224,20.7000,20.9000,19.6000,20.8000,27100
MHL,20091225,20.6000,22.0000,20.6000,22.0000,193800
MHL,20091228,22.3000,22.3000,20.5000,21.9000,23200
MHL,20091229,22.7000,22.7000,20.8000,22.6000,23000
MHL,20091230,21.2000,24.1000,21.2000,24.1000,56100
MHL,20091231,24.8000,24.9000,24.0000,24.0000,14100
MHL,20100104,24.5000,24.5000,23.2000,24.5000,36500
MHL,20100105,24.6000,24.9000,24.3000,24.6000,16800
MHL,20100106,24.8000,24.8000,22.9000,22.9000,44800
MHL,20100107,22.8000,22.8000,22.7000,22.7000,14600
MHL,20100108,22.0000,22.7000,21.2000,21.3000,34900
MHL,20100111,20.1000,22.0000,20.0000,21.9000,16800
MHL,20100112,21.0000,22.0000,20.5000,22.0000,3600
MHL,20100113,22.3000,22.3000,20.1000,20.1000,6300
MHL,20100114,21.6000,21.6000,21.6000,21.6000,15800
MHL,20100115,23.0000,23.1000,22.5000,23.1000,16700
MHL,20100118,24.4000,24.6000,23.2000,23.2000,22000
MHL,20100119,24.0000,24.7000,23.0000,24.7000,32700
MHL,20100120,23.5000,23.5000,22.3000,22.3000,25400
MHL,20100121,23.0000,24.1000,23.0000,24.1000,4500
MHL,20100122,24.0000,24.0000,23.0000,23.0000,9500
MHL,20100125,23.2000,23.2000,22.5000,22.5000,15000
MHL,20100126,24.0000,24.3000,23.5000,24.3000,20200
MHL,20100127,24.6000,24.8000,24.6000,24.6000,5000
MHL,20100128,23.5000,23.5000,23.5000,23.5000,5000
MHL,20100129,23.5000,24.5000,21.9000,24.5000,30500
MHL,20100201,24.0000,24.9000,24.0000,24.9000,7700
MHL,20100202,24.7000,24.9000,24.3000,24.9000,19000
MHL,20100203,24.1000,24.1000,24.0000,24.0000,7500
MHL,20100204,24.2000,25.6000,24.2000,25.6000,26500
MHL,20100205,25.5000,26.4000,25.5000,26.4000,18400
MHL,20100208,26.3000,28.1000,26.3000,28.1000,16800
MHL,20100209,29.5000,29.8000,29.5000,29.8000,3100
MHL,20100210,31.7000,31.7000,31.7000,31.7000,2000
MHL,20100211,32.0000,33.9000,32.0000,33.9000,8400
MHL,20100212,35.7000,35.7000,33.5000,33.5000,2600
MHL,20100222,32.6000,35.0000,32.6000,35.0000,5000
MHL,20100223,31.0000,31.0000,31.0000,31.0000,19200
MHL,20100224,28.9000,28.9000,28.9000,28.9000,2200
MHL,20100225,27.5000,27.5000,26.9000,27.0000,20800
MHL,20100226,25.3000,26.0000,25.3000,26.0000,17500
MHL,20100301,26.0000,27.6000,26.0000,27.6000,24400
MHL,20100302,27.3000,27.5000,26.9000,27.5000,6200
MHL,20100303,27.2000,28.0000,27.2000,28.0000,5400
MHL,20100304,28.5000,28.5000,27.9000,28.0000,5600
MHL,20100305,26.2000,27.2000,26.1000,26.1000,12600
MHL,20100308,28.0000,28.0000,26.5000,26.5000,9000
MHL,20100309,27.2000,27.2000,26.5000,26.5000,7700
MHL,20100310,26.0000,26.1000,25.4000,25.5000,60100
MHL,20100311,27.0000,27.4000,25.2000,25.7000,40200
MHL,20100312,26.9000,27.0000,25.4000,26.0000,37000
MHL,20100315,26.5000,26.5000,26.1000,26.2000,3500
MHL,20100316,26.0000,26.0000,25.5000,25.5000,9700
MHL,20100317,25.5000,25.5000,24.3000,24.3000,17700
MHL,20100318,25.4000,25.8000,25.4000,25.8000,13500
MHL,20100319,26.4000,26.4000,25.7000,25.7000,5300
MHL,20100322,26.1000,26.1000,25.9000,25.9000,2700
MHL,20100323,26.0000,26.2000,26.0000,26.1000,12900
MHL,20100324,26.2000,26.5000,25.4000,26.5000,17600
MHL,20100325,26.0000,26.8000,26.0000,26.4000,9300
MHL,20100326,26.5000,27.1000,26.5000,27.1000,10000
MHL,20100329,27.0000,27.4000,26.5000,27.4000,12700
MHL,20100330,27.0000,27.2000,27.0000,27.0000,4500
MHL,20100331,27.2000,27.5000,26.3000,27.5000,5700
MHL,20100401,26.7000,28.0000,26.7000,28.0000,20500
MHL,20100402,27.5000,27.9000,27.5000,27.5000,10800
MHL,20100405,26.5000,28.5000,26.5000,28.5000,22100
MHL,20100406,28.0000,28.9000,25.3000,28.9000,57400
MHL,20100407,29.4000,29.4000,27.6000,29.4000,266200
MHL,20100408,30.7000,30.7000,30.6000,30.7000,93800
MHL,20100409,32.8000,32.8000,32.6000,32.8000,67100
MHL,20100412,32.9000,35.0000,30.6000,35.0000,137400
