<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MML,20191209,80.0000,80.0000,69.5000,69.9000,63600
MML,20191210,69.0000,69.0000,62.0000,65.1000,158368
MML,20191211,64.9000,67.0000,63.6000,65.5000,64940
MML,20191212,65.9000,67.0000,65.0000,66.2000,20740
MML,20191213,66.3000,66.4000,65.7000,65.8000,65735
MML,20191216,65.9000,66.3000,65.0000,65.9000,37776
MML,20191217,65.0000,68.0000,65.0000,65.9000,75555
MML,20191218,66.5000,67.5000,65.8000,66.0000,32499
MML,20191219,66.0000,66.5000,65.8000,66.0000,14311
MML,20191220,66.0000,66.5000,65.6000,65.6000,36291
MML,20191223,66.0000,66.0000,64.8000,65.0000,57620
MML,20191224,65.7000,66.0000,65.1000,65.6000,51730
MML,20191225,66.0000,66.3000,65.1000,65.9000,45585
MML,20191226,65.9000,66.0000,65.8000,66.0000,22640
MML,20191227,66.0000,66.4000,65.9000,65.9000,51760
MML,20191230,66.0000,66.3000,65.8000,66.0000,41765
MML,20191231,66.0000,66.0000,65.9000,66.0000,15051
MML,20200102,66.0000,66.0000,65.8000,66.0000,30336
MML,20200103,66.0000,66.1000,65.0000,66.0000,30330
MML,20200106,66.0000,66.0000,65.3000,66.0000,6965
MML,20200107,66.0000,66.0000,65.1000,66.0000,34804
MML,20200108,65.9000,66.0000,65.5000,65.9000,12790
MML,20200109,65.9000,66.0000,65.0000,65.9000,32659
MML,20200110,65.5000,66.0000,65.2000,65.9000,8789
MML,20200113,65.8000,65.9000,65.1000,65.9000,17710
MML,20200114,65.8000,65.9000,65.1000,65.9000,14393
MML,20200115,66.0000,66.0000,65.1000,66.0000,25361
MML,20200116,66.0000,66.0000,65.9000,66.0000,11283
MML,20200117,65.9000,66.0000,65.2000,66.0000,8151
MML,20200120,66.0000,66.0000,66.0000,66.0000,2274
MML,20200121,66.0000,66.0000,65.8000,65.9000,10769
MML,20200122,65.8000,66.0000,65.2000,65.2000,2013
MML,20200130,65.0000,66.0000,64.9000,65.0000,22051
MML,20200131,66.0000,66.0000,58.0000,65.8000,14057
MML,20200203,63.0000,63.0000,60.0000,60.0000,6593
MML,20200204,60.0000,60.0000,57.5000,57.5000,3764
MML,20200205,55.0000,58.0000,50.0000,58.0000,55543
MML,20200206,57.5000,59.8000,57.5000,58.0000,12911
MML,20200207,57.9000,58.0000,57.8000,57.8000,7010
MML,20200210,55.0000,59.0000,55.0000,59.0000,24200
MML,20200211,59.0000,59.8000,59.0000,59.2000,3469
MML,20200212,56.2000,59.7000,56.2000,59.6000,11200
MML,20200213,59.7000,59.7000,57.0000,59.0000,8620
MML,20200214,58.4000,59.0000,58.4000,58.7000,10000
MML,20200217,58.1000,59.0000,58.1000,59.0000,6800
MML,20200218,58.6000,58.6000,58.6000,58.6000,0
MML,20200219,57.5000,58.6000,57.0000,58.6000,5079
MML,20200220,59.0000,59.0000,57.1000,57.1000,5400
MML,20200221,58.0000,58.1000,57.1000,57.9000,4273
MML,20200224,56.1000,57.0000,55.9000,55.9000,1603
MML,20200225,56.0000,57.9000,55.1000,55.2000,5715
MML,20200226,56.0000,56.0000,56.0000,56.0000,409
MML,20200227,57.9000,57.9000,55.3000,55.3000,2300
MML,20200228,55.0000,55.0000,55.0000,55.0000,801
MML,20200302,52.1000,53.0000,52.0000,52.3000,3400
MML,20200303,52.5000,52.7000,52.0000,52.2000,5028
MML,20200304,55.0000,55.0000,52.0000,52.0000,6412
MML,20200305,52.0000,52.8000,52.0000,52.1000,2825
MML,20200306,52.7000,52.7000,52.0000,52.7000,3950
MML,20200309,52.2000,54.7000,44.9000,50.8000,3400
MML,20200310,50.3000,50.9000,45.1000,50.9000,6135
MML,20200311,47.2000,47.4000,46.8000,47.0000,8800
MML,20200312,44.2000,44.2000,41.0000,41.3000,8715
MML,20200313,37.0000,41.0000,37.0000,37.6000,2407
MML,20200316,39.0000,41.0000,39.0000,39.0000,5230
MML,20200317,36.0000,40.7000,36.0000,40.7000,2810
MML,20200318,42.9000,43.8000,42.0000,42.9000,18903
MML,20200319,41.0000,43.0000,41.0000,42.9000,2983
MML,20200320,45.0000,45.0000,42.0000,43.0000,2936
MML,20200323,41.5000,42.0000,40.9000,41.0000,9436
MML,20200324,40.0000,40.0000,39.0000,39.0000,2500
MML,20200325,39.5000,39.5000,38.5000,38.5000,8300
MML,20200326,38.9000,38.9000,38.0000,38.0000,5616
MML,20200327,37.1000,38.8000,37.1000,37.5000,16800
MML,20200330,37.5000,37.5000,35.1000,35.6000,15447
MML,20200331,35.1000,35.5000,35.0000,35.5000,4900
MML,20200401,36.9000,36.9000,35.5000,35.8000,4800
MML,20200403,37.5000,40.0000,37.0000,39.9000,19995
MML,20200406,40.0000,42.9000,40.0000,40.0000,35710
MML,20200407,42.0000,45.0000,41.0000,42.0000,7040
MML,20200408,42.5000,42.5000,40.0000,42.0000,13805
MML,20200409,42.4000,42.4000,41.0000,41.7000,32300
MML,20200410,43.5000,43.5000,41.0000,41.6000,16864
MML,20200413,42.0000,42.0000,40.6000,40.8000,8100
MML,20200414,41.5000,42.0000,40.9000,42.0000,15251
MML,20200415,42.0000,47.7000,35.3000,47.7000,87961
MML,20200416,52.0000,52.0000,52.0000,52.0000,24855
MML,20200417,59.6000,59.8000,56.0000,59.8000,129385
MML,20200420,59.8000,59.9000,54.5000,55.0000,72301
MML,20200421,55.0000,56.0000,51.1000,53.0000,53003
MML,20200422,49.8000,52.5000,48.0000,50.8000,34356
MML,20200423,50.6000,54.0000,50.2000,52.7000,11538
MML,20200424,52.8000,53.5000,52.0000,53.5000,10700
MML,20200427,52.5000,52.5000,50.5000,51.3000,22484
MML,20200428,51.0000,54.5000,49.7000,54.5000,74650
MML,20200429,54.8000,54.8000,52.5000,52.7000,20323
MML,20200504,52.8000,52.8000,49.1000,49.9000,25040
MML,20200505,50.0000,50.0000,48.5000,48.9000,45620
MML,20200506,48.5000,50.0000,48.5000,50.0000,16400
MML,20200507,49.7000,51.0000,49.2000,50.0000,19852
MML,20200508,51.0000,52.0000,50.3000,50.7000,31985
MML,20200511,52.5000,52.8000,50.5000,51.5000,22762
MML,20200512,51.6000,52.5000,51.0000,51.1000,25800
MML,20200513,51.5000,51.7000,50.0000,50.7000,24453
MML,20200514,50.9000,55.0000,50.2000,53.0000,72106
MML,20200515,54.9000,54.9000,52.0000,52.0000,36265
MML,20200518,52.5000,53.0000,51.0000,51.9000,24650
MML,20200519,51.9000,52.9000,51.4000,51.7000,37661
MML,20200520,51.2000,51.8000,50.9000,51.8000,30002
MML,20200521,51.9000,52.0000,51.0000,51.3000,28322
MML,20200522,51.5000,51.5000,50.3000,50.6000,20550
MML,20200525,50.7000,50.9000,49.7000,50.6000,20985
MML,20200526,50.1000,51.5000,50.0000,51.0000,17580
MML,20200527,51.0000,51.0000,50.4000,50.4000,14505
MML,20200528,50.8000,51.0000,50.1000,50.2000,43015
MML,20200529,50.2000,50.5000,50.1000,50.1000,17156
MML,20200601,50.4000,54.7000,50.4000,54.0000,197913
MML,20200602,53.9000,55.5000,53.6000,53.6000,118613
MML,20200603,54.0000,54.8000,53.5000,54.0000,11654
MML,20200604,54.0000,54.0000,51.5000,52.0000,77949
MML,20200605,51.2000,52.0000,51.0000,51.8000,23774
MML,20200608,51.9000,54.0000,51.7000,52.4000,66710
MML,20200609,52.0000,52.5000,51.6000,52.0000,38392
MML,20200610,52.0000,53.0000,51.0000,51.7000,19404
MML,20200611,52.0000,52.7000,47.0000,48.0000,69135
MML,20200612,48.0000,49.0000,43.1000,48.3000,59880
MML,20200615,48.3000,49.0000,47.0000,47.0000,24120
MML,20200616,47.7000,50.4000,47.7000,48.6000,9320
MML,20200617,50.0000,50.0000,47.6000,48.5000,2150
MML,20200618,47.0000,48.6000,47.0000,48.5000,27400
MML,20200619,49.5000,50.0000,48.4000,48.5000,37305
MML,20200622,48.6000,49.5000,48.6000,49.0000,10151
MML,20200623,48.9000,52.5000,48.8000,50.8000,52508
MML,20200624,50.0000,51.8000,49.8000,49.9000,18260
MML,20200625,48.5000,50.8000,48.5000,49.5000,7450
MML,20200626,50.0000,50.5000,49.0000,49.0000,20170
MML,20200629,47.1000,49.0000,46.8000,47.5000,25802
MML,20200630,47.1000,48.5000,46.5000,46.6000,9500
MML,20200701,47.0000,48.2000,40.2000,48.2000,4355
MML,20200702,48.4000,48.5000,47.6000,48.0000,28140
MML,20200703,48.0000,48.4000,40.8000,48.0000,4636
MML,20200706,48.5000,49.4000,48.4000,48.6000,21730
MML,20200707,49.1000,49.5000,48.6000,48.6000,5749
MML,20200708,48.8000,48.8000,48.3000,48.6000,9900
MML,20200709,48.2000,48.9000,48.2000,48.9000,13825
MML,20200710,49.1000,49.1000,48.3000,48.3000,1230
MML,20200713,49.0000,49.0000,47.7000,48.4000,11370
MML,20200714,48.0000,48.0000,47.6000,48.0000,15100
MML,20200715,47.8000,47.8000,47.5000,47.5000,10130
MML,20200716,47.8000,47.8000,47.0000,47.8000,13940
MML,20200717,47.3000,48.0000,47.3000,47.8000,16310
MML,20200720,45.5000,48.5000,45.5000,47.3000,6840
MML,20200721,47.3000,47.9000,47.0000,47.9000,10328
MML,20200722,47.0000,47.1000,47.0000,47.1000,12400
MML,20200723,46.5000,46.5000,46.0000,46.0000,3000
MML,20200724,46.1000,46.1000,43.0000,43.0000,26800
MML,20200727,43.0000,43.0000,39.0000,40.0000,19810
MML,20200728,41.2000,43.8000,41.2000,43.4000,12310
MML,20200729,42.5000,49.0000,41.0000,41.0000,13800
MML,20200730,42.0000,43.5000,42.0000,42.9000,16460
MML,20200731,42.1000,43.0000,41.5000,42.0000,12700
MML,20200803,47.0000,48.0000,42.1000,43.1000,10530
MML,20200804,43.5000,43.6000,43.3000,43.6000,16778
MML,20200805,43.6000,43.6000,39.0000,43.5000,14650
MML,20200806,44.0000,48.0000,43.0000,43.3000,10610
MML,20200807,43.2000,43.4000,43.0000,43.2000,9010
MML,20200810,43.0000,43.5000,43.0000,43.5000,5655
MML,20200811,43.5000,47.0000,43.2000,43.4000,19310
MML,20200812,44.0000,44.0000,43.1000,43.2000,8018
MML,20200813,43.4000,43.5000,43.1000,43.5000,7126
MML,20200814,43.1000,43.4000,42.9000,43.2000,3902
MML,20200817,43.2000,43.2000,42.5000,42.5000,9680
MML,20200818,42.4000,42.4000,42.1000,42.4000,7605
MML,20200819,42.3000,42.9000,42.3000,42.9000,1010
MML,20200820,43.0000,43.0000,42.2000,42.9000,4000
MML,20200821,42.3000,42.4000,42.0000,42.4000,3065
MML,20200824,43.0000,43.5000,43.0000,43.3000,4018
MML,20200825,43.3000,43.3000,43.1000,43.2000,7355
MML,20200826,43.2000,43.2000,42.7000,42.8000,7000
MML,20200827,42.7000,43.0000,40.0000,42.9000,27263
MML,20200828,42.6000,43.0000,42.6000,42.7000,12930
MML,20200831,42.7000,42.7000,42.5000,42.7000,6600
MML,20200901,42.5000,43.0000,41.7000,42.7000,11205
MML,20200903,42.3000,42.5000,42.0000,42.1000,21300
MML,20200904,42.2000,42.2000,42.0000,42.2000,7100
MML,20200907,42.2000,42.4000,42.0000,42.4000,6285
MML,20200908,43.0000,43.0000,42.0000,42.0000,1500
MML,20200909,42.1000,42.2000,42.0000,42.0000,7000
