<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MVB,20161014,14.4000,14.4000,14.4000,14.4000,400
MVB,20161017,14.4000,14.4000,14.4000,14.4000,0
MVB,20161018,14.4000,14.4000,14.4000,14.4000,0
MVB,20161019,12.3000,12.3000,12.3000,12.3000,100
MVB,20161020,12.3000,12.3000,12.3000,12.3000,0
MVB,20161021,14.1000,14.1000,10.5000,12.0000,701
MVB,20161024,11.4000,12.0000,11.4000,12.0000,600
MVB,20161025,13.6000,13.6000,13.6000,13.6000,500
MVB,20161026,15.0000,15.0000,11.6000,13.4000,1600
MVB,20161027,11.3000,13.6000,11.3000,11.3000,700
MVB,20161028,10.8000,10.8000,10.8000,10.8000,300
MVB,20161031,12.2000,12.2000,9.3000,9.3000,300
MVB,20161101,11.2000,11.2000,11.2000,11.2000,0
MVB,20161102,9.6000,11.0000,9.6000,11.0000,200
MVB,20161103,8.9000,8.9000,8.9000,8.9000,100
MVB,20161104,7.6000,10.0000,7.6000,10.0000,600
MVB,20161107,10.1000,10.1000,10.1000,10.1000,100
MVB,20161108,11.6000,11.6000,11.5000,11.5000,900
MVB,20161109,13.2000,13.2000,9.8000,9.9000,3900
MVB,20161110,13.2000,13.2000,13.2000,13.2000,500
MVB,20161111,11.3000,15.1000,11.3000,15.1000,2100
MVB,20161114,15.4000,15.4000,15.4000,15.4000,300
MVB,20161115,13.1000,17.3000,13.1000,17.3000,1400
MVB,20161116,13.6000,13.6000,13.6000,13.6000,100
MVB,20161117,15.4000,15.6000,11.6000,11.6000,1100
MVB,20161118,15.7000,15.8000,11.8000,11.8000,18400
MVB,20161121,11.0000,13.4000,11.0000,13.4000,8800
MVB,20161122,13.3000,13.3000,10.6000,10.7000,3900
MVB,20161123,12.5000,12.5000,9.4000,9.9000,11700
MVB,20161124,11.9000,11.9000,10.0000,10.3000,6500
MVB,20161125,11.9000,12.1000,9.1000,10.3000,7700
MVB,20161128,11.8000,11.9000,11.6000,11.7000,4500
MVB,20161129,10.1000,11.6000,10.1000,11.3000,9000
MVB,20161130,12.8000,12.8000,12.8000,12.8000,3500
MVB,20161201,11.0000,12.8000,10.9000,12.6000,7400
MVB,20161202,13.8000,13.8000,10.2000,10.5000,8000
MVB,20161205,12.7000,12.7000,9.5000,9.7000,3300
MVB,20161206,11.3000,11.3000,11.3000,11.3000,500
MVB,20161207,11.5000,12.0000,9.8000,9.9000,3800
MVB,20161208,12.4000,12.4000,12.4000,12.4000,1000
MVB,20161209,10.6000,12.2000,10.6000,12.2000,1600
MVB,20161212,12.4000,12.4000,9.9000,9.9000,1100
MVB,20161213,12.4000,12.4000,12.4000,12.4000,100
MVB,20161214,10.6000,13.0000,10.6000,10.9000,1100
MVB,20161215,13.2000,13.2000,13.2000,13.2000,500
MVB,20161216,13.2000,13.2000,11.3000,11.3000,300
MVB,20161219,10.3000,13.0000,10.3000,13.0000,1200
MVB,20161220,12.8000,12.8000,12.8000,12.8000,0
MVB,20161221,12.8000,12.8000,12.8000,12.8000,0
