<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
MXX-X,20200724,22.3800,22.3800,22.3800,22.3800,0
MXX-X,20200727,22.0300,22.0300,22.0300,22.0300,0
MXX-X,20200728,21.9615,21.9615,21.9615,21.9615,0
MXX-X,20200729,21.9907,21.9907,21.9907,21.9907,0
MXX-X,20200730,22.1727,22.1727,22.1727,22.1727,0
MXX-X,20200731,22.2012,22.2012,22.2012,22.2012,0
MXX-X,20200803,22.6140,22.6140,22.6140,22.6140,0
MXX-X,20200804,22.7845,22.7845,22.7845,22.7845,0
MXX-X,20200805,22.4068,22.4068,22.4068,22.4068,0
MXX-X,20200806,22.3652,22.3652,22.3652,22.3652,0
MXX-X,20200807,22.4892,22.4892,22.4892,22.4892,0
MXX-X,20200810,22.4850,22.4850,22.4850,22.4850,0
MXX-X,20200811,22.3490,22.3490,22.3490,22.3490,0
MXX-X,20200812,22.3457,22.3457,22.3457,22.3457,0
MXX-X,20200813,22.2628,22.2628,22.2628,22.2628,0
MXX-X,20200814,22.0313,22.0313,22.0313,22.0313,0
MXX-X,20200817,22.0570,22.0570,22.0570,22.0570,0
MXX-X,20200818,22.1535,22.1535,22.1535,22.1535,0
MXX-X,20200819,22.0527,22.0527,22.0527,22.0527,0
MXX-X,20200820,22.1760,22.1760,22.1760,22.1760,0
MXX-X,20200821,22.0362,22.0362,22.0362,22.0362,0
MXX-X,20200824,21.9840,21.9840,21.9840,21.9840,0
MXX-X,20200825,21.9723,21.9723,21.9723,21.9723,0
MXX-X,20200826,21.9202,21.9202,21.9202,21.9202,0
MXX-X,20200827,22.1168,22.1168,22.1168,22.1168,0
MXX-X,20200828,21.8602,21.8602,21.8602,21.8602,0
MXX-X,20200831,21.8880,21.8880,21.8880,21.8880,0
MXX-X,20200901,21.7445,21.7445,21.7445,21.7445,0
MXX-X,20200902,21.8393,21.8393,21.8393,21.8393,0
MXX-X,20200903,21.6383,21.6383,21.6383,21.6383,0
MXX-X,20200904,21.6115,21.6115,21.6115,21.6115,0
MXX-X,20200907,21.5887,21.5887,21.5887,21.5887,0
MXX-X,20200908,21.7138,21.7138,21.7138,21.7138,0
MXX-X,20200909,21.7138,21.7138,21.5377,21.5377,0
MXX-X,20200910,21.2773,21.2773,21.2773,21.2773,0
MXX-X,20200911,21.3210,21.3210,21.3210,21.3210,0
MXX-X,20200914,21.0728,21.0728,21.0728,21.0728,0
MXX-X,20200915,21.0692,21.0692,21.0692,21.0692,0
MXX-X,20200916,21.0692,21.0692,21.0692,21.0692,0
MXX-X,20200917,20.9850,20.9850,20.9850,20.9850,0
MXX-X,20200918,20.9697,20.9697,20.9697,20.9697,0
MXX-X,20200921,21.5050,21.5050,21.5050,21.5050,0
MXX-X,20200922,21.5682,21.5682,21.5682,21.5682,0
MXX-X,20200923,22.0897,22.0897,22.0897,22.0897,0
MXX-X,20200924,22.3678,22.3678,22.3678,22.3678,0
MXX-X,20200925,22.4402,22.4402,22.4402,22.4402,0
MXX-X,20200928,22.4573,22.4573,22.4573,22.4573,0
MXX-X,20200929,22.3598,22.3598,22.3598,22.3598,0
MXX-X,20200930,22.1438,22.1438,22.1438,22.1438,0
MXX-X,20201001,21.9562,21.9562,21.9562,21.9562,0
MXX-X,20201002,21.7025,21.7025,21.7025,21.7025,0
MXX-X,20201005,21.3960,21.3960,21.3960,21.3960,0
MXX-X,20201006,21.4507,21.4507,21.4507,21.4507,0
MXX-X,20201007,21.4930,21.4930,21.4930,21.4930,0
MXX-X,20201008,21.4318,21.4318,21.4318,21.4318,0
MXX-X,20201009,21.1822,21.1822,21.1822,21.1822,0
MXX-X,20201012,21.2183,21.2183,21.2183,21.2183,0
MXX-X,20201013,21.3677,21.3677,21.3677,21.3677,0
MXX-X,20201014,21.2998,21.2998,21.2998,21.2998,0
MXX-X,20201015,21.3832,21.3832,21.3832,21.3832,0
MXX-X,20201016,21.1765,21.1765,21.1765,21.1765,0
MXX-X,20201019,21.1342,21.1342,21.1342,21.1342,0
MXX-X,20201020,21.0902,21.0902,21.0902,21.0902,0
MXX-X,20201021,21.0640,21.0640,21.0640,21.0640,0
MXX-X,20201022,21.0300,21.0300,21.0300,21.0300,0
MXX-X,20201023,20.9205,20.9205,20.9205,20.9205,0
MXX-X,20201026,20.9818,20.9818,20.9818,20.9818,0
MXX-X,20201027,20.8798,20.8798,20.8798,20.8798,0
MXX-X,20201028,20.8798,21.1648,20.8798,21.1648,0
MXX-X,20201029,21.3770,21.3770,21.3770,21.3770,0
MXX-X,20201030,21.2508,21.2508,21.2508,21.2508,0
MXX-X,20201103,21.1555,21.1555,21.1555,21.1555,0
MXX-X,20201104,21.0345,21.0345,21.0345,21.0345,0
MXX-X,20201105,20.7612,20.7612,20.7612,20.7612,0
MXX-X,20201106,20.6200,20.6200,20.6200,20.6200,0
MXX-X,20201109,20.6200,20.6200,20.3600,20.3600,0
MXX-X,20201110,20.4018,20.4018,20.4018,20.4018,0
MXX-X,20201111,20.5772,20.5772,20.5772,20.5772,0
MXX-X,20201112,20.5303,20.5303,20.5303,20.5303,0
MXX-X,20201113,20.4833,20.4833,20.4833,20.4833,0
MXX-X,20201117,20.3212,20.3212,20.3212,20.3212,0
MXX-X,20201118,20.2388,20.2388,20.2388,20.2388,0
MXX-X,20201119,20.1858,20.1858,20.1858,20.1858,0
MXX-X,20201120,20.1172,20.1172,20.1172,20.1172,0
MXX-X,20201123,20.1012,20.1012,20.1012,20.1012,0
MXX-X,20201124,20.0577,20.0577,20.0577,20.0577,0
MXX-X,20201125,20.0465,20.0465,20.0465,20.0465,0
MXX-X,20201126,20.0467,20.0467,20.0467,20.0467,0
MXX-X,20201127,20.0777,20.0777,20.0777,20.0777,0
MXX-X,20201130,20.1398,20.1398,20.1398,20.1398,0
MXX-X,20201201,20.0508,20.0508,20.0508,20.0508,0
MXX-X,20201202,20.0497,20.0497,20.0497,20.0497,0
MXX-X,20201203,19.9083,19.9083,19.9083,19.9083,0
MXX-X,20201204,19.7838,19.7838,19.7838,19.7838,0
MXX-X,20201207,19.8213,19.8213,19.8213,19.8213,0
MXX-X,20201208,19.7537,19.7537,19.7537,19.7537,0
MXX-X,20201209,19.8368,19.8368,19.8368,19.8368,0
MXX-X,20201210,19.9572,19.9572,19.9572,19.9572,0
MXX-X,20201211,20.1075,20.1075,20.1075,20.1075,0
MXX-X,20201214,20.1778,20.1778,20.1778,20.1778,0
MXX-X,20201215,20.1113,20.1113,20.1113,20.1113,0
MXX-X,20201216,20.1113,20.1113,19.9513,19.9513,0
MXX-X,20201217,19.8173,19.8173,19.8173,19.8173,0
MXX-X,20201218,19.9487,19.9487,19.9487,19.9487,0
MXX-X,20201221,20.0905,20.0905,20.0905,20.0905,0
MXX-X,20201222,20.0562,20.0562,20.0562,20.0562,0
MXX-X,20201223,20.0562,20.1175,20.0562,20.1175,0
MXX-X,20201224,19.8517,19.8517,19.8517,19.8517,0
MXX-X,20201228,20.0477,20.0477,20.0477,20.0477,0
MXX-X,20201229,19.9487,19.9487,19.9487,19.9487,0
MXX-X,20201230,19.9352,19.9352,19.9352,19.9352,0
MXX-X,20201231,19.9087,19.9087,19.9087,19.9087,0
MXX-X,20210104,19.8457,19.8457,19.8457,19.8457,0
