<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NBE,20170821,11.9000,11.9000,11.9000,11.9000,0
NBE,20170822,10.0000,10.0000,10.0000,10.0000,15000
NBE,20170823,10.0000,10.0000,10.0000,10.0000,0
NBE,20170824,9.5000,9.5000,9.5000,9.5000,500
NBE,20170825,9.0000,9.0000,9.0000,9.0000,5000
NBE,20170828,9.0000,9.0000,9.0000,9.0000,1200
NBE,20170829,9.0000,9.0000,9.0000,9.0000,0
NBE,20170830,9.0000,9.0000,9.0000,9.0000,0
NBE,20170831,8.5000,9.2000,8.5000,9.2000,2400
NBE,20170901,9.0000,9.0000,9.0000,9.0000,200
NBE,20170905,8.8000,8.8000,8.8000,8.8000,300
NBE,20170906,8.6000,8.6000,8.6000,8.6000,200
NBE,20170907,8.6000,8.6000,8.6000,8.6000,0
NBE,20170908,8.5000,8.5000,8.5000,8.5000,1000
NBE,20170911,8.4000,8.4000,8.4000,8.4000,119000
NBE,20170912,7.3000,7.3000,7.3000,7.3000,800
NBE,20170913,8.1000,8.1000,8.0000,8.1000,140000
NBE,20170914,8.1000,8.1000,8.1000,8.1000,0
NBE,20170915,8.1000,8.1000,8.1000,8.1000,0
NBE,20170918,7.0000,7.0000,6.9000,6.9000,600
NBE,20170919,7.0000,7.0000,7.0000,7.0000,0
NBE,20170920,7.0000,7.0000,7.0000,7.0000,0
NBE,20170921,7.0000,7.0000,7.0000,7.0000,0
NBE,20170922,7.0000,7.0000,7.0000,7.0000,0
NBE,20170925,8.0000,8.0000,8.0000,8.0000,600
NBE,20170926,8.1000,8.2000,8.1000,8.2000,8500
NBE,20170927,8.2000,8.2000,8.2000,8.2000,100
NBE,20170928,8.2000,8.2000,8.2000,8.2000,23200
NBE,20170929,8.1000,8.3000,8.1000,8.3000,2400
NBE,20171002,8.2000,8.2000,8.1000,8.1000,62000
NBE,20171003,8.2000,8.2000,8.2000,8.2000,700
NBE,20171004,8.2000,8.2000,8.2000,8.2000,0
NBE,20171005,8.2000,8.2000,8.2000,8.2000,0
NBE,20171006,8.2000,8.2000,8.2000,8.2000,0
NBE,20171009,7.1000,7.8000,7.0000,7.8000,22600
NBE,20171010,7.6000,7.6000,7.6000,7.6000,19600
NBE,20171011,7.6000,7.6000,7.6000,7.6000,25000
NBE,20171012,7.6000,7.6000,7.6000,7.6000,13500
NBE,20171013,7.6000,7.6000,7.6000,7.6000,0
NBE,20171016,7.6000,7.6000,7.6000,7.6000,0
NBE,20171017,7.7000,7.7000,7.6000,7.6000,35000
NBE,20171018,7.6000,7.6000,7.6000,7.6000,0
NBE,20171019,7.6000,7.6000,7.6000,7.6000,0
NBE,20171020,7.6000,7.6000,7.6000,7.6000,0
NBE,20171023,7.7000,7.7000,7.7000,7.7000,400
NBE,20171024,7.7000,7.7000,7.7000,7.7000,0
NBE,20171025,7.7000,7.8000,7.7000,7.7000,28000
NBE,20171026,7.7000,7.7000,7.7000,7.7000,17000
NBE,20171027,7.7000,7.7000,7.7000,7.7000,9900
NBE,20171030,7.7000,7.8000,7.7000,7.7000,10300
NBE,20171031,7.7000,7.7000,7.7000,7.7000,700
NBE,20171101,7.7000,7.7000,7.7000,7.7000,0
NBE,20171102,7.7000,7.7000,7.7000,7.7000,0
NBE,20171103,7.7000,7.7000,7.7000,7.7000,0
NBE,20171106,7.7000,7.7000,7.7000,7.7000,0
NBE,20171107,7.7000,7.7000,7.7000,7.7000,0
NBE,20171108,7.7000,7.7000,7.7000,7.7000,0
NBE,20171109,7.7000,7.7000,7.7000,7.7000,0
NBE,20171110,7.7000,7.7000,7.7000,7.7000,0
NBE,20171113,6.7000,6.7000,6.7000,6.7000,7700
NBE,20171114,7.0000,7.0000,7.0000,7.0000,7300
NBE,20171115,7.0000,7.0000,7.0000,7.0000,0
NBE,20171116,7.0000,7.0000,7.0000,7.0000,0
NBE,20171117,7.0000,7.0000,7.0000,7.0000,0
NBE,20171120,7.0000,7.0000,7.0000,7.0000,0
NBE,20171121,7.0000,7.0000,7.0000,7.0000,0
NBE,20171122,7.0000,7.0000,7.0000,7.0000,0
NBE,20171123,8.0000,8.0000,8.0000,8.0000,100
NBE,20171124,8.0000,8.0000,8.0000,8.0000,0
NBE,20171127,8.0000,8.0000,8.0000,8.0000,0
NBE,20171128,8.0000,8.0000,8.0000,8.0000,0
