<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NBP,20090806,26.0000,30.0000,25.0000,27.0000,581600
NBP,20090807,28.0000,28.1000,27.0000,28.1000,315900
NBP,20090810,30.0000,30.0000,29.5000,30.0000,637900
NBP,20090811,32.1000,32.1000,30.1000,32.0000,441900
NBP,20090812,31.0000,31.4000,29.5000,30.0000,319800
NBP,20090813,30.2000,31.7000,30.2000,30.9000,463800
NBP,20090814,30.9000,32.9000,30.8000,32.9000,612300
NBP,20090817,34.1000,34.1000,33.0000,34.1000,521200
NBP,20090818,34.0000,36.4000,33.9000,36.4000,558900
NBP,20090819,36.1000,38.1000,36.0000,38.0000,866400
NBP,20090820,39.5000,39.5000,35.4000,37.6000,745900
NBP,20090821,37.0000,38.0000,35.0000,36.5000,351400
NBP,20090824,36.8000,36.8000,34.8000,34.8000,226300
NBP,20090825,34.5000,37.4000,34.5000,37.4000,467000
NBP,20090826,36.5000,38.8000,36.5000,38.8000,603100
NBP,20090827,41.0000,41.4000,38.2000,39.0000,202300
NBP,20090828,39.5000,39.5000,38.1000,38.7000,177300
NBP,20090831,38.5000,39.6000,38.5000,39.5000,675900
NBP,20090901,39.2000,39.5000,38.0000,39.0000,232500
NBP,20090903,38.5000,38.8000,37.9000,38.2000,264000
NBP,20090904,38.2000,38.2000,36.5000,37.3000,227500
NBP,20090907,36.0000,39.9000,35.5000,37.7000,115600
NBP,20090908,38.0000,38.0000,37.0000,37.7000,40000
NBP,20090909,38.8000,40.3000,37.4000,37.5000,87700
NBP,20090910,37.7000,37.7000,36.6000,36.9000,53900
NBP,20090911,36.8000,37.2000,36.8000,37.1000,133700
NBP,20090914,37.2000,37.5000,37.0000,37.3000,101900
NBP,20090915,37.1000,37.2000,36.2000,37.0000,81900
NBP,20090916,36.9000,37.5000,36.8000,37.2000,128100
NBP,20090917,37.4000,37.5000,36.8000,37.1000,39700
NBP,20090918,37.0000,37.5000,37.0000,37.0000,146800
NBP,20090921,36.7000,38.8000,36.7000,37.8000,206800
NBP,20090922,37.8000,38.0000,37.6000,37.8000,74700
NBP,20090923,38.0000,38.8000,37.1000,37.4000,114700
NBP,20090924,38.2000,39.0000,37.7000,37.7000,291800
NBP,20090925,38.5000,38.5000,37.9000,37.9000,220000
