<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NBT,20160601,10.0000,10.0000,10.0000,10.0000,0
NBT,20160602,10.0000,10.0000,10.0000,10.0000,0
NBT,20160603,10.0000,10.0000,10.0000,10.0000,0
NBT,20160606,10.0000,10.0000,10.0000,10.0000,0
NBT,20160607,10.0000,10.0000,10.0000,10.0000,0
NBT,20160608,10.0000,10.0000,10.0000,10.0000,0
NBT,20160609,10.0000,10.0000,10.0000,10.0000,0
NBT,20160610,10.0000,10.0000,10.0000,10.0000,0
NBT,20160613,10.0000,10.0000,10.0000,10.0000,0
NBT,20160614,10.0000,10.0000,10.0000,10.0000,0
NBT,20160615,10.0000,10.0000,10.0000,10.0000,0
NBT,20160616,10.0000,10.0000,10.0000,10.0000,0
NBT,20160617,10.0000,10.0000,10.0000,10.0000,0
NBT,20160620,10.0000,10.0000,10.0000,10.0000,0
NBT,20160621,10.0000,10.0000,10.0000,10.0000,0
NBT,20160622,10.0000,10.0000,10.0000,10.0000,0
NBT,20160623,10.0000,10.0000,10.0000,10.0000,0
NBT,20160624,10.0000,10.0000,10.0000,10.0000,0
NBT,20160627,10.0000,10.0000,10.0000,10.0000,0
NBT,20160628,10.0000,10.0000,10.0000,10.0000,0
NBT,20160629,10.0000,10.0000,10.0000,10.0000,0
NBT,20160630,10.0000,10.0000,10.0000,10.0000,0
NBT,20160701,10.0000,10.0000,10.0000,10.0000,0
NBT,20160704,10.0000,10.0000,10.0000,10.0000,0
NBT,20160705,10.0000,10.0000,10.0000,10.0000,0
NBT,20160706,10.0000,10.0000,10.0000,10.0000,0
NBT,20160707,10.0000,10.0000,10.0000,10.0000,0
NBT,20160708,10.0000,10.0000,10.0000,10.0000,0
NBT,20160711,10.0000,10.0000,10.0000,10.0000,0
NBT,20160712,10.0000,10.0000,10.0000,10.0000,0
NBT,20160713,10.0000,10.0000,10.0000,10.0000,0
NBT,20160714,10.0000,10.0000,10.0000,10.0000,0
NBT,20160715,10.0000,10.0000,10.0000,10.0000,0
NBT,20160718,10.0000,10.0000,10.0000,10.0000,0
NBT,20160719,10.0000,10.0000,10.0000,10.0000,0
NBT,20160720,10.0000,10.0000,10.0000,10.0000,0
NBT,20160721,10.0000,10.0000,10.0000,10.0000,0
NBT,20160722,10.0000,10.0000,10.0000,10.0000,0
NBT,20160725,10.0000,10.0000,10.0000,10.0000,0
NBT,20160726,10.0000,10.0000,10.0000,10.0000,0
NBT,20160727,10.0000,10.0000,10.0000,10.0000,0
NBT,20160728,10.0000,10.0000,10.0000,10.0000,0
NBT,20160729,10.0000,10.0000,10.0000,10.0000,0
NBT,20160801,10.0000,10.0000,10.0000,10.0000,0
NBT,20160802,10.0000,10.0000,10.0000,10.0000,0
NBT,20160803,10.0000,10.0000,10.0000,10.0000,0
NBT,20160804,10.0000,10.0000,10.0000,10.0000,0
NBT,20160805,10.0000,10.0000,10.0000,10.0000,0
NBT,20160808,10.0000,10.0000,10.0000,10.0000,0
NBT,20160809,10.0000,10.0000,10.0000,10.0000,0
NBT,20160810,10.0000,10.0000,10.0000,10.0000,0
NBT,20160811,10.0000,10.0000,10.0000,10.0000,0
NBT,20160812,10.0000,10.0000,10.0000,10.0000,0
NBT,20160815,10.0000,10.0000,10.0000,10.0000,0
NBT,20160816,10.0000,10.0000,10.0000,10.0000,0
NBT,20160817,10.0000,10.0000,10.0000,10.0000,0
NBT,20160818,10.0000,10.0000,10.0000,10.0000,0
NBT,20160819,10.0000,10.0000,10.0000,10.0000,0
NBT,20160822,10.0000,10.0000,10.0000,10.0000,0
NBT,20160823,10.0000,10.0000,10.0000,10.0000,0
NBT,20160824,10.0000,10.0000,10.0000,10.0000,0
NBT,20160825,10.0000,10.0000,10.0000,10.0000,0
NBT,20160826,10.0000,10.0000,10.0000,10.0000,0
NBT,20160829,10.0000,10.0000,10.0000,10.0000,0
NBT,20160830,10.0000,10.0000,10.0000,10.0000,0
NBT,20160831,10.0000,10.0000,10.0000,10.0000,0
NBT,20160901,10.0000,10.0000,10.0000,10.0000,0
NBT,20160905,10.0000,10.0000,10.0000,10.0000,0
NBT,20160906,10.0000,10.0000,10.0000,10.0000,0
NBT,20160907,10.0000,10.0000,10.0000,10.0000,0
NBT,20160908,10.0000,10.0000,10.0000,10.0000,0
NBT,20160909,10.0000,10.0000,10.0000,10.0000,0
NBT,20160912,10.0000,10.0000,10.0000,10.0000,0
NBT,20160913,10.0000,10.0000,10.0000,10.0000,0
NBT,20160914,10.0000,10.0000,10.0000,10.0000,0
NBT,20160915,10.0000,10.0000,10.0000,10.0000,0
NBT,20160916,10.0000,10.0000,10.0000,10.0000,0
NBT,20160919,10.0000,10.0000,10.0000,10.0000,0
NBT,20160920,10.0000,10.0000,10.0000,10.0000,0
NBT,20160921,10.0000,10.0000,10.0000,10.0000,0
NBT,20160922,10.0000,10.0000,10.0000,10.0000,0
NBT,20160923,10.0000,10.0000,10.0000,10.0000,0
NBT,20160926,10.0000,10.0000,10.0000,10.0000,0
NBT,20160927,10.0000,10.0000,10.0000,10.0000,0
NBT,20160928,10.0000,10.0000,10.0000,10.0000,0
NBT,20160929,10.0000,10.0000,10.0000,10.0000,0
NBT,20160930,10.0000,10.0000,10.0000,10.0000,0
NBT,20161003,10.0000,10.0000,10.0000,10.0000,0
NBT,20161004,10.0000,10.0000,10.0000,10.0000,0
NBT,20161005,10.0000,10.0000,10.0000,10.0000,0
NBT,20161006,10.0000,10.0000,10.0000,10.0000,0
NBT,20161007,10.0000,10.0000,10.0000,10.0000,0
NBT,20161010,10.0000,10.0000,10.0000,10.0000,0
NBT,20161011,10.0000,10.0000,10.0000,10.0000,0
NBT,20161012,10.0000,10.0000,10.0000,10.0000,0
NBT,20161013,10.0000,10.0000,10.0000,10.0000,0
NBT,20161014,10.0000,10.0000,10.0000,10.0000,15000
NBT,20161017,10.0000,10.0000,10.0000,10.0000,10000
NBT,20161018,10.0000,10.0000,10.0000,10.0000,0
NBT,20161019,10.0000,10.0000,10.0000,10.0000,0
NBT,20161020,10.0000,10.0000,10.0000,10.0000,0
NBT,20161021,10.0000,10.0000,10.0000,10.0000,0
NBT,20161024,10.0000,10.0000,10.0000,10.0000,0
NBT,20161025,10.0000,10.0000,10.0000,10.0000,0
NBT,20161026,10.0000,10.0000,10.0000,10.0000,0
NBT,20161027,10.0000,10.0000,10.0000,10.0000,0
NBT,20161028,10.0000,10.0000,10.0000,10.0000,0
NBT,20161031,10.0000,10.0000,10.0000,10.0000,0
NBT,20161101,10.0000,10.0000,10.0000,10.0000,0
NBT,20161102,10.0000,10.0000,10.0000,10.0000,0
NBT,20161103,10.0000,10.0000,10.0000,10.0000,0
NBT,20161104,10.0000,10.0000,10.0000,10.0000,0
NBT,20161107,10.0000,10.0000,10.0000,10.0000,0
NBT,20161108,10.0000,10.0000,10.0000,10.0000,0
NBT,20161109,10.0000,10.0000,10.0000,10.0000,0
NBT,20161110,10.0000,10.0000,10.0000,10.0000,0
NBT,20161111,10.0000,10.0000,10.0000,10.0000,0
NBT,20161114,10.0000,10.0000,10.0000,10.0000,0
NBT,20161115,10.0000,10.0000,10.0000,10.0000,0
NBT,20161116,10.0000,10.0000,10.0000,10.0000,0
NBT,20161117,10.0000,10.0000,10.0000,10.0000,0
NBT,20161118,10.0000,10.0000,10.0000,10.0000,0
NBT,20161121,10.0000,10.0000,10.0000,10.0000,0
NBT,20161122,10.0000,10.0000,10.0000,10.0000,0
NBT,20161123,10.0000,10.0000,10.0000,10.0000,0
NBT,20161124,10.0000,10.0000,10.0000,10.0000,0
NBT,20161125,10.0000,10.0000,10.0000,10.0000,0
NBT,20161128,10.0000,10.0000,10.0000,10.0000,0
NBT,20161129,10.0000,10.0000,10.0000,10.0000,0
NBT,20161130,10.0000,10.0000,10.0000,10.0000,0
NBT,20161201,10.0000,10.0000,10.0000,10.0000,0
NBT,20161202,10.0000,10.0000,10.0000,10.0000,0
NBT,20161205,10.0000,10.0000,10.0000,10.0000,0
NBT,20161206,10.0000,10.0000,10.0000,10.0000,0
NBT,20161207,10.0000,10.0000,10.0000,10.0000,0
NBT,20161208,10.0000,10.0000,10.0000,10.0000,0
NBT,20161209,10.0000,10.0000,10.0000,10.0000,0
NBT,20161212,10.0000,10.0000,10.0000,10.0000,0
NBT,20161213,10.0000,10.0000,10.0000,10.0000,0
