<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NBW,20100602,2.9670,20.6045,2.9670,20.6045,1010
NBW,20100603,3.4203,3.4203,3.4203,3.4203,10
NBW,20100604,3.7500,3.7500,3.7500,3.7500,10
NBW,20100607,4.1209,4.1209,4.1209,4.1209,10
NBW,20100608,4.1209,4.1209,4.1209,4.1209,700
NBW,20100609,4.1209,4.1209,4.1209,4.1209,300
NBW,20100610,3.7088,4.5330,3.7088,4.5330,20
NBW,20100611,3.7088,4.5330,3.7088,4.5330,20
NBW,20100614,4.1209,4.1209,4.1209,4.1209,0
NBW,20100615,4.5330,4.5330,4.5330,4.5330,200
NBW,20100616,4.5330,4.5330,4.5330,4.5330,0
NBW,20100617,4.9863,4.9863,4.9451,4.9451,1500
NBW,20100618,4.9863,5.4808,4.9863,5.4808,1330
NBW,20100621,6.0165,6.0165,5.5220,5.7692,1300
NBW,20100622,6.3462,6.3462,6.3462,6.3462,2010
NBW,20100623,6.3462,6.3462,6.3462,6.3462,0
NBW,20100624,7.6236,7.6236,7.6236,7.6236,2010
NBW,20100625,8.3654,8.3654,8.3654,8.3654,2010
NBW,20100628,9.1896,9.1896,9.1896,9.1896,5010
NBW,20100629,10.0962,10.0962,10.0962,10.0962,5000
NBW,20100630,11.0852,11.0852,11.0852,11.0852,78500
NBW,20100701,10.0138,12.1566,10.0138,12.1566,5548
NBW,20100702,12.8160,12.8160,10.5083,10.5083,1500
NBW,20100705,10.8379,10.8379,10.8379,10.8379,40
NBW,20100706,10.8379,10.8379,10.8379,10.8379,0
NBW,20100707,10.8379,10.8379,10.8379,10.8379,0
NBW,20100708,11.9094,11.9094,11.9094,11.9094,10
NBW,20100709,13.0632,13.0632,13.0632,13.0632,1010
NBW,20100712,14.3407,14.3407,14.3407,14.3407,10
NBW,20100713,15.7418,15.7418,12.9396,15.7418,1520
NBW,20100714,16.3187,16.3187,13.3517,13.3517,610
NBW,20100715,14.7116,14.7116,14.7116,14.7116,5010
NBW,20100716,16.1539,16.1539,13.2693,13.2693,6520
NBW,20100719,15.7006,15.7006,15.7006,15.7006,0
NBW,20100720,15.7006,15.7006,15.7006,15.7006,0
NBW,20100721,15.7006,15.7006,15.7006,15.7006,0
NBW,20100722,15.7006,15.7006,15.7006,15.7006,0
NBW,20100723,15.7006,15.7006,15.7006,15.7006,0
NBW,20100726,15.7006,15.7006,15.7006,15.7006,0
NBW,20100727,15.7006,15.7006,15.7006,15.7006,0
NBW,20100728,15.7006,15.7006,15.7006,15.7006,0
NBW,20100729,15.7006,15.7006,15.7006,15.7006,0
NBW,20100730,15.7006,15.7006,15.7006,15.7006,0
NBW,20100802,15.7006,15.7006,15.7006,15.7006,0
NBW,20100803,15.7006,15.7006,15.7006,15.7006,0
NBW,20100804,15.7006,15.7006,15.7006,15.7006,0
NBW,20100805,15.7006,15.7006,15.7006,15.7006,0
NBW,20100806,15.7006,15.7006,15.7006,15.7006,0
NBW,20100809,15.7006,15.7006,15.7006,15.7006,0
NBW,20100810,15.7006,15.7006,15.7006,15.7006,0
NBW,20100811,15.7006,15.7006,15.7006,15.7006,0
NBW,20100812,15.7006,15.7006,15.7006,15.7006,0
NBW,20100813,15.7006,15.7006,15.7006,15.7006,0
NBW,20100816,15.7006,15.7006,15.7006,15.7006,0
NBW,20100817,15.7006,15.7006,15.7006,15.7006,0
NBW,20100818,15.7006,15.7006,15.7006,15.7006,0
NBW,20100819,15.7006,15.7006,15.7006,15.7006,0
NBW,20100820,15.7006,15.7006,15.7006,15.7006,0
NBW,20100823,15.7006,15.7006,15.7006,15.7006,0
NBW,20100824,15.7006,15.7006,15.7006,15.7006,0
NBW,20100825,12.3627,12.3627,12.3627,12.3627,100
NBW,20100826,12.3627,12.3627,12.3627,12.3627,0
NBW,20100827,12.3627,12.3627,12.3627,12.3627,0
NBW,20100830,12.3627,12.3627,12.3627,12.3627,0
NBW,20100831,12.3627,12.3627,12.3627,12.3627,0
NBW,20100901,12.3627,12.3627,12.3627,12.3627,0
NBW,20100906,12.3627,12.3627,12.3627,12.3627,0
NBW,20100907,12.3627,12.3627,12.3627,12.3627,0
NBW,20100908,12.3627,12.3627,12.3627,12.3627,0
NBW,20100909,12.3627,12.3627,12.3627,12.3627,0
NBW,20100910,12.3627,12.3627,12.3627,12.3627,0
NBW,20100913,12.3627,12.3627,12.3627,12.3627,0
NBW,20100914,12.3627,12.3627,12.3627,12.3627,0
NBW,20100915,12.3627,12.3627,12.3627,12.3627,0
NBW,20100916,12.3627,12.3627,12.3627,12.3627,0
NBW,20100917,12.3627,12.3627,12.3627,12.3627,0
NBW,20100920,12.3627,12.3627,12.3627,12.3627,0
NBW,20100921,12.3627,12.3627,12.3627,12.3627,0
NBW,20100922,12.3627,12.3627,12.3627,12.3627,0
NBW,20100923,12.3627,12.3627,12.3627,12.3627,0
NBW,20100924,12.3627,12.3627,12.3627,12.3627,0
NBW,20100927,12.3627,12.3627,12.3627,12.3627,0
NBW,20100928,12.3627,12.3627,12.3627,12.3627,0
NBW,20100929,12.3627,12.3627,12.3627,12.3627,0
NBW,20100930,12.3627,12.3627,12.3627,12.3627,0
NBW,20101001,12.3627,12.3627,12.3627,12.3627,0
NBW,20101004,12.3627,12.3627,12.3627,12.3627,0
NBW,20101005,12.3627,12.3627,12.3627,12.3627,0
NBW,20101006,12.3627,12.3627,12.3627,12.3627,0
NBW,20101007,7.8297,7.8297,7.8297,7.8297,100
NBW,20101008,7.8297,7.8297,7.8297,7.8297,0
NBW,20101011,7.8297,7.8297,7.8297,7.8297,0
NBW,20101012,7.8297,7.8297,7.8297,7.8297,0
NBW,20101013,7.8297,7.8297,7.8297,7.8297,0
NBW,20101014,7.8297,7.8297,7.8297,7.8297,0
NBW,20101015,7.8297,7.8297,7.8297,7.8297,0
NBW,20101018,7.8297,7.8297,7.8297,7.8297,0
NBW,20101019,7.8297,7.8297,7.8297,7.8297,0
NBW,20101020,7.8297,7.8297,7.8297,7.8297,0
NBW,20101021,7.8297,7.8297,7.8297,7.8297,0
NBW,20101022,7.8297,7.8297,7.8297,7.8297,0
NBW,20101025,7.8297,7.8297,7.8297,7.8297,0
NBW,20101026,7.8297,7.8297,7.8297,7.8297,0
NBW,20101027,7.8297,7.8297,7.8297,7.8297,0
NBW,20101028,7.8297,7.8297,7.8297,7.8297,0
NBW,20101029,7.8297,7.8297,7.8297,7.8297,0
NBW,20101101,7.8297,7.8297,7.8297,7.8297,0
NBW,20101102,7.8297,7.8297,7.8297,7.8297,0
NBW,20101103,7.8297,7.8297,7.8297,7.8297,0
NBW,20101104,7.8297,7.8297,7.8297,7.8297,0
NBW,20101105,7.8297,7.8297,7.8297,7.8297,0
NBW,20101108,7.8297,7.8297,7.8297,7.8297,0
NBW,20101109,7.8297,7.8297,7.8297,7.8297,0
NBW,20101110,7.8297,7.8297,7.8297,7.8297,0
NBW,20101111,7.8297,7.8297,7.8297,7.8297,0
NBW,20101112,7.8297,7.8297,7.8297,7.8297,0
NBW,20101115,7.8297,7.8297,7.8297,7.8297,0
NBW,20101116,7.8297,7.8297,7.8297,7.8297,0
NBW,20101117,7.8297,7.8297,7.8297,7.8297,0
NBW,20101118,7.8297,7.8297,7.8297,7.8297,0
NBW,20101119,7.8297,7.8297,7.8297,7.8297,200
NBW,20101122,7.8297,7.8297,7.8297,7.8297,400
NBW,20101123,22.6649,22.6649,22.6649,22.6649,100
