<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
ND2,20100722,7.7977,7.8477,7.5978,7.5978,1000
ND2,20100723,7.7478,7.7478,6.9480,7.3979,1100
ND2,20100726,6.8481,6.8481,6.8480,6.8480,200
ND2,20100727,6.8480,6.8480,6.8480,6.8480,0
ND2,20100728,6.6980,6.6980,6.5981,6.5981,200
ND2,20100729,6.6481,6.6481,6.6481,6.6481,0
ND2,20100730,6.6481,6.6481,6.6481,6.6481,0
ND2,20100802,6.6481,6.6481,6.6481,6.6481,0
ND2,20100803,6.6481,6.6481,6.6481,6.6481,0
ND2,20100804,6.6481,6.6481,6.6481,6.6481,0
ND2,20100805,7.2979,7.2979,7.2979,7.2979,100
ND2,20100806,7.2979,7.2979,7.2979,7.2979,0
ND2,20100809,7.2979,7.2979,7.2979,7.2979,0
ND2,20100810,7.2979,7.2979,7.2979,7.2979,0
ND2,20100811,7.2979,7.2979,7.2979,7.2979,0
ND2,20100812,7.2979,7.2979,7.2979,7.2979,0
ND2,20100813,7.2979,7.2979,7.2979,7.2979,0
ND2,20100816,7.2979,7.2979,7.2979,7.2979,0
ND2,20100817,7.2979,7.2979,7.2979,7.2979,0
ND2,20100818,7.2979,7.2979,7.2979,7.2979,0
ND2,20100819,6.9480,6.9480,6.9480,6.9480,100
ND2,20100820,6.9480,6.9480,6.9480,6.9480,0
ND2,20100823,6.9480,6.9480,6.9480,6.9480,0
ND2,20100824,6.9480,6.9480,6.9480,6.9480,0
ND2,20100825,6.9480,6.9480,6.9480,6.9480,0
ND2,20100826,6.9480,6.9480,6.9480,6.9480,0
ND2,20100827,6.9480,6.9480,6.9480,6.9480,0
ND2,20100830,6.2982,6.2982,6.2982,6.2982,100
ND2,20100831,5.6984,5.6984,5.6984,5.6984,100
ND2,20100901,6.2482,6.2482,5.1485,5.1485,300
ND2,20100906,4.9486,4.9486,4.9486,4.9486,300
ND2,20100907,4.9486,4.9486,4.9486,4.9486,0
ND2,20100908,4.9486,4.9486,4.9486,4.9486,0
ND2,20100909,4.9486,4.9486,4.9486,4.9486,0
ND2,20100910,5.3985,5.3985,5.3984,5.3984,100
ND2,20100913,5.3984,5.3984,5.3984,5.3984,0
ND2,20100914,5.3984,5.3984,5.3984,5.3984,0
ND2,20100915,5.3984,5.3984,5.3984,5.3984,0
ND2,20100916,5.3984,5.3984,5.3984,5.3984,0
ND2,20100917,5.3984,5.3984,5.3984,5.3984,0
ND2,20100920,5.3984,5.3984,5.3984,5.3984,0
ND2,20100921,5.3984,5.3984,5.3984,5.3984,0
ND2,20100922,5.3984,5.3984,5.3984,5.3984,0
ND2,20100923,4.8985,4.8986,4.8985,4.8986,600
ND2,20100924,4.8986,4.8986,4.8986,4.8986,0
ND2,20100927,4.8986,4.8986,4.8986,4.8986,0
ND2,20100928,4.8986,4.8986,4.8986,4.8986,0
ND2,20100929,4.4487,4.4487,4.4487,4.4487,100
ND2,20100930,4.0488,4.0488,4.0488,4.0488,200
