<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
NET,20100915,120.0000,140.0000,105.0000,105.0000,2700
NET,20100916,112.7000,112.7000,112.7000,112.7000,2100
NET,20100917,118.0000,118.0000,104.9000,104.9000,9700
NET,20100920,105.4000,111.6000,105.4000,111.6000,300
NET,20100921,100.0000,100.0000,100.0000,100.0000,800
NET,20100922,93.0000,93.0000,93.0000,93.0000,300
NET,20100923,86.5000,86.5000,86.5000,86.5000,100
NET,20100924,80.5000,90.0000,80.5000,90.0000,18300
NET,20100927,86.2000,86.2000,80.7000,85.0000,31900
NET,20100928,84.0000,87.9000,82.0000,82.1000,17200
NET,20100929,89.0000,89.0000,81.5000,81.9000,20600
NET,20100930,81.5000,83.0000,79.4000,79.4000,14400
NET,20101001,80.0000,80.2000,79.5000,79.6000,17200
NET,20101004,79.0000,79.0000,77.1000,77.1000,14500
NET,20101005,77.9000,77.9000,76.2000,76.2000,10800
NET,20101006,77.0000,79.0000,77.0000,79.0000,400
NET,20101007,78.5000,78.5000,77.5000,77.5000,1600
NET,20101008,77.9000,77.9000,77.0000,77.0000,2500
NET,20101011,76.5000,76.5000,75.2000,75.2000,8100
NET,20101012,76.0000,80.0000,76.0000,80.0000,1700
NET,20101013,77.0000,78.9000,77.0000,78.9000,500
NET,20101014,79.5000,79.5000,77.5000,77.5000,200
NET,20101015,78.5000,78.5000,78.0000,78.0000,200
NET,20101018,78.0000,78.0000,78.0000,78.0000,200
NET,20101019,77.5000,78.0000,77.0000,78.0000,7800
NET,20101020,77.0000,77.0000,77.0000,77.0000,4500
NET,20101021,77.1000,77.1000,77.0000,77.0000,600
NET,20101022,77.5000,77.5000,77.0000,77.0000,12500
NET,20101025,77.1000,77.1000,77.1000,77.1000,0
NET,20101026,77.2000,80.0000,77.2000,79.5000,3800
NET,20101027,79.5000,81.0000,79.5000,81.0000,15200
NET,20101028,80.0000,80.0000,77.0000,78.0000,13500
NET,20101029,79.5000,80.0000,79.5000,79.6000,28800
NET,20101101,79.6000,79.6000,79.5000,79.5000,18000
NET,20101102,79.6000,79.6000,79.5000,79.5000,19700
NET,20101103,79.7000,79.8000,79.6000,79.7000,4700
NET,20101104,79.6000,79.6000,79.6000,79.6000,5100
NET,20101105,80.0000,81.9000,80.0000,81.9000,9800
NET,20101108,81.9000,81.9000,81.0000,81.5000,6000
NET,20101109,81.8000,82.2000,81.7000,81.7000,8000
NET,20101110,82.0000,82.4000,81.6000,82.0000,18400
NET,20101111,80.1000,82.0000,80.1000,81.9000,12000
NET,20101112,80.1000,81.5000,80.1000,81.5000,9200
NET,20101115,80.5000,81.0000,80.5000,81.0000,8100
NET,20101116,80.0000,80.0000,79.2000,79.5000,12400
NET,20101117,79.0000,80.2000,78.2000,80.2000,13000
